"confirmed","date","deaths","recovered","country"
0,2020-01-22,0,0,"Afghanistan"
0,2020-01-23,0,0,"Afghanistan"
0,2020-01-24,0,0,"Afghanistan"
0,2020-01-25,0,0,"Afghanistan"
0,2020-01-26,0,0,"Afghanistan"
0,2020-01-27,0,0,"Afghanistan"
0,2020-01-28,0,0,"Afghanistan"
0,2020-01-29,0,0,"Afghanistan"
0,2020-01-30,0,0,"Afghanistan"
0,2020-01-31,0,0,"Afghanistan"
0,2020-02-01,0,0,"Afghanistan"
0,2020-02-02,0,0,"Afghanistan"
0,2020-02-03,0,0,"Afghanistan"
0,2020-02-04,0,0,"Afghanistan"
0,2020-02-05,0,0,"Afghanistan"
0,2020-02-06,0,0,"Afghanistan"
0,2020-02-07,0,0,"Afghanistan"
0,2020-02-08,0,0,"Afghanistan"
0,2020-02-09,0,0,"Afghanistan"
0,2020-02-10,0,0,"Afghanistan"
0,2020-02-11,0,0,"Afghanistan"
0,2020-02-12,0,0,"Afghanistan"
0,2020-02-13,0,0,"Afghanistan"
0,2020-02-14,0,0,"Afghanistan"
0,2020-02-15,0,0,"Afghanistan"
0,2020-02-16,0,0,"Afghanistan"
0,2020-02-17,0,0,"Afghanistan"
0,2020-02-18,0,0,"Afghanistan"
0,2020-02-19,0,0,"Afghanistan"
0,2020-02-20,0,0,"Afghanistan"
0,2020-02-21,0,0,"Afghanistan"
0,2020-02-22,0,0,"Afghanistan"
0,2020-02-23,0,0,"Afghanistan"
1,2020-02-24,0,0,"Afghanistan"
1,2020-02-25,0,0,"Afghanistan"
1,2020-02-26,0,0,"Afghanistan"
1,2020-02-27,0,0,"Afghanistan"
1,2020-02-28,0,0,"Afghanistan"
1,2020-02-29,0,0,"Afghanistan"
1,2020-03-01,0,0,"Afghanistan"
1,2020-03-02,0,0,"Afghanistan"
1,2020-03-03,0,0,"Afghanistan"
1,2020-03-04,0,0,"Afghanistan"
1,2020-03-05,0,0,"Afghanistan"
1,2020-03-06,0,0,"Afghanistan"
1,2020-03-07,0,0,"Afghanistan"
4,2020-03-08,0,0,"Afghanistan"
4,2020-03-09,0,0,"Afghanistan"
5,2020-03-10,0,0,"Afghanistan"
7,2020-03-11,0,0,"Afghanistan"
7,2020-03-12,0,0,"Afghanistan"
7,2020-03-13,0,0,"Afghanistan"
11,2020-03-14,0,0,"Afghanistan"
16,2020-03-15,0,0,"Afghanistan"
21,2020-03-16,0,1,"Afghanistan"
22,2020-03-17,0,1,"Afghanistan"
22,2020-03-18,0,1,"Afghanistan"
22,2020-03-19,0,1,"Afghanistan"
24,2020-03-20,0,1,"Afghanistan"
24,2020-03-21,0,1,"Afghanistan"
40,2020-03-22,1,1,"Afghanistan"
40,2020-03-23,1,1,"Afghanistan"
74,2020-03-24,1,1,"Afghanistan"
84,2020-03-25,2,2,"Afghanistan"
94,2020-03-26,4,2,"Afghanistan"
110,2020-03-27,4,2,"Afghanistan"
110,2020-03-28,4,2,"Afghanistan"
120,2020-03-29,4,2,"Afghanistan"
170,2020-03-30,4,2,"Afghanistan"
174,2020-03-31,4,5,"Afghanistan"
237,2020-04-01,4,5,"Afghanistan"
273,2020-04-02,6,10,"Afghanistan"
281,2020-04-03,6,10,"Afghanistan"
299,2020-04-04,7,10,"Afghanistan"
349,2020-04-05,7,15,"Afghanistan"
367,2020-04-06,11,18,"Afghanistan"
423,2020-04-07,14,18,"Afghanistan"
444,2020-04-08,14,29,"Afghanistan"
484,2020-04-09,15,32,"Afghanistan"
521,2020-04-10,15,32,"Afghanistan"
555,2020-04-11,18,32,"Afghanistan"
607,2020-04-12,18,32,"Afghanistan"
665,2020-04-13,21,32,"Afghanistan"
714,2020-04-14,23,40,"Afghanistan"
784,2020-04-15,25,43,"Afghanistan"
840,2020-04-16,30,54,"Afghanistan"
906,2020-04-17,30,99,"Afghanistan"
933,2020-04-18,30,112,"Afghanistan"
996,2020-04-19,33,131,"Afghanistan"
1026,2020-04-20,36,135,"Afghanistan"
1092,2020-04-21,36,150,"Afghanistan"
0,2020-01-22,0,0,"Albania"
0,2020-01-23,0,0,"Albania"
0,2020-01-24,0,0,"Albania"
0,2020-01-25,0,0,"Albania"
0,2020-01-26,0,0,"Albania"
0,2020-01-27,0,0,"Albania"
0,2020-01-28,0,0,"Albania"
0,2020-01-29,0,0,"Albania"
0,2020-01-30,0,0,"Albania"
0,2020-01-31,0,0,"Albania"
0,2020-02-01,0,0,"Albania"
0,2020-02-02,0,0,"Albania"
0,2020-02-03,0,0,"Albania"
0,2020-02-04,0,0,"Albania"
0,2020-02-05,0,0,"Albania"
0,2020-02-06,0,0,"Albania"
0,2020-02-07,0,0,"Albania"
0,2020-02-08,0,0,"Albania"
0,2020-02-09,0,0,"Albania"
0,2020-02-10,0,0,"Albania"
0,2020-02-11,0,0,"Albania"
0,2020-02-12,0,0,"Albania"
0,2020-02-13,0,0,"Albania"
0,2020-02-14,0,0,"Albania"
0,2020-02-15,0,0,"Albania"
0,2020-02-16,0,0,"Albania"
0,2020-02-17,0,0,"Albania"
0,2020-02-18,0,0,"Albania"
0,2020-02-19,0,0,"Albania"
0,2020-02-20,0,0,"Albania"
0,2020-02-21,0,0,"Albania"
0,2020-02-22,0,0,"Albania"
0,2020-02-23,0,0,"Albania"
0,2020-02-24,0,0,"Albania"
0,2020-02-25,0,0,"Albania"
0,2020-02-26,0,0,"Albania"
0,2020-02-27,0,0,"Albania"
0,2020-02-28,0,0,"Albania"
0,2020-02-29,0,0,"Albania"
0,2020-03-01,0,0,"Albania"
0,2020-03-02,0,0,"Albania"
0,2020-03-03,0,0,"Albania"
0,2020-03-04,0,0,"Albania"
0,2020-03-05,0,0,"Albania"
0,2020-03-06,0,0,"Albania"
0,2020-03-07,0,0,"Albania"
0,2020-03-08,0,0,"Albania"
2,2020-03-09,0,0,"Albania"
10,2020-03-10,0,0,"Albania"
12,2020-03-11,1,0,"Albania"
23,2020-03-12,1,0,"Albania"
33,2020-03-13,1,0,"Albania"
38,2020-03-14,1,0,"Albania"
42,2020-03-15,1,0,"Albania"
51,2020-03-16,1,0,"Albania"
55,2020-03-17,1,0,"Albania"
59,2020-03-18,2,0,"Albania"
64,2020-03-19,2,0,"Albania"
70,2020-03-20,2,0,"Albania"
76,2020-03-21,2,2,"Albania"
89,2020-03-22,2,2,"Albania"
104,2020-03-23,4,2,"Albania"
123,2020-03-24,5,10,"Albania"
146,2020-03-25,5,17,"Albania"
174,2020-03-26,6,17,"Albania"
186,2020-03-27,8,31,"Albania"
197,2020-03-28,10,31,"Albania"
212,2020-03-29,10,33,"Albania"
223,2020-03-30,11,44,"Albania"
243,2020-03-31,15,52,"Albania"
259,2020-04-01,15,67,"Albania"
277,2020-04-02,16,76,"Albania"
304,2020-04-03,17,89,"Albania"
333,2020-04-04,20,99,"Albania"
361,2020-04-05,20,104,"Albania"
377,2020-04-06,21,116,"Albania"
383,2020-04-07,22,131,"Albania"
400,2020-04-08,22,154,"Albania"
409,2020-04-09,23,165,"Albania"
416,2020-04-10,23,182,"Albania"
433,2020-04-11,23,197,"Albania"
446,2020-04-12,23,217,"Albania"
467,2020-04-13,23,232,"Albania"
475,2020-04-14,24,248,"Albania"
494,2020-04-15,25,251,"Albania"
518,2020-04-16,26,277,"Albania"
539,2020-04-17,26,283,"Albania"
548,2020-04-18,26,302,"Albania"
562,2020-04-19,26,314,"Albania"
584,2020-04-20,26,327,"Albania"
609,2020-04-21,26,345,"Albania"
0,2020-01-22,0,0,"Algeria"
0,2020-01-23,0,0,"Algeria"
0,2020-01-24,0,0,"Algeria"
0,2020-01-25,0,0,"Algeria"
0,2020-01-26,0,0,"Algeria"
0,2020-01-27,0,0,"Algeria"
0,2020-01-28,0,0,"Algeria"
0,2020-01-29,0,0,"Algeria"
0,2020-01-30,0,0,"Algeria"
