country;social_distancing;source;comments
aut;16/03/20;covid19-interventions.com;
ita;02/03/20;covid19-interventions.com;
esp;12/03/20;covid19-interventions.com;
fra;15/03/20;covid19-interventions.com;
uk;23/03/20;covid19-interventions.com;
usa;19/03/20;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_United_States;first state: 2020-03-19, last state: 2020-04-07
ger;16/03/20;covid19-interventions.com;
beldutch;13/03/20;covid19-interventions.com;
can;16/03/20;covid19-interventions.com;
ire;12/03/20;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Republic_of_Ireland#cite_note-Irish_Times_schools_to_shut-13;
net;15/03/20;covid19-interventions.com;
che;13/03/20;covid19-interventions.com;
aus;21/03/20;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Australia#Federal_Government;
nzl;24/03/20;covid19-interventions.com;
chl;22/03/20;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Chile;
ecu;13/03/20;covid19-interventions.com;
per;16/03/20;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Peru;
mex;20/03/20;covid19-interventions.com;
