"date","Twitter","value","weekday","bl","sd","country"
2019-01-01,"Unique authors",2308,"Dienstag",2762.39622641509,202.066281930406,"Austria"
2019-01-01,"Total tweets",12113,"Dienstag",17298.0754716981,1764.64736997178,"Austria"
2019-01-02,"Unique authors",2395,"Mittwoch",2753.40384615385,212.297539964817,"Austria"
2019-01-02,"Total tweets",13374,"Mittwoch",17215.4230769231,1758.49480362012,"Austria"
2019-01-03,"Unique authors",2434,"Donnerstag",2690.63461538462,184.42353523048,"Austria"
2019-01-03,"Total tweets",14078,"Donnerstag",16896.5,1754.90457256898,"Austria"
2019-01-04,"Unique authors",2216,"Freitag",2207.59615384615,209.435774198986,"Austria"
2019-01-04,"Total tweets",14961,"Freitag",16432.3269230769,1509.53430971347,"Austria"
2019-01-05,"Unique authors",2061,"Samstag",2247.34615384615,199.560191383244,"Austria"
2019-01-05,"Total tweets",14250,"Samstag",14460.25,3180.78166416654,"Austria"
2019-01-06,"Unique authors",2554,"Sonntag",2699.09615384615,205.558088695274,"Austria"
2019-01-06,"Total tweets",13729,"Sonntag",15447.9423076923,2567.93172602924,"Austria"
2019-01-07,"Unique authors",2641,"Montag",2783.86538461538,149.781151311119,"Austria"
2019-01-07,"Total tweets",15228,"Montag",17148.5384615385,2478.66235637754,"Austria"
2019-01-08,"Unique authors",2702,"Dienstag",2762.39622641509,202.066281930406,"Austria"
2019-01-08,"Total tweets",15153,"Dienstag",17298.0754716981,1764.64736997178,"Austria"
2019-01-09,"Unique authors",2752,"Mittwoch",2753.40384615385,212.297539964817,"Austria"
2019-01-09,"Total tweets",15719,"Mittwoch",17215.4230769231,1758.49480362012,"Austria"
2019-01-10,"Unique authors",2788,"Donnerstag",2690.63461538462,184.42353523048,"Austria"
2019-01-10,"Total tweets",15883,"Donnerstag",16896.5,1754.90457256898,"Austria"
2019-01-11,"Unique authors",2147,"Freitag",2207.59615384615,209.435774198986,"Austria"
2019-01-11,"Total tweets",16300,"Freitag",16432.3269230769,1509.53430971347,"Austria"
2019-01-12,"Unique authors",2200,"Samstag",2247.34615384615,199.560191383244,"Austria"
2019-01-12,"Total tweets",13426,"Samstag",14460.25,3180.78166416654,"Austria"
2019-01-13,"Unique authors",2746,"Sonntag",2699.09615384615,205.558088695274,"Austria"
2019-01-13,"Total tweets",14576,"Sonntag",15447.9423076923,2567.93172602924,"Austria"
2019-01-14,"Unique authors",2791,"Montag",2783.86538461538,149.781151311119,"Austria"
2019-01-14,"Total tweets",16170,"Montag",17148.5384615385,2478.66235637754,"Austria"
2019-01-15,"Unique authors",2773,"Dienstag",2762.39622641509,202.066281930406,"Austria"
2019-01-15,"Total tweets",15970,"Dienstag",17298.0754716981,1764.64736997178,"Austria"
2019-01-16,"Unique authors",2800,"Mittwoch",2753.40384615385,212.297539964817,"Austria"
2019-01-16,"Total tweets",15356,"Mittwoch",17215.4230769231,1758.49480362012,"Austria"
2019-01-17,"Unique authors",2674,"Donnerstag",2690.63461538462,184.42353523048,"Austria"
2019-01-17,"Total tweets",15228,"Donnerstag",16896.5,1754.90457256898,"Austria"
2019-01-18,"Unique authors",2096,"Freitag",2207.59615384615,209.435774198986,"Austria"
2019-01-18,"Total tweets",14630,"Freitag",16432.3269230769,1509.53430971347,"Austria"
2019-01-19,"Unique authors",2065,"Samstag",2247.34615384615,199.560191383244,"Austria"
2019-01-19,"Total tweets",12472,"Samstag",14460.25,3180.78166416654,"Austria"
2019-01-20,"Unique authors",2725,"Sonntag",2699.09615384615,205.558088695274,"Austria"
2019-01-20,"Total tweets",12030,"Sonntag",15447.9423076923,2567.93172602924,"Austria"
2019-01-21,"Unique authors",2759,"Montag",2783.86538461538,149.781151311119,"Austria"
2019-01-21,"Total tweets",14672,"Montag",17148.5384615385,2478.66235637754,"Austria"
2019-01-22,"Unique authors",2845,"Dienstag",2762.39622641509,202.066281930406,"Austria"
2019-01-22,"Total tweets",15565,"Dienstag",17298.0754716981,1764.64736997178,"Austria"
2019-01-23,"Unique authors",2779,"Mittwoch",2753.40384615385,212.297539964817,"Austria"
2019-01-23,"Total tweets",16732,"Mittwoch",17215.4230769231,1758.49480362012,"Austria"
2019-01-24,"Unique authors",2746,"Donnerstag",2690.63461538462,184.42353523048,"Austria"
2019-01-24,"Total tweets",15659,"Donnerstag",16896.5,1754.90457256898,"Austria"
2019-01-25,"Unique authors",2161,"Freitag",2207.59615384615,209.435774198986,"Austria"
2019-01-25,"Total tweets",15192,"Freitag",16432.3269230769,1509.53430971347,"Austria"
2019-01-26,"Unique authors",2199,"Samstag",2247.34615384615,199.560191383244,"Austria"
2019-01-26,"Total tweets",11773,"Samstag",14460.25,3180.78166416654,"Austria"
2019-01-27,"Unique authors",2643,"Sonntag",2699.09615384615,205.558088695274,"Austria"
2019-01-27,"Total tweets",13143,"Sonntag",15447.9423076923,2567.93172602924,"Austria"
2019-01-28,"Unique authors",2783,"Montag",2783.86538461538,149.781151311119,"Austria"
2019-01-28,"Total tweets",14916,"Montag",17148.5384615385,2478.66235637754,"Austria"
2019-01-29,"Unique authors",2748,"Dienstag",2762.39622641509,202.066281930406,"Austria"
2019-01-29,"Total tweets",16061,"Dienstag",17298.0754716981,1764.64736997178,"Austria"
2019-01-30,"Unique authors",2769,"Mittwoch",2753.40384615385,212.297539964817,"Austria"
2019-01-30,"Total tweets",16390,"Mittwoch",17215.4230769231,1758.49480362012,"Austria"
2019-01-31,"Unique authors",2674,"Donnerstag",2690.63461538462,184.42353523048,"Austria"
2019-01-31,"Total tweets",15828,"Donnerstag",16896.5,1754.90457256898,"Austria"
2019-02-01,"Unique authors",2069,"Freitag",2207.59615384615,209.435774198986,"Austria"
2019-02-01,"Total tweets",15234,"Freitag",16432.3269230769,1509.53430971347,"Austria"
2019-02-02,"Unique authors",2052,"Samstag",2247.34615384615,199.560191383244,"Austria"
2019-02-02,"Total tweets",12282,"Samstag",14460.25,3180.78166416654,"Austria"
2019-02-03,"Unique authors",2637,"Sonntag",2699.09615384615,205.558088695274,"Austria"
2019-02-03,"Total tweets",13042,"Sonntag",15447.9423076923,2567.93172602924,"Austria"
2019-02-04,"Unique authors",2724,"Montag",2783.86538461538,149.781151311119,"Austria"
2019-02-04,"Total tweets",14897,"Montag",17148.5384615385,2478.66235637754,"Austria"
2019-02-05,"Unique authors",2756,"Dienstag",2762.39622641509,202.066281930406,"Austria"
2019-02-05,"Total tweets",15278,"Dienstag",17298.0754716981,1764.64736997178,"Austria"
2019-02-06,"Unique authors",2688,"Mittwoch",2753.40384615385,212.297539964817,"Austria"
2019-02-06,"Total tweets",15579,"Mittwoch",17215.4230769231,1758.49480362012,"Austria"
2019-02-07,"Unique authors",2501,"Donnerstag",2690.63461538462,184.42353523048,"Austria"
2019-02-07,"Total tweets",15196,"Donnerstag",16896.5,1754.90457256898,"Austria"
2019-02-08,"Unique authors",2081,"Freitag",2207.59615384615,209.435774198986,"Austria"
2019-02-08,"Total tweets",14858,"Freitag",16432.3269230769,1509.53430971347,"Austria"
2019-02-09,"Unique authors",2064,"Samstag",2247.34615384615,199.560191383244,"Austria"
2019-02-09,"Total tweets",12497,"Samstag",14460.25,3180.78166416654,"Austria"
2019-02-10,"Unique authors",2599,"Sonntag",2699.09615384615,205.558088695274,"Austria"
2019-02-10,"Total tweets",12212,"Sonntag",15447.9423076923,2567.93172602924,"Austria"
2019-02-11,"Unique authors",2717,"Montag",2783.86538461538,149.781151311119,"Austria"
2019-02-11,"Total tweets",14917,"Montag",17148.5384615385,2478.66235637754,"Austria"
2019-02-12,"Unique authors",2727,"Dienstag",2762.39622641509,202.066281930406,"Austria"
2019-02-12,"Total tweets",16458,"Dienstag",17298.0754716981,1764.64736997178,"Austria"
2019-02-13,"Unique authors",2902,"Mittwoch",2753.40384615385,212.297539964817,"Austria"
2019-02-13,"Total tweets",15783,"Mittwoch",17215.4230769231,1758.49480362012,"Austria"
2019-02-14,"Unique authors",2649,"Donnerstag",2690.63461538462,184.42353523048,"Austria"
2019-02-14,"Total tweets",16342,"Donnerstag",16896.5,1754.90457256898,"Austria"
2019-02-15,"Unique authors",2154,"Freitag",2207.59615384615,209.435774198986,"Austria"
2019-02-15,"Total tweets",15324,"Freitag",16432.3269230769,1509.53430971347,"Austria"
2019-02-16,"Unique authors",2203,"Samstag",2247.34615384615,199.560191383244,"Austria"
2019-02-16,"Total tweets",13197,"Samstag",14460.25,3180.78166416654,"Austria"
2019-02-17,"Unique authors",2688,"Sonntag",2699.09615384615,205.558088695274,"Austria"
2019-02-17,"Total tweets",13502,"Sonntag",15447.9423076923,2567.93172602924,"Austria"
2019-02-18,"Unique authors",2745,"Montag",2783.86538461538,149.781151311119,"Austria"
2019-02-18,"Total tweets",15184,"Montag",17148.5384615385,2478.66235637754,"Austria"
2019-02-19,"Unique authors",2804,"Dienstag",2762.39622641509,202.066281930406,"Austria"
2019-02-19,"Total tweets",16871,"Dienstag",17298.0754716981,1764.64736997178,"Austria"
2019-02-20,"Unique authors",2755,"Mittwoch",2753.40384615385,212.297539964817,"Austria"
2019-02-20,"Total tweets",15846,"Mittwoch",17215.4230769231,1758.49480362012,"Austria"
