startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",57020
"2013-01-02T00:00:00","2013-01-03T00:00:00",59867
"2013-01-03T00:00:00","2013-01-04T00:00:00",60571
"2013-01-04T00:00:00","2013-01-05T00:00:00",56710
"2013-01-05T00:00:00","2013-01-06T00:00:00",56616
"2013-01-06T00:00:00","2013-01-07T00:00:00",57920
"2013-01-07T00:00:00","2013-01-08T00:00:00",62493
"2013-01-08T00:00:00","2013-01-09T00:00:00",67714
"2013-01-09T00:00:00","2013-01-10T00:00:00",60081
"2013-01-10T00:00:00","2013-01-11T00:00:00",59870
"2013-01-11T00:00:00","2013-01-12T00:00:00",57962
"2013-01-12T00:00:00","2013-01-13T00:00:00",56858
"2013-01-13T00:00:00","2013-01-14T00:00:00",60510
"2013-01-14T00:00:00","2013-01-15T00:00:00",58943
"2013-01-15T00:00:00","2013-01-16T00:00:00",58637
"2013-01-16T00:00:00","2013-01-17T00:00:00",61253
"2013-01-17T00:00:00","2013-01-18T00:00:00",62693
"2013-01-18T00:00:00","2013-01-19T00:00:00",66212
"2013-01-19T00:00:00","2013-01-20T00:00:00",54907
"2013-01-20T00:00:00","2013-01-21T00:00:00",67822
"2013-01-21T00:00:00","2013-01-22T00:00:00",66028
"2013-01-22T00:00:00","2013-01-23T00:00:00",59200
"2013-01-23T00:00:00","2013-01-24T00:00:00",68639
"2013-01-24T00:00:00","2013-01-25T00:00:00",65894
"2013-01-25T00:00:00","2013-01-26T00:00:00",65316
"2013-01-26T00:00:00","2013-01-27T00:00:00",58405
"2013-01-27T00:00:00","2013-01-28T00:00:00",64456
"2013-01-28T00:00:00","2013-01-29T00:00:00",68271
"2013-01-29T00:00:00","2013-01-30T00:00:00",64066
"2013-01-30T00:00:00","2013-01-31T00:00:00",67488
"2013-01-31T00:00:00","2013-02-01T00:00:00",56955
"2013-02-01T00:00:00","2013-02-02T00:00:00",55005
"2013-02-02T00:00:00","2013-02-03T00:00:00",55879
"2013-02-03T00:00:00","2013-02-04T00:00:00",61730
"2013-02-04T00:00:00","2013-02-05T00:00:00",59564
"2013-02-05T00:00:00","2013-02-06T00:00:00",58495
"2013-02-06T00:00:00","2013-02-07T00:00:00",59362
"2013-02-07T00:00:00","2013-02-08T00:00:00",55389
"2013-02-08T00:00:00","2013-02-09T00:00:00",54123
"2013-02-09T00:00:00","2013-02-10T00:00:00",51016
"2013-02-10T00:00:00","2013-02-11T00:00:00",56150
"2013-02-11T00:00:00","2013-02-12T00:00:00",63199
"2013-02-12T00:00:00","2013-02-13T00:00:00",59313
"2013-02-13T00:00:00","2013-02-14T00:00:00",58428
"2013-02-14T00:00:00","2013-02-15T00:00:00",56926
"2013-02-15T00:00:00","2013-02-16T00:00:00",51881
"2013-02-16T00:00:00","2013-02-17T00:00:00",51858
"2013-02-17T00:00:00","2013-02-18T00:00:00",54620
"2013-02-18T00:00:00","2013-02-19T00:00:00",60118
"2013-02-19T00:00:00","2013-02-20T00:00:00",58058
"2013-02-20T00:00:00","2013-02-21T00:00:00",56668
"2013-02-21T00:00:00","2013-02-22T00:00:00",59222
"2013-02-22T00:00:00","2013-02-23T00:00:00",55276
"2013-02-23T00:00:00","2013-02-24T00:00:00",55446
"2013-02-24T00:00:00","2013-02-25T00:00:00",59855
"2013-02-25T00:00:00","2013-02-26T00:00:00",63223
"2013-02-26T00:00:00","2013-02-27T00:00:00",57860
"2013-02-27T00:00:00","2013-02-28T00:00:00",56694
"2013-02-28T00:00:00","2013-03-01T00:00:00",54609
"2013-03-01T00:00:00","2013-03-02T00:00:00",52959
"2013-03-02T00:00:00","2013-03-03T00:00:00",57759
"2013-03-03T00:00:00","2013-03-04T00:00:00",61733
"2013-03-04T00:00:00","2013-03-05T00:00:00",62016
"2013-03-05T00:00:00","2013-03-06T00:00:00",61844
"2013-03-06T00:00:00","2013-03-07T00:00:00",64176
"2013-03-07T00:00:00","2013-03-08T00:00:00",62144
"2013-03-08T00:00:00","2013-03-09T00:00:00",56618
"2013-03-09T00:00:00","2013-03-10T00:00:00",55806
"2013-03-10T00:00:00","2013-03-11T00:00:00",59529
"2013-03-11T00:00:00","2013-03-12T00:00:00",64648
"2013-03-12T00:00:00","2013-03-13T00:00:00",59463
"2013-03-13T00:00:00","2013-03-14T00:00:00",56290
"2013-03-14T00:00:00","2013-03-15T00:00:00",58126
"2013-03-15T00:00:00","2013-03-16T00:00:00",52088
"2013-03-16T00:00:00","2013-03-17T00:00:00",53734
"2013-03-17T00:00:00","2013-03-18T00:00:00",56584
"2013-03-18T00:00:00","2013-03-19T00:00:00",59148
"2013-03-19T00:00:00","2013-03-20T00:00:00",57346
"2013-03-20T00:00:00","2013-03-21T00:00:00",58311
"2013-03-21T00:00:00","2013-03-22T00:00:00",66822
"2013-03-22T00:00:00","2013-03-23T00:00:00",55206
"2013-03-23T00:00:00","2013-03-24T00:00:00",51804
"2013-03-24T00:00:00","2013-03-25T00:00:00",60520
"2013-03-25T00:00:00","2013-03-26T00:00:00",61005
"2013-03-26T00:00:00","2013-03-27T00:00:00",58870
"2013-03-27T00:00:00","2013-03-28T00:00:00",58071
"2013-03-28T00:00:00","2013-03-29T00:00:00",56023
"2013-03-29T00:00:00","2013-03-30T00:00:00",51442
"2013-03-30T00:00:00","2013-03-31T00:00:00",53917
"2013-03-31T00:00:00","2013-04-01T00:00:00",52071
"2013-04-01T00:00:00","2013-04-02T00:00:00",62075
"2013-04-02T00:00:00","2013-04-03T00:00:00",58713
"2013-04-03T00:00:00","2013-04-04T00:00:00",61506
"2013-04-04T00:00:00","2013-04-05T00:00:00",59889
"2013-04-05T00:00:00","2013-04-06T00:00:00",55877
"2013-04-06T00:00:00","2013-04-07T00:00:00",61516
"2013-04-07T00:00:00","2013-04-08T00:00:00",64089
"2013-04-08T00:00:00","2013-04-09T00:00:00",70470
"2013-04-09T00:00:00","2013-04-10T00:00:00",60713
"2013-04-10T00:00:00","2013-04-11T00:00:00",58955
