startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",15302
"2013-01-02T00:00:00","2013-01-03T00:00:00",17312
"2013-01-03T00:00:00","2013-01-04T00:00:00",18780
"2013-01-04T00:00:00","2013-01-05T00:00:00",18749
"2013-01-05T00:00:00","2013-01-06T00:00:00",17682
"2013-01-06T00:00:00","2013-01-07T00:00:00",17790
"2013-01-07T00:00:00","2013-01-08T00:00:00",22515
"2013-01-08T00:00:00","2013-01-09T00:00:00",21552
"2013-01-09T00:00:00","2013-01-10T00:00:00",18536
"2013-01-10T00:00:00","2013-01-11T00:00:00",18655
"2013-01-11T00:00:00","2013-01-12T00:00:00",17836
"2013-01-12T00:00:00","2013-01-13T00:00:00",17862
"2013-01-13T00:00:00","2013-01-14T00:00:00",18410
"2013-01-14T00:00:00","2013-01-15T00:00:00",19232
"2013-01-15T00:00:00","2013-01-16T00:00:00",19481
"2013-01-16T00:00:00","2013-01-17T00:00:00",19528
"2013-01-17T00:00:00","2013-01-18T00:00:00",19275
"2013-01-18T00:00:00","2013-01-19T00:00:00",19757
"2013-01-19T00:00:00","2013-01-20T00:00:00",16277
"2013-01-20T00:00:00","2013-01-21T00:00:00",18627
"2013-01-21T00:00:00","2013-01-22T00:00:00",19752
"2013-01-22T00:00:00","2013-01-23T00:00:00",18959
"2013-01-23T00:00:00","2013-01-24T00:00:00",21457
"2013-01-24T00:00:00","2013-01-25T00:00:00",21086
"2013-01-25T00:00:00","2013-01-26T00:00:00",18708
"2013-01-26T00:00:00","2013-01-27T00:00:00",16693
"2013-01-27T00:00:00","2013-01-28T00:00:00",20762
"2013-01-28T00:00:00","2013-01-29T00:00:00",21532
"2013-01-29T00:00:00","2013-01-30T00:00:00",20997
"2013-01-30T00:00:00","2013-01-31T00:00:00",20647
"2013-01-31T00:00:00","2013-02-01T00:00:00",19329
"2013-02-01T00:00:00","2013-02-02T00:00:00",18351
"2013-02-02T00:00:00","2013-02-03T00:00:00",17185
"2013-02-03T00:00:00","2013-02-04T00:00:00",18490
"2013-02-04T00:00:00","2013-02-05T00:00:00",18332
"2013-02-05T00:00:00","2013-02-06T00:00:00",18937
"2013-02-06T00:00:00","2013-02-07T00:00:00",18694
"2013-02-07T00:00:00","2013-02-08T00:00:00",18698
"2013-02-08T00:00:00","2013-02-09T00:00:00",17139
"2013-02-09T00:00:00","2013-02-10T00:00:00",15258
"2013-02-10T00:00:00","2013-02-11T00:00:00",22647
"2013-02-11T00:00:00","2013-02-12T00:00:00",20061
"2013-02-12T00:00:00","2013-02-13T00:00:00",19258
"2013-02-13T00:00:00","2013-02-14T00:00:00",19352
"2013-02-14T00:00:00","2013-02-15T00:00:00",18031
"2013-02-15T00:00:00","2013-02-16T00:00:00",17424
"2013-02-16T00:00:00","2013-02-17T00:00:00",17219
"2013-02-17T00:00:00","2013-02-18T00:00:00",18172
"2013-02-18T00:00:00","2013-02-19T00:00:00",20396
"2013-02-19T00:00:00","2013-02-20T00:00:00",20627
"2013-02-20T00:00:00","2013-02-21T00:00:00",19849
"2013-02-21T00:00:00","2013-02-22T00:00:00",19303
"2013-02-22T00:00:00","2013-02-23T00:00:00",18323
"2013-02-23T00:00:00","2013-02-24T00:00:00",18198
"2013-02-24T00:00:00","2013-02-25T00:00:00",18426
"2013-02-25T00:00:00","2013-02-26T00:00:00",20313
"2013-02-26T00:00:00","2013-02-27T00:00:00",18725
"2013-02-27T00:00:00","2013-02-28T00:00:00",18653
"2013-02-28T00:00:00","2013-03-01T00:00:00",18641
"2013-03-01T00:00:00","2013-03-02T00:00:00",17997
"2013-03-02T00:00:00","2013-03-03T00:00:00",18589
"2013-03-03T00:00:00","2013-03-04T00:00:00",18922
"2013-03-04T00:00:00","2013-03-05T00:00:00",20510
"2013-03-05T00:00:00","2013-03-06T00:00:00",20681
"2013-03-06T00:00:00","2013-03-07T00:00:00",20831
"2013-03-07T00:00:00","2013-03-08T00:00:00",20355
"2013-03-08T00:00:00","2013-03-09T00:00:00",18580
"2013-03-09T00:00:00","2013-03-10T00:00:00",17200
"2013-03-10T00:00:00","2013-03-11T00:00:00",17752
"2013-03-11T00:00:00","2013-03-12T00:00:00",19683
"2013-03-12T00:00:00","2013-03-13T00:00:00",18725
"2013-03-13T00:00:00","2013-03-14T00:00:00",19082
"2013-03-14T00:00:00","2013-03-15T00:00:00",18443
"2013-03-15T00:00:00","2013-03-16T00:00:00",16853
"2013-03-16T00:00:00","2013-03-17T00:00:00",15745
"2013-03-17T00:00:00","2013-03-18T00:00:00",17613
"2013-03-18T00:00:00","2013-03-19T00:00:00",18754
"2013-03-19T00:00:00","2013-03-20T00:00:00",18486
"2013-03-20T00:00:00","2013-03-21T00:00:00",18790
"2013-03-21T00:00:00","2013-03-22T00:00:00",21949
"2013-03-22T00:00:00","2013-03-23T00:00:00",17788
"2013-03-23T00:00:00","2013-03-24T00:00:00",15685
"2013-03-24T00:00:00","2013-03-25T00:00:00",18308
"2013-03-25T00:00:00","2013-03-26T00:00:00",20418
"2013-03-26T00:00:00","2013-03-27T00:00:00",19841
"2013-03-27T00:00:00","2013-03-28T00:00:00",18441
"2013-03-28T00:00:00","2013-03-29T00:00:00",17109
"2013-03-29T00:00:00","2013-03-30T00:00:00",15663
"2013-03-30T00:00:00","2013-03-31T00:00:00",15788
"2013-03-31T00:00:00","2013-04-01T00:00:00",15793
"2013-04-01T00:00:00","2013-04-02T00:00:00",18797
"2013-04-02T00:00:00","2013-04-03T00:00:00",20053
"2013-04-03T00:00:00","2013-04-04T00:00:00",19073
"2013-04-04T00:00:00","2013-04-05T00:00:00",19814
"2013-04-05T00:00:00","2013-04-06T00:00:00",18247
"2013-04-06T00:00:00","2013-04-07T00:00:00",16708
