startDate,endDate,numberOfDocuments
"2019-01-01T00:00:00","2019-01-02T00:00:00",155677
"2019-01-02T00:00:00","2019-01-03T00:00:00",154747
"2019-01-03T00:00:00","2019-01-04T00:00:00",158556
"2019-01-04T00:00:00","2019-01-05T00:00:00",162507
"2019-01-05T00:00:00","2019-01-06T00:00:00",153019
"2019-01-06T00:00:00","2019-01-07T00:00:00",153089
"2019-01-07T00:00:00","2019-01-08T00:00:00",169435
"2019-01-08T00:00:00","2019-01-09T00:00:00",167291
"2019-01-09T00:00:00","2019-01-10T00:00:00",171316
"2019-01-10T00:00:00","2019-01-11T00:00:00",168105
"2019-01-11T00:00:00","2019-01-12T00:00:00",168629
"2019-01-12T00:00:00","2019-01-13T00:00:00",147516
"2019-01-13T00:00:00","2019-01-14T00:00:00",153325
"2019-01-14T00:00:00","2019-01-15T00:00:00",171958
"2019-01-15T00:00:00","2019-01-16T00:00:00",180997
"2019-01-16T00:00:00","2019-01-17T00:00:00",181412
"2019-01-17T00:00:00","2019-01-18T00:00:00",183713
"2019-01-18T00:00:00","2019-01-19T00:00:00",173628
"2019-01-19T00:00:00","2019-01-20T00:00:00",153851
"2019-01-20T00:00:00","2019-01-21T00:00:00",159034
"2019-01-21T00:00:00","2019-01-22T00:00:00",177586
"2019-01-22T00:00:00","2019-01-23T00:00:00",181784
"2019-01-23T00:00:00","2019-01-24T00:00:00",181748
"2019-01-24T00:00:00","2019-01-25T00:00:00",189228
"2019-01-25T00:00:00","2019-01-26T00:00:00",187492
"2019-01-26T00:00:00","2019-01-27T00:00:00",162547
"2019-01-27T00:00:00","2019-01-28T00:00:00",160429
"2019-01-28T00:00:00","2019-01-29T00:00:00",173831
"2019-01-29T00:00:00","2019-01-30T00:00:00",180604
"2019-01-30T00:00:00","2019-01-31T00:00:00",186667
"2019-01-31T00:00:00","2019-02-01T00:00:00",185356
"2019-02-01T00:00:00","2019-02-02T00:00:00",177587
"2019-02-02T00:00:00","2019-02-03T00:00:00",157122
"2019-02-03T00:00:00","2019-02-04T00:00:00",162780
"2019-02-04T00:00:00","2019-02-05T00:00:00",182436
"2019-02-05T00:00:00","2019-02-06T00:00:00",179420
"2019-02-06T00:00:00","2019-02-07T00:00:00",182050
"2019-02-07T00:00:00","2019-02-08T00:00:00",182396
"2019-02-08T00:00:00","2019-02-09T00:00:00",178388
"2019-02-09T00:00:00","2019-02-10T00:00:00",153906
"2019-02-10T00:00:00","2019-02-11T00:00:00",157634
"2019-02-11T00:00:00","2019-02-12T00:00:00",184842
"2019-02-12T00:00:00","2019-02-13T00:00:00",187374
"2019-02-13T00:00:00","2019-02-14T00:00:00",186442
"2019-02-14T00:00:00","2019-02-15T00:00:00",186419
"2019-02-15T00:00:00","2019-02-16T00:00:00",171326
"2019-02-16T00:00:00","2019-02-17T00:00:00",149330
"2019-02-17T00:00:00","2019-02-18T00:00:00",158835
"2019-02-18T00:00:00","2019-02-19T00:00:00",178272
"2019-02-19T00:00:00","2019-02-20T00:00:00",182638
"2019-02-20T00:00:00","2019-02-21T00:00:00",185312
"2019-02-21T00:00:00","2019-02-22T00:00:00",187083
"2019-02-22T00:00:00","2019-02-23T00:00:00",174463
"2019-02-23T00:00:00","2019-02-24T00:00:00",152362
"2019-02-24T00:00:00","2019-02-25T00:00:00",161719
"2019-02-25T00:00:00","2019-02-26T00:00:00",186280
"2019-02-26T00:00:00","2019-02-27T00:00:00",185341
"2019-02-27T00:00:00","2019-02-28T00:00:00",191666
"2019-02-28T00:00:00","2019-03-01T00:00:00",188662
"2019-03-01T00:00:00","2019-03-02T00:00:00",178638
"2019-03-02T00:00:00","2019-03-03T00:00:00",160143
"2019-03-03T00:00:00","2019-03-04T00:00:00",161995
"2019-03-04T00:00:00","2019-03-05T00:00:00",182810
"2019-03-05T00:00:00","2019-03-06T00:00:00",185470
"2019-03-06T00:00:00","2019-03-07T00:00:00",186139
"2019-03-07T00:00:00","2019-03-08T00:00:00",188283
"2019-03-08T00:00:00","2019-03-09T00:00:00",185619
"2019-03-09T00:00:00","2019-03-10T00:00:00",152240
"2019-03-10T00:00:00","2019-03-11T00:00:00",157320
"2019-03-11T00:00:00","2019-03-12T00:00:00",175090
"2019-03-12T00:00:00","2019-03-13T00:00:00",181751
"2019-03-13T00:00:00","2019-03-14T00:00:00",184358
"2019-03-14T00:00:00","2019-03-15T00:00:00",191533
"2019-03-15T00:00:00","2019-03-16T00:00:00",198132
"2019-03-16T00:00:00","2019-03-17T00:00:00",170834
"2019-03-17T00:00:00","2019-03-18T00:00:00",176502
"2019-03-18T00:00:00","2019-03-19T00:00:00",186612
"2019-03-19T00:00:00","2019-03-20T00:00:00",192345
"2019-03-20T00:00:00","2019-03-21T00:00:00",194989
"2019-03-21T00:00:00","2019-03-22T00:00:00",195695
"2019-03-22T00:00:00","2019-03-23T00:00:00",187480
"2019-03-23T00:00:00","2019-03-24T00:00:00",169657
"2019-03-24T00:00:00","2019-03-25T00:00:00",168762
"2019-03-25T00:00:00","2019-03-26T00:00:00",185045
"2019-03-26T00:00:00","2019-03-27T00:00:00",186811
"2019-03-27T00:00:00","2019-03-28T00:00:00",184635
"2019-03-28T00:00:00","2019-03-29T00:00:00",193124
"2019-03-29T00:00:00","2019-03-30T00:00:00",183122
"2019-03-30T00:00:00","2019-03-31T00:00:00",157552
"2019-03-31T00:00:00","2019-04-01T00:00:00",157179
"2019-04-01T00:00:00","2019-04-02T00:00:00",179845
"2019-04-02T00:00:00","2019-04-03T00:00:00",187021
"2019-04-03T00:00:00","2019-04-04T00:00:00",185249
"2019-04-04T00:00:00","2019-04-05T00:00:00",191041
"2019-04-05T00:00:00","2019-04-06T00:00:00",185697
"2019-04-06T00:00:00","2019-04-07T00:00:00",157633
"2019-04-07T00:00:00","2019-04-08T00:00:00",167489
"2019-04-08T00:00:00","2019-04-09T00:00:00",189674
"2019-04-09T00:00:00","2019-04-10T00:00:00",187849
