startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",32430
"2013-01-02T00:00:00","2013-01-03T00:00:00",33686
"2013-01-03T00:00:00","2013-01-04T00:00:00",34504
"2013-01-04T00:00:00","2013-01-05T00:00:00",32021
"2013-01-05T00:00:00","2013-01-06T00:00:00",30951
"2013-01-06T00:00:00","2013-01-07T00:00:00",32951
"2013-01-07T00:00:00","2013-01-08T00:00:00",35168
"2013-01-08T00:00:00","2013-01-09T00:00:00",36217
"2013-01-09T00:00:00","2013-01-10T00:00:00",34190
"2013-01-10T00:00:00","2013-01-11T00:00:00",33745
"2013-01-11T00:00:00","2013-01-12T00:00:00",31499
"2013-01-12T00:00:00","2013-01-13T00:00:00",33618
"2013-01-13T00:00:00","2013-01-14T00:00:00",35416
"2013-01-14T00:00:00","2013-01-15T00:00:00",35768
"2013-01-15T00:00:00","2013-01-16T00:00:00",35568
"2013-01-16T00:00:00","2013-01-17T00:00:00",36082
"2013-01-17T00:00:00","2013-01-18T00:00:00",35291
"2013-01-18T00:00:00","2013-01-19T00:00:00",37439
"2013-01-19T00:00:00","2013-01-20T00:00:00",32987
"2013-01-20T00:00:00","2013-01-21T00:00:00",35167
"2013-01-21T00:00:00","2013-01-22T00:00:00",35649
"2013-01-22T00:00:00","2013-01-23T00:00:00",34052
"2013-01-23T00:00:00","2013-01-24T00:00:00",37435
"2013-01-24T00:00:00","2013-01-25T00:00:00",38241
"2013-01-25T00:00:00","2013-01-26T00:00:00",35336
"2013-01-26T00:00:00","2013-01-27T00:00:00",31261
"2013-01-27T00:00:00","2013-01-28T00:00:00",36792
"2013-01-28T00:00:00","2013-01-29T00:00:00",40331
"2013-01-29T00:00:00","2013-01-30T00:00:00",38058
"2013-01-30T00:00:00","2013-01-31T00:00:00",38593
"2013-01-31T00:00:00","2013-02-01T00:00:00",34439
"2013-02-01T00:00:00","2013-02-02T00:00:00",33782
"2013-02-02T00:00:00","2013-02-03T00:00:00",32989
"2013-02-03T00:00:00","2013-02-04T00:00:00",35086
"2013-02-04T00:00:00","2013-02-05T00:00:00",32948
"2013-02-05T00:00:00","2013-02-06T00:00:00",32749
"2013-02-06T00:00:00","2013-02-07T00:00:00",32201
"2013-02-07T00:00:00","2013-02-08T00:00:00",31442
"2013-02-08T00:00:00","2013-02-09T00:00:00",31254
"2013-02-09T00:00:00","2013-02-10T00:00:00",28739
"2013-02-10T00:00:00","2013-02-11T00:00:00",32403
"2013-02-11T00:00:00","2013-02-12T00:00:00",41612
"2013-02-12T00:00:00","2013-02-13T00:00:00",36744
"2013-02-13T00:00:00","2013-02-14T00:00:00",33720
"2013-02-14T00:00:00","2013-02-15T00:00:00",34901
"2013-02-15T00:00:00","2013-02-16T00:00:00",30669
"2013-02-16T00:00:00","2013-02-17T00:00:00",30123
"2013-02-17T00:00:00","2013-02-18T00:00:00",32780
"2013-02-18T00:00:00","2013-02-19T00:00:00",34106
"2013-02-19T00:00:00","2013-02-20T00:00:00",33017
"2013-02-20T00:00:00","2013-02-21T00:00:00",32541
"2013-02-21T00:00:00","2013-02-22T00:00:00",31785
"2013-02-22T00:00:00","2013-02-23T00:00:00",32906
"2013-02-23T00:00:00","2013-02-24T00:00:00",34556
"2013-02-24T00:00:00","2013-02-25T00:00:00",34037
"2013-02-25T00:00:00","2013-02-26T00:00:00",35618
"2013-02-26T00:00:00","2013-02-27T00:00:00",32501
"2013-02-27T00:00:00","2013-02-28T00:00:00",31415
"2013-02-28T00:00:00","2013-03-01T00:00:00",31720
"2013-03-01T00:00:00","2013-03-02T00:00:00",31650
"2013-03-02T00:00:00","2013-03-03T00:00:00",37310
"2013-03-03T00:00:00","2013-03-04T00:00:00",34865
"2013-03-04T00:00:00","2013-03-05T00:00:00",34432
"2013-03-05T00:00:00","2013-03-06T00:00:00",34745
"2013-03-06T00:00:00","2013-03-07T00:00:00",39224
"2013-03-07T00:00:00","2013-03-08T00:00:00",34343
"2013-03-08T00:00:00","2013-03-09T00:00:00",30898
"2013-03-09T00:00:00","2013-03-10T00:00:00",31040
"2013-03-10T00:00:00","2013-03-11T00:00:00",32787
"2013-03-11T00:00:00","2013-03-12T00:00:00",35557
"2013-03-12T00:00:00","2013-03-13T00:00:00",31522
"2013-03-13T00:00:00","2013-03-14T00:00:00",31809
"2013-03-14T00:00:00","2013-03-15T00:00:00",33007
"2013-03-15T00:00:00","2013-03-16T00:00:00",30823
"2013-03-16T00:00:00","2013-03-17T00:00:00",30227
"2013-03-17T00:00:00","2013-03-18T00:00:00",32336
"2013-03-18T00:00:00","2013-03-19T00:00:00",33189
"2013-03-19T00:00:00","2013-03-20T00:00:00",32433
"2013-03-20T00:00:00","2013-03-21T00:00:00",32941
"2013-03-21T00:00:00","2013-03-22T00:00:00",40088
"2013-03-22T00:00:00","2013-03-23T00:00:00",33718
"2013-03-23T00:00:00","2013-03-24T00:00:00",31708
"2013-03-24T00:00:00","2013-03-25T00:00:00",35186
"2013-03-25T00:00:00","2013-03-26T00:00:00",37358
"2013-03-26T00:00:00","2013-03-27T00:00:00",33678
"2013-03-27T00:00:00","2013-03-28T00:00:00",31599
"2013-03-28T00:00:00","2013-03-29T00:00:00",31140
"2013-03-29T00:00:00","2013-03-30T00:00:00",30162
"2013-03-30T00:00:00","2013-03-31T00:00:00",30468
"2013-03-31T00:00:00","2013-04-01T00:00:00",31131
"2013-04-01T00:00:00","2013-04-02T00:00:00",35197
"2013-04-02T00:00:00","2013-04-03T00:00:00",34573
"2013-04-03T00:00:00","2013-04-04T00:00:00",35570
"2013-04-04T00:00:00","2013-04-05T00:00:00",33370
"2013-04-05T00:00:00","2013-04-06T00:00:00",31543
"2013-04-06T00:00:00","2013-04-07T00:00:00",30804
"2013-04-07T00:00:00","2013-04-08T00:00:00",35420
"2013-04-08T00:00:00","2013-04-09T00:00:00",39431
"2013-04-09T00:00:00","2013-04-10T00:00:00",35659
"2013-04-10T00:00:00","2013-04-11T00:00:00",34218
"2013-04-11T00:00:00","2013-04-12T00:00:00",32156
"2013-04-12T00:00:00","2013-04-13T00:00:00",31472
"2013-04-13T00:00:00","2013-04-14T00:00:00",31274
"2013-04-14T00:00:00","2013-04-15T00:00:00",32181
"2013-04-15T00:00:00","2013-04-16T00:00:00",36876
"2013-04-16T00:00:00","2013-04-17T00:00:00",39592
"2013-04-17T00:00:00","2013-04-18T00:00:00",32654
"2013-04-18T00:00:00","2013-04-19T00:00:00",33621
"2013-04-19T00:00:00","2013-04-20T00:00:00",31574
"2013-04-20T00:00:00","2013-04-21T00:00:00",29494
"2013-04-21T00:00:00","2013-04-22T00:00:00",32889
"2013-04-22T00:00:00","2013-04-23T00:00:00",37035
"2013-04-23T00:00:00","2013-04-24T00:00:00",32737
"2013-04-24T00:00:00","2013-04-25T00:00:00",33601
"2013-04-25T00:00:00","2013-04-26T00:00:00",32066
"2013-04-26T00:00:00","2013-04-27T00:00:00",31142
"2013-04-27T00:00:00","2013-04-28T00:00:00",29983
"2013-04-28T00:00:00","2013-04-29T00:00:00",32172
"2013-04-29T00:00:00","2013-04-30T00:00:00",35526
"2013-04-30T00:00:00","2013-05-01T00:00:00",32859
"2013-05-01T00:00:00","2013-05-02T00:00:00",31182
"2013-05-02T00:00:00","2013-05-03T00:00:00",31317
"2013-05-03T00:00:00","2013-05-04T00:00:00",28917
"2013-05-04T00:00:00","2013-05-05T00:00:00",27614
"2013-05-05T00:00:00","2013-05-06T00:00:00",30025
"2013-05-06T00:00:00","2013-05-07T00:00:00",31959
"2013-05-07T00:00:00","2013-05-08T00:00:00",33319
"2013-05-08T00:00:00","2013-05-09T00:00:00",32842
"2013-05-09T00:00:00","2013-05-10T00:00:00",32884
"2013-05-10T00:00:00","2013-05-11T00:00:00",30318
"2013-05-11T00:00:00","2013-05-12T00:00:00",27747
"2013-05-12T00:00:00","2013-05-13T00:00:00",30469
"2013-05-13T00:00:00","2013-05-14T00:00:00",32063
"2013-05-14T00:00:00","2013-05-15T00:00:00",33603
"2013-05-15T00:00:00","2013-05-16T00:00:00",32647
"2013-05-16T00:00:00","2013-05-17T00:00:00",37649
"2013-05-17T00:00:00","2013-05-18T00:00:00",33254
"2013-05-18T00:00:00","2013-05-19T00:00:00",29879
"2013-05-19T00:00:00","2013-05-20T00:00:00",33331
"2013-05-20T00:00:00","2013-05-21T00:00:00",33719
"2013-05-21T00:00:00","2013-05-22T00:00:00",33257
"2013-05-22T00:00:00","2013-05-23T00:00:00",29173
"2013-05-23T00:00:00","2013-05-24T00:00:00",31735
"2013-05-24T00:00:00","2013-05-25T00:00:00",29787
"2013-05-25T00:00:00","2013-05-26T00:00:00",29930
"2013-05-26T00:00:00","2013-05-27T00:00:00",31748
"2013-05-27T00:00:00","2013-05-28T00:00:00",33934
"2013-05-28T00:00:00","2013-05-29T00:00:00",32487
"2013-05-29T00:00:00","2013-05-30T00:00:00",32687
"2013-05-30T00:00:00","2013-05-31T00:00:00",31184
"2013-05-31T00:00:00","2013-06-01T00:00:00",30314
"2013-06-01T00:00:00","2013-06-02T00:00:00",28285
"2013-06-02T00:00:00","2013-06-03T00:00:00",29600
"2013-06-03T00:00:00","2013-06-04T00:00:00",34659
"2013-06-04T00:00:00","2013-06-05T00:00:00",34107
"2013-06-05T00:00:00","2013-06-06T00:00:00",33548
"2013-06-06T00:00:00","2013-06-07T00:00:00",31644
"2013-06-07T00:00:00","2013-06-08T00:00:00",29303
"2013-06-08T00:00:00","2013-06-09T00:00:00",27445
"2013-06-09T00:00:00","2013-06-10T00:00:00",32538
"2013-06-10T00:00:00","2013-06-11T00:00:00",35806
"2013-06-11T00:00:00","2013-06-12T00:00:00",33273
"2013-06-12T00:00:00","2013-06-13T00:00:00",34179
"2013-06-13T00:00:00","2013-06-14T00:00:00",31558
"2013-06-14T00:00:00","2013-06-15T00:00:00",31236
"2013-06-15T00:00:00","2013-06-16T00:00:00",27430
"2013-06-16T00:00:00","2013-06-17T00:00:00",30232
"2013-06-17T00:00:00","2013-06-18T00:00:00",34483
"2013-06-18T00:00:00","2013-06-19T00:00:00",32223
"2013-06-19T00:00:00","2013-06-20T00:00:00",31904
"2013-06-20T00:00:00","2013-06-21T00:00:00",32713
"2013-06-21T00:00:00","2013-06-22T00:00:00",29761
"2013-06-22T00:00:00","2013-06-23T00:00:00",30106
"2013-06-23T00:00:00","2013-06-24T00:00:00",30039
"2013-06-24T00:00:00","2013-06-25T00:00:00",33870
"2013-06-25T00:00:00","2013-06-26T00:00:00",34094
"2013-06-26T00:00:00","2013-06-27T00:00:00",55675
"2013-06-27T00:00:00","2013-06-28T00:00:00",35025
"2013-06-28T00:00:00","2013-06-29T00:00:00",31450
"2013-06-29T00:00:00","2013-06-30T00:00:00",31481
"2013-06-30T00:00:00","2013-07-01T00:00:00",29252
"2013-07-01T00:00:00","2013-07-02T00:00:00",32851
"2013-07-02T00:00:00","2013-07-03T00:00:00",33981
"2013-07-03T00:00:00","2013-07-04T00:00:00",31989
"2013-07-04T00:00:00","2013-07-05T00:00:00",31331
"2013-07-05T00:00:00","2013-07-06T00:00:00",30748
"2013-07-06T00:00:00","2013-07-07T00:00:00",31791
"2013-07-07T00:00:00","2013-07-08T00:00:00",31293
"2013-07-08T00:00:00","2013-07-09T00:00:00",33145
"2013-07-09T00:00:00","2013-07-10T00:00:00",33480
"2013-07-10T00:00:00","2013-07-11T00:00:00",33929
"2013-07-11T00:00:00","2013-07-12T00:00:00",33423
"2013-07-12T00:00:00","2013-07-13T00:00:00",32697
"2013-07-13T00:00:00","2013-07-14T00:00:00",32126
"2013-07-14T00:00:00","2013-07-15T00:00:00",65313
"2013-07-15T00:00:00","2013-07-16T00:00:00",50035
"2013-07-16T00:00:00","2013-07-17T00:00:00",42227
"2013-07-17T00:00:00","2013-07-18T00:00:00",47458
"2013-07-18T00:00:00","2013-07-19T00:00:00",43933
"2013-07-19T00:00:00","2013-07-20T00:00:00",42194
"2013-07-20T00:00:00","2013-07-21T00:00:00",37629
"2013-07-21T00:00:00","2013-07-22T00:00:00",43075
"2013-07-22T00:00:00","2013-07-23T00:00:00",40652
"2013-07-23T00:00:00","2013-07-24T00:00:00",40268
"2013-07-24T00:00:00","2013-07-25T00:00:00",37182
"2013-07-25T00:00:00","2013-07-26T00:00:00",30295
"2013-07-26T00:00:00","2013-07-27T00:00:00",29816
"2013-07-27T00:00:00","2013-07-28T00:00:00",31474
"2013-07-28T00:00:00","2013-07-29T00:00:00",33329
"2013-07-29T00:00:00","2013-07-30T00:00:00",33344
"2013-07-30T00:00:00","2013-07-31T00:00:00",30720
"2013-07-31T00:00:00","2013-08-01T00:00:00",29254
"2013-08-01T00:00:00","2013-08-02T00:00:00",29495
"2013-08-02T00:00:00","2013-08-03T00:00:00",26901
"2013-08-03T00:00:00","2013-08-04T00:00:00",26932
"2013-08-04T00:00:00","2013-08-05T00:00:00",33024
"2013-08-05T00:00:00","2013-08-06T00:00:00",33260
"2013-08-06T00:00:00","2013-08-07T00:00:00",35368
"2013-08-07T00:00:00","2013-08-08T00:00:00",34384
"2013-08-08T00:00:00","2013-08-09T00:00:00",31078
"2013-08-09T00:00:00","2013-08-10T00:00:00",30524
"2013-08-10T00:00:00","2013-08-11T00:00:00",28752
"2013-08-11T00:00:00","2013-08-12T00:00:00",34498
"2013-08-12T00:00:00","2013-08-13T00:00:00",37284
"2013-08-13T00:00:00","2013-08-14T00:00:00",35300
"2013-08-14T00:00:00","2013-08-15T00:00:00",33797
"2013-08-15T00:00:00","2013-08-16T00:00:00",30409
"2013-08-16T00:00:00","2013-08-17T00:00:00",33478
"2013-08-17T00:00:00","2013-08-18T00:00:00",31443
"2013-08-18T00:00:00","2013-08-19T00:00:00",32221
"2013-08-19T00:00:00","2013-08-20T00:00:00",35017
"2013-08-20T00:00:00","2013-08-21T00:00:00",34298
"2013-08-21T00:00:00","2013-08-22T00:00:00",36903
"2013-08-22T00:00:00","2013-08-23T00:00:00",33950
"2013-08-23T00:00:00","2013-08-24T00:00:00",29794
"2013-08-24T00:00:00","2013-08-25T00:00:00",30545
"2013-08-25T00:00:00","2013-08-26T00:00:00",33975
"2013-08-26T00:00:00","2013-08-27T00:00:00",35916
"2013-08-27T00:00:00","2013-08-28T00:00:00",34431
"2013-08-28T00:00:00","2013-08-29T00:00:00",31601
"2013-08-29T00:00:00","2013-08-30T00:00:00",31284
"2013-08-30T00:00:00","2013-08-31T00:00:00",30539
"2013-08-31T00:00:00","2013-09-01T00:00:00",29825
"2013-09-01T00:00:00","2013-09-02T00:00:00",31200
"2013-09-02T00:00:00","2013-09-03T00:00:00",35175
"2013-09-03T00:00:00","2013-09-04T00:00:00",32687
"2013-09-04T00:00:00","2013-09-05T00:00:00",33500
"2013-09-05T00:00:00","2013-09-06T00:00:00",33895
"2013-09-06T00:00:00","2013-09-07T00:00:00",33099
"2013-09-07T00:00:00","2013-09-08T00:00:00",47746
"2013-09-08T00:00:00","2013-09-09T00:00:00",35230
"2013-09-09T00:00:00","2013-09-10T00:00:00",35415
"2013-09-10T00:00:00","2013-09-11T00:00:00",32388
"2013-09-11T00:00:00","2013-09-12T00:00:00",32859
"2013-09-12T00:00:00","2013-09-13T00:00:00",30868
"2013-09-13T00:00:00","2013-09-14T00:00:00",28725
"2013-09-14T00:00:00","2013-09-15T00:00:00",29013
"2013-09-15T00:00:00","2013-09-16T00:00:00",29152
"2013-09-16T00:00:00","2013-09-17T00:00:00",35582
"2013-09-17T00:00:00","2013-09-18T00:00:00",30716
"2013-09-18T00:00:00","2013-09-19T00:00:00",30771
"2013-09-19T00:00:00","2013-09-20T00:00:00",28281
"2013-09-20T00:00:00","2013-09-21T00:00:00",29581
"2013-09-21T00:00:00","2013-09-22T00:00:00",30882
"2013-09-22T00:00:00","2013-09-23T00:00:00",30828
"2013-09-23T00:00:00","2013-09-24T00:00:00",37485
"2013-09-24T00:00:00","2013-09-25T00:00:00",34269
"2013-09-25T00:00:00","2013-09-26T00:00:00",32801
"2013-09-26T00:00:00","2013-09-27T00:00:00",34718
"2013-09-27T00:00:00","2013-09-28T00:00:00",31521
"2013-09-28T00:00:00","2013-09-29T00:00:00",33980
"2013-09-29T00:00:00","2013-09-30T00:00:00",30264
"2013-09-30T00:00:00","2013-10-01T00:00:00",34982
"2013-10-01T00:00:00","2013-10-02T00:00:00",25363
"2013-10-02T00:00:00","2013-10-03T00:00:00",26092
"2013-10-03T00:00:00","2013-10-04T00:00:00",25338
"2013-10-04T00:00:00","2013-10-05T00:00:00",24399
"2013-10-05T00:00:00","2013-10-06T00:00:00",22982
"2013-10-06T00:00:00","2013-10-07T00:00:00",26090
"2013-10-07T00:00:00","2013-10-08T00:00:00",34307
"2013-10-08T00:00:00","2013-10-09T00:00:00",25289
"2013-10-09T00:00:00","2013-10-10T00:00:00",25487
"2013-10-10T00:00:00","2013-10-11T00:00:00",25241
"2013-10-11T00:00:00","2013-10-12T00:00:00",25110
"2013-10-12T00:00:00","2013-10-13T00:00:00",20655
"2013-10-13T00:00:00","2013-10-14T00:00:00",23225
"2013-10-14T00:00:00","2013-10-15T00:00:00",23721
"2013-10-15T00:00:00","2013-10-16T00:00:00",22899
"2013-10-16T00:00:00","2013-10-17T00:00:00",23435
"2013-10-17T00:00:00","2013-10-18T00:00:00",24598
"2013-10-18T00:00:00","2013-10-19T00:00:00",22976
"2013-10-19T00:00:00","2013-10-20T00:00:00",20892
"2013-10-20T00:00:00","2013-10-21T00:00:00",21981
"2013-10-21T00:00:00","2013-10-22T00:00:00",26039
"2013-10-22T00:00:00","2013-10-23T00:00:00",24747
"2013-10-23T00:00:00","2013-10-24T00:00:00",23748
"2013-10-24T00:00:00","2013-10-25T00:00:00",23194
"2013-10-25T00:00:00","2013-10-26T00:00:00",22689
"2013-10-26T00:00:00","2013-10-27T00:00:00",22289
"2013-10-27T00:00:00","2013-10-28T00:00:00",31323
"2013-10-28T00:00:00","2013-10-29T00:00:00",25535
"2013-10-29T00:00:00","2013-10-30T00:00:00",24478
"2013-10-30T00:00:00","2013-10-31T00:00:00",30433
"2013-10-31T00:00:00","2013-11-01T00:00:00",24671
"2013-11-01T00:00:00","2013-11-02T00:00:00",21750
"2013-11-02T00:00:00","2013-11-03T00:00:00",20485
"2013-11-03T00:00:00","2013-11-04T00:00:00",25153
