startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",690278
"2013-01-02T00:00:00","2013-01-03T00:00:00",714658
"2013-01-03T00:00:00","2013-01-04T00:00:00",718692
"2013-01-04T00:00:00","2013-01-05T00:00:00",711254
"2013-01-05T00:00:00","2013-01-06T00:00:00",699859
"2013-01-06T00:00:00","2013-01-07T00:00:00",710421
"2013-01-07T00:00:00","2013-01-08T00:00:00",792310
"2013-01-08T00:00:00","2013-01-09T00:00:00",793792
"2013-01-09T00:00:00","2013-01-10T00:00:00",742757
"2013-01-10T00:00:00","2013-01-11T00:00:00",743908
"2013-01-11T00:00:00","2013-01-12T00:00:00",731882
"2013-01-12T00:00:00","2013-01-13T00:00:00",747221
"2013-01-13T00:00:00","2013-01-14T00:00:00",727844
"2013-01-14T00:00:00","2013-01-15T00:00:00",772446
"2013-01-15T00:00:00","2013-01-16T00:00:00",751625
"2013-01-16T00:00:00","2013-01-17T00:00:00",765353
"2013-01-17T00:00:00","2013-01-18T00:00:00",774947
"2013-01-18T00:00:00","2013-01-19T00:00:00",814149
"2013-01-19T00:00:00","2013-01-20T00:00:00",704340
"2013-01-20T00:00:00","2013-01-21T00:00:00",769601
"2013-01-21T00:00:00","2013-01-22T00:00:00",820925
"2013-01-22T00:00:00","2013-01-23T00:00:00",739757
"2013-01-23T00:00:00","2013-01-24T00:00:00",821179
"2013-01-24T00:00:00","2013-01-25T00:00:00",830093
"2013-01-25T00:00:00","2013-01-26T00:00:00",814166
"2013-01-26T00:00:00","2013-01-27T00:00:00",710709
"2013-01-27T00:00:00","2013-01-28T00:00:00",763689
"2013-01-28T00:00:00","2013-01-29T00:00:00",805326
"2013-01-29T00:00:00","2013-01-30T00:00:00",780150
"2013-01-30T00:00:00","2013-01-31T00:00:00",799570
"2013-01-31T00:00:00","2013-02-01T00:00:00",735492
"2013-02-01T00:00:00","2013-02-02T00:00:00",721013
"2013-02-02T00:00:00","2013-02-03T00:00:00",694112
"2013-02-03T00:00:00","2013-02-04T00:00:00",768199
"2013-02-04T00:00:00","2013-02-05T00:00:00",699889
"2013-02-05T00:00:00","2013-02-06T00:00:00",702726
"2013-02-06T00:00:00","2013-02-07T00:00:00",701781
"2013-02-07T00:00:00","2013-02-08T00:00:00",687806
"2013-02-08T00:00:00","2013-02-09T00:00:00",676234
"2013-02-09T00:00:00","2013-02-10T00:00:00",653820
"2013-02-10T00:00:00","2013-02-11T00:00:00",719510
"2013-02-11T00:00:00","2013-02-12T00:00:00",742187
"2013-02-12T00:00:00","2013-02-13T00:00:00",734037
"2013-02-13T00:00:00","2013-02-14T00:00:00",734949
"2013-02-14T00:00:00","2013-02-15T00:00:00",740591
"2013-02-15T00:00:00","2013-02-16T00:00:00",678556
"2013-02-16T00:00:00","2013-02-17T00:00:00",664705
"2013-02-17T00:00:00","2013-02-18T00:00:00",688895
"2013-02-18T00:00:00","2013-02-19T00:00:00",723332
"2013-02-19T00:00:00","2013-02-20T00:00:00",715785
"2013-02-20T00:00:00","2013-02-21T00:00:00",709278
"2013-02-21T00:00:00","2013-02-22T00:00:00",708598
"2013-02-22T00:00:00","2013-02-23T00:00:00",699245
"2013-02-23T00:00:00","2013-02-24T00:00:00",700232
"2013-02-24T00:00:00","2013-02-25T00:00:00",718609
"2013-02-25T00:00:00","2013-02-26T00:00:00",744586
"2013-02-26T00:00:00","2013-02-27T00:00:00",705369
"2013-02-27T00:00:00","2013-02-28T00:00:00",692465
"2013-02-28T00:00:00","2013-03-01T00:00:00",685711
"2013-03-01T00:00:00","2013-03-02T00:00:00",695946
"2013-03-02T00:00:00","2013-03-03T00:00:00",694500
"2013-03-03T00:00:00","2013-03-04T00:00:00",739971
"2013-03-04T00:00:00","2013-03-05T00:00:00",747012
"2013-03-05T00:00:00","2013-03-06T00:00:00",730176
"2013-03-06T00:00:00","2013-03-07T00:00:00",773470
"2013-03-07T00:00:00","2013-03-08T00:00:00",749867
"2013-03-08T00:00:00","2013-03-09T00:00:00",699869
"2013-03-09T00:00:00","2013-03-10T00:00:00",688411
"2013-03-10T00:00:00","2013-03-11T00:00:00",722702
"2013-03-11T00:00:00","2013-03-12T00:00:00",760014
"2013-03-12T00:00:00","2013-03-13T00:00:00",640091
"2013-03-13T00:00:00","2013-03-14T00:00:00",642459
"2013-03-14T00:00:00","2013-03-15T00:00:00",659343
"2013-03-15T00:00:00","2013-03-16T00:00:00",626916
"2013-03-16T00:00:00","2013-03-17T00:00:00",595331
"2013-03-17T00:00:00","2013-03-18T00:00:00",631157
"2013-03-18T00:00:00","2013-03-19T00:00:00",652115
"2013-03-19T00:00:00","2013-03-20T00:00:00",629765
"2013-03-20T00:00:00","2013-03-21T00:00:00",649494
"2013-03-21T00:00:00","2013-03-22T00:00:00",741103
"2013-03-22T00:00:00","2013-03-23T00:00:00",653358
"2013-03-23T00:00:00","2013-03-24T00:00:00",597700
"2013-03-24T00:00:00","2013-03-25T00:00:00",661055
"2013-03-25T00:00:00","2013-03-26T00:00:00",686668
"2013-03-26T00:00:00","2013-03-27T00:00:00",665421
"2013-03-27T00:00:00","2013-03-28T00:00:00",643011
"2013-03-28T00:00:00","2013-03-29T00:00:00",624848
"2013-03-29T00:00:00","2013-03-30T00:00:00",597954
"2013-03-30T00:00:00","2013-03-31T00:00:00",593265
"2013-03-31T00:00:00","2013-04-01T00:00:00",594678
"2013-04-01T00:00:00","2013-04-02T00:00:00",684622
"2013-04-02T00:00:00","2013-04-03T00:00:00",670757
"2013-04-03T00:00:00","2013-04-04T00:00:00",663795
"2013-04-04T00:00:00","2013-04-05T00:00:00",668881
"2013-04-05T00:00:00","2013-04-06T00:00:00",650727
"2013-04-06T00:00:00","2013-04-07T00:00:00",617272
"2013-04-07T00:00:00","2013-04-08T00:00:00",713335
"2013-04-08T00:00:00","2013-04-09T00:00:00",732372
"2013-04-09T00:00:00","2013-04-10T00:00:00",689518
"2013-04-10T00:00:00","2013-04-11T00:00:00",687828
"2013-04-11T00:00:00","2013-04-12T00:00:00",652520
"2013-04-12T00:00:00","2013-04-13T00:00:00",655809
"2013-04-13T00:00:00","2013-04-14T00:00:00",602922
"2013-04-14T00:00:00","2013-04-15T00:00:00",610893
"2013-04-15T00:00:00","2013-04-16T00:00:00",688359
"2013-04-16T00:00:00","2013-04-17T00:00:00",646120
"2013-04-17T00:00:00","2013-04-18T00:00:00",649432
"2013-04-18T00:00:00","2013-04-19T00:00:00",658144
"2013-04-19T00:00:00","2013-04-20T00:00:00",661668
"2013-04-20T00:00:00","2013-04-21T00:00:00",587995
"2013-04-21T00:00:00","2013-04-22T00:00:00",626295
"2013-04-22T00:00:00","2013-04-23T00:00:00",665566
"2013-04-23T00:00:00","2013-04-24T00:00:00",655719
"2013-04-24T00:00:00","2013-04-25T00:00:00",664727
"2013-04-25T00:00:00","2013-04-26T00:00:00",639530
"2013-04-26T00:00:00","2013-04-27T00:00:00",630242
"2013-04-27T00:00:00","2013-04-28T00:00:00",588800
"2013-04-28T00:00:00","2013-04-29T00:00:00",634193
"2013-04-29T00:00:00","2013-04-30T00:00:00",676923
"2013-04-30T00:00:00","2013-05-01T00:00:00",648964
"2013-05-01T00:00:00","2013-05-02T00:00:00",636103
"2013-05-02T00:00:00","2013-05-03T00:00:00",624195
"2013-05-03T00:00:00","2013-05-04T00:00:00",592805
"2013-05-04T00:00:00","2013-05-05T00:00:00",562243
"2013-05-05T00:00:00","2013-05-06T00:00:00",583258
"2013-05-06T00:00:00","2013-05-07T00:00:00",633775
"2013-05-07T00:00:00","2013-05-08T00:00:00",630926
"2013-05-08T00:00:00","2013-05-09T00:00:00",644958
"2013-05-09T00:00:00","2013-05-10T00:00:00",638867
"2013-05-10T00:00:00","2013-05-11T00:00:00",593404
"2013-05-11T00:00:00","2013-05-12T00:00:00",557294
"2013-05-12T00:00:00","2013-05-13T00:00:00",582314
"2013-05-13T00:00:00","2013-05-14T00:00:00",625242
"2013-05-14T00:00:00","2013-05-15T00:00:00",649942
"2013-05-15T00:00:00","2013-05-16T00:00:00",610815
"2013-05-16T00:00:00","2013-05-17T00:00:00",701446
"2013-05-17T00:00:00","2013-05-18T00:00:00",625672
"2013-05-18T00:00:00","2013-05-19T00:00:00",576427
"2013-05-19T00:00:00","2013-05-20T00:00:00",643627
"2013-05-20T00:00:00","2013-05-21T00:00:00",645713
"2013-05-21T00:00:00","2013-05-22T00:00:00",604264
"2013-05-22T00:00:00","2013-05-23T00:00:00",568934
"2013-05-23T00:00:00","2013-05-24T00:00:00",602230
"2013-05-24T00:00:00","2013-05-25T00:00:00",587014
"2013-05-25T00:00:00","2013-05-26T00:00:00",609801
"2013-05-26T00:00:00","2013-05-27T00:00:00",604511
"2013-05-27T00:00:00","2013-05-28T00:00:00",637957
"2013-05-28T00:00:00","2013-05-29T00:00:00",623532
"2013-05-29T00:00:00","2013-05-30T00:00:00",630614
"2013-05-30T00:00:00","2013-05-31T00:00:00",626121
"2013-05-31T00:00:00","2013-06-01T00:00:00",615621
"2013-06-01T00:00:00","2013-06-02T00:00:00",568751
"2013-06-02T00:00:00","2013-06-03T00:00:00",579944
"2013-06-03T00:00:00","2013-06-04T00:00:00",643205
"2013-06-04T00:00:00","2013-06-05T00:00:00",628064
"2013-06-05T00:00:00","2013-06-06T00:00:00",660743
"2013-06-06T00:00:00","2013-06-07T00:00:00",618537
"2013-06-07T00:00:00","2013-06-08T00:00:00",604803
"2013-06-08T00:00:00","2013-06-09T00:00:00",548408
"2013-06-09T00:00:00","2013-06-10T00:00:00",607051
"2013-06-10T00:00:00","2013-06-11T00:00:00",659099
"2013-06-11T00:00:00","2013-06-12T00:00:00",649177
"2013-06-12T00:00:00","2013-06-13T00:00:00",640927
"2013-06-13T00:00:00","2013-06-14T00:00:00",614719
"2013-06-14T00:00:00","2013-06-15T00:00:00",618225
"2013-06-15T00:00:00","2013-06-16T00:00:00",556082
"2013-06-16T00:00:00","2013-06-17T00:00:00",614904
"2013-06-17T00:00:00","2013-06-18T00:00:00",666144
"2013-06-18T00:00:00","2013-06-19T00:00:00",664506
"2013-06-19T00:00:00","2013-06-20T00:00:00",629346
"2013-06-20T00:00:00","2013-06-21T00:00:00",626898
"2013-06-21T00:00:00","2013-06-22T00:00:00",605041
"2013-06-22T00:00:00","2013-06-23T00:00:00",571655
"2013-06-23T00:00:00","2013-06-24T00:00:00",585562
"2013-06-24T00:00:00","2013-06-25T00:00:00",654358
"2013-06-25T00:00:00","2013-06-26T00:00:00",675827
"2013-06-26T00:00:00","2013-06-27T00:00:00",906545
"2013-06-27T00:00:00","2013-06-28T00:00:00",664224
"2013-06-28T00:00:00","2013-06-29T00:00:00",644823
"2013-06-29T00:00:00","2013-06-30T00:00:00",616639
"2013-06-30T00:00:00","2013-07-01T00:00:00",591752
"2013-07-01T00:00:00","2013-07-02T00:00:00",647934
"2013-07-02T00:00:00","2013-07-03T00:00:00",682803
"2013-07-03T00:00:00","2013-07-04T00:00:00",658232
"2013-07-04T00:00:00","2013-07-05T00:00:00",664607
"2013-07-05T00:00:00","2013-07-06T00:00:00",642970
"2013-07-06T00:00:00","2013-07-07T00:00:00",623195
"2013-07-07T00:00:00","2013-07-08T00:00:00",629733
"2013-07-08T00:00:00","2013-07-09T00:00:00",679128
"2013-07-09T00:00:00","2013-07-10T00:00:00",677453
"2013-07-10T00:00:00","2013-07-11T00:00:00",714977
"2013-07-11T00:00:00","2013-07-12T00:00:00",719132
"2013-07-12T00:00:00","2013-07-13T00:00:00",668065
"2013-07-13T00:00:00","2013-07-14T00:00:00",643426
"2013-07-14T00:00:00","2013-07-15T00:00:00",756501
"2013-07-15T00:00:00","2013-07-16T00:00:00",708184
"2013-07-16T00:00:00","2013-07-17T00:00:00",673378
"2013-07-17T00:00:00","2013-07-18T00:00:00",704491
"2013-07-18T00:00:00","2013-07-19T00:00:00",673929
"2013-07-19T00:00:00","2013-07-20T00:00:00",682144
"2013-07-20T00:00:00","2013-07-21T00:00:00",633633
"2013-07-21T00:00:00","2013-07-22T00:00:00",678830
"2013-07-22T00:00:00","2013-07-23T00:00:00",679351
"2013-07-23T00:00:00","2013-07-24T00:00:00",650302
"2013-07-24T00:00:00","2013-07-25T00:00:00",635795
"2013-07-25T00:00:00","2013-07-26T00:00:00",587007
"2013-07-26T00:00:00","2013-07-27T00:00:00",610801
"2013-07-27T00:00:00","2013-07-28T00:00:00",573983
"2013-07-28T00:00:00","2013-07-29T00:00:00",614354
"2013-07-29T00:00:00","2013-07-30T00:00:00",659712
"2013-07-30T00:00:00","2013-07-31T00:00:00",607507
"2013-07-31T00:00:00","2013-08-01T00:00:00",598417
"2013-08-01T00:00:00","2013-08-02T00:00:00",594752
"2013-08-02T00:00:00","2013-08-03T00:00:00",556331
"2013-08-03T00:00:00","2013-08-04T00:00:00",545306
"2013-08-04T00:00:00","2013-08-05T00:00:00",621748
