"date","unique_authors"
2019-01-01,"65882"
2019-01-02,"69078"
2019-01-03,"66879"
2019-01-04,"63370"
2019-01-05,"64337"
2019-01-06,"72983"
2019-01-07,"72448"
2019-01-08,"74043"
2019-01-09,"73868"
2019-01-10,"70933"
2019-01-11,"62787"
2019-01-12,"64848"
2019-01-13,"75373"
2019-01-14,"75246"
2019-01-15,"75899"
2019-01-16,"78947"
2019-01-17,"75484"
2019-01-18,"64012"
2019-01-19,"66207"
2019-01-20,"78196"
2019-01-21,"75899"
2019-01-22,"78930"
2019-01-23,"81297"
2019-01-24,"79576"
2019-01-25,"68632"
2019-01-26,"66122"
2019-01-27,"71732"
2019-01-28,"77800"
2019-01-29,"79034"
2019-01-30,"80249"
2019-01-31,"76168"
2019-02-01,"67195"
2019-02-02,"71220"
2019-02-03,"79311"
2019-02-04,"79197"
2019-02-05,"78897"
2019-02-06,"80972"
2019-02-07,"76872"
2019-02-08,"66888"
2019-02-09,"67721"
2019-02-10,"80216"
2019-02-11,"79600"
2019-02-12,"80075"
2019-02-13,"81782"
2019-02-14,"75611"
2019-02-15,"64998"
2019-02-16,"68407"
2019-02-17,"76361"
2019-02-18,"79037"
2019-02-19,"79186"
2019-02-20,"81707"
2019-02-21,"79264"
2019-02-22,"65774"
2019-02-23,"67973"
2019-02-24,"77659"
2019-02-25,"81697"
2019-02-26,"83658"
2019-02-27,"84265"
2019-02-28,"79108"
2019-03-01,"68394"
2019-03-02,"70211"
2019-03-03,"81804"
2019-03-04,"80997"
2019-03-05,"82238"
2019-03-06,"83525"
2019-03-07,"85716"
2019-03-08,"66580"
2019-03-09,"65976"
2019-03-10,"74356"
2019-03-11,"78586"
2019-03-12,"81418"
2019-03-13,"83033"
2019-03-14,"86117"
2019-03-15,"70238"
2019-03-16,"71073"
2019-03-17,"78750"
2019-03-18,"81196"
2019-03-19,"82997"
2019-03-20,"85704"
2019-03-21,"80561"
2019-03-22,"70658"
2019-03-23,"69307"
2019-03-24,"78480"
2019-03-25,"79857"
2019-03-26,"80222"
2019-03-27,"82191"
2019-03-28,"78896"
2019-03-29,"65418"
2019-03-30,"67675"
2019-03-31,"77517"
2019-04-01,"80181"
2019-04-02,"82360"
2019-04-03,"81733"
2019-04-04,"79728"
2019-04-05,"65768"
2019-04-06,"67184"
2019-04-07,"77593"
2019-04-08,"79828"
2019-04-09,"82254"
2019-04-10,"82750"
2019-04-11,"77175"
2019-04-12,"69269"
2019-04-13,"66523"
2019-04-14,"77072"
2019-04-15,"77575"
2019-04-16,"79691"
2019-04-17,"77880"
2019-04-18,"65336"
2019-04-19,"63373"
2019-04-20,"64265"
2019-04-21,"67267"
2019-04-22,"74263"
2019-04-23,"78356"
2019-04-24,"73596"
2019-04-25,"75411"
2019-04-26,"64513"
2019-04-27,"68194"
2019-04-28,"77227"
2019-04-29,"78393"
2019-04-30,"79491"
2019-05-01,"78965"
2019-05-02,"78065"
2019-05-03,"66335"
2019-05-04,"66431"
2019-05-05,"74857"
2019-05-06,"77787"
2019-05-07,"81214"
2019-05-08,"78329"
2019-05-09,"78822"
