startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",544
"2013-01-02T00:00:00","2013-01-03T00:00:00",520
"2013-01-03T00:00:00","2013-01-04T00:00:00",563
"2013-01-04T00:00:00","2013-01-05T00:00:00",464
"2013-01-05T00:00:00","2013-01-06T00:00:00",489
"2013-01-06T00:00:00","2013-01-07T00:00:00",577
"2013-01-07T00:00:00","2013-01-08T00:00:00",638
"2013-01-08T00:00:00","2013-01-09T00:00:00",634
"2013-01-09T00:00:00","2013-01-10T00:00:00",564
"2013-01-10T00:00:00","2013-01-11T00:00:00",567
"2013-01-11T00:00:00","2013-01-12T00:00:00",524
"2013-01-12T00:00:00","2013-01-13T00:00:00",472
"2013-01-13T00:00:00","2013-01-14T00:00:00",605
"2013-01-14T00:00:00","2013-01-15T00:00:00",562
"2013-01-15T00:00:00","2013-01-16T00:00:00",525
"2013-01-16T00:00:00","2013-01-17T00:00:00",557
"2013-01-17T00:00:00","2013-01-18T00:00:00",482
"2013-01-18T00:00:00","2013-01-19T00:00:00",478
"2013-01-19T00:00:00","2013-01-20T00:00:00",459
"2013-01-20T00:00:00","2013-01-21T00:00:00",675
"2013-01-21T00:00:00","2013-01-22T00:00:00",572
"2013-01-22T00:00:00","2013-01-23T00:00:00",547
"2013-01-23T00:00:00","2013-01-24T00:00:00",593
"2013-01-24T00:00:00","2013-01-25T00:00:00",506
"2013-01-25T00:00:00","2013-01-26T00:00:00",520
"2013-01-26T00:00:00","2013-01-27T00:00:00",428
"2013-01-27T00:00:00","2013-01-28T00:00:00",540
"2013-01-28T00:00:00","2013-01-29T00:00:00",514
"2013-01-29T00:00:00","2013-01-30T00:00:00",539
"2013-01-30T00:00:00","2013-01-31T00:00:00",515
"2013-01-31T00:00:00","2013-02-01T00:00:00",501
"2013-02-01T00:00:00","2013-02-02T00:00:00",518
"2013-02-02T00:00:00","2013-02-03T00:00:00",430
"2013-02-03T00:00:00","2013-02-04T00:00:00",442
"2013-02-04T00:00:00","2013-02-05T00:00:00",531
"2013-02-05T00:00:00","2013-02-06T00:00:00",515
"2013-02-06T00:00:00","2013-02-07T00:00:00",575
"2013-02-07T00:00:00","2013-02-08T00:00:00",497
"2013-02-08T00:00:00","2013-02-09T00:00:00",463
"2013-02-09T00:00:00","2013-02-10T00:00:00",437
"2013-02-10T00:00:00","2013-02-11T00:00:00",491
"2013-02-11T00:00:00","2013-02-12T00:00:00",553
"2013-02-12T00:00:00","2013-02-13T00:00:00",495
"2013-02-13T00:00:00","2013-02-14T00:00:00",521
"2013-02-14T00:00:00","2013-02-15T00:00:00",516
"2013-02-15T00:00:00","2013-02-16T00:00:00",536
"2013-02-16T00:00:00","2013-02-17T00:00:00",526
"2013-02-17T00:00:00","2013-02-18T00:00:00",534
"2013-02-18T00:00:00","2013-02-19T00:00:00",532
"2013-02-19T00:00:00","2013-02-20T00:00:00",515
"2013-02-20T00:00:00","2013-02-21T00:00:00",571
"2013-02-21T00:00:00","2013-02-22T00:00:00",501
"2013-02-22T00:00:00","2013-02-23T00:00:00",560
"2013-02-23T00:00:00","2013-02-24T00:00:00",481
"2013-02-24T00:00:00","2013-02-25T00:00:00",489
"2013-02-25T00:00:00","2013-02-26T00:00:00",516
"2013-02-26T00:00:00","2013-02-27T00:00:00",465
"2013-02-27T00:00:00","2013-02-28T00:00:00",461
"2013-02-28T00:00:00","2013-03-01T00:00:00",478
"2013-03-01T00:00:00","2013-03-02T00:00:00",463
"2013-03-02T00:00:00","2013-03-03T00:00:00",499
"2013-03-03T00:00:00","2013-03-04T00:00:00",603
"2013-03-04T00:00:00","2013-03-05T00:00:00",467
"2013-03-05T00:00:00","2013-03-06T00:00:00",533
"2013-03-06T00:00:00","2013-03-07T00:00:00",501
"2013-03-07T00:00:00","2013-03-08T00:00:00",503
"2013-03-08T00:00:00","2013-03-09T00:00:00",507
"2013-03-09T00:00:00","2013-03-10T00:00:00",529
"2013-03-10T00:00:00","2013-03-11T00:00:00",580
"2013-03-11T00:00:00","2013-03-12T00:00:00",480
"2013-03-12T00:00:00","2013-03-13T00:00:00",319
"2013-03-13T00:00:00","2013-03-14T00:00:00",347
"2013-03-14T00:00:00","2013-03-15T00:00:00",281
"2013-03-15T00:00:00","2013-03-16T00:00:00",319
"2013-03-16T00:00:00","2013-03-17T00:00:00",331
"2013-03-17T00:00:00","2013-03-18T00:00:00",238
"2013-03-18T00:00:00","2013-03-19T00:00:00",335
"2013-03-19T00:00:00","2013-03-20T00:00:00",304
"2013-03-20T00:00:00","2013-03-21T00:00:00",298
"2013-03-21T00:00:00","2013-03-22T00:00:00",314
"2013-03-22T00:00:00","2013-03-23T00:00:00",327
"2013-03-23T00:00:00","2013-03-24T00:00:00",229
"2013-03-24T00:00:00","2013-03-25T00:00:00",257
"2013-03-25T00:00:00","2013-03-26T00:00:00",272
"2013-03-26T00:00:00","2013-03-27T00:00:00",388
"2013-03-27T00:00:00","2013-03-28T00:00:00",339
"2013-03-28T00:00:00","2013-03-29T00:00:00",293
"2013-03-29T00:00:00","2013-03-30T00:00:00",256
"2013-03-30T00:00:00","2013-03-31T00:00:00",243
"2013-03-31T00:00:00","2013-04-01T00:00:00",215
"2013-04-01T00:00:00","2013-04-02T00:00:00",196
"2013-04-02T00:00:00","2013-04-03T00:00:00",285
"2013-04-03T00:00:00","2013-04-04T00:00:00",271
"2013-04-04T00:00:00","2013-04-05T00:00:00",290
"2013-04-05T00:00:00","2013-04-06T00:00:00",305
"2013-04-06T00:00:00","2013-04-07T00:00:00",226
