startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",3782
"2013-01-02T00:00:00","2013-01-03T00:00:00",3988
"2013-01-03T00:00:00","2013-01-04T00:00:00",4132
"2013-01-04T00:00:00","2013-01-05T00:00:00",4125
"2013-01-05T00:00:00","2013-01-06T00:00:00",3426
"2013-01-06T00:00:00","2013-01-07T00:00:00",4127
"2013-01-07T00:00:00","2013-01-08T00:00:00",4697
"2013-01-08T00:00:00","2013-01-09T00:00:00",4730
"2013-01-09T00:00:00","2013-01-10T00:00:00",4346
"2013-01-10T00:00:00","2013-01-11T00:00:00",4662
"2013-01-11T00:00:00","2013-01-12T00:00:00",4504
"2013-01-12T00:00:00","2013-01-13T00:00:00",4001
"2013-01-13T00:00:00","2013-01-14T00:00:00",4405
"2013-01-14T00:00:00","2013-01-15T00:00:00",4958
"2013-01-15T00:00:00","2013-01-16T00:00:00",4688
"2013-01-16T00:00:00","2013-01-17T00:00:00",4639
"2013-01-17T00:00:00","2013-01-18T00:00:00",4401
"2013-01-18T00:00:00","2013-01-19T00:00:00",4327
"2013-01-19T00:00:00","2013-01-20T00:00:00",3614
"2013-01-20T00:00:00","2013-01-21T00:00:00",5461
"2013-01-21T00:00:00","2013-01-22T00:00:00",4669
"2013-01-22T00:00:00","2013-01-23T00:00:00",4392
"2013-01-23T00:00:00","2013-01-24T00:00:00",4667
"2013-01-24T00:00:00","2013-01-25T00:00:00",4448
"2013-01-25T00:00:00","2013-01-26T00:00:00",4560
"2013-01-26T00:00:00","2013-01-27T00:00:00",3400
"2013-01-27T00:00:00","2013-01-28T00:00:00",4011
"2013-01-28T00:00:00","2013-01-29T00:00:00",4352
"2013-01-29T00:00:00","2013-01-30T00:00:00",4475
"2013-01-30T00:00:00","2013-01-31T00:00:00",4628
"2013-01-31T00:00:00","2013-02-01T00:00:00",3875
"2013-02-01T00:00:00","2013-02-02T00:00:00",4714
"2013-02-02T00:00:00","2013-02-03T00:00:00",3772
"2013-02-03T00:00:00","2013-02-04T00:00:00",4278
"2013-02-04T00:00:00","2013-02-05T00:00:00",4805
"2013-02-05T00:00:00","2013-02-06T00:00:00",4281
"2013-02-06T00:00:00","2013-02-07T00:00:00",4374
"2013-02-07T00:00:00","2013-02-08T00:00:00",4461
"2013-02-08T00:00:00","2013-02-09T00:00:00",4191
"2013-02-09T00:00:00","2013-02-10T00:00:00",3564
"2013-02-10T00:00:00","2013-02-11T00:00:00",3920
"2013-02-11T00:00:00","2013-02-12T00:00:00",4719
"2013-02-12T00:00:00","2013-02-13T00:00:00",4458
"2013-02-13T00:00:00","2013-02-14T00:00:00",4405
"2013-02-14T00:00:00","2013-02-15T00:00:00",4387
"2013-02-15T00:00:00","2013-02-16T00:00:00",4553
"2013-02-16T00:00:00","2013-02-17T00:00:00",3577
"2013-02-17T00:00:00","2013-02-18T00:00:00",4328
"2013-02-18T00:00:00","2013-02-19T00:00:00",4794
"2013-02-19T00:00:00","2013-02-20T00:00:00",4507
"2013-02-20T00:00:00","2013-02-21T00:00:00",4778
"2013-02-21T00:00:00","2013-02-22T00:00:00",4886
"2013-02-22T00:00:00","2013-02-23T00:00:00",4800
"2013-02-23T00:00:00","2013-02-24T00:00:00",3924
"2013-02-24T00:00:00","2013-02-25T00:00:00",4473
"2013-02-25T00:00:00","2013-02-26T00:00:00",5384
"2013-02-26T00:00:00","2013-02-27T00:00:00",4763
"2013-02-27T00:00:00","2013-02-28T00:00:00",4608
"2013-02-28T00:00:00","2013-03-01T00:00:00",4502
"2013-03-01T00:00:00","2013-03-02T00:00:00",4610
"2013-03-02T00:00:00","2013-03-03T00:00:00",3544
"2013-03-03T00:00:00","2013-03-04T00:00:00",5479
"2013-03-04T00:00:00","2013-03-05T00:00:00",5017
"2013-03-05T00:00:00","2013-03-06T00:00:00",4736
"2013-03-06T00:00:00","2013-03-07T00:00:00",4762
"2013-03-07T00:00:00","2013-03-08T00:00:00",4788
"2013-03-08T00:00:00","2013-03-09T00:00:00",4770
"2013-03-09T00:00:00","2013-03-10T00:00:00",4052
"2013-03-10T00:00:00","2013-03-11T00:00:00",4296
