startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",566
"2013-01-02T00:00:00","2013-01-03T00:00:00",758
"2013-01-03T00:00:00","2013-01-04T00:00:00",785
"2013-01-04T00:00:00","2013-01-05T00:00:00",794
"2013-01-05T00:00:00","2013-01-06T00:00:00",663
"2013-01-06T00:00:00","2013-01-07T00:00:00",706
"2013-01-07T00:00:00","2013-01-08T00:00:00",830
"2013-01-08T00:00:00","2013-01-09T00:00:00",801
"2013-01-09T00:00:00","2013-01-10T00:00:00",700
"2013-01-10T00:00:00","2013-01-11T00:00:00",792
"2013-01-11T00:00:00","2013-01-12T00:00:00",772
"2013-01-12T00:00:00","2013-01-13T00:00:00",773
"2013-01-13T00:00:00","2013-01-14T00:00:00",765
"2013-01-14T00:00:00","2013-01-15T00:00:00",747
"2013-01-15T00:00:00","2013-01-16T00:00:00",763
"2013-01-16T00:00:00","2013-01-17T00:00:00",794
"2013-01-17T00:00:00","2013-01-18T00:00:00",772
"2013-01-18T00:00:00","2013-01-19T00:00:00",708
"2013-01-19T00:00:00","2013-01-20T00:00:00",703
"2013-01-20T00:00:00","2013-01-21T00:00:00",986
"2013-01-21T00:00:00","2013-01-22T00:00:00",750
"2013-01-22T00:00:00","2013-01-23T00:00:00",746
"2013-01-23T00:00:00","2013-01-24T00:00:00",707
"2013-01-24T00:00:00","2013-01-25T00:00:00",699
"2013-01-25T00:00:00","2013-01-26T00:00:00",712
"2013-01-26T00:00:00","2013-01-27T00:00:00",570
"2013-01-27T00:00:00","2013-01-28T00:00:00",676
"2013-01-28T00:00:00","2013-01-29T00:00:00",645
"2013-01-29T00:00:00","2013-01-30T00:00:00",779
"2013-01-30T00:00:00","2013-01-31T00:00:00",698
"2013-01-31T00:00:00","2013-02-01T00:00:00",729
"2013-02-01T00:00:00","2013-02-02T00:00:00",755
"2013-02-02T00:00:00","2013-02-03T00:00:00",635
"2013-02-03T00:00:00","2013-02-04T00:00:00",694
"2013-02-04T00:00:00","2013-02-05T00:00:00",731
"2013-02-05T00:00:00","2013-02-06T00:00:00",675
"2013-02-06T00:00:00","2013-02-07T00:00:00",704
"2013-02-07T00:00:00","2013-02-08T00:00:00",687
"2013-02-08T00:00:00","2013-02-09T00:00:00",757
"2013-02-09T00:00:00","2013-02-10T00:00:00",578
"2013-02-10T00:00:00","2013-02-11T00:00:00",765
"2013-02-11T00:00:00","2013-02-12T00:00:00",1101
"2013-02-12T00:00:00","2013-02-13T00:00:00",779
"2013-02-13T00:00:00","2013-02-14T00:00:00",732
"2013-02-14T00:00:00","2013-02-15T00:00:00",788
"2013-02-15T00:00:00","2013-02-16T00:00:00",759
"2013-02-16T00:00:00","2013-02-17T00:00:00",590
"2013-02-17T00:00:00","2013-02-18T00:00:00",739
"2013-02-18T00:00:00","2013-02-19T00:00:00",896
"2013-02-19T00:00:00","2013-02-20T00:00:00",750
"2013-02-20T00:00:00","2013-02-21T00:00:00",752
"2013-02-21T00:00:00","2013-02-22T00:00:00",771
"2013-02-22T00:00:00","2013-02-23T00:00:00",785
"2013-02-23T00:00:00","2013-02-24T00:00:00",740
"2013-02-24T00:00:00","2013-02-25T00:00:00",870
"2013-02-25T00:00:00","2013-02-26T00:00:00",896
"2013-02-26T00:00:00","2013-02-27T00:00:00",791
"2013-02-27T00:00:00","2013-02-28T00:00:00",769
"2013-02-28T00:00:00","2013-03-01T00:00:00",755
"2013-03-01T00:00:00","2013-03-02T00:00:00",697
"2013-03-02T00:00:00","2013-03-03T00:00:00",565
"2013-03-03T00:00:00","2013-03-04T00:00:00",1000
"2013-03-04T00:00:00","2013-03-05T00:00:00",854
"2013-03-05T00:00:00","2013-03-06T00:00:00",686
"2013-03-06T00:00:00","2013-03-07T00:00:00",695
"2013-03-07T00:00:00","2013-03-08T00:00:00",756
"2013-03-08T00:00:00","2013-03-09T00:00:00",686
"2013-03-09T00:00:00","2013-03-10T00:00:00",682
"2013-03-10T00:00:00","2013-03-11T00:00:00",743
"2013-03-11T00:00:00","2013-03-12T00:00:00",750
"2013-03-12T00:00:00","2013-03-13T00:00:00",693
"2013-03-13T00:00:00","2013-03-14T00:00:00",724
"2013-03-14T00:00:00","2013-03-15T00:00:00",728
"2013-03-15T00:00:00","2013-03-16T00:00:00",696
"2013-03-16T00:00:00","2013-03-17T00:00:00",650
"2013-03-17T00:00:00","2013-03-18T00:00:00",559
"2013-03-18T00:00:00","2013-03-19T00:00:00",658
"2013-03-19T00:00:00","2013-03-20T00:00:00",769
"2013-03-20T00:00:00","2013-03-21T00:00:00",630
"2013-03-21T00:00:00","2013-03-22T00:00:00",664
"2013-03-22T00:00:00","2013-03-23T00:00:00",790
"2013-03-23T00:00:00","2013-03-24T00:00:00",512
"2013-03-24T00:00:00","2013-03-25T00:00:00",585
"2013-03-25T00:00:00","2013-03-26T00:00:00",635
"2013-03-26T00:00:00","2013-03-27T00:00:00",768
"2013-03-27T00:00:00","2013-03-28T00:00:00",692
"2013-03-28T00:00:00","2013-03-29T00:00:00",674
"2013-03-29T00:00:00","2013-03-30T00:00:00",676
"2013-03-30T00:00:00","2013-03-31T00:00:00",530
"2013-03-31T00:00:00","2013-04-01T00:00:00",565
"2013-04-01T00:00:00","2013-04-02T00:00:00",533
"2013-04-02T00:00:00","2013-04-03T00:00:00",816
"2013-04-03T00:00:00","2013-04-04T00:00:00",747
"2013-04-04T00:00:00","2013-04-05T00:00:00",737
"2013-04-05T00:00:00","2013-04-06T00:00:00",764
"2013-04-06T00:00:00","2013-04-07T00:00:00",591
"2013-04-07T00:00:00","2013-04-08T00:00:00",603
"2013-04-08T00:00:00","2013-04-09T00:00:00",673
"2013-04-09T00:00:00","2013-04-10T00:00:00",811
"2013-04-10T00:00:00","2013-04-11T00:00:00",698
"2013-04-11T00:00:00","2013-04-12T00:00:00",621
"2013-04-12T00:00:00","2013-04-13T00:00:00",691
"2013-04-13T00:00:00","2013-04-14T00:00:00",495
"2013-04-14T00:00:00","2013-04-15T00:00:00",544
"2013-04-15T00:00:00","2013-04-16T00:00:00",659
"2013-04-16T00:00:00","2013-04-17T00:00:00",785
"2013-04-17T00:00:00","2013-04-18T00:00:00",704
"2013-04-18T00:00:00","2013-04-19T00:00:00",654
"2013-04-19T00:00:00","2013-04-20T00:00:00",675
"2013-04-20T00:00:00","2013-04-21T00:00:00",485
"2013-04-21T00:00:00","2013-04-22T00:00:00",542
"2013-04-22T00:00:00","2013-04-23T00:00:00",736
"2013-04-23T00:00:00","2013-04-24T00:00:00",724
"2013-04-24T00:00:00","2013-04-25T00:00:00",749
"2013-04-25T00:00:00","2013-04-26T00:00:00",635
"2013-04-26T00:00:00","2013-04-27T00:00:00",618
"2013-04-27T00:00:00","2013-04-28T00:00:00",605
"2013-04-28T00:00:00","2013-04-29T00:00:00",728
"2013-04-29T00:00:00","2013-04-30T00:00:00",714
"2013-04-30T00:00:00","2013-05-01T00:00:00",668
"2013-05-01T00:00:00","2013-05-02T00:00:00",564
"2013-05-02T00:00:00","2013-05-03T00:00:00",706
"2013-05-03T00:00:00","2013-05-04T00:00:00",721
"2013-05-04T00:00:00","2013-05-05T00:00:00",515
"2013-05-05T00:00:00","2013-05-06T00:00:00",774
"2013-05-06T00:00:00","2013-05-07T00:00:00",773
"2013-05-07T00:00:00","2013-05-08T00:00:00",827
"2013-05-08T00:00:00","2013-05-09T00:00:00",719
"2013-05-09T00:00:00","2013-05-10T00:00:00",560
"2013-05-10T00:00:00","2013-05-11T00:00:00",623
"2013-05-11T00:00:00","2013-05-12T00:00:00",544
"2013-05-12T00:00:00","2013-05-13T00:00:00",637
"2013-05-13T00:00:00","2013-05-14T00:00:00",713
"2013-05-14T00:00:00","2013-05-15T00:00:00",758
"2013-05-15T00:00:00","2013-05-16T00:00:00",734
"2013-05-16T00:00:00","2013-05-17T00:00:00",842
"2013-05-17T00:00:00","2013-05-18T00:00:00",728
"2013-05-18T00:00:00","2013-05-19T00:00:00",612
"2013-05-19T00:00:00","2013-05-20T00:00:00",463
"2013-05-20T00:00:00","2013-05-21T00:00:00",545
"2013-05-21T00:00:00","2013-05-22T00:00:00",792
"2013-05-22T00:00:00","2013-05-23T00:00:00",746
"2013-05-23T00:00:00","2013-05-24T00:00:00",701
"2013-05-24T00:00:00","2013-05-25T00:00:00",622
"2013-05-25T00:00:00","2013-05-26T00:00:00",652
"2013-05-26T00:00:00","2013-05-27T00:00:00",656
"2013-05-27T00:00:00","2013-05-28T00:00:00",712
"2013-05-28T00:00:00","2013-05-29T00:00:00",723
"2013-05-29T00:00:00","2013-05-30T00:00:00",632
"2013-05-30T00:00:00","2013-05-31T00:00:00",696
"2013-05-31T00:00:00","2013-06-01T00:00:00",653
"2013-06-01T00:00:00","2013-06-02T00:00:00",515
"2013-06-02T00:00:00","2013-06-03T00:00:00",650
"2013-06-03T00:00:00","2013-06-04T00:00:00",706
"2013-06-04T00:00:00","2013-06-05T00:00:00",715
"2013-06-05T00:00:00","2013-06-06T00:00:00",738
"2013-06-06T00:00:00","2013-06-07T00:00:00",755
"2013-06-07T00:00:00","2013-06-08T00:00:00",710
"2013-06-08T00:00:00","2013-06-09T00:00:00",531
"2013-06-09T00:00:00","2013-06-10T00:00:00",610
"2013-06-10T00:00:00","2013-06-11T00:00:00",687
"2013-06-11T00:00:00","2013-06-12T00:00:00",755
"2013-06-12T00:00:00","2013-06-13T00:00:00",757
"2013-06-13T00:00:00","2013-06-14T00:00:00",622
"2013-06-14T00:00:00","2013-06-15T00:00:00",603
"2013-06-15T00:00:00","2013-06-16T00:00:00",506
"2013-06-16T00:00:00","2013-06-17T00:00:00",554
"2013-06-17T00:00:00","2013-06-18T00:00:00",727
"2013-06-18T00:00:00","2013-06-19T00:00:00",707
"2013-06-19T00:00:00","2013-06-20T00:00:00",697
"2013-06-20T00:00:00","2013-06-21T00:00:00",758
"2013-06-21T00:00:00","2013-06-22T00:00:00",575
"2013-06-22T00:00:00","2013-06-23T00:00:00",572
"2013-06-23T00:00:00","2013-06-24T00:00:00",543
"2013-06-24T00:00:00","2013-06-25T00:00:00",715
"2013-06-25T00:00:00","2013-06-26T00:00:00",658
"2013-06-26T00:00:00","2013-06-27T00:00:00",740
