"startDate","endDate","numberOfDocuments"
"2013-01-01T00:00:00","2013-01-02T00:00:00",20815
"2013-01-02T00:00:00","2013-01-03T00:00:00",21800
"2013-01-03T00:00:00","2013-01-04T00:00:00",21949
"2013-01-04T00:00:00","2013-01-05T00:00:00",22541
"2013-01-05T00:00:00","2013-01-06T00:00:00",19825
"2013-01-06T00:00:00","2013-01-07T00:00:00",21785
"2013-01-07T00:00:00","2013-01-08T00:00:00",25121
"2013-01-08T00:00:00","2013-01-09T00:00:00",24207
"2013-01-09T00:00:00","2013-01-10T00:00:00",21883
"2013-01-10T00:00:00","2013-01-11T00:00:00",23241
"2013-01-11T00:00:00","2013-01-12T00:00:00",22129
"2013-01-12T00:00:00","2013-01-13T00:00:00",22539
"2013-01-13T00:00:00","2013-01-14T00:00:00",22409
"2013-01-14T00:00:00","2013-01-15T00:00:00",24151
"2013-01-15T00:00:00","2013-01-16T00:00:00",22271
"2013-01-16T00:00:00","2013-01-17T00:00:00",23137
"2013-01-17T00:00:00","2013-01-18T00:00:00",21990
"2013-01-18T00:00:00","2013-01-19T00:00:00",21908
"2013-01-19T00:00:00","2013-01-20T00:00:00",20056
"2013-01-20T00:00:00","2013-01-21T00:00:00",29273
"2013-01-21T00:00:00","2013-01-22T00:00:00",24679
"2013-01-22T00:00:00","2013-01-23T00:00:00",22605
"2013-01-23T00:00:00","2013-01-24T00:00:00",23081
"2013-01-24T00:00:00","2013-01-25T00:00:00",22143
"2013-01-25T00:00:00","2013-01-26T00:00:00",21601
"2013-01-26T00:00:00","2013-01-27T00:00:00",18828
"2013-01-27T00:00:00","2013-01-28T00:00:00",23477
"2013-01-28T00:00:00","2013-01-29T00:00:00",22292
"2013-01-29T00:00:00","2013-01-30T00:00:00",23308
"2013-01-30T00:00:00","2013-01-31T00:00:00",22354
"2013-01-31T00:00:00","2013-02-01T00:00:00",20493
"2013-02-01T00:00:00","2013-02-02T00:00:00",23075
"2013-02-02T00:00:00","2013-02-03T00:00:00",19768
"2013-02-03T00:00:00","2013-02-04T00:00:00",23585
"2013-02-04T00:00:00","2013-02-05T00:00:00",21941
"2013-02-05T00:00:00","2013-02-06T00:00:00",21535
"2013-02-06T00:00:00","2013-02-07T00:00:00",21897
"2013-02-07T00:00:00","2013-02-08T00:00:00",21777
"2013-02-08T00:00:00","2013-02-09T00:00:00",20880
"2013-02-09T00:00:00","2013-02-10T00:00:00",21273
"2013-02-10T00:00:00","2013-02-11T00:00:00",22299
"2013-02-11T00:00:00","2013-02-12T00:00:00",24538
"2013-02-12T00:00:00","2013-02-13T00:00:00",22701
"2013-02-13T00:00:00","2013-02-14T00:00:00",21674
"2013-02-14T00:00:00","2013-02-15T00:00:00",22518
"2013-02-15T00:00:00","2013-02-16T00:00:00",23918
"2013-02-16T00:00:00","2013-02-17T00:00:00",20521
"2013-02-17T00:00:00","2013-02-18T00:00:00",23128
"2013-02-18T00:00:00","2013-02-19T00:00:00",23352
"2013-02-19T00:00:00","2013-02-20T00:00:00",23361
"2013-02-20T00:00:00","2013-02-21T00:00:00",24177
"2013-02-21T00:00:00","2013-02-22T00:00:00",23554
"2013-02-22T00:00:00","2013-02-23T00:00:00",23741
"2013-02-23T00:00:00","2013-02-24T00:00:00",20892
"2013-02-24T00:00:00","2013-02-25T00:00:00",23087
"2013-02-25T00:00:00","2013-02-26T00:00:00",25030
"2013-02-26T00:00:00","2013-02-27T00:00:00",21651
"2013-02-27T00:00:00","2013-02-28T00:00:00",22062
"2013-02-28T00:00:00","2013-03-01T00:00:00",21341
"2013-03-01T00:00:00","2013-03-02T00:00:00",22450
"2013-03-02T00:00:00","2013-03-03T00:00:00",19395
"2013-03-03T00:00:00","2013-03-04T00:00:00",26528
"2013-03-04T00:00:00","2013-03-05T00:00:00",23043
"2013-03-05T00:00:00","2013-03-06T00:00:00",21766
"2013-03-06T00:00:00","2013-03-07T00:00:00",22474
"2013-03-07T00:00:00","2013-03-08T00:00:00",23070
"2013-03-08T00:00:00","2013-03-09T00:00:00",22216
"2013-03-09T00:00:00","2013-03-10T00:00:00",21490
