"","date","unique_authors"
"1","2019-01-01",2308
"2","2019-01-02",2395
"3","2019-01-03",2434
"4","2019-01-04",2216
"5","2019-01-05",2061
"6","2019-01-06",2554
"7","2019-01-07",2641
"8","2019-01-08",2702
"9","2019-01-09",2752
"10","2019-01-10",2788
"11","2019-01-11",2147
"12","2019-01-12",2200
"13","2019-01-13",2746
"14","2019-01-14",2791
"15","2019-01-15",2773
"16","2019-01-16",2800
"17","2019-01-17",2674
"18","2019-01-18",2096
"19","2019-01-19",2065
"20","2019-01-20",2725
"21","2019-01-21",2759
"22","2019-01-22",2845
"23","2019-01-23",2779
"24","2019-01-24",2746
"25","2019-01-25",2161
"26","2019-01-26",2199
"27","2019-01-27",2643
"28","2019-01-28",2783
"29","2019-01-29",2748
"30","2019-01-30",2769
"31","2019-01-31",2674
"32","2019-02-01",2069
"33","2019-02-02",2052
"34","2019-02-03",2637
"35","2019-02-04",2724
"36","2019-02-05",2756
"37","2019-02-06",2688
"38","2019-02-07",2501
"39","2019-02-08",2081
"40","2019-02-09",2064
"41","2019-02-10",2599
"42","2019-02-11",2717
"43","2019-02-12",2727
"44","2019-02-13",2902
"45","2019-02-14",2649
"46","2019-02-15",2154
"47","2019-02-16",2203
"48","2019-02-17",2688
"49","2019-02-18",2745
"50","2019-02-19",2804
"51","2019-02-20",2755
"52","2019-02-21",2749
"53","2019-02-22",2065
"54","2019-02-23",2147
"55","2019-02-24",2693
"56","2019-02-25",2899
"57","2019-02-26",2857
"58","2019-02-27",2882
"59","2019-02-28",2773
"60","2019-03-01",2160
"61","2019-03-02",2197
"62","2019-03-03",2732
"63","2019-03-04",2966
"64","2019-03-05",2787
"65","2019-03-06",2822
"66","2019-03-07",2894
"67","2019-03-08",2196
"68","2019-03-09",2274
"69","2019-03-10",2652
"70","2019-03-11",2855
"71","2019-03-12",2808
"72","2019-03-13",2836
"73","2019-03-14",3005
"74","2019-03-15",2233
"75","2019-03-16",2163
"76","2019-03-17",2660
"77","2019-03-18",2745
"78","2019-03-19",2855
"79","2019-03-20",2897
"80","2019-03-21",2696
"81","2019-03-22",2205
"82","2019-03-23",2209
"83","2019-03-24",2696
"84","2019-03-25",2940
"85","2019-03-26",2872
"86","2019-03-27",2896
"87","2019-03-28",2879
"88","2019-03-29",2145
"89","2019-03-30",2123
"90","2019-03-31",2884
"91","2019-04-01",2838
"92","2019-04-02",2842
"93","2019-04-03",2877
"94","2019-04-04",2860
"95","2019-04-05",2163
"96","2019-04-06",2217
"97","2019-04-07",2720
"98","2019-04-08",2767
"99","2019-04-09",2904
"100","2019-04-10",2815
"101","2019-04-11",2724
"102","2019-04-12",2174
"103","2019-04-13",2253
"104","2019-04-14",2783
"105","2019-04-15",2655
"106","2019-04-16",2653
"107","2019-04-17",2666
"108","2019-04-18",2443
"109","2019-04-19",2025
"110","2019-04-20",2037
"111","2019-04-21",2073
"112","2019-04-22",2731
"113","2019-04-23",2855
"114","2019-04-24",2767
"115","2019-04-25",2752
"116","2019-04-26",2207
"117","2019-04-27",2286
"118","2019-04-28",2706
"119","2019-04-29",2826
"120","2019-04-30",2324
"121","2019-05-01",2655
"122","2019-05-02",2717
"123","2019-05-03",2286
"124","2019-05-04",2268
"125","2019-05-05",2753
"126","2019-05-06",2942
"127","2019-05-07",2890
"128","2019-05-08",2819
"129","2019-05-09",2720
"130","2019-05-10",2165
"131","2019-05-11",2262
"132","2019-05-12",2649
"133","2019-05-13",2777
"134","2019-05-14",2767
"135","2019-05-15",2880
"136","2019-05-16",3134
"137","2019-05-17",3525
"138","2019-05-18",2846
"139","2019-05-19",3371
"140","2019-05-20",3315
"141","2019-05-21",3230
"142","2019-05-22",3085
"143","2019-05-23",2950
"144","2019-05-24",2373
"145","2019-05-25",2845
"146","2019-05-26",3384
"147","2019-05-27",3104
"148","2019-05-28",3061
"149","2019-05-29",2511
"150","2019-05-30",2541
"151","2019-05-31",2262
"152","2019-06-01",2305
"153","2019-06-02",2777
"154","2019-06-03",2863
"155","2019-06-04",2914
"156","2019-06-05",2850
"157","2019-06-06",2759
"158","2019-06-07",2156
"159","2019-06-08",2097
"160","2019-06-09",2191
"161","2019-06-10",2677
"162","2019-06-11",2829
"163","2019-06-12",2814
"164","2019-06-13",2832
"165","2019-06-14",2239
"166","2019-06-15",2283
"167","2019-06-16",2897
"168","2019-06-17",2860
"169","2019-06-18",2872
"170","2019-06-19",2341
"171","2019-06-20",2604
"172","2019-06-21",2186
"173","2019-06-22",2333
"174","2019-06-23",2696
"175","2019-06-24",2862
"176","2019-06-25",2989
"177","2019-06-26",2879
"178","2019-06-27",2699
"179","2019-06-28",2201
"180","2019-06-29",2247
"181","2019-06-30",2822
"182","2019-07-01",2902
"183","2019-07-02",2755
"184","2019-07-03",2771
"185","2019-07-04",2630
"186","2019-07-05",2069
"187","2019-07-06",2122
"188","2019-07-07",2598
"189","2019-07-08",2558
"190","2019-07-09",2543
"191","2019-07-10",2582
"192","2019-07-11",2339
"193","2019-07-12",1996
"194","2019-07-13",2004
"195","2019-07-14",2446
"196","2019-07-15",2541
"197","2019-07-16",2583
"198","2019-07-17",2551
"199","2019-07-18",2517
"200","2019-07-19",2052
"201","2019-07-20",1997
"202","2019-07-21",2511
"203","2019-07-22",2718
"204","2019-07-23",2623
"205","2019-07-24",2780
"206","2019-07-25",2642
"207","2019-07-26",2156
"208","2019-07-27",2152
"209","2019-07-28",2561
"210","2019-07-29",2567
"211","2019-07-30",2573
"212","2019-07-31",2587
"213","2019-08-01",2482
"214","2019-08-02",2047
"215","2019-08-03",1962
"216","2019-08-04",2511
"217","2019-08-05",2568
"218","2019-08-06",2661
"219","2019-08-07",2609
"220","2019-08-08",2466
"221","2019-08-09",2097
"222","2019-08-10",2045
"223","2019-08-11",2626
"224","2019-08-12",2595
"225","2019-08-13",2567
"226","2019-08-14",2100
"227","2019-08-15",2392
"228","2019-08-16",1993
"229","2019-08-17",2086
"230","2019-08-18",2641
"231","2019-08-19",2621
"232","2019-08-20",2671
"233","2019-08-21",2641
"234","2019-08-22",2630
"235","2019-08-23",2130
"236","2019-08-24",2214
"237","2019-08-25",2702
"238","2019-08-26",2767
"239","2019-08-27",2763
"240","2019-08-28",2766
"241","2019-08-29",2643
"242","2019-08-30",2088
"243","2019-08-31",2307
"244","2019-09-01",2764
"245","2019-09-02",2707
"246","2019-09-03",2835
"247","2019-09-04",2825
"248","2019-09-05",2678
"249","2019-09-06",2256
"250","2019-09-07",2297
"251","2019-09-08",2741
"252","2019-09-09",2829
"253","2019-09-10",2932
"254","2019-09-11",2784
"255","2019-09-12",2745
"256","2019-09-13",2231
"257","2019-09-14",2308
"258","2019-09-15",2738
"259","2019-09-16",2900
"260","2019-09-17",2807
"261","2019-09-18",2966
"262","2019-09-19",2826
"263","2019-09-20",2262
"264","2019-09-21",2391
"265","2019-09-22",2802
"266","2019-09-23",2853
"267","2019-09-24",2922
"268","2019-09-25",3156
