startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",500
"2013-01-02T00:00:00","2013-01-03T00:00:00",488
"2013-01-03T00:00:00","2013-01-04T00:00:00",492
"2013-01-04T00:00:00","2013-01-05T00:00:00",497
"2013-01-05T00:00:00","2013-01-06T00:00:00",371
"2013-01-06T00:00:00","2013-01-07T00:00:00",545
"2013-01-07T00:00:00","2013-01-08T00:00:00",575
"2013-01-08T00:00:00","2013-01-09T00:00:00",533
"2013-01-09T00:00:00","2013-01-10T00:00:00",559
"2013-01-10T00:00:00","2013-01-11T00:00:00",485
"2013-01-11T00:00:00","2013-01-12T00:00:00",394
"2013-01-12T00:00:00","2013-01-13T00:00:00",402
"2013-01-13T00:00:00","2013-01-14T00:00:00",459
"2013-01-14T00:00:00","2013-01-15T00:00:00",577
"2013-01-15T00:00:00","2013-01-16T00:00:00",587
"2013-01-16T00:00:00","2013-01-17T00:00:00",507
"2013-01-17T00:00:00","2013-01-18T00:00:00",516
"2013-01-18T00:00:00","2013-01-19T00:00:00",543
"2013-01-19T00:00:00","2013-01-20T00:00:00",434
"2013-01-20T00:00:00","2013-01-21T00:00:00",654
"2013-01-21T00:00:00","2013-01-22T00:00:00",609
"2013-01-22T00:00:00","2013-01-23T00:00:00",521
"2013-01-23T00:00:00","2013-01-24T00:00:00",611
"2013-01-24T00:00:00","2013-01-25T00:00:00",561
"2013-01-25T00:00:00","2013-01-26T00:00:00",483
"2013-01-26T00:00:00","2013-01-27T00:00:00",468
"2013-01-27T00:00:00","2013-01-28T00:00:00",603
"2013-01-28T00:00:00","2013-01-29T00:00:00",616
"2013-01-29T00:00:00","2013-01-30T00:00:00",611
"2013-01-30T00:00:00","2013-01-31T00:00:00",565
"2013-01-31T00:00:00","2013-02-01T00:00:00",578
"2013-02-01T00:00:00","2013-02-02T00:00:00",480
"2013-02-02T00:00:00","2013-02-03T00:00:00",475
"2013-02-03T00:00:00","2013-02-04T00:00:00",578
"2013-02-04T00:00:00","2013-02-05T00:00:00",553
"2013-02-05T00:00:00","2013-02-06T00:00:00",537
"2013-02-06T00:00:00","2013-02-07T00:00:00",587
"2013-02-07T00:00:00","2013-02-08T00:00:00",502
"2013-02-08T00:00:00","2013-02-09T00:00:00",458
"2013-02-09T00:00:00","2013-02-10T00:00:00",421
"2013-02-10T00:00:00","2013-02-11T00:00:00",422
"2013-02-11T00:00:00","2013-02-12T00:00:00",515
"2013-02-12T00:00:00","2013-02-13T00:00:00",506
"2013-02-13T00:00:00","2013-02-14T00:00:00",515
"2013-02-14T00:00:00","2013-02-15T00:00:00",567
"2013-02-15T00:00:00","2013-02-16T00:00:00",538
"2013-02-16T00:00:00","2013-02-17T00:00:00",442
"2013-02-17T00:00:00","2013-02-18T00:00:00",508
"2013-02-18T00:00:00","2013-02-19T00:00:00",511
"2013-02-19T00:00:00","2013-02-20T00:00:00",639
"2013-02-20T00:00:00","2013-02-21T00:00:00",613
"2013-02-21T00:00:00","2013-02-22T00:00:00",686
"2013-02-22T00:00:00","2013-02-23T00:00:00",519
"2013-02-23T00:00:00","2013-02-24T00:00:00",503
"2013-02-24T00:00:00","2013-02-25T00:00:00",683
"2013-02-25T00:00:00","2013-02-26T00:00:00",566
"2013-02-26T00:00:00","2013-02-27T00:00:00",578
"2013-02-27T00:00:00","2013-02-28T00:00:00",532
"2013-02-28T00:00:00","2013-03-01T00:00:00",530
"2013-03-01T00:00:00","2013-03-02T00:00:00",507
"2013-03-02T00:00:00","2013-03-03T00:00:00",503
"2013-03-03T00:00:00","2013-03-04T00:00:00",539
"2013-03-04T00:00:00","2013-03-05T00:00:00",573
"2013-03-05T00:00:00","2013-03-06T00:00:00",564
"2013-03-06T00:00:00","2013-03-07T00:00:00",526
"2013-03-07T00:00:00","2013-03-08T00:00:00",541
"2013-03-08T00:00:00","2013-03-09T00:00:00",502
"2013-03-09T00:00:00","2013-03-10T00:00:00",523
"2013-03-10T00:00:00","2013-03-11T00:00:00",599
"2013-03-11T00:00:00","2013-03-12T00:00:00",821
"2013-03-12T00:00:00","2013-03-13T00:00:00",1134
"2013-03-13T00:00:00","2013-03-14T00:00:00",1076
"2013-03-14T00:00:00","2013-03-15T00:00:00",909
"2013-03-15T00:00:00","2013-03-16T00:00:00",767
"2013-03-16T00:00:00","2013-03-17T00:00:00",639
"2013-03-17T00:00:00","2013-03-18T00:00:00",836
"2013-03-18T00:00:00","2013-03-19T00:00:00",957
"2013-03-19T00:00:00","2013-03-20T00:00:00",879
"2013-03-20T00:00:00","2013-03-21T00:00:00",846
"2013-03-21T00:00:00","2013-03-22T00:00:00",774
"2013-03-22T00:00:00","2013-03-23T00:00:00",856
"2013-03-23T00:00:00","2013-03-24T00:00:00",638
"2013-03-24T00:00:00","2013-03-25T00:00:00",761
"2013-03-25T00:00:00","2013-03-26T00:00:00",832
"2013-03-26T00:00:00","2013-03-27T00:00:00",854
"2013-03-27T00:00:00","2013-03-28T00:00:00",812
"2013-03-28T00:00:00","2013-03-29T00:00:00",722
"2013-03-29T00:00:00","2013-03-30T00:00:00",760
"2013-03-30T00:00:00","2013-03-31T00:00:00",599
"2013-03-31T00:00:00","2013-04-01T00:00:00",643
"2013-04-01T00:00:00","2013-04-02T00:00:00",688
"2013-04-02T00:00:00","2013-04-03T00:00:00",761
"2013-04-03T00:00:00","2013-04-04T00:00:00",821
"2013-04-04T00:00:00","2013-04-05T00:00:00",756
"2013-04-05T00:00:00","2013-04-06T00:00:00",808
"2013-04-06T00:00:00","2013-04-07T00:00:00",582
"2013-04-07T00:00:00","2013-04-08T00:00:00",596
"2013-04-08T00:00:00","2013-04-09T00:00:00",719
"2013-04-09T00:00:00","2013-04-10T00:00:00",894
"2013-04-10T00:00:00","2013-04-11T00:00:00",845
"2013-04-11T00:00:00","2013-04-12T00:00:00",923
