startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",67
"2013-01-02T00:00:00","2013-01-03T00:00:00",106
"2013-01-03T00:00:00","2013-01-04T00:00:00",123
"2013-01-04T00:00:00","2013-01-05T00:00:00",138
"2013-01-05T00:00:00","2013-01-06T00:00:00",92
"2013-01-06T00:00:00","2013-01-07T00:00:00",175
"2013-01-07T00:00:00","2013-01-08T00:00:00",181
"2013-01-08T00:00:00","2013-01-09T00:00:00",146
"2013-01-09T00:00:00","2013-01-10T00:00:00",152
"2013-01-10T00:00:00","2013-01-11T00:00:00",136
"2013-01-11T00:00:00","2013-01-12T00:00:00",132
"2013-01-12T00:00:00","2013-01-13T00:00:00",109
"2013-01-13T00:00:00","2013-01-14T00:00:00",134
"2013-01-14T00:00:00","2013-01-15T00:00:00",168
"2013-01-15T00:00:00","2013-01-16T00:00:00",185
"2013-01-16T00:00:00","2013-01-17T00:00:00",171
"2013-01-17T00:00:00","2013-01-18T00:00:00",134
"2013-01-18T00:00:00","2013-01-19T00:00:00",139
"2013-01-19T00:00:00","2013-01-20T00:00:00",133
"2013-01-20T00:00:00","2013-01-21T00:00:00",167
"2013-01-21T00:00:00","2013-01-22T00:00:00",141
"2013-01-22T00:00:00","2013-01-23T00:00:00",151
"2013-01-23T00:00:00","2013-01-24T00:00:00",148
"2013-01-24T00:00:00","2013-01-25T00:00:00",160
"2013-01-25T00:00:00","2013-01-26T00:00:00",135
"2013-01-26T00:00:00","2013-01-27T00:00:00",110
"2013-01-27T00:00:00","2013-01-28T00:00:00",148
"2013-01-28T00:00:00","2013-01-29T00:00:00",161
"2013-01-29T00:00:00","2013-01-30T00:00:00",199
"2013-01-30T00:00:00","2013-01-31T00:00:00",185
"2013-01-31T00:00:00","2013-02-01T00:00:00",130
"2013-02-01T00:00:00","2013-02-02T00:00:00",135
"2013-02-02T00:00:00","2013-02-03T00:00:00",138
"2013-02-03T00:00:00","2013-02-04T00:00:00",127
"2013-02-04T00:00:00","2013-02-05T00:00:00",157
"2013-02-05T00:00:00","2013-02-06T00:00:00",162
"2013-02-06T00:00:00","2013-02-07T00:00:00",151
"2013-02-07T00:00:00","2013-02-08T00:00:00",130
"2013-02-08T00:00:00","2013-02-09T00:00:00",145
"2013-02-09T00:00:00","2013-02-10T00:00:00",85
"2013-02-10T00:00:00","2013-02-11T00:00:00",97
"2013-02-11T00:00:00","2013-02-12T00:00:00",187
"2013-02-12T00:00:00","2013-02-13T00:00:00",121
"2013-02-13T00:00:00","2013-02-14T00:00:00",131
"2013-02-14T00:00:00","2013-02-15T00:00:00",140
"2013-02-15T00:00:00","2013-02-16T00:00:00",127
"2013-02-16T00:00:00","2013-02-17T00:00:00",87
"2013-02-17T00:00:00","2013-02-18T00:00:00",118
"2013-02-18T00:00:00","2013-02-19T00:00:00",125
"2013-02-19T00:00:00","2013-02-20T00:00:00",156
"2013-02-20T00:00:00","2013-02-21T00:00:00",130
"2013-02-21T00:00:00","2013-02-22T00:00:00",153
"2013-02-22T00:00:00","2013-02-23T00:00:00",159
"2013-02-23T00:00:00","2013-02-24T00:00:00",125
"2013-02-24T00:00:00","2013-02-25T00:00:00",158
"2013-02-25T00:00:00","2013-02-26T00:00:00",130
"2013-02-26T00:00:00","2013-02-27T00:00:00",156
"2013-02-27T00:00:00","2013-02-28T00:00:00",152
"2013-02-28T00:00:00","2013-03-01T00:00:00",139
"2013-03-01T00:00:00","2013-03-02T00:00:00",134
"2013-03-02T00:00:00","2013-03-03T00:00:00",114
"2013-03-03T00:00:00","2013-03-04T00:00:00",127
"2013-03-04T00:00:00","2013-03-05T00:00:00",129
"2013-03-05T00:00:00","2013-03-06T00:00:00",152
"2013-03-06T00:00:00","2013-03-07T00:00:00",113
"2013-03-07T00:00:00","2013-03-08T00:00:00",151
"2013-03-08T00:00:00","2013-03-09T00:00:00",103
"2013-03-09T00:00:00","2013-03-10T00:00:00",153
"2013-03-10T00:00:00","2013-03-11T00:00:00",144
"2013-03-11T00:00:00","2013-03-12T00:00:00",218
"2013-03-12T00:00:00","2013-03-13T00:00:00",501
"2013-03-13T00:00:00","2013-03-14T00:00:00",379
"2013-03-14T00:00:00","2013-03-15T00:00:00",297
"2013-03-15T00:00:00","2013-03-16T00:00:00",301
"2013-03-16T00:00:00","2013-03-17T00:00:00",229
"2013-03-17T00:00:00","2013-03-18T00:00:00",265
"2013-03-18T00:00:00","2013-03-19T00:00:00",299
"2013-03-19T00:00:00","2013-03-20T00:00:00",313
"2013-03-20T00:00:00","2013-03-21T00:00:00",299
"2013-03-21T00:00:00","2013-03-22T00:00:00",261
"2013-03-22T00:00:00","2013-03-23T00:00:00",274
"2013-03-23T00:00:00","2013-03-24T00:00:00",178
"2013-03-24T00:00:00","2013-03-25T00:00:00",259
"2013-03-25T00:00:00","2013-03-26T00:00:00",304
"2013-03-26T00:00:00","2013-03-27T00:00:00",284
"2013-03-27T00:00:00","2013-03-28T00:00:00",259
"2013-03-28T00:00:00","2013-03-29T00:00:00",276
"2013-03-29T00:00:00","2013-03-30T00:00:00",274
"2013-03-30T00:00:00","2013-03-31T00:00:00",189
"2013-03-31T00:00:00","2013-04-01T00:00:00",173
"2013-04-01T00:00:00","2013-04-02T00:00:00",184
"2013-04-02T00:00:00","2013-04-03T00:00:00",254
"2013-04-03T00:00:00","2013-04-04T00:00:00",250
"2013-04-04T00:00:00","2013-04-05T00:00:00",286
"2013-04-05T00:00:00","2013-04-06T00:00:00",299
"2013-04-06T00:00:00","2013-04-07T00:00:00",199
"2013-04-07T00:00:00","2013-04-08T00:00:00",209
"2013-04-08T00:00:00","2013-04-09T00:00:00",272
"2013-04-09T00:00:00","2013-04-10T00:00:00",302
"2013-04-10T00:00:00","2013-04-11T00:00:00",297
"2013-04-11T00:00:00","2013-04-12T00:00:00",268
"2013-04-12T00:00:00","2013-04-13T00:00:00",268
"2013-04-13T00:00:00","2013-04-14T00:00:00",170
"2013-04-14T00:00:00","2013-04-15T00:00:00",246
"2013-04-15T00:00:00","2013-04-16T00:00:00",406
"2013-04-16T00:00:00","2013-04-17T00:00:00",410
"2013-04-17T00:00:00","2013-04-18T00:00:00",304
"2013-04-18T00:00:00","2013-04-19T00:00:00",309
"2013-04-19T00:00:00","2013-04-20T00:00:00",315
"2013-04-20T00:00:00","2013-04-21T00:00:00",210
"2013-04-21T00:00:00","2013-04-22T00:00:00",231
"2013-04-22T00:00:00","2013-04-23T00:00:00",283
"2013-04-23T00:00:00","2013-04-24T00:00:00",277
"2013-04-24T00:00:00","2013-04-25T00:00:00",271
"2013-04-25T00:00:00","2013-04-26T00:00:00",304
"2013-04-26T00:00:00","2013-04-27T00:00:00",314
"2013-04-27T00:00:00","2013-04-28T00:00:00",187
"2013-04-28T00:00:00","2013-04-29T00:00:00",209
"2013-04-29T00:00:00","2013-04-30T00:00:00",273
"2013-04-30T00:00:00","2013-05-01T00:00:00",249
"2013-05-01T00:00:00","2013-05-02T00:00:00",227
"2013-05-02T00:00:00","2013-05-03T00:00:00",319
"2013-05-03T00:00:00","2013-05-04T00:00:00",289
"2013-05-04T00:00:00","2013-05-05T00:00:00",259
"2013-05-05T00:00:00","2013-05-06T00:00:00",260
"2013-05-06T00:00:00","2013-05-07T00:00:00",357
"2013-05-07T00:00:00","2013-05-08T00:00:00",455
"2013-05-08T00:00:00","2013-05-09T00:00:00",356
"2013-05-09T00:00:00","2013-05-10T00:00:00",204
"2013-05-10T00:00:00","2013-05-11T00:00:00",235
"2013-05-11T00:00:00","2013-05-12T00:00:00",228
"2013-05-12T00:00:00","2013-05-13T00:00:00",318
"2013-05-13T00:00:00","2013-05-14T00:00:00",288
"2013-05-14T00:00:00","2013-05-15T00:00:00",414
"2013-05-15T00:00:00","2013-05-16T00:00:00",328
"2013-05-16T00:00:00","2013-05-17T00:00:00",459
"2013-05-17T00:00:00","2013-05-18T00:00:00",291
"2013-05-18T00:00:00","2013-05-19T00:00:00",373
"2013-05-19T00:00:00","2013-05-20T00:00:00",258
"2013-05-20T00:00:00","2013-05-21T00:00:00",240
"2013-05-21T00:00:00","2013-05-22T00:00:00",400
"2013-05-22T00:00:00","2013-05-23T00:00:00",315
"2013-05-23T00:00:00","2013-05-24T00:00:00",345
"2013-05-24T00:00:00","2013-05-25T00:00:00",302
"2013-05-25T00:00:00","2013-05-26T00:00:00",264
"2013-05-26T00:00:00","2013-05-27T00:00:00",269
"2013-05-27T00:00:00","2013-05-28T00:00:00",353
"2013-05-28T00:00:00","2013-05-29T00:00:00",346
"2013-05-29T00:00:00","2013-05-30T00:00:00",393
"2013-05-30T00:00:00","2013-05-31T00:00:00",435
"2013-05-31T00:00:00","2013-06-01T00:00:00",327
"2013-06-01T00:00:00","2013-06-02T00:00:00",228
"2013-06-02T00:00:00","2013-06-03T00:00:00",256
"2013-06-03T00:00:00","2013-06-04T00:00:00",346
"2013-06-04T00:00:00","2013-06-05T00:00:00",364
"2013-06-05T00:00:00","2013-06-06T00:00:00",350
"2013-06-06T00:00:00","2013-06-07T00:00:00",314
"2013-06-07T00:00:00","2013-06-08T00:00:00",351
"2013-06-08T00:00:00","2013-06-09T00:00:00",218
"2013-06-09T00:00:00","2013-06-10T00:00:00",246
"2013-06-10T00:00:00","2013-06-11T00:00:00",368
"2013-06-11T00:00:00","2013-06-12T00:00:00",389
"2013-06-12T00:00:00","2013-06-13T00:00:00",518
"2013-06-13T00:00:00","2013-06-14T00:00:00",472
"2013-06-14T00:00:00","2013-06-15T00:00:00",337
"2013-06-15T00:00:00","2013-06-16T00:00:00",210
"2013-06-16T00:00:00","2013-06-17T00:00:00",262
"2013-06-17T00:00:00","2013-06-18T00:00:00",426
"2013-06-18T00:00:00","2013-06-19T00:00:00",336
"2013-06-19T00:00:00","2013-06-20T00:00:00",398
"2013-06-20T00:00:00","2013-06-21T00:00:00",423
"2013-06-21T00:00:00","2013-06-22T00:00:00",357
"2013-06-22T00:00:00","2013-06-23T00:00:00",203
"2013-06-23T00:00:00","2013-06-24T00:00:00",232
"2013-06-24T00:00:00","2013-06-25T00:00:00",331
"2013-06-25T00:00:00","2013-06-26T00:00:00",377
"2013-06-26T00:00:00","2013-06-27T00:00:00",360
"2013-06-27T00:00:00","2013-06-28T00:00:00",425
"2013-06-28T00:00:00","2013-06-29T00:00:00",248
"2013-06-29T00:00:00","2013-06-30T00:00:00",191
"2013-06-30T00:00:00","2013-07-01T00:00:00",176
"2013-07-01T00:00:00","2013-07-02T00:00:00",223
"2013-07-02T00:00:00","2013-07-03T00:00:00",238
"2013-07-03T00:00:00","2013-07-04T00:00:00",360
"2013-07-04T00:00:00","2013-07-05T00:00:00",274
"2013-07-05T00:00:00","2013-07-06T00:00:00",237
"2013-07-06T00:00:00","2013-07-07T00:00:00",179
"2013-07-07T00:00:00","2013-07-08T00:00:00",151
"2013-07-08T00:00:00","2013-07-09T00:00:00",260
"2013-07-09T00:00:00","2013-07-10T00:00:00",221
"2013-07-10T00:00:00","2013-07-11T00:00:00",257
"2013-07-11T00:00:00","2013-07-12T00:00:00",219
"2013-07-12T00:00:00","2013-07-13T00:00:00",275
"2013-07-13T00:00:00","2013-07-14T00:00:00",171
"2013-07-14T00:00:00","2013-07-15T00:00:00",167
"2013-07-15T00:00:00","2013-07-16T00:00:00",238
"2013-07-16T00:00:00","2013-07-17T00:00:00",246
"2013-07-17T00:00:00","2013-07-18T00:00:00",259
"2013-07-18T00:00:00","2013-07-19T00:00:00",239
"2013-07-19T00:00:00","2013-07-20T00:00:00",191
"2013-07-20T00:00:00","2013-07-21T00:00:00",150
"2013-07-21T00:00:00","2013-07-22T00:00:00",238
"2013-07-22T00:00:00","2013-07-23T00:00:00",179
"2013-07-23T00:00:00","2013-07-24T00:00:00",227
"2013-07-24T00:00:00","2013-07-25T00:00:00",224
"2013-07-25T00:00:00","2013-07-26T00:00:00",238
"2013-07-26T00:00:00","2013-07-27T00:00:00",251
"2013-07-27T00:00:00","2013-07-28T00:00:00",312
"2013-07-28T00:00:00","2013-07-29T00:00:00",210
"2013-07-29T00:00:00","2013-07-30T00:00:00",379
"2013-07-30T00:00:00","2013-07-31T00:00:00",302
"2013-07-31T00:00:00","2013-08-01T00:00:00",251
"2013-08-01T00:00:00","2013-08-02T00:00:00",222
"2013-08-02T00:00:00","2013-08-03T00:00:00",188
"2013-08-03T00:00:00","2013-08-04T00:00:00",183
"2013-08-04T00:00:00","2013-08-05T00:00:00",192
