startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",2719
"2013-01-02T00:00:00","2013-01-03T00:00:00",2387
"2013-01-03T00:00:00","2013-01-04T00:00:00",2448
"2013-01-04T00:00:00","2013-01-05T00:00:00",2419
"2013-01-05T00:00:00","2013-01-06T00:00:00",2201
"2013-01-06T00:00:00","2013-01-07T00:00:00",2573
"2013-01-07T00:00:00","2013-01-08T00:00:00",2784
"2013-01-08T00:00:00","2013-01-09T00:00:00",2591
"2013-01-09T00:00:00","2013-01-10T00:00:00",2783
"2013-01-10T00:00:00","2013-01-11T00:00:00",2587
"2013-01-11T00:00:00","2013-01-12T00:00:00",2484
"2013-01-12T00:00:00","2013-01-13T00:00:00",2272
"2013-01-13T00:00:00","2013-01-14T00:00:00",2568
"2013-01-14T00:00:00","2013-01-15T00:00:00",3031
"2013-01-15T00:00:00","2013-01-16T00:00:00",3106
"2013-01-16T00:00:00","2013-01-17T00:00:00",2712
"2013-01-17T00:00:00","2013-01-18T00:00:00",2610
"2013-01-18T00:00:00","2013-01-19T00:00:00",2726
"2013-01-19T00:00:00","2013-01-20T00:00:00",2499
"2013-01-20T00:00:00","2013-01-21T00:00:00",3213
"2013-01-21T00:00:00","2013-01-22T00:00:00",2721
"2013-01-22T00:00:00","2013-01-23T00:00:00",2753
"2013-01-23T00:00:00","2013-01-24T00:00:00",3229
"2013-01-24T00:00:00","2013-01-25T00:00:00",2804
"2013-01-25T00:00:00","2013-01-26T00:00:00",2520
"2013-01-26T00:00:00","2013-01-27T00:00:00",2490
"2013-01-27T00:00:00","2013-01-28T00:00:00",2719
"2013-01-28T00:00:00","2013-01-29T00:00:00",3033
"2013-01-29T00:00:00","2013-01-30T00:00:00",2957
"2013-01-30T00:00:00","2013-01-31T00:00:00",2864
"2013-01-31T00:00:00","2013-02-01T00:00:00",2492
"2013-02-01T00:00:00","2013-02-02T00:00:00",2595
"2013-02-02T00:00:00","2013-02-03T00:00:00",2571
