startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",303
"2013-01-02T00:00:00","2013-01-03T00:00:00",348
"2013-01-03T00:00:00","2013-01-04T00:00:00",396
"2013-01-04T00:00:00","2013-01-05T00:00:00",329
"2013-01-05T00:00:00","2013-01-06T00:00:00",331
"2013-01-06T00:00:00","2013-01-07T00:00:00",426
"2013-01-07T00:00:00","2013-01-08T00:00:00",419
"2013-01-08T00:00:00","2013-01-09T00:00:00",443
"2013-01-09T00:00:00","2013-01-10T00:00:00",394
"2013-01-10T00:00:00","2013-01-11T00:00:00",366
"2013-01-11T00:00:00","2013-01-12T00:00:00",381
"2013-01-12T00:00:00","2013-01-13T00:00:00",327
"2013-01-13T00:00:00","2013-01-14T00:00:00",412
"2013-01-14T00:00:00","2013-01-15T00:00:00",459
"2013-01-15T00:00:00","2013-01-16T00:00:00",450
"2013-01-16T00:00:00","2013-01-17T00:00:00",433
"2013-01-17T00:00:00","2013-01-18T00:00:00",433
"2013-01-18T00:00:00","2013-01-19T00:00:00",431
"2013-01-19T00:00:00","2013-01-20T00:00:00",431
"2013-01-20T00:00:00","2013-01-21T00:00:00",540
"2013-01-21T00:00:00","2013-01-22T00:00:00",425
"2013-01-22T00:00:00","2013-01-23T00:00:00",440
"2013-01-23T00:00:00","2013-01-24T00:00:00",561
"2013-01-24T00:00:00","2013-01-25T00:00:00",470
"2013-01-25T00:00:00","2013-01-26T00:00:00",432
"2013-01-26T00:00:00","2013-01-27T00:00:00",402
"2013-01-27T00:00:00","2013-01-28T00:00:00",481
"2013-01-28T00:00:00","2013-01-29T00:00:00",521
"2013-01-29T00:00:00","2013-01-30T00:00:00",487
"2013-01-30T00:00:00","2013-01-31T00:00:00",450
"2013-01-31T00:00:00","2013-02-01T00:00:00",405
"2013-02-01T00:00:00","2013-02-02T00:00:00",339
"2013-02-02T00:00:00","2013-02-03T00:00:00",378
"2013-02-03T00:00:00","2013-02-04T00:00:00",427
"2013-02-04T00:00:00","2013-02-05T00:00:00",444
"2013-02-05T00:00:00","2013-02-06T00:00:00",396
"2013-02-06T00:00:00","2013-02-07T00:00:00",446
"2013-02-07T00:00:00","2013-02-08T00:00:00",348
"2013-02-08T00:00:00","2013-02-09T00:00:00",353
"2013-02-09T00:00:00","2013-02-10T00:00:00",322
"2013-02-10T00:00:00","2013-02-11T00:00:00",339
"2013-02-11T00:00:00","2013-02-12T00:00:00",358
"2013-02-12T00:00:00","2013-02-13T00:00:00",410
"2013-02-13T00:00:00","2013-02-14T00:00:00",446
"2013-02-14T00:00:00","2013-02-15T00:00:00",447
"2013-02-15T00:00:00","2013-02-16T00:00:00",410
"2013-02-16T00:00:00","2013-02-17T00:00:00",331
"2013-02-17T00:00:00","2013-02-18T00:00:00",414
"2013-02-18T00:00:00","2013-02-19T00:00:00",446
"2013-02-19T00:00:00","2013-02-20T00:00:00",477
"2013-02-20T00:00:00","2013-02-21T00:00:00",542
"2013-02-21T00:00:00","2013-02-22T00:00:00",452
"2013-02-22T00:00:00","2013-02-23T00:00:00",390
"2013-02-23T00:00:00","2013-02-24T00:00:00",392
"2013-02-24T00:00:00","2013-02-25T00:00:00",551
"2013-02-25T00:00:00","2013-02-26T00:00:00",427
"2013-02-26T00:00:00","2013-02-27T00:00:00",408
"2013-02-27T00:00:00","2013-02-28T00:00:00",451
"2013-02-28T00:00:00","2013-03-01T00:00:00",551
"2013-03-01T00:00:00","2013-03-02T00:00:00",420
"2013-03-02T00:00:00","2013-03-03T00:00:00",425
"2013-03-03T00:00:00","2013-03-04T00:00:00",451
"2013-03-04T00:00:00","2013-03-05T00:00:00",498
"2013-03-05T00:00:00","2013-03-06T00:00:00",482
"2013-03-06T00:00:00","2013-03-07T00:00:00",463
"2013-03-07T00:00:00","2013-03-08T00:00:00",438
"2013-03-08T00:00:00","2013-03-09T00:00:00",429
