"date","tot_n","weekday","wordlist","wordlist_n","pr","bl","sd","prlow","prhigh"
2019-01-01,12507,"Tuesday","anxiety",184,1.47117614136084,1.77682709880819,0.219721221412051,1.26752870762335,1.69783999255289
2019-01-01,12507,"Tuesday","anger",535,4.27760454145678,4.64253683553214,0.452073815879253,3.92965243755443,4.64703044492569
2019-01-01,12507,"Tuesday","sadness",489,3.90981050611657,4.48182074750236,0.293794771752129,3.57688230090501,4.26439909062546
2019-01-01,12507,"Tuesday","positive",3136,25.0739585831934,19.9740345408852,1.10061343000163,24.316204789214,25.8433279084231
2019-01-02,15630,"Wednesday","anxiety",331,2.11772232885477,1.74398932579767,0.186316214228132,1.89775680517975,2.35575035779501
2019-01-02,15630,"Wednesday","anger",713,4.5617402431222,4.60305062040614,0.385858929027938,4.23991371687088,4.90061059634028
2019-01-02,15630,"Wednesday","sadness",653,4.17786308381318,4.48754800104753,0.253922637983751,3.86954518977562,4.5033781215929
2019-01-02,15630,"Wednesday","positive",3283,21.0044785668586,19.8508001194085,0.618146610768998,20.3681251810952,21.651640729367
2019-01-03,16576,"Thursday","anxiety",276,1.66505791505792,1.75770819665065,0.138631646151403,1.47576375025605,1.87157372463317
2019-01-03,16576,"Thursday","anger",763,4.60304054054054,4.59401219929604,0.279505507912565,4.28900898617852,4.93312196266245
2019-01-03,16576,"Thursday","sadness",691,4.16867760617761,4.41950642273513,0.227738657283721,3.86945645271567,4.48411181026258
2019-01-03,16576,"Thursday","positive",3202,19.3170849420849,20.0287772589109,0.6829622401277,18.7184977974283,19.9264573125008
2019-01-04,16122,"Friday","anxiety",267,1.65612206922218,1.69177475910636,0.208865401402891,1.46478368554394,1.86517612795759
2019-01-04,16122,"Friday","anger",696,4.31708224786007,4.56965491678869,0.396155549381097,4.00852235984065,4.64225712999704
2019-01-04,16122,"Friday","sadness",675,4.18682545589877,4.46456749448679,0.225017575614539,3.88284814035941,4.50746828555422
2019-01-04,16122,"Friday","positive",3133,19.4330728197494,20.2090614155976,0.684956891579649,18.8247429589527,20.0524505248004
2019-01-05,14089,"Saturday","anxiety",234,1.66087018241181,1.68105533448715,0.155581904184705,1.45632244427452,1.88571540876163
2019-01-05,14089,"Saturday","anger",607,4.30832564411953,4.6360899444273,0.311670272383893,3.97897108386154,4.6567133098387
2019-01-05,14089,"Saturday","sadness",615,4.36510753069771,4.58580124743115,0.243933370527008,4.03363918626904,4.71558370706658
2019-01-05,14089,"Saturday","positive",2803,19.8949535098304,20.5393912851172,0.614114160847391,19.2384844658593,20.5638783760686
2019-01-06,15555,"Sunday","anxiety",271,1.74220507875281,1.72749409364944,0.176213332915326,1.54244274609996,1.96029352453631
2019-01-06,15555,"Sunday","anger",712,4.57730633236901,4.69747799923609,0.277000833062517,4.25418269856773,4.91755026707941
2019-01-06,15555,"Sunday","sadness",700,4.50016072002571,4.73424672467752,0.300938687849407,4.17969937924313,4.83777320574147
2019-01-06,15555,"Sunday","positive",3132,20.1350048216008,20.3415177948961,0.652134797650319,19.5072356929859,20.7739618571296
2019-01-07,17035,"Monday","anxiety",347,2.03698268271206,1.82500755790924,0.31882209955894,1.8301369891004,2.26042205411828
2019-01-07,17035,"Monday","anger",726,4.26181391253302,4.74081852574197,0.550686100737516,3.96338021548156,4.57598694724942
2019-01-07,17035,"Monday","sadness",825,4.84297035515116,4.61644323188211,0.359510874144078,4.52539914202233,5.17606940919244
2019-01-07,17035,"Monday","positive",3400,19.9589081303199,19.8909524578183,0.712298570741019,19.3609317299289,20.5671579159805
2019-01-08,17607,"Tuesday","anxiety",338,1.91969103197592,1.77682709880819,0.219721221412051,1.72214220772178,2.13333736112934
2019-01-08,17607,"Tuesday","anger",854,4.85034361333561,4.64253683553214,0.452073815879253,4.53766501743562,5.17804015118419
2019-01-08,17607,"Tuesday","sadness",767,4.35622195717612,4.48182074750236,0.293794771752129,4.05944257708555,4.66819288741954
2019-01-08,17607,"Tuesday","positive",3388,19.2423467938888,19.9740345408852,1.10061343000163,18.6623502369473,19.8325199235038
2019-01-09,18492,"Wednesday","anxiety",343,1.85485615401255,1.74398932579767,0.186316214228132,1.66528453742502,2.05977349430233
2019-01-09,18492,"Wednesday","anger",854,4.61821328141899,4.60305062040614,0.385858929027938,4.3201659503848,4.93063318766149
2019-01-09,18492,"Wednesday","sadness",851,4.60199004975124,4.48754800104753,0.253922637983751,4.30445138748203,4.91390670477878
2019-01-09,18492,"Wednesday","positive",3648,19.7274497079818,19.8508001194085,0.618146610768998,19.1559844008635,20.3084497310466
2019-01-10,20364,"Thursday","anxiety",405,1.98880377136123,1.75770819665065,0.138631646151403,1.80146972760741,2.19001458162061
2019-01-10,20364,"Thursday","anger",958,4.70438027892359,4.59401219929604,0.279505507912565,4.4176027528697,5.00417608702802
2019-01-10,20364,"Thursday","sadness",816,4.00707130229817,4.41950642273513,0.227738657283721,3.74182996631565,4.28554287147362
2019-01-10,20364,"Thursday","positive",4151,20.3840109998036,20.0287772589109,0.6829622401277,19.8325120233287,20.9439773978362
2019-01-11,17707,"Friday","anxiety",299,1.68859772971141,1.69177475910636,0.208865401402891,1.50396466721551,1.88933221192199
2019-01-11,17707,"Friday","anger",799,4.5123397526402,4.56965491678869,0.396155549381097,4.21127033802105,4.82845969092486
2019-01-11,17707,"Friday","sadness",846,4.7777715027955,4.46456749448679,0.225017575614539,4.46823214102516,5.10226875592014
2019-01-11,17707,"Friday","positive",3629,20.4947196024171,20.2090614155976,0.684956891579649,19.9022195710235,21.096925088578
