startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",20407
"2013-01-02T00:00:00","2013-01-03T00:00:00",21737
"2013-01-03T00:00:00","2013-01-04T00:00:00",22061
"2013-01-04T00:00:00","2013-01-05T00:00:00",22013
"2013-01-05T00:00:00","2013-01-06T00:00:00",20745
"2013-01-06T00:00:00","2013-01-07T00:00:00",23586
"2013-01-07T00:00:00","2013-01-08T00:00:00",24197
"2013-01-08T00:00:00","2013-01-09T00:00:00",23116
"2013-01-09T00:00:00","2013-01-10T00:00:00",24215
"2013-01-10T00:00:00","2013-01-11T00:00:00",22558
"2013-01-11T00:00:00","2013-01-12T00:00:00",21596
"2013-01-12T00:00:00","2013-01-13T00:00:00",22943
"2013-01-13T00:00:00","2013-01-14T00:00:00",23656
"2013-01-14T00:00:00","2013-01-15T00:00:00",25196
"2013-01-15T00:00:00","2013-01-16T00:00:00",24612
"2013-01-16T00:00:00","2013-01-17T00:00:00",24314
"2013-01-17T00:00:00","2013-01-18T00:00:00",23129
"2013-01-18T00:00:00","2013-01-19T00:00:00",23730
"2013-01-19T00:00:00","2013-01-20T00:00:00",22081
"2013-01-20T00:00:00","2013-01-21T00:00:00",29600
"2013-01-21T00:00:00","2013-01-22T00:00:00",24854
"2013-01-22T00:00:00","2013-01-23T00:00:00",24884
"2013-01-23T00:00:00","2013-01-24T00:00:00",27316
"2013-01-24T00:00:00","2013-01-25T00:00:00",24839
"2013-01-25T00:00:00","2013-01-26T00:00:00",23479
"2013-01-26T00:00:00","2013-01-27T00:00:00",23650
"2013-01-27T00:00:00","2013-01-28T00:00:00",28036
"2013-01-28T00:00:00","2013-01-29T00:00:00",28148
"2013-01-29T00:00:00","2013-01-30T00:00:00",26799
"2013-01-30T00:00:00","2013-01-31T00:00:00",26554
"2013-01-31T00:00:00","2013-02-01T00:00:00",23368
"2013-02-01T00:00:00","2013-02-02T00:00:00",24305
"2013-02-02T00:00:00","2013-02-03T00:00:00",24174
"2013-02-03T00:00:00","2013-02-04T00:00:00",29271
"2013-02-04T00:00:00","2013-02-05T00:00:00",26016
"2013-02-05T00:00:00","2013-02-06T00:00:00",23026
"2013-02-06T00:00:00","2013-02-07T00:00:00",25390
"2013-02-07T00:00:00","2013-02-08T00:00:00",23024
"2013-02-08T00:00:00","2013-02-09T00:00:00",23396
"2013-02-09T00:00:00","2013-02-10T00:00:00",21517
"2013-02-10T00:00:00","2013-02-11T00:00:00",22198
"2013-02-11T00:00:00","2013-02-12T00:00:00",25211
"2013-02-12T00:00:00","2013-02-13T00:00:00",25157
"2013-02-13T00:00:00","2013-02-14T00:00:00",25396
"2013-02-14T00:00:00","2013-02-15T00:00:00",26189
"2013-02-15T00:00:00","2013-02-16T00:00:00",26589
"2013-02-16T00:00:00","2013-02-17T00:00:00",23751
"2013-02-17T00:00:00","2013-02-18T00:00:00",25572
"2013-02-18T00:00:00","2013-02-19T00:00:00",25269
"2013-02-19T00:00:00","2013-02-20T00:00:00",24673
"2013-02-20T00:00:00","2013-02-21T00:00:00",27589
"2013-02-21T00:00:00","2013-02-22T00:00:00",26420
"2013-02-22T00:00:00","2013-02-23T00:00:00",23283
"2013-02-23T00:00:00","2013-02-24T00:00:00",23285
"2013-02-24T00:00:00","2013-02-25T00:00:00",27643
"2013-02-25T00:00:00","2013-02-26T00:00:00",24183
"2013-02-26T00:00:00","2013-02-27T00:00:00",24006
"2013-02-27T00:00:00","2013-02-28T00:00:00",24021
"2013-02-28T00:00:00","2013-03-01T00:00:00",23332
"2013-03-01T00:00:00","2013-03-02T00:00:00",24074
"2013-03-02T00:00:00","2013-03-03T00:00:00",22905
"2013-03-03T00:00:00","2013-03-04T00:00:00",26494
"2013-03-04T00:00:00","2013-03-05T00:00:00",26315
"2013-03-05T00:00:00","2013-03-06T00:00:00",25669
"2013-03-06T00:00:00","2013-03-07T00:00:00",25039
"2013-03-07T00:00:00","2013-03-08T00:00:00",25546
"2013-03-08T00:00:00","2013-03-09T00:00:00",23166
"2013-03-09T00:00:00","2013-03-10T00:00:00",24986
"2013-03-10T00:00:00","2013-03-11T00:00:00",26263
"2013-03-11T00:00:00","2013-03-12T00:00:00",28271
"2013-03-12T00:00:00","2013-03-13T00:00:00",42011
"2013-03-13T00:00:00","2013-03-14T00:00:00",39505
"2013-03-14T00:00:00","2013-03-15T00:00:00",32588
"2013-03-15T00:00:00","2013-03-16T00:00:00",30728
"2013-03-16T00:00:00","2013-03-17T00:00:00",26612
"2013-03-17T00:00:00","2013-03-18T00:00:00",29999
"2013-03-18T00:00:00","2013-03-19T00:00:00",32608
"2013-03-19T00:00:00","2013-03-20T00:00:00",32251
"2013-03-20T00:00:00","2013-03-21T00:00:00",34243
"2013-03-21T00:00:00","2013-03-22T00:00:00",32646
"2013-03-22T00:00:00","2013-03-23T00:00:00",32642
"2013-03-23T00:00:00","2013-03-24T00:00:00",24687
"2013-03-24T00:00:00","2013-03-25T00:00:00",29057
"2013-03-25T00:00:00","2013-03-26T00:00:00",31066
"2013-03-26T00:00:00","2013-03-27T00:00:00",33418
"2013-03-27T00:00:00","2013-03-28T00:00:00",31990
"2013-03-28T00:00:00","2013-03-29T00:00:00",29941
"2013-03-29T00:00:00","2013-03-30T00:00:00",30856
"2013-03-30T00:00:00","2013-03-31T00:00:00",24188
"2013-03-31T00:00:00","2013-04-01T00:00:00",23948
"2013-04-01T00:00:00","2013-04-02T00:00:00",24989
"2013-04-02T00:00:00","2013-04-03T00:00:00",28997
"2013-04-03T00:00:00","2013-04-04T00:00:00",28663
"2013-04-04T00:00:00","2013-04-05T00:00:00",28701
"2013-04-05T00:00:00","2013-04-06T00:00:00",30054
"2013-04-06T00:00:00","2013-04-07T00:00:00",23343
"2013-04-07T00:00:00","2013-04-08T00:00:00",24733
"2013-04-08T00:00:00","2013-04-09T00:00:00",28758
"2013-04-09T00:00:00","2013-04-10T00:00:00",31935
"2013-04-10T00:00:00","2013-04-11T00:00:00",31716
"2013-04-11T00:00:00","2013-04-12T00:00:00",30626
"2013-04-12T00:00:00","2013-04-13T00:00:00",32774
"2013-04-13T00:00:00","2013-04-14T00:00:00",24215
"2013-04-14T00:00:00","2013-04-15T00:00:00",28290
"2013-04-15T00:00:00","2013-04-16T00:00:00",30977
"2013-04-16T00:00:00","2013-04-17T00:00:00",31245
"2013-04-17T00:00:00","2013-04-18T00:00:00",32436
"2013-04-18T00:00:00","2013-04-19T00:00:00",31630
"2013-04-19T00:00:00","2013-04-20T00:00:00",31750
"2013-04-20T00:00:00","2013-04-21T00:00:00",23658
"2013-04-21T00:00:00","2013-04-22T00:00:00",27373
"2013-04-22T00:00:00","2013-04-23T00:00:00",30181
"2013-04-23T00:00:00","2013-04-24T00:00:00",31896
"2013-04-24T00:00:00","2013-04-25T00:00:00",32042
"2013-04-25T00:00:00","2013-04-26T00:00:00",31660
"2013-04-26T00:00:00","2013-04-27T00:00:00",31856
"2013-04-27T00:00:00","2013-04-28T00:00:00",22701
"2013-04-28T00:00:00","2013-04-29T00:00:00",25994
"2013-04-29T00:00:00","2013-04-30T00:00:00",30770
"2013-04-30T00:00:00","2013-05-01T00:00:00",32871
"2013-05-01T00:00:00","2013-05-02T00:00:00",27438
"2013-05-02T00:00:00","2013-05-03T00:00:00",32329
"2013-05-03T00:00:00","2013-05-04T00:00:00",31655
"2013-05-04T00:00:00","2013-05-05T00:00:00",25135
"2013-05-05T00:00:00","2013-05-06T00:00:00",26101
"2013-05-06T00:00:00","2013-05-07T00:00:00",30648
"2013-05-07T00:00:00","2013-05-08T00:00:00",33483
"2013-05-08T00:00:00","2013-05-09T00:00:00",31700
"2013-05-09T00:00:00","2013-05-10T00:00:00",25676
"2013-05-10T00:00:00","2013-05-11T00:00:00",26525
"2013-05-11T00:00:00","2013-05-12T00:00:00",24212
"2013-05-12T00:00:00","2013-05-13T00:00:00",28849
"2013-05-13T00:00:00","2013-05-14T00:00:00",31449
"2013-05-14T00:00:00","2013-05-15T00:00:00",38327
"2013-05-15T00:00:00","2013-05-16T00:00:00",32775
"2013-05-16T00:00:00","2013-05-17T00:00:00",38945
"2013-05-17T00:00:00","2013-05-18T00:00:00",30937
"2013-05-18T00:00:00","2013-05-19T00:00:00",32547
"2013-05-19T00:00:00","2013-05-20T00:00:00",26327
"2013-05-20T00:00:00","2013-05-21T00:00:00",26316
"2013-05-21T00:00:00","2013-05-22T00:00:00",33870
"2013-05-22T00:00:00","2013-05-23T00:00:00",33528
"2013-05-23T00:00:00","2013-05-24T00:00:00",32855
"2013-05-24T00:00:00","2013-05-25T00:00:00",31536
"2013-05-25T00:00:00","2013-05-26T00:00:00",27859
"2013-05-26T00:00:00","2013-05-27T00:00:00",28938
"2013-05-27T00:00:00","2013-05-28T00:00:00",33672
"2013-05-28T00:00:00","2013-05-29T00:00:00",35635
"2013-05-29T00:00:00","2013-05-30T00:00:00",39097
"2013-05-30T00:00:00","2013-05-31T00:00:00",37267
"2013-05-31T00:00:00","2013-06-01T00:00:00",32244
"2013-06-01T00:00:00","2013-06-02T00:00:00",26610
"2013-06-02T00:00:00","2013-06-03T00:00:00",27810
"2013-06-03T00:00:00","2013-06-04T00:00:00",31556
"2013-06-04T00:00:00","2013-06-05T00:00:00",32972
"2013-06-05T00:00:00","2013-06-06T00:00:00",34449
"2013-06-06T00:00:00","2013-06-07T00:00:00",31873
"2013-06-07T00:00:00","2013-06-08T00:00:00",33821
"2013-06-08T00:00:00","2013-06-09T00:00:00",25246
"2013-06-09T00:00:00","2013-06-10T00:00:00",28871
"2013-06-10T00:00:00","2013-06-11T00:00:00",35901
"2013-06-11T00:00:00","2013-06-12T00:00:00",35330
"2013-06-12T00:00:00","2013-06-13T00:00:00",39439
"2013-06-13T00:00:00","2013-06-14T00:00:00",38395
"2013-06-14T00:00:00","2013-06-15T00:00:00",33082
"2013-06-15T00:00:00","2013-06-16T00:00:00",28680
"2013-06-16T00:00:00","2013-06-17T00:00:00",31478
"2013-06-17T00:00:00","2013-06-18T00:00:00",35559
"2013-06-18T00:00:00","2013-06-19T00:00:00",36371
"2013-06-19T00:00:00","2013-06-20T00:00:00",36897
"2013-06-20T00:00:00","2013-06-21T00:00:00",37658
"2013-06-21T00:00:00","2013-06-22T00:00:00",31541
"2013-06-22T00:00:00","2013-06-23T00:00:00",25450
"2013-06-23T00:00:00","2013-06-24T00:00:00",26635
"2013-06-24T00:00:00","2013-06-25T00:00:00",32194
"2013-06-25T00:00:00","2013-06-26T00:00:00",32022
"2013-06-26T00:00:00","2013-06-27T00:00:00",33131
"2013-06-27T00:00:00","2013-06-28T00:00:00",33945
"2013-06-28T00:00:00","2013-06-29T00:00:00",30923
"2013-06-29T00:00:00","2013-06-30T00:00:00",23239
"2013-06-30T00:00:00","2013-07-01T00:00:00",22825
"2013-07-01T00:00:00","2013-07-02T00:00:00",28891
"2013-07-02T00:00:00","2013-07-03T00:00:00",28334
"2013-07-03T00:00:00","2013-07-04T00:00:00",38010
"2013-07-04T00:00:00","2013-07-05T00:00:00",29512
"2013-07-05T00:00:00","2013-07-06T00:00:00",27006
"2013-07-06T00:00:00","2013-07-07T00:00:00",21177
"2013-07-07T00:00:00","2013-07-08T00:00:00",19093
"2013-07-08T00:00:00","2013-07-09T00:00:00",25477
"2013-07-09T00:00:00","2013-07-10T00:00:00",24773
"2013-07-10T00:00:00","2013-07-11T00:00:00",26894
"2013-07-11T00:00:00","2013-07-12T00:00:00",27370
"2013-07-12T00:00:00","2013-07-13T00:00:00",27667
"2013-07-13T00:00:00","2013-07-14T00:00:00",21261
"2013-07-14T00:00:00","2013-07-15T00:00:00",23534
"2013-07-15T00:00:00","2013-07-16T00:00:00",24757
"2013-07-16T00:00:00","2013-07-17T00:00:00",26742
"2013-07-17T00:00:00","2013-07-18T00:00:00",26271
"2013-07-18T00:00:00","2013-07-19T00:00:00",27347
"2013-07-19T00:00:00","2013-07-20T00:00:00",26391
"2013-07-20T00:00:00","2013-07-21T00:00:00",22186
"2013-07-21T00:00:00","2013-07-22T00:00:00",27995
"2013-07-22T00:00:00","2013-07-23T00:00:00",26077
"2013-07-23T00:00:00","2013-07-24T00:00:00",25278
"2013-07-24T00:00:00","2013-07-25T00:00:00",24828
"2013-07-25T00:00:00","2013-07-26T00:00:00",25113
"2013-07-26T00:00:00","2013-07-27T00:00:00",25835
"2013-07-27T00:00:00","2013-07-28T00:00:00",24733
"2013-07-28T00:00:00","2013-07-29T00:00:00",22268
"2013-07-29T00:00:00","2013-07-30T00:00:00",26820
"2013-07-30T00:00:00","2013-07-31T00:00:00",27575
"2013-07-31T00:00:00","2013-08-01T00:00:00",26871
"2013-08-01T00:00:00","2013-08-02T00:00:00",27558
"2013-08-02T00:00:00","2013-08-03T00:00:00",25247
"2013-08-03T00:00:00","2013-08-04T00:00:00",20939
"2013-08-04T00:00:00","2013-08-05T00:00:00",21895
"2013-08-05T00:00:00","2013-08-06T00:00:00",26043
"2013-08-06T00:00:00","2013-08-07T00:00:00",28222
"2013-08-07T00:00:00","2013-08-08T00:00:00",31302
"2013-08-08T00:00:00","2013-08-09T00:00:00",29803
"2013-08-09T00:00:00","2013-08-10T00:00:00",29265
"2013-08-10T00:00:00","2013-08-11T00:00:00",22786
"2013-08-11T00:00:00","2013-08-12T00:00:00",25115
"2013-08-12T00:00:00","2013-08-13T00:00:00",30420
"2013-08-13T00:00:00","2013-08-14T00:00:00",30143
"2013-08-14T00:00:00","2013-08-15T00:00:00",31160
"2013-08-15T00:00:00","2013-08-16T00:00:00",24545
"2013-08-16T00:00:00","2013-08-17T00:00:00",27128
"2013-08-17T00:00:00","2013-08-18T00:00:00",24243
"2013-08-18T00:00:00","2013-08-19T00:00:00",27493
"2013-08-19T00:00:00","2013-08-20T00:00:00",30803
"2013-08-20T00:00:00","2013-08-21T00:00:00",31636
"2013-08-21T00:00:00","2013-08-22T00:00:00",31945
"2013-08-22T00:00:00","2013-08-23T00:00:00",31956
"2013-08-23T00:00:00","2013-08-24T00:00:00",30713
"2013-08-24T00:00:00","2013-08-25T00:00:00",27024
"2013-08-25T00:00:00","2013-08-26T00:00:00",28163
"2013-08-26T00:00:00","2013-08-27T00:00:00",32509
"2013-08-27T00:00:00","2013-08-28T00:00:00",34745
"2013-08-28T00:00:00","2013-08-29T00:00:00",35814
"2013-08-29T00:00:00","2013-08-30T00:00:00",35585
"2013-08-30T00:00:00","2013-08-31T00:00:00",34208
"2013-08-31T00:00:00","2013-09-01T00:00:00",26966
"2013-09-01T00:00:00","2013-09-02T00:00:00",35489
"2013-09-02T00:00:00","2013-09-03T00:00:00",39145
"2013-09-03T00:00:00","2013-09-04T00:00:00",33764
"2013-09-04T00:00:00","2013-09-05T00:00:00",34743
"2013-09-05T00:00:00","2013-09-06T00:00:00",33035
"2013-09-06T00:00:00","2013-09-07T00:00:00",33858
"2013-09-07T00:00:00","2013-09-08T00:00:00",24196
"2013-09-08T00:00:00","2013-09-09T00:00:00",28334
"2013-09-09T00:00:00","2013-09-10T00:00:00",32685
"2013-09-10T00:00:00","2013-09-11T00:00:00",34236
"2013-09-11T00:00:00","2013-09-12T00:00:00",34646
"2013-09-12T00:00:00","2013-09-13T00:00:00",32877
"2013-09-13T00:00:00","2013-09-14T00:00:00",32270
"2013-09-14T00:00:00","2013-09-15T00:00:00",28763
"2013-09-15T00:00:00","2013-09-16T00:00:00",30795
"2013-09-16T00:00:00","2013-09-17T00:00:00",33734
"2013-09-17T00:00:00","2013-09-18T00:00:00",36254
"2013-09-18T00:00:00","2013-09-19T00:00:00",38789
"2013-09-19T00:00:00","2013-09-20T00:00:00",37909
"2013-09-20T00:00:00","2013-09-21T00:00:00",31665
"2013-09-21T00:00:00","2013-09-22T00:00:00",26256
"2013-09-22T00:00:00","2013-09-23T00:00:00",32831
"2013-09-23T00:00:00","2013-09-24T00:00:00",32345
"2013-09-24T00:00:00","2013-09-25T00:00:00",33385
"2013-09-25T00:00:00","2013-09-26T00:00:00",34034
"2013-09-26T00:00:00","2013-09-27T00:00:00",32986
"2013-09-27T00:00:00","2013-09-28T00:00:00",30996
"2013-09-28T00:00:00","2013-09-29T00:00:00",27712
"2013-09-29T00:00:00","2013-09-30T00:00:00",28933
"2013-09-30T00:00:00","2013-10-01T00:00:00",32002
"2013-10-01T00:00:00","2013-10-02T00:00:00",29903
"2013-10-02T00:00:00","2013-10-03T00:00:00",31851
"2013-10-03T00:00:00","2013-10-04T00:00:00",28828
"2013-10-04T00:00:00","2013-10-05T00:00:00",28009
"2013-10-05T00:00:00","2013-10-06T00:00:00",22793
"2013-10-06T00:00:00","2013-10-07T00:00:00",26304
"2013-10-07T00:00:00","2013-10-08T00:00:00",27955
"2013-10-08T00:00:00","2013-10-09T00:00:00",27510
"2013-10-09T00:00:00","2013-10-10T00:00:00",29852
"2013-10-10T00:00:00","2013-10-11T00:00:00",28902
"2013-10-11T00:00:00","2013-10-12T00:00:00",30833
"2013-10-12T00:00:00","2013-10-13T00:00:00",21406
"2013-10-13T00:00:00","2013-10-14T00:00:00",26894
"2013-10-14T00:00:00","2013-10-15T00:00:00",28795
"2013-10-15T00:00:00","2013-10-16T00:00:00",33307
"2013-10-16T00:00:00","2013-10-17T00:00:00",30007
"2013-10-17T00:00:00","2013-10-18T00:00:00",30365
"2013-10-18T00:00:00","2013-10-19T00:00:00",28959
"2013-10-19T00:00:00","2013-10-20T00:00:00",24202
"2013-10-20T00:00:00","2013-10-21T00:00:00",26993
"2013-10-21T00:00:00","2013-10-22T00:00:00",29451
"2013-10-22T00:00:00","2013-10-23T00:00:00",32884
"2013-10-23T00:00:00","2013-10-24T00:00:00",33634
"2013-10-24T00:00:00","2013-10-25T00:00:00",31133
