"date","unique_authors"
2019-01-01,"3755"
2019-01-02,"3770"
2019-01-03,"3827"
2019-01-04,"3402"
2019-01-05,"3541"
2019-01-06,"4259"
2019-01-07,"4395"
2019-01-08,"4547"
2019-01-09,"4726"
2019-01-10,"4278"
2019-01-11,"3532"
2019-01-12,"3517"
2019-01-13,"4317"
2019-01-14,"4460"
2019-01-15,"4529"
2019-01-16,"4764"
2019-01-17,"4453"
2019-01-18,"3579"
2019-01-19,"3557"
2019-01-20,"4472"
2019-01-21,"4735"
2019-01-22,"4684"
2019-01-23,"4807"
2019-01-24,"4433"
2019-01-25,"3652"
2019-01-26,"3864"
2019-01-27,"4693"
2019-01-28,"4668"
2019-01-29,"4890"
2019-01-30,"4673"
2019-01-31,"4397"
2019-02-01,"3465"
2019-02-02,"3545"
2019-02-03,"4318"
2019-02-04,"4796"
2019-02-05,"4568"
2019-02-06,"4569"
2019-02-07,"4328"
2019-02-08,"3412"
2019-02-09,"3569"
2019-02-10,"4368"
2019-02-11,"4515"
2019-02-12,"4557"
2019-02-13,"4469"
2019-02-14,"4264"
2019-02-15,"3232"
2019-02-16,"3380"
2019-02-17,"4043"
2019-02-18,"4306"
2019-02-19,"4412"
2019-02-20,"4510"
2019-02-21,"4159"
2019-02-22,"3338"
2019-02-23,"3390"
2019-02-24,"4006"
2019-02-25,"4383"
2019-02-26,"4421"
2019-02-27,"4493"
2019-02-28,"4405"
2019-03-01,"3459"
2019-03-02,"3392"
2019-03-03,"4045"
2019-03-04,"4236"
2019-03-05,"4234"
2019-03-06,"4201"
2019-03-07,"4073"
2019-03-08,"3267"
2019-03-09,"3743"
2019-03-10,"4114"
2019-03-11,"4322"
2019-03-12,"4441"
2019-03-13,"4709"
2019-03-14,"4434"
2019-03-15,"3523"
2019-03-16,"3779"
2019-03-17,"4202"
2019-03-18,"4521"
2019-03-19,"4583"
2019-03-20,"4693"
2019-03-21,"4246"
2019-03-22,"3437"
2019-03-23,"3495"
2019-03-24,"4340"
2019-03-25,"4476"
2019-03-26,"4383"
2019-03-27,"4590"
2019-03-28,"4357"
2019-03-29,"3290"
2019-03-30,"3488"
2019-03-31,"4374"
2019-04-01,"4464"
2019-04-02,"4397"
2019-04-03,"4491"
2019-04-04,"4276"
2019-04-05,"3486"
2019-04-06,"3543"
2019-04-07,"3954"
2019-04-08,"4047"
2019-04-09,"4083"
2019-04-10,"3876"
2019-04-11,"4017"
2019-04-12,"3198"
2019-04-13,"3538"
2019-04-14,"4197"
2019-04-15,"4268"
2019-04-16,"4209"
2019-04-17,"3955"
2019-04-18,"3816"
2019-04-19,"3073"
2019-04-20,"3369"
2019-04-21,"3437"
2019-04-22,"4194"
2019-04-23,"4505"
2019-04-24,"4462"
2019-04-25,"4231"
2019-04-26,"3409"
2019-04-27,"3686"
2019-04-28,"4246"
2019-04-29,"4258"
2019-04-30,"3809"
2019-05-01,"4237"
2019-05-02,"4603"
2019-05-03,"3688"
2019-05-04,"4169"
2019-05-05,"5076"
2019-05-06,"4992"
2019-05-07,"5145"
2019-05-08,"4755"
2019-05-09,"4414"
2019-05-10,"3605"
2019-05-11,"3859"
2019-05-12,"4453"
2019-05-13,"4943"
2019-05-14,"4830"
2019-05-15,"5130"
2019-05-16,"4726"
2019-05-17,"3803"
2019-05-18,"4283"
2019-05-19,"4689"
2019-05-20,"4859"
2019-05-21,"4901"
2019-05-22,"4861"
2019-05-23,"4627"
2019-05-24,"4068"
2019-05-25,"5818"
2019-05-26,"5326"
2019-05-27,"5013"
2019-05-28,"4592"
2019-05-29,"3901"
2019-05-30,"4035"
2019-05-31,"3825"
2019-06-01,"3912"
2019-06-02,"4514"
2019-06-03,"4897"
2019-06-04,"5131"
2019-06-05,"4952"
2019-06-06,"4625"
2019-06-07,"3760"
2019-06-08,"3774"
2019-06-09,"3830"
2019-06-10,"4787"
2019-06-11,"5050"
2019-06-12,"5239"
2019-06-13,"4680"
2019-06-14,"3645"
2019-06-15,"3760"
2019-06-16,"4668"
2019-06-17,"4821"
2019-06-18,"5002"
2019-06-19,"4872"
2019-06-20,"4397"
2019-06-21,"3451"
2019-06-22,"3480"
2019-06-23,"4464"
2019-06-24,"4617"
2019-06-25,"4569"
2019-06-26,"4486"
2019-06-27,"4397"
2019-06-28,"3460"
2019-06-29,"3330"
2019-06-30,"4060"
2019-07-01,"4298"
2019-07-02,"4325"
2019-07-03,"4219"
2019-07-04,"4212"
2019-07-05,"3330"
2019-07-06,"3257"
2019-07-07,"3881"
2019-07-08,"4070"
2019-07-09,"4298"
2019-07-10,"4159"
2019-07-11,"3317"
2019-07-12,"3137"
2019-07-13,"3153"
2019-07-14,"3955"
2019-07-15,"3923"
2019-07-16,"4060"
2019-07-17,"4055"
2019-07-18,"4011"
2019-07-19,"3199"
2019-07-20,"3223"
2019-07-21,"3758"
2019-07-22,"3949"
2019-07-23,"4111"
2019-07-24,"4410"
2019-07-25,"4055"
2019-07-26,"3359"
2019-07-27,"3399"
2019-07-28,"3736"
2019-07-29,"3912"
2019-07-30,"3941"
2019-07-31,"3901"
2019-08-01,"3771"
2019-08-02,"3468"
2019-08-03,"3198"
2019-08-04,"4174"
2019-08-05,"3991"
2019-08-06,"3981"
2019-08-07,"3991"
2019-08-08,"4096"
2019-08-09,"3431"
2019-08-10,"3398"
2019-08-11,"4113"
2019-08-12,"4141"
2019-08-13,"4191"
2019-08-14,"3683"
2019-08-15,"3933"
2019-08-16,"3876"
2019-08-17,"3630"
2019-08-18,"4144"
2019-08-19,"4330"
2019-08-20,"4177"
2019-08-21,"4436"
2019-08-22,"4328"
2019-08-23,"3517"
2019-08-24,"3350"
2019-08-25,"4126"
2019-08-26,"4219"
2019-08-27,"4528"
2019-08-28,"4535"
2019-08-29,"4310"
2019-08-30,"3445"
2019-08-31,"3757"
2019-09-01,"4508"
2019-09-02,"4246"
2019-09-03,"4369"
2019-09-04,"4266"
2019-09-05,"4177"
2019-09-06,"3267"
2019-09-07,"3353"
2019-09-08,"4305"
2019-09-09,"4242"
2019-09-10,"4378"
2019-09-11,"4303"
2019-09-12,"4194"
2019-09-13,"3409"
2019-09-14,"3415"
2019-09-15,"4291"
2019-09-16,"4510"
2019-09-17,"4393"
2019-09-18,"4364"
2019-09-19,"4232"
2019-09-20,"3409"
2019-09-21,"3636"
2019-09-22,"4273"
2019-09-23,"4522"
2019-09-24,"4538"
2019-09-25,"4391"
2019-09-26,"4279"
2019-09-27,"3688"
2019-09-28,"3836"
2019-09-29,"4733"
2019-09-30,"5141"
2019-10-01,"4564"
2019-10-02,"4652"
2019-10-03,"4624"
2019-10-04,"3619"
2019-10-05,"3897"
2019-10-06,"4472"
2019-10-07,"4698"
2019-10-08,"4675"
2019-10-09,"4675"
2019-10-10,"4510"
2019-10-11,"3647"
2019-10-12,"3703"
2019-10-13,"4361"
2019-10-14,"4526"
2019-10-15,"4610"
2019-10-16,"4725"
2019-10-17,"4417"
2019-10-18,"3523"
2019-10-19,"3817"
2019-10-20,"4465"
2019-10-21,"4773"
2019-10-22,"4578"
2019-10-23,"4538"
2019-10-24,"4291"
2019-10-25,"3569"
2019-10-26,"3666"
2019-10-27,"4039"
2019-10-28,"4164"
2019-10-29,"4337"
2019-10-30,"4184"
2019-10-31,"3697"
2019-11-01,"3508"
2019-11-02,"3633"
2019-11-03,"4351"
2019-11-04,"4502"
2019-11-05,"4812"
2019-11-06,"4599"
2019-11-07,"4421"
2019-11-08,"3474"
2019-11-09,"3672"
2019-11-10,"3934"
2019-11-11,"4469"
2019-11-12,"4571"
2019-11-13,"4627"
2019-11-14,"4347"
2019-11-15,"3735"
2019-11-16,"3754"
2019-11-17,"4371"
2019-11-18,"4611"
2019-11-19,"4599"
2019-11-20,"4638"
2019-11-21,"4438"
2019-11-22,"3644"
2019-11-23,"3803"
2019-11-24,"4460"
2019-11-25,"4741"
2019-11-26,"4827"
2019-11-27,"4714"
2019-11-28,"4528"
2019-11-29,"3558"
2019-11-30,"3792"
2019-12-01,"4491"
2019-12-02,"4845"
2019-12-03,"4852"
2019-12-04,"5094"
2019-12-05,"4861"
2019-12-06,"3918"
2019-12-07,"3835"
2019-12-08,"4730"
2019-12-09,"4888"
2019-12-10,"4800"
2019-12-11,"4827"
2019-12-12,"4512"
2019-12-13,"3708"
2019-12-14,"3751"
2019-12-15,"4419"
2019-12-16,"4522"
2019-12-17,"4638"
2019-12-18,"4611"
2019-12-19,"4484"
2019-12-20,"3620"
2019-12-21,"3447"
2019-12-22,"4114"
2019-12-23,"4083"
2019-12-24,"3425"
2019-12-25,"3512"
2019-12-26,"3645"
2019-12-27,"3350"
2019-12-28,"3611"
2019-12-29,"4189"
2019-12-30,"4119"
2019-12-31,"3661"
2020-01-01,"3798"
2020-01-02,"4055"
2020-01-03,"3495"
2020-01-04,"3816"
2020-01-05,"4318"
2020-01-06,"4278"
2020-01-07,"4383"
2020-01-08,"4451"
2020-01-09,"4429"
2020-01-10,"3630"
2020-01-11,"3792"
2020-01-12,"4398"
2020-01-13,"4694"
2020-01-14,"4805"
2020-01-15,"4535"
2020-01-16,"4291"
2020-01-17,"3610"
2020-01-18,"3706"
2020-01-19,"4371"
2020-01-20,"4362"
2020-01-21,"4547"
2020-01-22,"4548"
2020-01-23,"4419"
2020-01-24,"3583"
2020-01-25,"3568"
2020-01-26,"4216"
2020-01-27,"4395"
2020-01-28,"4412"
2020-01-29,"4647"
2020-01-30,"4510"
2020-01-31,"3569"
2020-02-01,"3683"
