startDate,endDate,numberOfDocuments
"2018-01-01T00:00:00","2018-01-02T00:00:00",94773
"2018-01-02T00:00:00","2018-01-03T00:00:00",93290
"2018-01-03T00:00:00","2018-01-04T00:00:00",105705
"2018-01-04T00:00:00","2018-01-05T00:00:00",109206
"2018-01-05T00:00:00","2018-01-06T00:00:00",106047
"2018-01-06T00:00:00","2018-01-07T00:00:00",95228
"2018-01-07T00:00:00","2018-01-08T00:00:00",95212
"2018-01-08T00:00:00","2018-01-09T00:00:00",109112
"2018-01-09T00:00:00","2018-01-10T00:00:00",116507
"2018-01-10T00:00:00","2018-01-11T00:00:00",101434
"2018-01-11T00:00:00","2018-01-12T00:00:00",105971
"2018-01-12T00:00:00","2018-01-13T00:00:00",104575
"2018-01-13T00:00:00","2018-01-14T00:00:00",91271
"2018-01-14T00:00:00","2018-01-15T00:00:00",98303
"2018-01-15T00:00:00","2018-01-16T00:00:00",103960
"2018-01-16T00:00:00","2018-01-17T00:00:00",99712
"2018-01-17T00:00:00","2018-01-18T00:00:00",109663
"2018-01-18T00:00:00","2018-01-19T00:00:00",104064
"2018-01-19T00:00:00","2018-01-20T00:00:00",101464
"2018-01-20T00:00:00","2018-01-21T00:00:00",98598
"2018-01-21T00:00:00","2018-01-22T00:00:00",93889
"2018-01-22T00:00:00","2018-01-23T00:00:00",101309
"2018-01-23T00:00:00","2018-01-24T00:00:00",105747
"2018-01-24T00:00:00","2018-01-25T00:00:00",102986
"2018-01-25T00:00:00","2018-01-26T00:00:00",106113
"2018-01-26T00:00:00","2018-01-27T00:00:00",106758
"2018-01-27T00:00:00","2018-01-28T00:00:00",85260
"2018-01-28T00:00:00","2018-01-29T00:00:00",91375
"2018-01-29T00:00:00","2018-01-30T00:00:00",103611
"2018-01-30T00:00:00","2018-01-31T00:00:00",103882
"2018-01-31T00:00:00","2018-02-01T00:00:00",116514
"2018-02-01T00:00:00","2018-02-02T00:00:00",105527
"2018-02-02T00:00:00","2018-02-03T00:00:00",95514
"2018-02-03T00:00:00","2018-02-04T00:00:00",92166
"2018-02-04T00:00:00","2018-02-05T00:00:00",86222
"2018-02-05T00:00:00","2018-02-06T00:00:00",124089
"2018-02-06T00:00:00","2018-02-07T00:00:00",104986
"2018-02-07T00:00:00","2018-02-08T00:00:00",117321
"2018-02-08T00:00:00","2018-02-09T00:00:00",115046
"2018-02-09T00:00:00","2018-02-10T00:00:00",109950
"2018-02-10T00:00:00","2018-02-11T00:00:00",98295
"2018-02-11T00:00:00","2018-02-12T00:00:00",83892
"2018-02-12T00:00:00","2018-02-13T00:00:00",92636
"2018-02-13T00:00:00","2018-02-14T00:00:00",102911
"2018-02-14T00:00:00","2018-02-15T00:00:00",105680
"2018-02-15T00:00:00","2018-02-16T00:00:00",110952
