startDate,endDate,numberOfDocuments
"2018-01-01T00:00:00","2018-01-02T00:00:00",46299
"2018-01-02T00:00:00","2018-01-03T00:00:00",45347
"2018-01-03T00:00:00","2018-01-04T00:00:00",53505
"2018-01-04T00:00:00","2018-01-05T00:00:00",75964
"2018-01-05T00:00:00","2018-01-06T00:00:00",50465
"2018-01-06T00:00:00","2018-01-07T00:00:00",44454
"2018-01-07T00:00:00","2018-01-08T00:00:00",42363
"2018-01-08T00:00:00","2018-01-09T00:00:00",55872
"2018-01-09T00:00:00","2018-01-10T00:00:00",53362
"2018-01-10T00:00:00","2018-01-11T00:00:00",49404
"2018-01-11T00:00:00","2018-01-12T00:00:00",49311
"2018-01-12T00:00:00","2018-01-13T00:00:00",51853
"2018-01-13T00:00:00","2018-01-14T00:00:00",45849
"2018-01-14T00:00:00","2018-01-15T00:00:00",43245
"2018-01-15T00:00:00","2018-01-16T00:00:00",41871
"2018-01-16T00:00:00","2018-01-17T00:00:00",47482
"2018-01-17T00:00:00","2018-01-18T00:00:00",51895
"2018-01-18T00:00:00","2018-01-19T00:00:00",53457
"2018-01-19T00:00:00","2018-01-20T00:00:00",52280
"2018-01-20T00:00:00","2018-01-21T00:00:00",47199
"2018-01-21T00:00:00","2018-01-22T00:00:00",41984
"2018-01-22T00:00:00","2018-01-23T00:00:00",50425
"2018-01-23T00:00:00","2018-01-24T00:00:00",52992
"2018-01-24T00:00:00","2018-01-25T00:00:00",51733
"2018-01-25T00:00:00","2018-01-26T00:00:00",59515
"2018-01-26T00:00:00","2018-01-27T00:00:00",48343
"2018-01-27T00:00:00","2018-01-28T00:00:00",40455
"2018-01-28T00:00:00","2018-01-29T00:00:00",37097
"2018-01-29T00:00:00","2018-01-30T00:00:00",48469
"2018-01-30T00:00:00","2018-01-31T00:00:00",53504
"2018-01-31T00:00:00","2018-02-01T00:00:00",56720
"2018-02-01T00:00:00","2018-02-02T00:00:00",55068
"2018-02-02T00:00:00","2018-02-03T00:00:00",60640
"2018-02-03T00:00:00","2018-02-04T00:00:00",45210
"2018-02-04T00:00:00","2018-02-05T00:00:00",42454
"2018-02-05T00:00:00","2018-02-06T00:00:00",59359
"2018-02-06T00:00:00","2018-02-07T00:00:00",51570
"2018-02-07T00:00:00","2018-02-08T00:00:00",54630
"2018-02-08T00:00:00","2018-02-09T00:00:00",48886
"2018-02-09T00:00:00","2018-02-10T00:00:00",48919
"2018-02-10T00:00:00","2018-02-11T00:00:00",46920
"2018-02-11T00:00:00","2018-02-12T00:00:00",38211
"2018-02-12T00:00:00","2018-02-13T00:00:00",47279
"2018-02-13T00:00:00","2018-02-14T00:00:00",46767
"2018-02-14T00:00:00","2018-02-15T00:00:00",46366
"2018-02-15T00:00:00","2018-02-16T00:00:00",60684
"2018-02-16T00:00:00","2018-02-17T00:00:00",52556
"2018-02-17T00:00:00","2018-02-18T00:00:00",47893
"2018-02-18T00:00:00","2018-02-19T00:00:00",45361
"2018-02-19T00:00:00","2018-02-20T00:00:00",45626
"2018-02-20T00:00:00","2018-02-21T00:00:00",52157
"2018-02-21T00:00:00","2018-02-22T00:00:00",55674
"2018-02-22T00:00:00","2018-02-23T00:00:00",57383
"2018-02-23T00:00:00","2018-02-24T00:00:00",57354
"2018-02-24T00:00:00","2018-02-25T00:00:00",46320
"2018-02-25T00:00:00","2018-02-26T00:00:00",38926
"2018-02-26T00:00:00","2018-02-27T00:00:00",49999
"2018-02-27T00:00:00","2018-02-28T00:00:00",56058
"2018-02-28T00:00:00","2018-03-01T00:00:00",54484
"2018-03-01T00:00:00","2018-03-02T00:00:00",56259
"2018-03-02T00:00:00","2018-03-03T00:00:00",54676
"2018-03-03T00:00:00","2018-03-04T00:00:00",42780
"2018-03-04T00:00:00","2018-03-05T00:00:00",37892
"2018-03-05T00:00:00","2018-03-06T00:00:00",46261
"2018-03-06T00:00:00","2018-03-07T00:00:00",48930
"2018-03-07T00:00:00","2018-03-08T00:00:00",53879
"2018-03-08T00:00:00","2018-03-09T00:00:00",51557
"2018-03-09T00:00:00","2018-03-10T00:00:00",51300
"2018-03-10T00:00:00","2018-03-11T00:00:00",40665
"2018-03-11T00:00:00","2018-03-12T00:00:00",42335
"2018-03-12T00:00:00","2018-03-13T00:00:00",50536
"2018-03-13T00:00:00","2018-03-14T00:00:00",55309
"2018-03-14T00:00:00","2018-03-15T00:00:00",57707
"2018-03-15T00:00:00","2018-03-16T00:00:00",56142
"2018-03-16T00:00:00","2018-03-17T00:00:00",53022
"2018-03-17T00:00:00","2018-03-18T00:00:00",48305
"2018-03-18T00:00:00","2018-03-19T00:00:00",43138
"2018-03-19T00:00:00","2018-03-20T00:00:00",51740
"2018-03-20T00:00:00","2018-03-21T00:00:00",54214
"2018-03-21T00:00:00","2018-03-22T00:00:00",52722
"2018-03-22T00:00:00","2018-03-23T00:00:00",52660
