startDate,endDate,numberOfDocuments
"2018-01-01T00:00:00","2018-01-02T00:00:00",368983
"2018-01-02T00:00:00","2018-01-03T00:00:00",308227
"2018-01-03T00:00:00","2018-01-04T00:00:00",315097
"2018-01-04T00:00:00","2018-01-05T00:00:00",331803
"2018-01-05T00:00:00","2018-01-06T00:00:00",316594
"2018-01-06T00:00:00","2018-01-07T00:00:00",304002
"2018-01-07T00:00:00","2018-01-08T00:00:00",294025
"2018-01-08T00:00:00","2018-01-09T00:00:00",346599
"2018-01-09T00:00:00","2018-01-10T00:00:00",344185
"2018-01-10T00:00:00","2018-01-11T00:00:00",327811
"2018-01-11T00:00:00","2018-01-12T00:00:00",320285
"2018-01-12T00:00:00","2018-01-13T00:00:00",336799
"2018-01-13T00:00:00","2018-01-14T00:00:00",294285
"2018-01-14T00:00:00","2018-01-15T00:00:00",297229
"2018-01-15T00:00:00","2018-01-16T00:00:00",305582
"2018-01-16T00:00:00","2018-01-17T00:00:00",307126
"2018-01-17T00:00:00","2018-01-18T00:00:00",322516
"2018-01-18T00:00:00","2018-01-19T00:00:00",310290
"2018-01-19T00:00:00","2018-01-20T00:00:00",325471
"2018-01-20T00:00:00","2018-01-21T00:00:00",304970
"2018-01-21T00:00:00","2018-01-22T00:00:00",286888
"2018-01-22T00:00:00","2018-01-23T00:00:00",305420
"2018-01-23T00:00:00","2018-01-24T00:00:00",313794
"2018-01-24T00:00:00","2018-01-25T00:00:00",318682
"2018-01-25T00:00:00","2018-01-26T00:00:00",332826
"2018-01-26T00:00:00","2018-01-27T00:00:00",319209
"2018-01-27T00:00:00","2018-01-28T00:00:00",278636
"2018-01-28T00:00:00","2018-01-29T00:00:00",267388
"2018-01-29T00:00:00","2018-01-30T00:00:00",335771
"2018-01-30T00:00:00","2018-01-31T00:00:00",313812
"2018-01-31T00:00:00","2018-02-01T00:00:00",341602
"2018-02-01T00:00:00","2018-02-02T00:00:00",326528
"2018-02-02T00:00:00","2018-02-03T00:00:00",319978
"2018-02-03T00:00:00","2018-02-04T00:00:00",274546
"2018-02-04T00:00:00","2018-02-05T00:00:00",295559
"2018-02-05T00:00:00","2018-02-06T00:00:00",389994
"2018-02-06T00:00:00","2018-02-07T00:00:00",307921
"2018-02-07T00:00:00","2018-02-08T00:00:00",323085
"2018-02-08T00:00:00","2018-02-09T00:00:00",338891
"2018-02-09T00:00:00","2018-02-10T00:00:00",318796
"2018-02-10T00:00:00","2018-02-11T00:00:00",285665
"2018-02-11T00:00:00","2018-02-12T00:00:00",259049
"2018-02-12T00:00:00","2018-02-13T00:00:00",287300
"2018-02-13T00:00:00","2018-02-14T00:00:00",321236
"2018-02-14T00:00:00","2018-02-15T00:00:00",381162
"2018-02-15T00:00:00","2018-02-16T00:00:00",329706
"2018-02-16T00:00:00","2018-02-17T00:00:00",314859
"2018-02-17T00:00:00","2018-02-18T00:00:00",272043
"2018-02-18T00:00:00","2018-02-19T00:00:00",254885
"2018-02-19T00:00:00","2018-02-20T00:00:00",290957
"2018-02-20T00:00:00","2018-02-21T00:00:00",305066
"2018-02-21T00:00:00","2018-02-22T00:00:00",326967
"2018-02-22T00:00:00","2018-02-23T00:00:00",322095
"2018-02-23T00:00:00","2018-02-24T00:00:00",324482
"2018-02-24T00:00:00","2018-02-25T00:00:00",276144
"2018-02-25T00:00:00","2018-02-26T00:00:00",280622
"2018-02-26T00:00:00","2018-02-27T00:00:00",297247
"2018-02-27T00:00:00","2018-02-28T00:00:00",305664
"2018-02-28T00:00:00","2018-03-01T00:00:00",324384
"2018-03-01T00:00:00","2018-03-02T00:00:00",331047
"2018-03-02T00:00:00","2018-03-03T00:00:00",324627
"2018-03-03T00:00:00","2018-03-04T00:00:00",290798
"2018-03-04T00:00:00","2018-03-05T00:00:00",283073
"2018-03-05T00:00:00","2018-03-06T00:00:00",345571
