startDate,endDate,numberOfDocuments
"2018-01-01T00:00:00","2018-01-02T00:00:00",1086842
"2018-01-02T00:00:00","2018-01-03T00:00:00",1082256
"2018-01-03T00:00:00","2018-01-04T00:00:00",1186361
"2018-01-04T00:00:00","2018-01-05T00:00:00",1231181
"2018-01-05T00:00:00","2018-01-06T00:00:00",1190202
"2018-01-06T00:00:00","2018-01-07T00:00:00",1071183
"2018-01-07T00:00:00","2018-01-08T00:00:00",1048590
"2018-01-08T00:00:00","2018-01-09T00:00:00",1196408
"2018-01-09T00:00:00","2018-01-10T00:00:00",1270524
"2018-01-10T00:00:00","2018-01-11T00:00:00",1193343
"2018-01-11T00:00:00","2018-01-12T00:00:00",1185362
"2018-01-12T00:00:00","2018-01-13T00:00:00",1240512
"2018-01-13T00:00:00","2018-01-14T00:00:00",1066251
"2018-01-14T00:00:00","2018-01-15T00:00:00",1054753
"2018-01-15T00:00:00","2018-01-16T00:00:00",1104779
"2018-01-16T00:00:00","2018-01-17T00:00:00",1158091
"2018-01-17T00:00:00","2018-01-18T00:00:00",1198500
"2018-01-18T00:00:00","2018-01-19T00:00:00",1187940
"2018-01-19T00:00:00","2018-01-20T00:00:00",1190894
"2018-01-20T00:00:00","2018-01-21T00:00:00",1105363
"2018-01-21T00:00:00","2018-01-22T00:00:00",1044368
"2018-01-22T00:00:00","2018-01-23T00:00:00",1148626
"2018-01-23T00:00:00","2018-01-24T00:00:00",1188164
"2018-01-24T00:00:00","2018-01-25T00:00:00",1200308
"2018-01-25T00:00:00","2018-01-26T00:00:00",1207203
"2018-01-26T00:00:00","2018-01-27T00:00:00",1184888
"2018-01-27T00:00:00","2018-01-28T00:00:00",1011382
"2018-01-28T00:00:00","2018-01-29T00:00:00",976226
"2018-01-29T00:00:00","2018-01-30T00:00:00",1170748
"2018-01-30T00:00:00","2018-01-31T00:00:00",1202343
"2018-01-31T00:00:00","2018-02-01T00:00:00",1280369
"2018-02-01T00:00:00","2018-02-02T00:00:00",1212956
"2018-02-02T00:00:00","2018-02-03T00:00:00",1198419
"2018-02-03T00:00:00","2018-02-04T00:00:00",1027494
"2018-02-04T00:00:00","2018-02-05T00:00:00",1010805
"2018-02-05T00:00:00","2018-02-06T00:00:00",1342955
"2018-02-06T00:00:00","2018-02-07T00:00:00",1153696
"2018-02-07T00:00:00","2018-02-08T00:00:00",1203295
"2018-02-08T00:00:00","2018-02-09T00:00:00",1225202
"2018-02-09T00:00:00","2018-02-10T00:00:00",1175934
"2018-02-10T00:00:00","2018-02-11T00:00:00",1035770
"2018-02-11T00:00:00","2018-02-12T00:00:00",957669
"2018-02-12T00:00:00","2018-02-13T00:00:00",1067236
"2018-02-13T00:00:00","2018-02-14T00:00:00",1157608
"2018-02-14T00:00:00","2018-02-15T00:00:00",1233134
"2018-02-15T00:00:00","2018-02-16T00:00:00",1211262
"2018-02-16T00:00:00","2018-02-17T00:00:00",1189046
"2018-02-17T00:00:00","2018-02-18T00:00:00",1021182
"2018-02-18T00:00:00","2018-02-19T00:00:00",981836
"2018-02-19T00:00:00","2018-02-20T00:00:00",1068515
"2018-02-20T00:00:00","2018-02-21T00:00:00",1141286
"2018-02-21T00:00:00","2018-02-22T00:00:00",1199879
"2018-02-22T00:00:00","2018-02-23T00:00:00",1247465
"2018-02-23T00:00:00","2018-02-24T00:00:00",1204909
"2018-02-24T00:00:00","2018-02-25T00:00:00",1045603
"2018-02-25T00:00:00","2018-02-26T00:00:00",993000
"2018-02-26T00:00:00","2018-02-27T00:00:00",1098881
"2018-02-27T00:00:00","2018-02-28T00:00:00",1180171
"2018-02-28T00:00:00","2018-03-01T00:00:00",1200089
"2018-03-01T00:00:00","2018-03-02T00:00:00",1204682
"2018-03-02T00:00:00","2018-03-03T00:00:00",1183474
"2018-03-03T00:00:00","2018-03-04T00:00:00",1030834
"2018-03-04T00:00:00","2018-03-05T00:00:00",974100
"2018-03-05T00:00:00","2018-03-06T00:00:00",1156528
"2018-03-06T00:00:00","2018-03-07T00:00:00",1145905
"2018-03-07T00:00:00","2018-03-08T00:00:00",1171287
"2018-03-08T00:00:00","2018-03-09T00:00:00",1196228
"2018-03-09T00:00:00","2018-03-10T00:00:00",1168567
"2018-03-10T00:00:00","2018-03-11T00:00:00",1014082
"2018-03-11T00:00:00","2018-03-12T00:00:00",986831
"2018-03-12T00:00:00","2018-03-13T00:00:00",1096231
"2018-03-13T00:00:00","2018-03-14T00:00:00",1215576
"2018-03-14T00:00:00","2018-03-15T00:00:00",1265497
"2018-03-15T00:00:00","2018-03-16T00:00:00",1228481
"2018-03-16T00:00:00","2018-03-17T00:00:00",1180902
"2018-03-17T00:00:00","2018-03-18T00:00:00",1066336
"2018-03-18T00:00:00","2018-03-19T00:00:00",954373
"2018-03-19T00:00:00","2018-03-20T00:00:00",1084692
"2018-03-20T00:00:00","2018-03-21T00:00:00",1183708
"2018-03-21T00:00:00","2018-03-22T00:00:00",1200955
"2018-03-22T00:00:00","2018-03-23T00:00:00",1194114
"2018-03-23T00:00:00","2018-03-24T00:00:00",1168991
"2018-03-24T00:00:00","2018-03-25T00:00:00",1004612
"2018-03-25T00:00:00","2018-03-26T00:00:00",898302
"2018-03-26T00:00:00","2018-03-27T00:00:00",1056262
"2018-03-27T00:00:00","2018-03-28T00:00:00",1105336
"2018-03-28T00:00:00","2018-03-29T00:00:00",1117426
"2018-03-29T00:00:00","2018-03-30T00:00:00",1138632
"2018-03-30T00:00:00","2018-03-31T00:00:00",1135000
"2018-03-31T00:00:00","2018-04-01T00:00:00",1008518
"2018-04-01T00:00:00","2018-04-02T00:00:00",952539
"2018-04-02T00:00:00","2018-04-03T00:00:00",1014080
"2018-04-03T00:00:00","2018-04-04T00:00:00",1137760
"2018-04-04T00:00:00","2018-04-05T00:00:00",1141175
"2018-04-05T00:00:00","2018-04-06T00:00:00",1144533
"2018-04-06T00:00:00","2018-04-07T00:00:00",1106848
"2018-04-07T00:00:00","2018-04-08T00:00:00",988534
