startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",139336
"2013-01-02T00:00:00","2013-01-03T00:00:00",148674
"2013-01-03T00:00:00","2013-01-04T00:00:00",171618
"2013-01-04T00:00:00","2013-01-05T00:00:00",156758
"2013-01-05T00:00:00","2013-01-06T00:00:00",153849
"2013-01-06T00:00:00","2013-01-07T00:00:00",164485
"2013-01-07T00:00:00","2013-01-08T00:00:00",174209
"2013-01-08T00:00:00","2013-01-09T00:00:00",170214
"2013-01-09T00:00:00","2013-01-10T00:00:00",170227
"2013-01-10T00:00:00","2013-01-11T00:00:00",161952
"2013-01-11T00:00:00","2013-01-12T00:00:00",168196
"2013-01-12T00:00:00","2013-01-13T00:00:00",140803
"2013-01-13T00:00:00","2013-01-14T00:00:00",155767
"2013-01-14T00:00:00","2013-01-15T00:00:00",165033
"2013-01-15T00:00:00","2013-01-16T00:00:00",167108
"2013-01-16T00:00:00","2013-01-17T00:00:00",175853
"2013-01-17T00:00:00","2013-01-18T00:00:00",167586
"2013-01-18T00:00:00","2013-01-19T00:00:00",170773
"2013-01-19T00:00:00","2013-01-20T00:00:00",144305
"2013-01-20T00:00:00","2013-01-21T00:00:00",170411
"2013-01-21T00:00:00","2013-01-22T00:00:00",179988
"2013-01-22T00:00:00","2013-01-23T00:00:00",165733
"2013-01-23T00:00:00","2013-01-24T00:00:00",185049
"2013-01-24T00:00:00","2013-01-25T00:00:00",180716
"2013-01-25T00:00:00","2013-01-26T00:00:00",178898
"2013-01-26T00:00:00","2013-01-27T00:00:00",148882
"2013-01-27T00:00:00","2013-01-28T00:00:00",162513
"2013-01-28T00:00:00","2013-01-29T00:00:00",185888
"2013-01-29T00:00:00","2013-01-30T00:00:00",177925
"2013-01-30T00:00:00","2013-01-31T00:00:00",176212
"2013-01-31T00:00:00","2013-02-01T00:00:00",166032
"2013-02-01T00:00:00","2013-02-02T00:00:00",161510
"2013-02-02T00:00:00","2013-02-03T00:00:00",142380
"2013-02-03T00:00:00","2013-02-04T00:00:00",163763
"2013-02-04T00:00:00","2013-02-05T00:00:00",167841
"2013-02-05T00:00:00","2013-02-06T00:00:00",160167
"2013-02-06T00:00:00","2013-02-07T00:00:00",162756
"2013-02-07T00:00:00","2013-02-08T00:00:00",160154
"2013-02-08T00:00:00","2013-02-09T00:00:00",184667
"2013-02-09T00:00:00","2013-02-10T00:00:00",152809
"2013-02-10T00:00:00","2013-02-11T00:00:00",158896
"2013-02-11T00:00:00","2013-02-12T00:00:00",185115
"2013-02-12T00:00:00","2013-02-13T00:00:00",172733
"2013-02-13T00:00:00","2013-02-14T00:00:00",168115
"2013-02-14T00:00:00","2013-02-15T00:00:00",159014
"2013-02-15T00:00:00","2013-02-16T00:00:00",144238
"2013-02-16T00:00:00","2013-02-17T00:00:00",134718
"2013-02-17T00:00:00","2013-02-18T00:00:00",141615
"2013-02-18T00:00:00","2013-02-19T00:00:00",155945
"2013-02-19T00:00:00","2013-02-20T00:00:00",161271
"2013-02-20T00:00:00","2013-02-21T00:00:00",170152
"2013-02-21T00:00:00","2013-02-22T00:00:00",164277
"2013-02-22T00:00:00","2013-02-23T00:00:00",157399
