startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",27236
"2013-01-02T00:00:00","2013-01-03T00:00:00",36352
"2013-01-03T00:00:00","2013-01-04T00:00:00",42830
"2013-01-04T00:00:00","2013-01-05T00:00:00",40743
"2013-01-05T00:00:00","2013-01-06T00:00:00",37683
"2013-01-06T00:00:00","2013-01-07T00:00:00",37966
"2013-01-07T00:00:00","2013-01-08T00:00:00",43391
"2013-01-08T00:00:00","2013-01-09T00:00:00",42370
"2013-01-09T00:00:00","2013-01-10T00:00:00",43591
"2013-01-10T00:00:00","2013-01-11T00:00:00",41763
"2013-01-11T00:00:00","2013-01-12T00:00:00",41162
"2013-01-12T00:00:00","2013-01-13T00:00:00",34058
"2013-01-13T00:00:00","2013-01-14T00:00:00",36200
"2013-01-14T00:00:00","2013-01-15T00:00:00",43375
"2013-01-15T00:00:00","2013-01-16T00:00:00",42961
"2013-01-16T00:00:00","2013-01-17T00:00:00",43792
"2013-01-17T00:00:00","2013-01-18T00:00:00",43221
"2013-01-18T00:00:00","2013-01-19T00:00:00",41931
"2013-01-19T00:00:00","2013-01-20T00:00:00",34088
"2013-01-20T00:00:00","2013-01-21T00:00:00",38594
"2013-01-21T00:00:00","2013-01-22T00:00:00",41804
"2013-01-22T00:00:00","2013-01-23T00:00:00",40974
"2013-01-23T00:00:00","2013-01-24T00:00:00",46783
"2013-01-24T00:00:00","2013-01-25T00:00:00",46519
"2013-01-25T00:00:00","2013-01-26T00:00:00",43546
"2013-01-26T00:00:00","2013-01-27T00:00:00",35677
"2013-01-27T00:00:00","2013-01-28T00:00:00",36098
"2013-01-28T00:00:00","2013-01-29T00:00:00",45262
"2013-01-29T00:00:00","2013-01-30T00:00:00",45543
"2013-01-30T00:00:00","2013-01-31T00:00:00",44867
"2013-01-31T00:00:00","2013-02-01T00:00:00",42486
"2013-02-01T00:00:00","2013-02-02T00:00:00",40563
"2013-02-02T00:00:00","2013-02-03T00:00:00",33945
"2013-02-03T00:00:00","2013-02-04T00:00:00",36048
