startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",951589
"2013-01-02T00:00:00","2013-01-03T00:00:00",891380
"2013-01-03T00:00:00","2013-01-04T00:00:00",980013
"2013-01-04T00:00:00","2013-01-05T00:00:00",971923
"2013-01-05T00:00:00","2013-01-06T00:00:00",885723
"2013-01-06T00:00:00","2013-01-07T00:00:00",922069
"2013-01-07T00:00:00","2013-01-08T00:00:00",1002436
"2013-01-08T00:00:00","2013-01-09T00:00:00",990488
"2013-01-09T00:00:00","2013-01-10T00:00:00",1003803
"2013-01-10T00:00:00","2013-01-11T00:00:00",1000158
"2013-01-11T00:00:00","2013-01-12T00:00:00",1005878
"2013-01-12T00:00:00","2013-01-13T00:00:00",885863
"2013-01-13T00:00:00","2013-01-14T00:00:00",885108
"2013-01-14T00:00:00","2013-01-15T00:00:00",1011095
"2013-01-15T00:00:00","2013-01-16T00:00:00",1007450
"2013-01-16T00:00:00","2013-01-17T00:00:00",1022361
"2013-01-17T00:00:00","2013-01-18T00:00:00",1018866
"2013-01-18T00:00:00","2013-01-19T00:00:00",1046173
"2013-01-19T00:00:00","2013-01-20T00:00:00",885124
"2013-01-20T00:00:00","2013-01-21T00:00:00",965670
"2013-01-21T00:00:00","2013-01-22T00:00:00",1027840
"2013-01-22T00:00:00","2013-01-23T00:00:00",989217
"2013-01-23T00:00:00","2013-01-24T00:00:00",1082358
"2013-01-24T00:00:00","2013-01-25T00:00:00",1083368
"2013-01-25T00:00:00","2013-01-26T00:00:00",1090228
"2013-01-26T00:00:00","2013-01-27T00:00:00",907329
"2013-01-27T00:00:00","2013-01-28T00:00:00",908597
"2013-01-28T00:00:00","2013-01-29T00:00:00",1078007
"2013-01-29T00:00:00","2013-01-30T00:00:00",1091030
"2013-01-30T00:00:00","2013-01-31T00:00:00",1086922
"2013-01-31T00:00:00","2013-02-01T00:00:00",1016546
"2013-02-01T00:00:00","2013-02-02T00:00:00",1051775
"2013-02-02T00:00:00","2013-02-03T00:00:00",897643
"2013-02-03T00:00:00","2013-02-04T00:00:00",969401
"2013-02-04T00:00:00","2013-02-05T00:00:00",1014659
"2013-02-05T00:00:00","2013-02-06T00:00:00",987956
"2013-02-06T00:00:00","2013-02-07T00:00:00",996857
"2013-02-07T00:00:00","2013-02-08T00:00:00",1012885
"2013-02-08T00:00:00","2013-02-09T00:00:00",1156427
"2013-02-09T00:00:00","2013-02-10T00:00:00",939542
"2013-02-10T00:00:00","2013-02-11T00:00:00",928485
"2013-02-11T00:00:00","2013-02-12T00:00:00",1078360
"2013-02-12T00:00:00","2013-02-13T00:00:00",1107832
"2013-02-13T00:00:00","2013-02-14T00:00:00",1070666
"2013-02-14T00:00:00","2013-02-15T00:00:00",1115650
"2013-02-15T00:00:00","2013-02-16T00:00:00",999743
"2013-02-16T00:00:00","2013-02-17T00:00:00",845484
"2013-02-17T00:00:00","2013-02-18T00:00:00",853807
"2013-02-18T00:00:00","2013-02-19T00:00:00",938936
"2013-02-19T00:00:00","2013-02-20T00:00:00",989331
"2013-02-20T00:00:00","2013-02-21T00:00:00",1029272
"2013-02-21T00:00:00","2013-02-22T00:00:00",1030364
"2013-02-22T00:00:00","2013-02-23T00:00:00",1006019
"2013-02-23T00:00:00","2013-02-24T00:00:00",874071
"2013-02-24T00:00:00","2013-02-25T00:00:00",871148
"2013-02-25T00:00:00","2013-02-26T00:00:00",1074126
"2013-02-26T00:00:00","2013-02-27T00:00:00",997068
"2013-02-27T00:00:00","2013-02-28T00:00:00",1070085
"2013-02-28T00:00:00","2013-03-01T00:00:00",1038044
"2013-03-01T00:00:00","2013-03-02T00:00:00",1103483
"2013-03-02T00:00:00","2013-03-03T00:00:00",914028
"2013-03-03T00:00:00","2013-03-04T00:00:00",939871
"2013-03-04T00:00:00","2013-03-05T00:00:00",1051097
"2013-03-05T00:00:00","2013-03-06T00:00:00",1051095
"2013-03-06T00:00:00","2013-03-07T00:00:00",1077359
"2013-03-07T00:00:00","2013-03-08T00:00:00",1100856
"2013-03-08T00:00:00","2013-03-09T00:00:00",1097504
"2013-03-09T00:00:00","2013-03-10T00:00:00",932428
"2013-03-10T00:00:00","2013-03-11T00:00:00",907303
"2013-03-11T00:00:00","2013-03-12T00:00:00",1013016
"2013-03-12T00:00:00","2013-03-13T00:00:00",978373
"2013-03-13T00:00:00","2013-03-14T00:00:00",1019271
"2013-03-14T00:00:00","2013-03-15T00:00:00",1025939
"2013-03-15T00:00:00","2013-03-16T00:00:00",1010547
"2013-03-16T00:00:00","2013-03-17T00:00:00",851881
"2013-03-17T00:00:00","2013-03-18T00:00:00",901622
"2013-03-18T00:00:00","2013-03-19T00:00:00",950309
"2013-03-19T00:00:00","2013-03-20T00:00:00",1006846
"2013-03-20T00:00:00","2013-03-21T00:00:00",1032588
"2013-03-21T00:00:00","2013-03-22T00:00:00",1023751
"2013-03-22T00:00:00","2013-03-23T00:00:00",1017832
"2013-03-23T00:00:00","2013-03-24T00:00:00",838130
"2013-03-24T00:00:00","2013-03-25T00:00:00",853001
"2013-03-25T00:00:00","2013-03-26T00:00:00",956748
"2013-03-26T00:00:00","2013-03-27T00:00:00",971179
