startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",63323
"2013-01-02T00:00:00","2013-01-03T00:00:00",70590
"2013-01-03T00:00:00","2013-01-04T00:00:00",83579
"2013-01-04T00:00:00","2013-01-05T00:00:00",75253
"2013-01-05T00:00:00","2013-01-06T00:00:00",73518
"2013-01-06T00:00:00","2013-01-07T00:00:00",77030
"2013-01-07T00:00:00","2013-01-08T00:00:00",82320
"2013-01-08T00:00:00","2013-01-09T00:00:00",79714
"2013-01-09T00:00:00","2013-01-10T00:00:00",77976
"2013-01-10T00:00:00","2013-01-11T00:00:00",76076
"2013-01-11T00:00:00","2013-01-12T00:00:00",73358
"2013-01-12T00:00:00","2013-01-13T00:00:00",68898
"2013-01-13T00:00:00","2013-01-14T00:00:00",74864
"2013-01-14T00:00:00","2013-01-15T00:00:00",78534
"2013-01-15T00:00:00","2013-01-16T00:00:00",78305
"2013-01-16T00:00:00","2013-01-17T00:00:00",79824
"2013-01-17T00:00:00","2013-01-18T00:00:00",77822
"2013-01-18T00:00:00","2013-01-19T00:00:00",81002
"2013-01-19T00:00:00","2013-01-20T00:00:00",71445
"2013-01-20T00:00:00","2013-01-21T00:00:00",78081
"2013-01-21T00:00:00","2013-01-22T00:00:00",81105
"2013-01-22T00:00:00","2013-01-23T00:00:00",79160
"2013-01-23T00:00:00","2013-01-24T00:00:00",84948
"2013-01-24T00:00:00","2013-01-25T00:00:00",87110
"2013-01-25T00:00:00","2013-01-26T00:00:00",83518
"2013-01-26T00:00:00","2013-01-27T00:00:00",69399
"2013-01-27T00:00:00","2013-01-28T00:00:00",75309
"2013-01-28T00:00:00","2013-01-29T00:00:00",85955
"2013-01-29T00:00:00","2013-01-30T00:00:00",86577
"2013-01-30T00:00:00","2013-01-31T00:00:00",84454
"2013-01-31T00:00:00","2013-02-01T00:00:00",81522
"2013-02-01T00:00:00","2013-02-02T00:00:00",80446
"2013-02-02T00:00:00","2013-02-03T00:00:00",68536
"2013-02-03T00:00:00","2013-02-04T00:00:00",75504
"2013-02-04T00:00:00","2013-02-05T00:00:00",77594
"2013-02-05T00:00:00","2013-02-06T00:00:00",76042
"2013-02-06T00:00:00","2013-02-07T00:00:00",76059
"2013-02-07T00:00:00","2013-02-08T00:00:00",76435
"2013-02-08T00:00:00","2013-02-09T00:00:00",83403
"2013-02-09T00:00:00","2013-02-10T00:00:00",71630
"2013-02-10T00:00:00","2013-02-11T00:00:00",75334
"2013-02-11T00:00:00","2013-02-12T00:00:00",88384
"2013-02-12T00:00:00","2013-02-13T00:00:00",93916
"2013-02-13T00:00:00","2013-02-14T00:00:00",85783
"2013-02-14T00:00:00","2013-02-15T00:00:00",82152
"2013-02-15T00:00:00","2013-02-16T00:00:00",73452
"2013-02-16T00:00:00","2013-02-17T00:00:00",64981
"2013-02-17T00:00:00","2013-02-18T00:00:00",65675
"2013-02-18T00:00:00","2013-02-19T00:00:00",72873
"2013-02-19T00:00:00","2013-02-20T00:00:00",74465
"2013-02-20T00:00:00","2013-02-21T00:00:00",78658
"2013-02-21T00:00:00","2013-02-22T00:00:00",77080
"2013-02-22T00:00:00","2013-02-23T00:00:00",77132
"2013-02-23T00:00:00","2013-02-24T00:00:00",70358
"2013-02-24T00:00:00","2013-02-25T00:00:00",69515
"2013-02-25T00:00:00","2013-02-26T00:00:00",81768
"2013-02-26T00:00:00","2013-02-27T00:00:00",76018
"2013-02-27T00:00:00","2013-02-28T00:00:00",80249
"2013-02-28T00:00:00","2013-03-01T00:00:00",80461
"2013-03-01T00:00:00","2013-03-02T00:00:00",81351
"2013-03-02T00:00:00","2013-03-03T00:00:00",75782
"2013-03-03T00:00:00","2013-03-04T00:00:00",73969
"2013-03-04T00:00:00","2013-03-05T00:00:00",82782
"2013-03-05T00:00:00","2013-03-06T00:00:00",80419
"2013-03-06T00:00:00","2013-03-07T00:00:00",82355
"2013-03-07T00:00:00","2013-03-08T00:00:00",85428
"2013-03-08T00:00:00","2013-03-09T00:00:00",79592
"2013-03-09T00:00:00","2013-03-10T00:00:00",71345
"2013-03-10T00:00:00","2013-03-11T00:00:00",73208
"2013-03-11T00:00:00","2013-03-12T00:00:00",77554
"2013-03-12T00:00:00","2013-03-13T00:00:00",76845
"2013-03-13T00:00:00","2013-03-14T00:00:00",79520
"2013-03-14T00:00:00","2013-03-15T00:00:00",81120
"2013-03-15T00:00:00","2013-03-16T00:00:00",77245
"2013-03-16T00:00:00","2013-03-17T00:00:00",68101
"2013-03-17T00:00:00","2013-03-18T00:00:00",72041
"2013-03-18T00:00:00","2013-03-19T00:00:00",75827
"2013-03-19T00:00:00","2013-03-20T00:00:00",81178
"2013-03-20T00:00:00","2013-03-21T00:00:00",82158
"2013-03-21T00:00:00","2013-03-22T00:00:00",79278
"2013-03-22T00:00:00","2013-03-23T00:00:00",77158
"2013-03-23T00:00:00","2013-03-24T00:00:00",68894
"2013-03-24T00:00:00","2013-03-25T00:00:00",70282
"2013-03-25T00:00:00","2013-03-26T00:00:00",77989
"2013-03-26T00:00:00","2013-03-27T00:00:00",76356
"2013-03-27T00:00:00","2013-03-28T00:00:00",75004
"2013-03-28T00:00:00","2013-03-29T00:00:00",80397
"2013-03-29T00:00:00","2013-03-30T00:00:00",68982
"2013-03-30T00:00:00","2013-03-31T00:00:00",62582
"2013-03-31T00:00:00","2013-04-01T00:00:00",62448
"2013-04-01T00:00:00","2013-04-02T00:00:00",75474
"2013-04-02T00:00:00","2013-04-03T00:00:00",75792
"2013-04-03T00:00:00","2013-04-04T00:00:00",81627
"2013-04-04T00:00:00","2013-04-05T00:00:00",77222
"2013-04-05T00:00:00","2013-04-06T00:00:00",74881
"2013-04-06T00:00:00","2013-04-07T00:00:00",63915
"2013-04-07T00:00:00","2013-04-08T00:00:00",67392
"2013-04-08T00:00:00","2013-04-09T00:00:00",77687
"2013-04-09T00:00:00","2013-04-10T00:00:00",78772
"2013-04-10T00:00:00","2013-04-11T00:00:00",77710
"2013-04-11T00:00:00","2013-04-12T00:00:00",78606
"2013-04-12T00:00:00","2013-04-13T00:00:00",77627
"2013-04-13T00:00:00","2013-04-14T00:00:00",72103
"2013-04-14T00:00:00","2013-04-15T00:00:00",67048
"2013-04-15T00:00:00","2013-04-16T00:00:00",83318
"2013-04-16T00:00:00","2013-04-17T00:00:00",93365
"2013-04-17T00:00:00","2013-04-18T00:00:00",77392
"2013-04-18T00:00:00","2013-04-19T00:00:00",77913
"2013-04-19T00:00:00","2013-04-20T00:00:00",76001
"2013-04-20T00:00:00","2013-04-21T00:00:00",65900
"2013-04-21T00:00:00","2013-04-22T00:00:00",65853
"2013-04-22T00:00:00","2013-04-23T00:00:00",69719
"2013-04-23T00:00:00","2013-04-24T00:00:00",73241
"2013-04-24T00:00:00","2013-04-25T00:00:00",75607
"2013-04-25T00:00:00","2013-04-26T00:00:00",72429
"2013-04-26T00:00:00","2013-04-27T00:00:00",71812
"2013-04-27T00:00:00","2013-04-28T00:00:00",61875
"2013-04-28T00:00:00","2013-04-29T00:00:00",63399
"2013-04-29T00:00:00","2013-04-30T00:00:00",69796
"2013-04-30T00:00:00","2013-05-01T00:00:00",71689
"2013-05-01T00:00:00","2013-05-02T00:00:00",70342
"2013-05-02T00:00:00","2013-05-03T00:00:00",73630
"2013-05-03T00:00:00","2013-05-04T00:00:00",73967
"2013-05-04T00:00:00","2013-05-05T00:00:00",61698
"2013-05-05T00:00:00","2013-05-06T00:00:00",57628
"2013-05-06T00:00:00","2013-05-07T00:00:00",69911
"2013-05-07T00:00:00","2013-05-08T00:00:00",74078
