"date","tot_n","weekday","wordlist","wordlist_n","pr","bl","sd","prlow","prhigh"
2019-01-01,554090,"Tuesday","anxiety",16176,2.91938132794311,3.88252468573138,0.208214571363928,2.87521024101718,2.96404559513025
2019-01-01,554090,"Tuesday","anger",52153,9.4123698316158,11.1667464249615,0.464027070507567,9.33560688270817,9.48955746095462
2019-01-01,554090,"Tuesday","sadness",27671,4.99395405078597,6.00541641097864,0.37926777598221,4.93674627322725,5.05163298903002
2019-01-01,554090,"Tuesday","positive",388611,70.1349961197639,65.6720856076814,1.23643213338928,70.0142954096336,70.255486269935
2019-01-02,534173,"Wednesday","anxiety",19108,3.57711827441672,3.90389844704009,0.242508359519117,3.52747261138753,3.62726825523582
2019-01-02,534173,"Wednesday","anger",56322,10.5437751440077,11.0469330703016,0.407262457437766,10.4615367821255,10.626441720092
2019-01-02,534173,"Wednesday","sadness",31365,5.87169325293491,5.94820758044871,0.240929043074612,5.8087943439178,5.935071302428
2019-01-02,534173,"Wednesday","positive",364491,68.2346355955842,65.4987666595165,1.29550342984881,68.1095939474761,68.3594794464744
2019-01-03,605927,"Thursday","anxiety",22464,3.70737729132387,3.93153806745625,0.25914860105203,3.65994239509124,3.75525545168982
2019-01-03,605927,"Thursday","anger",65631,10.8315028047933,11.0986546504246,0.405790521456741,10.7533570039265,10.9100233172096
2019-01-03,605927,"Thursday","sadness",37034,6.11195738100464,6.0461403133033,0.299093381819263,6.05176868666405,6.17256611142112
2019-01-03,605927,"Thursday","positive",402591,66.4421621746514,65.7331029943616,1.04340160077474,66.3231081267169,66.5610590011533
2019-01-04,604544,"Friday","anxiety",23074,3.81676106288376,3.84193577782052,0.230572468559424,3.76860151796193,3.86536382325476
2019-01-04,604544,"Friday","anger",66766,11.044026572094,11.1062360288038,0.440988596311545,10.9651200465578,11.1233066247686
2019-01-04,604544,"Friday","sadness",36387,6.01891673724328,5.89416779447549,0.261988606406083,5.95909151894757,6.07916385138968
2019-01-04,604544,"Friday","positive",403269,66.7063108723269,65.8733006817708,1.2233054083261,66.5873532234603,66.8251084080398
2019-01-05,541552,"Saturday","anxiety",19586,3.61664253848199,3.7300007531126,0.181579249487331,3.567072653367,3.66670943131856
2019-01-05,541552,"Saturday","anger",59440,10.9758619670872,11.3130450574002,0.371808477108287,10.8927252865229,11.0594163864523
2019-01-05,541552,"Saturday","sadness",33211,6.13255975418796,5.90790195881757,0.143279340358031,6.06880139683953,6.19678790480089
2019-01-05,541552,"Saturday","positive",356886,65.9005968032617,64.6688410706217,1.07584178895816,65.774165410219,66.0268580714811
2019-01-06,552376,"Sunday","anxiety",19331,3.49960896201138,3.71138858911585,0.184067038115,3.45130003095048,3.54840639839317
2019-01-06,552376,"Sunday","anger",61583,11.1487465060032,11.7047348902356,0.498624458259062,11.0658603832989,11.2320403574575
2019-01-06,552376,"Sunday","sadness",32868,5.95029472678031,5.98147393036883,0.15553990710003,5.88805056408196,6.01300139444001
2019-01-06,552376,"Sunday","positive",354563,64.1887047952844,63.7103611451194,1.08181720200427,64.0621043406551,64.3151564188577
2019-01-07,610298,"Monday","anxiety",22076,3.61724927822146,3.86113870966817,0.189704232713946,3.57054231737243,3.66439719370667
2019-01-07,610298,"Monday","anger",65584,10.746225614372,11.2950807988831,0.613891026678068,10.6686305980917,10.8241934684082
2019-01-07,610298,"Monday","sadness",35819,5.86910001343606,6.01624831933105,0.236663831203408,5.81025794795971,5.92836142608365
2019-01-07,610298,"Monday","positive",408285,66.8992852671973,65.4772222795504,0.977347264234487,66.7810623177103,67.0173477815587
2019-01-08,622882,"Tuesday","anxiety",24231,3.89014291631481,3.88252468573138,0.208214571363928,3.84225831262143,3.93845698033802
2019-01-08,622882,"Tuesday","anger",68273,10.9608240405085,11.1667464249615,0.464027070507567,10.8833440861476,11.038667293657
2019-01-08,622882,"Tuesday","sadness",36255,5.82052459374328,6.00541641097864,0.37926777598221,5.76250594859571,5.87895456157032
2019-01-08,622882,"Tuesday","positive",418561,67.1974788162124,65.6720856076814,1.23643213338928,67.0807250130714,67.3140726528884
2019-01-09,638028,"Wednesday","anxiety",24987,3.91628580563862,3.90389844704009,0.242508359519117,3.86881858832145,3.96417203674634
2019-01-09,638028,"Wednesday","anger",69524,10.8967004582871,11.0469330703016,0.407262457437766,10.820341795932,10.9734143731797
2019-01-09,638028,"Wednesday","sadness",36171,5.66918693223495,5.94820758044871,0.240929043074612,5.61256652289858,5.72621027578709
