startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",1521314
"2013-01-02T00:00:00","2013-01-03T00:00:00",1482967
"2013-01-03T00:00:00","2013-01-04T00:00:00",1660271
"2013-01-04T00:00:00","2013-01-05T00:00:00",1610762
"2013-01-05T00:00:00","2013-01-06T00:00:00",1521954
"2013-01-06T00:00:00","2013-01-07T00:00:00",1599723
"2013-01-07T00:00:00","2013-01-08T00:00:00",1686367
"2013-01-08T00:00:00","2013-01-09T00:00:00",1633540
"2013-01-09T00:00:00","2013-01-10T00:00:00",1662321
"2013-01-10T00:00:00","2013-01-11T00:00:00",1629649
"2013-01-11T00:00:00","2013-01-12T00:00:00",1668966
"2013-01-12T00:00:00","2013-01-13T00:00:00",1474578
"2013-01-13T00:00:00","2013-01-14T00:00:00",1530360
"2013-01-14T00:00:00","2013-01-15T00:00:00",1697095
"2013-01-15T00:00:00","2013-01-16T00:00:00",1667520
"2013-01-16T00:00:00","2013-01-17T00:00:00",1701634
"2013-01-17T00:00:00","2013-01-18T00:00:00",1686445
"2013-01-18T00:00:00","2013-01-19T00:00:00",1734786
"2013-01-19T00:00:00","2013-01-20T00:00:00",1497054
"2013-01-20T00:00:00","2013-01-21T00:00:00",1663990
"2013-01-21T00:00:00","2013-01-22T00:00:00",1704858
"2013-01-22T00:00:00","2013-01-23T00:00:00",1646879
"2013-01-23T00:00:00","2013-01-24T00:00:00",1812860
"2013-01-24T00:00:00","2013-01-25T00:00:00",1806193
"2013-01-25T00:00:00","2013-01-26T00:00:00",1810154
"2013-01-26T00:00:00","2013-01-27T00:00:00",1524676
"2013-01-27T00:00:00","2013-01-28T00:00:00",1560832
"2013-01-28T00:00:00","2013-01-29T00:00:00",1819302
"2013-01-29T00:00:00","2013-01-30T00:00:00",1818446
"2013-01-30T00:00:00","2013-01-31T00:00:00",1812177
"2013-01-31T00:00:00","2013-02-01T00:00:00",1689389
"2013-02-01T00:00:00","2013-02-02T00:00:00",1724179
"2013-02-02T00:00:00","2013-02-03T00:00:00",1496968
"2013-02-03T00:00:00","2013-02-04T00:00:00",1629846
"2013-02-04T00:00:00","2013-02-05T00:00:00",1674301
"2013-02-05T00:00:00","2013-02-06T00:00:00",1622887
"2013-02-06T00:00:00","2013-02-07T00:00:00",1634500
"2013-02-07T00:00:00","2013-02-08T00:00:00",1656798
"2013-02-08T00:00:00","2013-02-09T00:00:00",1936954
"2013-02-09T00:00:00","2013-02-10T00:00:00",1588111
"2013-02-10T00:00:00","2013-02-11T00:00:00",1604440
"2013-02-11T00:00:00","2013-02-12T00:00:00",1829598
"2013-02-12T00:00:00","2013-02-13T00:00:00",1852524
"2013-02-13T00:00:00","2013-02-14T00:00:00",1799122
"2013-02-14T00:00:00","2013-02-15T00:00:00",1738939
"2013-02-15T00:00:00","2013-02-16T00:00:00",1598406
"2013-02-16T00:00:00","2013-02-17T00:00:00",1418924
"2013-02-17T00:00:00","2013-02-18T00:00:00",1477980
"2013-02-18T00:00:00","2013-02-19T00:00:00",1591936
"2013-02-19T00:00:00","2013-02-20T00:00:00",1636231
"2013-02-20T00:00:00","2013-02-21T00:00:00",1704715
"2013-02-21T00:00:00","2013-02-22T00:00:00",1692854
"2013-02-22T00:00:00","2013-02-23T00:00:00",1654536
"2013-02-23T00:00:00","2013-02-24T00:00:00",1466466
"2013-02-24T00:00:00","2013-02-25T00:00:00",1485041
"2013-02-25T00:00:00","2013-02-26T00:00:00",1791544
"2013-02-26T00:00:00","2013-02-27T00:00:00",1644460
"2013-02-27T00:00:00","2013-02-28T00:00:00",1778240
"2013-02-28T00:00:00","2013-03-01T00:00:00",1709829
"2013-03-01T00:00:00","2013-03-02T00:00:00",1797138
"2013-03-02T00:00:00","2013-03-03T00:00:00",1526230
"2013-03-03T00:00:00","2013-03-04T00:00:00",1598428
"2013-03-04T00:00:00","2013-03-05T00:00:00",1751989
"2013-03-05T00:00:00","2013-03-06T00:00:00",1739805
"2013-03-06T00:00:00","2013-03-07T00:00:00",1769339
"2013-03-07T00:00:00","2013-03-08T00:00:00",1805528
"2013-03-08T00:00:00","2013-03-09T00:00:00",1777954
"2013-03-09T00:00:00","2013-03-10T00:00:00",1546610
