"date","unique_authors"
2019-01-01,"222155"
2019-01-02,"245891"
2019-01-03,"248292"
2019-01-04,"216258"
2019-01-05,"212067"
2019-01-06,"247514"
2019-01-07,"259033"
2019-01-08,"266398"
2019-01-09,"263656"
2019-01-10,"271899"
2019-01-11,"217862"
2019-01-12,"210670"
2019-01-13,"244120"
2019-01-14,"270268"
2019-01-15,"265210"
2019-01-16,"269027"
2019-01-17,"272628"
2019-01-18,"233703"
2019-01-19,"224562"
2019-01-20,"273117"
2019-01-21,"266687"
2019-01-22,"279188"
2019-01-23,"277289"
2019-01-24,"273767"
2019-01-25,"231724"
2019-01-26,"210456"
2019-01-27,"255243"
2019-01-28,"280434"
2019-01-29,"313786"
2019-01-30,"288361"
2019-01-31,"273553"
2019-02-01,"232709"
2019-02-02,"221284"
2019-02-03,"270412"
2019-02-04,"270545"
2019-02-05,"279377"
2019-02-06,"281885"
2019-02-07,"279956"
2019-02-08,"232924"
2019-02-09,"223701"
2019-02-10,"270111"
2019-02-11,"295949"
2019-02-12,"289388"
2019-02-13,"297096"
2019-02-14,"277020"
2019-02-15,"233857"
2019-02-16,"215930"
2019-02-17,"236443"
2019-02-18,"255728"
2019-02-19,"277054"
2019-02-20,"275940"
2019-02-21,"287748"
2019-02-22,"240292"
2019-02-23,"230907"
2019-02-24,"280924"
2019-02-25,"272806"
2019-02-26,"297471"
2019-02-27,"295280"
2019-02-28,"298015"
2019-03-01,"245006"
2019-03-02,"223712"
2019-03-03,"268843"
2019-03-04,"284309"
2019-03-05,"288996"
2019-03-06,"284967"
2019-03-07,"308388"
2019-03-08,"233675"
2019-03-09,"219942"
2019-03-10,"252953"
2019-03-11,"271578"
2019-03-12,"279348"
2019-03-13,"288148"
2019-03-14,"283125"
2019-03-15,"237810"
2019-03-16,"222838"
2019-03-17,"259788"
2019-03-18,"277303"
2019-03-19,"286648"
2019-03-20,"292589"
2019-03-21,"286534"
2019-03-22,"234622"
2019-03-23,"218298"
2019-03-24,"257918"
2019-03-25,"276533"
2019-03-26,"274397"
2019-03-27,"290364"
2019-03-28,"288649"
2019-03-29,"234097"
2019-03-30,"218436"
2019-03-31,"269507"
2019-04-01,"278270"
2019-04-02,"286005"
2019-04-03,"277677"
2019-04-04,"283254"
2019-04-05,"243529"
2019-04-06,"227937"
2019-04-07,"256582"
2019-04-08,"280192"
2019-04-09,"292083"
2019-04-10,"284268"
2019-04-11,"291226"
2019-04-12,"248864"
2019-04-13,"238888"
2019-04-14,"271963"
2019-04-15,"283476"
2019-04-16,"295027"
2019-04-17,"287898"
2019-04-18,"248784"
2019-04-19,"225567"
2019-04-20,"219046"
2019-04-21,"236569"
2019-04-22,"263407"
2019-04-23,"304903"
2019-04-24,"286427"
2019-04-25,"277586"
2019-04-26,"240411"
2019-04-27,"223878"
2019-04-28,"261661"
2019-04-29,"270778"
2019-04-30,"276077"
2019-05-01,"270302"
2019-05-02,"283701"
2019-05-03,"236034"
2019-05-04,"220264"
2019-05-05,"250885"
2019-05-06,"272209"
2019-05-07,"279724"
2019-05-08,"274666"
2019-05-09,"280614"
2019-05-10,"227366"
2019-05-11,"218938"
2019-05-12,"268237"
2019-05-13,"257363"
2019-05-14,"271944"
2019-05-15,"286246"
2019-05-16,"274850"
2019-05-17,"214056"
2019-05-18,"196052"
2019-05-19,"228549"
2019-05-20,"244823"
2019-05-21,"273349"
2019-05-22,"271895"
2019-05-23,"280465"
2019-05-24,"233554"
2019-05-25,"247455"
2019-05-26,"249910"
2019-05-27,"264516"
2019-05-28,"278584"
2019-05-29,"282217"
2019-05-30,"300814"
2019-05-31,"235775"
2019-06-01,"223482"
2019-06-02,"267187"
2019-06-03,"271684"
2019-06-04,"275749"
2019-06-05,"291702"
2019-06-06,"277870"
2019-06-07,"250847"
2019-06-08,"208747"
2019-06-09,"259856"
2019-06-10,"304540"
2019-06-11,"275351"
2019-06-12,"297438"
2019-06-13,"344871"
2019-06-14,"232569"
2019-06-15,"221878"
2019-06-16,"258479"
2019-06-17,"268336"
2019-06-18,"272508"
2019-06-19,"283134"
2019-06-20,"290696"
2019-06-21,"228983"
2019-06-22,"206064"
2019-06-23,"244193"
2019-06-24,"267932"
2019-06-25,"272459"
2019-06-26,"276978"
2019-06-27,"272431"
2019-06-28,"226305"
2019-06-29,"206397"
2019-06-30,"244102"
2019-07-01,"244708"
2019-07-02,"262928"
2019-07-03,"270403"
2019-07-04,"262257"
2019-07-05,"247067"
2019-07-06,"214272"
2019-07-07,"240544"
2019-07-08,"260802"
2019-07-09,"264023"
2019-07-10,"257023"
2019-07-11,"226168"
2019-07-12,"222814"
2019-07-13,"207666"
2019-07-14,"238395"
2019-07-15,"257969"
2019-07-16,"257928"
2019-07-17,"269550"
2019-07-18,"268587"
2019-07-19,"220918"
2019-07-20,"206022"
2019-07-21,"236584"
2019-07-22,"254971"
2019-07-23,"253054"
2019-07-24,"259115"
2019-07-25,"253089"
2019-07-26,"214561"
2019-07-27,"201812"
2019-07-28,"242716"
2019-07-29,"246127"
2019-07-30,"253651"
2019-07-31,"260779"
2019-08-01,"253936"
2019-08-02,"212252"
2019-08-03,"198776"
2019-08-04,"205711"
2019-08-05,"241722"
2019-08-06,"257312"
2019-08-07,"259687"
2019-08-08,"257610"
2019-08-09,"225933"
2019-08-10,"207599"
2019-08-11,"241320"
