startDate,endDate,numberOfDocuments
"2019-01-01T00:00:00","2019-01-02T00:00:00",366501
"2019-01-02T00:00:00","2019-01-03T00:00:00",342490
"2019-01-03T00:00:00","2019-01-04T00:00:00",376234
"2019-01-04T00:00:00","2019-01-05T00:00:00",377353
"2019-01-05T00:00:00","2019-01-06T00:00:00",333105
"2019-01-06T00:00:00","2019-01-07T00:00:00",329001
"2019-01-07T00:00:00","2019-01-08T00:00:00",382322
"2019-01-08T00:00:00","2019-01-09T00:00:00",392433
"2019-01-09T00:00:00","2019-01-10T00:00:00",402068
"2019-01-10T00:00:00","2019-01-11T00:00:00",392289
"2019-01-11T00:00:00","2019-01-12T00:00:00",405228
"2019-01-12T00:00:00","2019-01-13T00:00:00",341255
"2019-01-13T00:00:00","2019-01-14T00:00:00",324604
"2019-01-14T00:00:00","2019-01-15T00:00:00",365992
"2019-01-15T00:00:00","2019-01-16T00:00:00",403231
"2019-01-16T00:00:00","2019-01-17T00:00:00",403574
"2019-01-17T00:00:00","2019-01-18T00:00:00",406322
"2019-01-18T00:00:00","2019-01-19T00:00:00",402789
"2019-01-19T00:00:00","2019-01-20T00:00:00",352180
"2019-01-20T00:00:00","2019-01-21T00:00:00",344181
"2019-01-21T00:00:00","2019-01-22T00:00:00",408876
"2019-01-22T00:00:00","2019-01-23T00:00:00",407782
"2019-01-23T00:00:00","2019-01-24T00:00:00",421614
"2019-01-24T00:00:00","2019-01-25T00:00:00",414504
"2019-01-25T00:00:00","2019-01-26T00:00:00",415359
"2019-01-26T00:00:00","2019-01-27T00:00:00",349320
"2019-01-27T00:00:00","2019-01-28T00:00:00",327815
"2019-01-28T00:00:00","2019-01-29T00:00:00",392341
"2019-01-29T00:00:00","2019-01-30T00:00:00",424238
"2019-01-30T00:00:00","2019-01-31T00:00:00",468668
"2019-01-31T00:00:00","2019-02-01T00:00:00",431671
"2019-02-01T00:00:00","2019-02-02T00:00:00",411255
"2019-02-02T00:00:00","2019-02-03T00:00:00",350138
"2019-02-03T00:00:00","2019-02-04T00:00:00",335798
"2019-02-04T00:00:00","2019-02-05T00:00:00",405239
"2019-02-05T00:00:00","2019-02-06T00:00:00",405330
"2019-02-06T00:00:00","2019-02-07T00:00:00",430414
"2019-02-07T00:00:00","2019-02-08T00:00:00",419147
"2019-02-08T00:00:00","2019-02-09T00:00:00",419988
"2019-02-09T00:00:00","2019-02-10T00:00:00",349584
"2019-02-10T00:00:00","2019-02-11T00:00:00",337786
"2019-02-11T00:00:00","2019-02-12T00:00:00",409107
"2019-02-12T00:00:00","2019-02-13T00:00:00",443653
"2019-02-13T00:00:00","2019-02-14T00:00:00",442494
"2019-02-14T00:00:00","2019-02-15T00:00:00",448313
"2019-02-15T00:00:00","2019-02-16T00:00:00",421426
"2019-02-16T00:00:00","2019-02-17T00:00:00",352796
"2019-02-17T00:00:00","2019-02-18T00:00:00",335045
"2019-02-18T00:00:00","2019-02-19T00:00:00",361373
"2019-02-19T00:00:00","2019-02-20T00:00:00",392008
"2019-02-20T00:00:00","2019-02-21T00:00:00",427083
"2019-02-21T00:00:00","2019-02-22T00:00:00",421338
"2019-02-22T00:00:00","2019-02-23T00:00:00",430449
"2019-02-23T00:00:00","2019-02-24T00:00:00",359611
"2019-02-24T00:00:00","2019-02-25T00:00:00",353105
"2019-02-25T00:00:00","2019-02-26T00:00:00",432382
"2019-02-26T00:00:00","2019-02-27T00:00:00",421321
"2019-02-27T00:00:00","2019-02-28T00:00:00",449982
"2019-02-28T00:00:00","2019-03-01T00:00:00",443845
"2019-03-01T00:00:00","2019-03-02T00:00:00",446054
"2019-03-02T00:00:00","2019-03-03T00:00:00",369364
"2019-03-03T00:00:00","2019-03-04T00:00:00",341348
"2019-03-04T00:00:00","2019-03-05T00:00:00",399248
"2019-03-05T00:00:00","2019-03-06T00:00:00",429612
"2019-03-06T00:00:00","2019-03-07T00:00:00",429364
"2019-03-07T00:00:00","2019-03-08T00:00:00",434717
"2019-03-08T00:00:00","2019-03-09T00:00:00",459328
"2019-03-09T00:00:00","2019-03-10T00:00:00",357249
"2019-03-10T00:00:00","2019-03-11T00:00:00",337315
"2019-03-11T00:00:00","2019-03-12T00:00:00",381666
"2019-03-12T00:00:00","2019-03-13T00:00:00",411478
"2019-03-13T00:00:00","2019-03-14T00:00:00",422281
"2019-03-14T00:00:00","2019-03-15T00:00:00",437909
"2019-03-15T00:00:00","2019-03-16T00:00:00",426978
"2019-03-16T00:00:00","2019-03-17T00:00:00",356632
"2019-03-17T00:00:00","2019-03-18T00:00:00",347393
"2019-03-18T00:00:00","2019-03-19T00:00:00",388172
"2019-03-19T00:00:00","2019-03-20T00:00:00",424605
"2019-03-20T00:00:00","2019-03-21T00:00:00",445180
"2019-03-21T00:00:00","2019-03-22T00:00:00",444568
"2019-03-22T00:00:00","2019-03-23T00:00:00",434377
"2019-03-23T00:00:00","2019-03-24T00:00:00",354397
"2019-03-24T00:00:00","2019-03-25T00:00:00",337563
"2019-03-25T00:00:00","2019-03-26T00:00:00",394360
"2019-03-26T00:00:00","2019-03-27T00:00:00",417983
"2019-03-27T00:00:00","2019-03-28T00:00:00",415195
"2019-03-28T00:00:00","2019-03-29T00:00:00",436520
"2019-03-29T00:00:00","2019-03-30T00:00:00",430194
"2019-03-30T00:00:00","2019-03-31T00:00:00",357408
"2019-03-31T00:00:00","2019-04-01T00:00:00",330248
"2019-04-01T00:00:00","2019-04-02T00:00:00",405656
"2019-04-02T00:00:00","2019-04-03T00:00:00",426606
"2019-04-03T00:00:00","2019-04-04T00:00:00",444351
"2019-04-04T00:00:00","2019-04-05T00:00:00",435418
"2019-04-05T00:00:00","2019-04-06T00:00:00",438792
"2019-04-06T00:00:00","2019-04-07T00:00:00",363015
"2019-04-07T00:00:00","2019-04-08T00:00:00",349828
"2019-04-08T00:00:00","2019-04-09T00:00:00",401757
"2019-04-09T00:00:00","2019-04-10T00:00:00",423767
"2019-04-10T00:00:00","2019-04-11T00:00:00",438404
"2019-04-11T00:00:00","2019-04-12T00:00:00",441420
"2019-04-12T00:00:00","2019-04-13T00:00:00",440746
"2019-04-13T00:00:00","2019-04-14T00:00:00",362828
"2019-04-14T00:00:00","2019-04-15T00:00:00",359981
"2019-04-15T00:00:00","2019-04-16T00:00:00",398662
"2019-04-16T00:00:00","2019-04-17T00:00:00",423628
"2019-04-17T00:00:00","2019-04-18T00:00:00",453618
"2019-04-18T00:00:00","2019-04-19T00:00:00",431871
"2019-04-19T00:00:00","2019-04-20T00:00:00",373512
"2019-04-20T00:00:00","2019-04-21T00:00:00",344283
"2019-04-21T00:00:00","2019-04-22T00:00:00",331922
"2019-04-22T00:00:00","2019-04-23T00:00:00",356778
"2019-04-23T00:00:00","2019-04-24T00:00:00",395795
"2019-04-24T00:00:00","2019-04-25T00:00:00",451736
"2019-04-25T00:00:00","2019-04-26T00:00:00",431003
"2019-04-26T00:00:00","2019-04-27T00:00:00",423772
"2019-04-27T00:00:00","2019-04-28T00:00:00",355591
"2019-04-28T00:00:00","2019-04-29T00:00:00",334040
"2019-04-29T00:00:00","2019-04-30T00:00:00",379533
"2019-04-30T00:00:00","2019-05-01T00:00:00",401407
"2019-05-01T00:00:00","2019-05-02T00:00:00",421103
"2019-05-02T00:00:00","2019-05-03T00:00:00",416488
"2019-05-03T00:00:00","2019-05-04T00:00:00",422475
"2019-05-04T00:00:00","2019-05-05T00:00:00",351289
"2019-05-05T00:00:00","2019-05-06T00:00:00",324664
"2019-05-06T00:00:00","2019-05-07T00:00:00",375402
"2019-05-07T00:00:00","2019-05-08T00:00:00",413965
"2019-05-08T00:00:00","2019-05-09T00:00:00",418380
"2019-05-09T00:00:00","2019-05-10T00:00:00",416465
"2019-05-10T00:00:00","2019-05-11T00:00:00",412316
"2019-05-11T00:00:00","2019-05-12T00:00:00",331640
"2019-05-12T00:00:00","2019-05-13T00:00:00",325322
"2019-05-13T00:00:00","2019-05-14T00:00:00",384174
"2019-05-14T00:00:00","2019-05-15T00:00:00",397288
"2019-05-15T00:00:00","2019-05-16T00:00:00",409738
"2019-05-16T00:00:00","2019-05-17T00:00:00",418734
"2019-05-17T00:00:00","2019-05-18T00:00:00",411716
"2019-05-18T00:00:00","2019-05-19T00:00:00",326787
"2019-05-19T00:00:00","2019-05-20T00:00:00",295656
"2019-05-20T00:00:00","2019-05-21T00:00:00",344755
"2019-05-21T00:00:00","2019-05-22T00:00:00",370659
"2019-05-22T00:00:00","2019-05-23T00:00:00",406318
"2019-05-23T00:00:00","2019-05-24T00:00:00",402020
