startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",26583
"2013-01-02T00:00:00","2013-01-03T00:00:00",39934
"2013-01-03T00:00:00","2013-01-04T00:00:00",47718
"2013-01-04T00:00:00","2013-01-05T00:00:00",60947
"2013-01-05T00:00:00","2013-01-06T00:00:00",45930
"2013-01-06T00:00:00","2013-01-07T00:00:00",39995
"2013-01-07T00:00:00","2013-01-08T00:00:00",48538
"2013-01-08T00:00:00","2013-01-09T00:00:00",48973
"2013-01-09T00:00:00","2013-01-10T00:00:00",50495
"2013-01-10T00:00:00","2013-01-11T00:00:00",51439
"2013-01-11T00:00:00","2013-01-12T00:00:00",45832
"2013-01-12T00:00:00","2013-01-13T00:00:00",36654
"2013-01-13T00:00:00","2013-01-14T00:00:00",38118
"2013-01-14T00:00:00","2013-01-15T00:00:00",46675
"2013-01-15T00:00:00","2013-01-16T00:00:00",51773
"2013-01-16T00:00:00","2013-01-17T00:00:00",49789
"2013-01-17T00:00:00","2013-01-18T00:00:00",41963
"2013-01-18T00:00:00","2013-01-19T00:00:00",39906
"2013-01-19T00:00:00","2013-01-20T00:00:00",35983
"2013-01-20T00:00:00","2013-01-21T00:00:00",38295
"2013-01-21T00:00:00","2013-01-22T00:00:00",42384
"2013-01-22T00:00:00","2013-01-23T00:00:00",40814
"2013-01-23T00:00:00","2013-01-24T00:00:00",48208
"2013-01-24T00:00:00","2013-01-25T00:00:00",47098
"2013-01-25T00:00:00","2013-01-26T00:00:00",45258
"2013-01-26T00:00:00","2013-01-27T00:00:00",35121
"2013-01-27T00:00:00","2013-01-28T00:00:00",39874
"2013-01-28T00:00:00","2013-01-29T00:00:00",43684
"2013-01-29T00:00:00","2013-01-30T00:00:00",44366
"2013-01-30T00:00:00","2013-01-31T00:00:00",51247
"2013-01-31T00:00:00","2013-02-01T00:00:00",50131
"2013-02-01T00:00:00","2013-02-02T00:00:00",45327
"2013-02-02T00:00:00","2013-02-03T00:00:00",36928
"2013-02-03T00:00:00","2013-02-04T00:00:00",38782
"2013-02-04T00:00:00","2013-02-05T00:00:00",44352
"2013-02-05T00:00:00","2013-02-06T00:00:00",51698
"2013-02-06T00:00:00","2013-02-07T00:00:00",52749
"2013-02-07T00:00:00","2013-02-08T00:00:00",46631
"2013-02-08T00:00:00","2013-02-09T00:00:00",42821
"2013-02-09T00:00:00","2013-02-10T00:00:00",40951
"2013-02-10T00:00:00","2013-02-11T00:00:00",36903
"2013-02-11T00:00:00","2013-02-12T00:00:00",40887
"2013-02-12T00:00:00","2013-02-13T00:00:00",41915
"2013-02-13T00:00:00","2013-02-14T00:00:00",43283
"2013-02-14T00:00:00","2013-02-15T00:00:00",45106
"2013-02-15T00:00:00","2013-02-16T00:00:00",40945
"2013-02-16T00:00:00","2013-02-17T00:00:00",33422
"2013-02-17T00:00:00","2013-02-18T00:00:00",33344
"2013-02-18T00:00:00","2013-02-19T00:00:00",42049
"2013-02-19T00:00:00","2013-02-20T00:00:00",43260
"2013-02-20T00:00:00","2013-02-21T00:00:00",46254
"2013-02-21T00:00:00","2013-02-22T00:00:00",42062
"2013-02-22T00:00:00","2013-02-23T00:00:00",45060
"2013-02-23T00:00:00","2013-02-24T00:00:00",50157
"2013-02-24T00:00:00","2013-02-25T00:00:00",37952
"2013-02-25T00:00:00","2013-02-26T00:00:00",57975
"2013-02-26T00:00:00","2013-02-27T00:00:00",67270
"2013-02-27T00:00:00","2013-02-28T00:00:00",61486
"2013-02-28T00:00:00","2013-03-01T00:00:00",85015
"2013-03-01T00:00:00","2013-03-02T00:00:00",48688
"2013-03-02T00:00:00","2013-03-03T00:00:00",48278
"2013-03-03T00:00:00","2013-03-04T00:00:00",40103
"2013-03-04T00:00:00","2013-03-05T00:00:00",45533
"2013-03-05T00:00:00","2013-03-06T00:00:00",51170
"2013-03-06T00:00:00","2013-03-07T00:00:00",49758
"2013-03-07T00:00:00","2013-03-08T00:00:00",44567
"2013-03-08T00:00:00","2013-03-09T00:00:00",42355
"2013-03-09T00:00:00","2013-03-10T00:00:00",37461
"2013-03-10T00:00:00","2013-03-11T00:00:00",42738
"2013-03-11T00:00:00","2013-03-12T00:00:00",50128
"2013-03-12T00:00:00","2013-03-13T00:00:00",47390
"2013-03-13T00:00:00","2013-03-14T00:00:00",56649
"2013-03-14T00:00:00","2013-03-15T00:00:00",46335
"2013-03-15T00:00:00","2013-03-16T00:00:00",45003
"2013-03-16T00:00:00","2013-03-17T00:00:00",45796
"2013-03-17T00:00:00","2013-03-18T00:00:00",42707
"2013-03-18T00:00:00","2013-03-19T00:00:00",48506
"2013-03-19T00:00:00","2013-03-20T00:00:00",46560
"2013-03-20T00:00:00","2013-03-21T00:00:00",48519
"2013-03-21T00:00:00","2013-03-22T00:00:00",51523
"2013-03-22T00:00:00","2013-03-23T00:00:00",44319
"2013-03-23T00:00:00","2013-03-24T00:00:00",60965
"2013-03-24T00:00:00","2013-03-25T00:00:00",41398
"2013-03-25T00:00:00","2013-03-26T00:00:00",50877
"2013-03-26T00:00:00","2013-03-27T00:00:00",57926
"2013-03-27T00:00:00","2013-03-28T00:00:00",65988
"2013-03-28T00:00:00","2013-03-29T00:00:00",50107
"2013-03-29T00:00:00","2013-03-30T00:00:00",43087
"2013-03-30T00:00:00","2013-03-31T00:00:00",45899
"2013-03-31T00:00:00","2013-04-01T00:00:00",44617
"2013-04-01T00:00:00","2013-04-02T00:00:00",62956
"2013-04-02T00:00:00","2013-04-03T00:00:00",52042
"2013-04-03T00:00:00","2013-04-04T00:00:00",49424
"2013-04-04T00:00:00","2013-04-05T00:00:00",57026
"2013-04-05T00:00:00","2013-04-06T00:00:00",52192
"2013-04-06T00:00:00","2013-04-07T00:00:00",41061
"2013-04-07T00:00:00","2013-04-08T00:00:00",43632
"2013-04-08T00:00:00","2013-04-09T00:00:00",50973
"2013-04-09T00:00:00","2013-04-10T00:00:00",51638
"2013-04-10T00:00:00","2013-04-11T00:00:00",49177
"2013-04-11T00:00:00","2013-04-12T00:00:00",51941
"2013-04-12T00:00:00","2013-04-13T00:00:00",50068
"2013-04-13T00:00:00","2013-04-14T00:00:00",39314
"2013-04-14T00:00:00","2013-04-15T00:00:00",41250
"2013-04-15T00:00:00","2013-04-16T00:00:00",58627
"2013-04-16T00:00:00","2013-04-17T00:00:00",56991
"2013-04-17T00:00:00","2013-04-18T00:00:00",54934
"2013-04-18T00:00:00","2013-04-19T00:00:00",67233
"2013-04-19T00:00:00","2013-04-20T00:00:00",49463
"2013-04-20T00:00:00","2013-04-21T00:00:00",45943
"2013-04-21T00:00:00","2013-04-22T00:00:00",49609
"2013-04-22T00:00:00","2013-04-23T00:00:00",55980
"2013-04-23T00:00:00","2013-04-24T00:00:00",48602
"2013-04-24T00:00:00","2013-04-25T00:00:00",47261
"2013-04-25T00:00:00","2013-04-26T00:00:00",53881
"2013-04-26T00:00:00","2013-04-27T00:00:00",49729
"2013-04-27T00:00:00","2013-04-28T00:00:00",43231
"2013-04-28T00:00:00","2013-04-29T00:00:00",47044
"2013-04-29T00:00:00","2013-04-30T00:00:00",57349
"2013-04-30T00:00:00","2013-05-01T00:00:00",54225
"2013-05-01T00:00:00","2013-05-02T00:00:00",55473
"2013-05-02T00:00:00","2013-05-03T00:00:00",54567
"2013-05-03T00:00:00","2013-05-04T00:00:00",49093
"2013-05-04T00:00:00","2013-05-05T00:00:00",41602
"2013-05-05T00:00:00","2013-05-06T00:00:00",53501
"2013-05-06T00:00:00","2013-05-07T00:00:00",61716
"2013-05-07T00:00:00","2013-05-08T00:00:00",55308
"2013-05-08T00:00:00","2013-05-09T00:00:00",51247
"2013-05-09T00:00:00","2013-05-10T00:00:00",58402
"2013-05-10T00:00:00","2013-05-11T00:00:00",45943
"2013-05-11T00:00:00","2013-05-12T00:00:00",37165
"2013-05-12T00:00:00","2013-05-13T00:00:00",40525
"2013-05-13T00:00:00","2013-05-14T00:00:00",48632
"2013-05-14T00:00:00","2013-05-15T00:00:00",49105
"2013-05-15T00:00:00","2013-05-16T00:00:00",48873
"2013-05-16T00:00:00","2013-05-17T00:00:00",54201
"2013-05-17T00:00:00","2013-05-18T00:00:00",46139
"2013-05-18T00:00:00","2013-05-19T00:00:00",43125
"2013-05-19T00:00:00","2013-05-20T00:00:00",49803
"2013-05-20T00:00:00","2013-05-21T00:00:00",50011
"2013-05-21T00:00:00","2013-05-22T00:00:00",63506
"2013-05-22T00:00:00","2013-05-23T00:00:00",48133
"2013-05-23T00:00:00","2013-05-24T00:00:00",53221
"2013-05-24T00:00:00","2013-05-25T00:00:00",51492
"2013-05-25T00:00:00","2013-05-26T00:00:00",48710
"2013-05-26T00:00:00","2013-05-27T00:00:00",50735
"2013-05-27T00:00:00","2013-05-28T00:00:00",60919
"2013-05-28T00:00:00","2013-05-29T00:00:00",66564
"2013-05-29T00:00:00","2013-05-30T00:00:00",65138
"2013-05-30T00:00:00","2013-05-31T00:00:00",50890
"2013-05-31T00:00:00","2013-06-01T00:00:00",48211
"2013-06-01T00:00:00","2013-06-02T00:00:00",39333
"2013-06-02T00:00:00","2013-06-03T00:00:00",38417
"2013-06-03T00:00:00","2013-06-04T00:00:00",46919
"2013-06-04T00:00:00","2013-06-05T00:00:00",47113
"2013-06-05T00:00:00","2013-06-06T00:00:00",45746
"2013-06-06T00:00:00","2013-06-07T00:00:00",44428
"2013-06-07T00:00:00","2013-06-08T00:00:00",43984
"2013-06-08T00:00:00","2013-06-09T00:00:00",41468
"2013-06-09T00:00:00","2013-06-10T00:00:00",36096
"2013-06-10T00:00:00","2013-06-11T00:00:00",47823
"2013-06-11T00:00:00","2013-06-12T00:00:00",62303
"2013-06-12T00:00:00","2013-06-13T00:00:00",53876
"2013-06-13T00:00:00","2013-06-14T00:00:00",47499
"2013-06-14T00:00:00","2013-06-15T00:00:00",59420
"2013-06-15T00:00:00","2013-06-16T00:00:00",38348
"2013-06-16T00:00:00","2013-06-17T00:00:00",37094
"2013-06-17T00:00:00","2013-06-18T00:00:00",48762
"2013-06-18T00:00:00","2013-06-19T00:00:00",50673
"2013-06-19T00:00:00","2013-06-20T00:00:00",48100
"2013-06-20T00:00:00","2013-06-21T00:00:00",47837
"2013-06-21T00:00:00","2013-06-22T00:00:00",49916
"2013-06-22T00:00:00","2013-06-23T00:00:00",38661
"2013-06-23T00:00:00","2013-06-24T00:00:00",40108
"2013-06-24T00:00:00","2013-06-25T00:00:00",56245
"2013-06-25T00:00:00","2013-06-26T00:00:00",48710
"2013-06-26T00:00:00","2013-06-27T00:00:00",62461
"2013-06-27T00:00:00","2013-06-28T00:00:00",65662
"2013-06-28T00:00:00","2013-06-29T00:00:00",52513
"2013-06-29T00:00:00","2013-06-30T00:00:00",43092
"2013-06-30T00:00:00","2013-07-01T00:00:00",45335
"2013-07-01T00:00:00","2013-07-02T00:00:00",59256
"2013-07-02T00:00:00","2013-07-03T00:00:00",56446
"2013-07-03T00:00:00","2013-07-04T00:00:00",57863
"2013-07-04T00:00:00","2013-07-05T00:00:00",49014
"2013-07-05T00:00:00","2013-07-06T00:00:00",51716
"2013-07-06T00:00:00","2013-07-07T00:00:00",42054
"2013-07-07T00:00:00","2013-07-08T00:00:00",51407
"2013-07-08T00:00:00","2013-07-09T00:00:00",46624
"2013-07-09T00:00:00","2013-07-10T00:00:00",53228
"2013-07-10T00:00:00","2013-07-11T00:00:00",54044
"2013-07-11T00:00:00","2013-07-12T00:00:00",54910
"2013-07-12T00:00:00","2013-07-13T00:00:00",49391
"2013-07-13T00:00:00","2013-07-14T00:00:00",40018
"2013-07-14T00:00:00","2013-07-15T00:00:00",36982
"2013-07-15T00:00:00","2013-07-16T00:00:00",46816
"2013-07-16T00:00:00","2013-07-17T00:00:00",44176
"2013-07-17T00:00:00","2013-07-18T00:00:00",51386
"2013-07-18T00:00:00","2013-07-19T00:00:00",55707
"2013-07-19T00:00:00","2013-07-20T00:00:00",54691
"2013-07-20T00:00:00","2013-07-21T00:00:00",47743
"2013-07-21T00:00:00","2013-07-22T00:00:00",48673
"2013-07-22T00:00:00","2013-07-23T00:00:00",51370
"2013-07-23T00:00:00","2013-07-24T00:00:00",48385
"2013-07-24T00:00:00","2013-07-25T00:00:00",47014
"2013-07-25T00:00:00","2013-07-26T00:00:00",48655
"2013-07-26T00:00:00","2013-07-27T00:00:00",49814
"2013-07-27T00:00:00","2013-07-28T00:00:00",40603
"2013-07-28T00:00:00","2013-07-29T00:00:00",42944
"2013-07-29T00:00:00","2013-07-30T00:00:00",46610
"2013-07-30T00:00:00","2013-07-31T00:00:00",45258
"2013-07-31T00:00:00","2013-08-01T00:00:00",48891
"2013-08-01T00:00:00","2013-08-02T00:00:00",49220
"2013-08-02T00:00:00","2013-08-03T00:00:00",50291
"2013-08-03T00:00:00","2013-08-04T00:00:00",38222
"2013-08-04T00:00:00","2013-08-05T00:00:00",37225
"2013-08-05T00:00:00","2013-08-06T00:00:00",46015
"2013-08-06T00:00:00","2013-08-07T00:00:00",56225
"2013-08-07T00:00:00","2013-08-08T00:00:00",65382
"2013-08-08T00:00:00","2013-08-09T00:00:00",54778
"2013-08-09T00:00:00","2013-08-10T00:00:00",46809
