startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",10435
"2013-01-02T00:00:00","2013-01-03T00:00:00",15260
"2013-01-03T00:00:00","2013-01-04T00:00:00",14330
"2013-01-04T00:00:00","2013-01-05T00:00:00",19590
"2013-01-05T00:00:00","2013-01-06T00:00:00",15878
"2013-01-06T00:00:00","2013-01-07T00:00:00",13709
"2013-01-07T00:00:00","2013-01-08T00:00:00",16984
"2013-01-08T00:00:00","2013-01-09T00:00:00",15828
"2013-01-09T00:00:00","2013-01-10T00:00:00",15337
"2013-01-10T00:00:00","2013-01-11T00:00:00",16656
"2013-01-11T00:00:00","2013-01-12T00:00:00",14981
"2013-01-12T00:00:00","2013-01-13T00:00:00",12318
"2013-01-13T00:00:00","2013-01-14T00:00:00",14073
"2013-01-14T00:00:00","2013-01-15T00:00:00",14950
"2013-01-15T00:00:00","2013-01-16T00:00:00",22065
"2013-01-16T00:00:00","2013-01-17T00:00:00",16032
"2013-01-17T00:00:00","2013-01-18T00:00:00",13537
"2013-01-18T00:00:00","2013-01-19T00:00:00",12533
"2013-01-19T00:00:00","2013-01-20T00:00:00",12036
"2013-01-20T00:00:00","2013-01-21T00:00:00",12575
"2013-01-21T00:00:00","2013-01-22T00:00:00",13520
"2013-01-22T00:00:00","2013-01-23T00:00:00",12136
"2013-01-23T00:00:00","2013-01-24T00:00:00",18410
"2013-01-24T00:00:00","2013-01-25T00:00:00",13867
"2013-01-25T00:00:00","2013-01-26T00:00:00",12904
"2013-01-26T00:00:00","2013-01-27T00:00:00",10629
"2013-01-27T00:00:00","2013-01-28T00:00:00",13315
"2013-01-28T00:00:00","2013-01-29T00:00:00",13549
"2013-01-29T00:00:00","2013-01-30T00:00:00",13259
"2013-01-30T00:00:00","2013-01-31T00:00:00",24384
"2013-01-31T00:00:00","2013-02-01T00:00:00",16137
"2013-02-01T00:00:00","2013-02-02T00:00:00",13087
"2013-02-02T00:00:00","2013-02-03T00:00:00",12422
"2013-02-03T00:00:00","2013-02-04T00:00:00",13006
"2013-02-04T00:00:00","2013-02-05T00:00:00",12905
"2013-02-05T00:00:00","2013-02-06T00:00:00",13997
"2013-02-06T00:00:00","2013-02-07T00:00:00",16589
"2013-02-07T00:00:00","2013-02-08T00:00:00",13769
"2013-02-08T00:00:00","2013-02-09T00:00:00",12378
"2013-02-09T00:00:00","2013-02-10T00:00:00",15390
"2013-02-10T00:00:00","2013-02-11T00:00:00",17357
"2013-02-11T00:00:00","2013-02-12T00:00:00",12615
"2013-02-12T00:00:00","2013-02-13T00:00:00",12284
"2013-02-13T00:00:00","2013-02-14T00:00:00",12941
"2013-02-14T00:00:00","2013-02-15T00:00:00",12999
"2013-02-15T00:00:00","2013-02-16T00:00:00",13390
"2013-02-16T00:00:00","2013-02-17T00:00:00",9937
"2013-02-17T00:00:00","2013-02-18T00:00:00",10378
"2013-02-18T00:00:00","2013-02-19T00:00:00",12427
"2013-02-19T00:00:00","2013-02-20T00:00:00",12766
"2013-02-20T00:00:00","2013-02-21T00:00:00",13537
"2013-02-21T00:00:00","2013-02-22T00:00:00",12581
"2013-02-22T00:00:00","2013-02-23T00:00:00",13233
"2013-02-23T00:00:00","2013-02-24T00:00:00",14343
"2013-02-24T00:00:00","2013-02-25T00:00:00",11660
"2013-02-25T00:00:00","2013-02-26T00:00:00",18856
"2013-02-26T00:00:00","2013-02-27T00:00:00",20048
"2013-02-27T00:00:00","2013-02-28T00:00:00",19519
"2013-02-28T00:00:00","2013-03-01T00:00:00",27483
"2013-03-01T00:00:00","2013-03-02T00:00:00",17359
"2013-03-02T00:00:00","2013-03-03T00:00:00",15588
"2013-03-03T00:00:00","2013-03-04T00:00:00",12375
"2013-03-04T00:00:00","2013-03-05T00:00:00",13927
"2013-03-05T00:00:00","2013-03-06T00:00:00",15414
"2013-03-06T00:00:00","2013-03-07T00:00:00",14422
"2013-03-07T00:00:00","2013-03-08T00:00:00",13736
"2013-03-08T00:00:00","2013-03-09T00:00:00",11767
"2013-03-09T00:00:00","2013-03-10T00:00:00",11341
"2013-03-10T00:00:00","2013-03-11T00:00:00",13360
"2013-03-11T00:00:00","2013-03-12T00:00:00",17384
"2013-03-12T00:00:00","2013-03-13T00:00:00",14971
"2013-03-13T00:00:00","2013-03-14T00:00:00",17824
"2013-03-14T00:00:00","2013-03-15T00:00:00",13641
"2013-03-15T00:00:00","2013-03-16T00:00:00",13393
"2013-03-16T00:00:00","2013-03-17T00:00:00",14422
"2013-03-17T00:00:00","2013-03-18T00:00:00",12966
"2013-03-18T00:00:00","2013-03-19T00:00:00",15659
"2013-03-19T00:00:00","2013-03-20T00:00:00",15118
"2013-03-20T00:00:00","2013-03-21T00:00:00",15085
"2013-03-21T00:00:00","2013-03-22T00:00:00",17003
"2013-03-22T00:00:00","2013-03-23T00:00:00",13638
"2013-03-23T00:00:00","2013-03-24T00:00:00",20537
"2013-03-24T00:00:00","2013-03-25T00:00:00",12184
"2013-03-25T00:00:00","2013-03-26T00:00:00",15433
"2013-03-26T00:00:00","2013-03-27T00:00:00",17336
"2013-03-27T00:00:00","2013-03-28T00:00:00",19664
"2013-03-28T00:00:00","2013-03-29T00:00:00",15676
"2013-03-29T00:00:00","2013-03-30T00:00:00",13138
"2013-03-30T00:00:00","2013-03-31T00:00:00",14625
"2013-03-31T00:00:00","2013-04-01T00:00:00",13868
"2013-04-01T00:00:00","2013-04-02T00:00:00",18225
"2013-04-02T00:00:00","2013-04-03T00:00:00",15768
"2013-04-03T00:00:00","2013-04-04T00:00:00",15442
"2013-04-04T00:00:00","2013-04-05T00:00:00",18032
"2013-04-05T00:00:00","2013-04-06T00:00:00",16165
"2013-04-06T00:00:00","2013-04-07T00:00:00",12146
"2013-04-07T00:00:00","2013-04-08T00:00:00",12528
"2013-04-08T00:00:00","2013-04-09T00:00:00",14494
"2013-04-09T00:00:00","2013-04-10T00:00:00",16239
"2013-04-10T00:00:00","2013-04-11T00:00:00",15518
"2013-04-11T00:00:00","2013-04-12T00:00:00",16014
"2013-04-12T00:00:00","2013-04-13T00:00:00",14668
"2013-04-13T00:00:00","2013-04-14T00:00:00",11945
"2013-04-14T00:00:00","2013-04-15T00:00:00",13223
"2013-04-15T00:00:00","2013-04-16T00:00:00",20482
"2013-04-16T00:00:00","2013-04-17T00:00:00",17815
"2013-04-17T00:00:00","2013-04-18T00:00:00",16470
"2013-04-18T00:00:00","2013-04-19T00:00:00",25505
"2013-04-19T00:00:00","2013-04-20T00:00:00",14989
"2013-04-20T00:00:00","2013-04-21T00:00:00",14307
"2013-04-21T00:00:00","2013-04-22T00:00:00",14427
"2013-04-22T00:00:00","2013-04-23T00:00:00",17192
"2013-04-23T00:00:00","2013-04-24T00:00:00",15606
"2013-04-24T00:00:00","2013-04-25T00:00:00",15324
"2013-04-25T00:00:00","2013-04-26T00:00:00",16104
"2013-04-26T00:00:00","2013-04-27T00:00:00",14593
"2013-04-27T00:00:00","2013-04-28T00:00:00",12555
"2013-04-28T00:00:00","2013-04-29T00:00:00",14993
"2013-04-29T00:00:00","2013-04-30T00:00:00",17641
"2013-04-30T00:00:00","2013-05-01T00:00:00",25493
"2013-05-01T00:00:00","2013-05-02T00:00:00",17147
"2013-05-02T00:00:00","2013-05-03T00:00:00",16791
"2013-05-03T00:00:00","2013-05-04T00:00:00",15166
"2013-05-04T00:00:00","2013-05-05T00:00:00",13139
"2013-05-05T00:00:00","2013-05-06T00:00:00",14588
"2013-05-06T00:00:00","2013-05-07T00:00:00",18856
"2013-05-07T00:00:00","2013-05-08T00:00:00",14735
"2013-05-08T00:00:00","2013-05-09T00:00:00",15294
"2013-05-09T00:00:00","2013-05-10T00:00:00",17465
"2013-05-10T00:00:00","2013-05-11T00:00:00",12981
"2013-05-11T00:00:00","2013-05-12T00:00:00",11223
"2013-05-12T00:00:00","2013-05-13T00:00:00",11708
"2013-05-13T00:00:00","2013-05-14T00:00:00",14348
"2013-05-14T00:00:00","2013-05-15T00:00:00",13832
"2013-05-15T00:00:00","2013-05-16T00:00:00",14786
"2013-05-16T00:00:00","2013-05-17T00:00:00",17298
"2013-05-17T00:00:00","2013-05-18T00:00:00",14171
"2013-05-18T00:00:00","2013-05-19T00:00:00",12625
"2013-05-19T00:00:00","2013-05-20T00:00:00",14553
"2013-05-20T00:00:00","2013-05-21T00:00:00",14625
"2013-05-21T00:00:00","2013-05-22T00:00:00",19921
"2013-05-22T00:00:00","2013-05-23T00:00:00",14464
"2013-05-23T00:00:00","2013-05-24T00:00:00",15002
"2013-05-24T00:00:00","2013-05-25T00:00:00",15302
"2013-05-25T00:00:00","2013-05-26T00:00:00",14607
"2013-05-26T00:00:00","2013-05-27T00:00:00",17020
"2013-05-27T00:00:00","2013-05-28T00:00:00",20377
"2013-05-28T00:00:00","2013-05-29T00:00:00",18974
"2013-05-29T00:00:00","2013-05-30T00:00:00",17736
"2013-05-30T00:00:00","2013-05-31T00:00:00",17468
"2013-05-31T00:00:00","2013-06-01T00:00:00",15276
"2013-06-01T00:00:00","2013-06-02T00:00:00",12102
"2013-06-02T00:00:00","2013-06-03T00:00:00",11906
"2013-06-03T00:00:00","2013-06-04T00:00:00",14283
"2013-06-04T00:00:00","2013-06-05T00:00:00",14047
"2013-06-05T00:00:00","2013-06-06T00:00:00",14532
"2013-06-06T00:00:00","2013-06-07T00:00:00",14804
"2013-06-07T00:00:00","2013-06-08T00:00:00",14832
"2013-06-08T00:00:00","2013-06-09T00:00:00",12471
"2013-06-09T00:00:00","2013-06-10T00:00:00",10824
"2013-06-10T00:00:00","2013-06-11T00:00:00",15500
"2013-06-11T00:00:00","2013-06-12T00:00:00",22388
"2013-06-12T00:00:00","2013-06-13T00:00:00",16565
"2013-06-13T00:00:00","2013-06-14T00:00:00",15692
"2013-06-14T00:00:00","2013-06-15T00:00:00",16726
"2013-06-15T00:00:00","2013-06-16T00:00:00",10949
"2013-06-16T00:00:00","2013-06-17T00:00:00",12182
"2013-06-17T00:00:00","2013-06-18T00:00:00",14481
"2013-06-18T00:00:00","2013-06-19T00:00:00",14933
"2013-06-19T00:00:00","2013-06-20T00:00:00",19048
"2013-06-20T00:00:00","2013-06-21T00:00:00",15506
"2013-06-21T00:00:00","2013-06-22T00:00:00",14438
"2013-06-22T00:00:00","2013-06-23T00:00:00",11204
"2013-06-23T00:00:00","2013-06-24T00:00:00",12351
"2013-06-24T00:00:00","2013-06-25T00:00:00",18417
"2013-06-25T00:00:00","2013-06-26T00:00:00",14792
"2013-06-26T00:00:00","2013-06-27T00:00:00",19890
"2013-06-27T00:00:00","2013-06-28T00:00:00",23304
"2013-06-28T00:00:00","2013-06-29T00:00:00",17085
"2013-06-29T00:00:00","2013-06-30T00:00:00",13013
"2013-06-30T00:00:00","2013-07-01T00:00:00",14053
"2013-07-01T00:00:00","2013-07-02T00:00:00",18896
"2013-07-02T00:00:00","2013-07-03T00:00:00",17275
"2013-07-03T00:00:00","2013-07-04T00:00:00",20230
"2013-07-04T00:00:00","2013-07-05T00:00:00",15288
"2013-07-05T00:00:00","2013-07-06T00:00:00",14836
"2013-07-06T00:00:00","2013-07-07T00:00:00",12115
"2013-07-07T00:00:00","2013-07-08T00:00:00",17445
"2013-07-08T00:00:00","2013-07-09T00:00:00",14894
"2013-07-09T00:00:00","2013-07-10T00:00:00",16051
"2013-07-10T00:00:00","2013-07-11T00:00:00",17275
"2013-07-11T00:00:00","2013-07-12T00:00:00",18312
"2013-07-12T00:00:00","2013-07-13T00:00:00",14669
"2013-07-13T00:00:00","2013-07-14T00:00:00",13511
"2013-07-14T00:00:00","2013-07-15T00:00:00",12047
"2013-07-15T00:00:00","2013-07-16T00:00:00",15262
"2013-07-16T00:00:00","2013-07-17T00:00:00",12912
"2013-07-17T00:00:00","2013-07-18T00:00:00",19619
