startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",185978
"2013-01-02T00:00:00","2013-01-03T00:00:00",182451
"2013-01-03T00:00:00","2013-01-04T00:00:00",196720
"2013-01-04T00:00:00","2013-01-05T00:00:00",204091
"2013-01-05T00:00:00","2013-01-06T00:00:00",167011
"2013-01-06T00:00:00","2013-01-07T00:00:00",157758
"2013-01-07T00:00:00","2013-01-08T00:00:00",203732
"2013-01-08T00:00:00","2013-01-09T00:00:00",196444
"2013-01-09T00:00:00","2013-01-10T00:00:00",197052
"2013-01-10T00:00:00","2013-01-11T00:00:00",211015
"2013-01-11T00:00:00","2013-01-12T00:00:00",196279
"2013-01-12T00:00:00","2013-01-13T00:00:00",157502
"2013-01-13T00:00:00","2013-01-14T00:00:00",154850
"2013-01-14T00:00:00","2013-01-15T00:00:00",189351
"2013-01-15T00:00:00","2013-01-16T00:00:00",194462
"2013-01-16T00:00:00","2013-01-17T00:00:00",198359
"2013-01-17T00:00:00","2013-01-18T00:00:00",186009
"2013-01-18T00:00:00","2013-01-19T00:00:00",185981
"2013-01-19T00:00:00","2013-01-20T00:00:00",159670
"2013-01-20T00:00:00","2013-01-21T00:00:00",159896
"2013-01-21T00:00:00","2013-01-22T00:00:00",187737
"2013-01-22T00:00:00","2013-01-23T00:00:00",168689
"2013-01-23T00:00:00","2013-01-24T00:00:00",202688
"2013-01-24T00:00:00","2013-01-25T00:00:00",188769
"2013-01-25T00:00:00","2013-01-26T00:00:00",183699
"2013-01-26T00:00:00","2013-01-27T00:00:00",158311
"2013-01-27T00:00:00","2013-01-28T00:00:00",158905
"2013-01-28T00:00:00","2013-01-29T00:00:00",185979
"2013-01-29T00:00:00","2013-01-30T00:00:00",203055
"2013-01-30T00:00:00","2013-01-31T00:00:00",203275
"2013-01-31T00:00:00","2013-02-01T00:00:00",177467
"2013-02-01T00:00:00","2013-02-02T00:00:00",186385
"2013-02-02T00:00:00","2013-02-03T00:00:00",153988
"2013-02-03T00:00:00","2013-02-04T00:00:00",170934
"2013-02-04T00:00:00","2013-02-05T00:00:00",166472
"2013-02-05T00:00:00","2013-02-06T00:00:00",185994
"2013-02-06T00:00:00","2013-02-07T00:00:00",194737
"2013-02-07T00:00:00","2013-02-08T00:00:00",187284
"2013-02-08T00:00:00","2013-02-09T00:00:00",179696
"2013-02-09T00:00:00","2013-02-10T00:00:00",168455
"2013-02-10T00:00:00","2013-02-11T00:00:00",166782
"2013-02-11T00:00:00","2013-02-12T00:00:00",187101
"2013-02-12T00:00:00","2013-02-13T00:00:00",189213
"2013-02-13T00:00:00","2013-02-14T00:00:00",194143
"2013-02-14T00:00:00","2013-02-15T00:00:00",221563
"2013-02-15T00:00:00","2013-02-16T00:00:00",190004
"2013-02-16T00:00:00","2013-02-17T00:00:00",156654
"2013-02-17T00:00:00","2013-02-18T00:00:00",158155
"2013-02-18T00:00:00","2013-02-19T00:00:00",186149
"2013-02-19T00:00:00","2013-02-20T00:00:00",206908
"2013-02-20T00:00:00","2013-02-21T00:00:00",219960
"2013-02-21T00:00:00","2013-02-22T00:00:00",203686
"2013-02-22T00:00:00","2013-02-23T00:00:00",210857
"2013-02-23T00:00:00","2013-02-24T00:00:00",190507
"2013-02-24T00:00:00","2013-02-25T00:00:00",189232
"2013-02-25T00:00:00","2013-02-26T00:00:00",308701
"2013-02-26T00:00:00","2013-02-27T00:00:00",311417
"2013-02-27T00:00:00","2013-02-28T00:00:00",295205
"2013-02-28T00:00:00","2013-03-01T00:00:00",368404
"2013-03-01T00:00:00","2013-03-02T00:00:00",236179
"2013-03-02T00:00:00","2013-03-03T00:00:00",235055
"2013-03-03T00:00:00","2013-03-04T00:00:00",168459
"2013-03-04T00:00:00","2013-03-05T00:00:00",193073
"2013-03-05T00:00:00","2013-03-06T00:00:00",201108
"2013-03-06T00:00:00","2013-03-07T00:00:00",200540
"2013-03-07T00:00:00","2013-03-08T00:00:00",188675
"2013-03-08T00:00:00","2013-03-09T00:00:00",209613
"2013-03-09T00:00:00","2013-03-10T00:00:00",163077
"2013-03-10T00:00:00","2013-03-11T00:00:00",176309
"2013-03-11T00:00:00","2013-03-12T00:00:00",198880
"2013-03-12T00:00:00","2013-03-13T00:00:00",193015
"2013-03-13T00:00:00","2013-03-14T00:00:00",225913
"2013-03-14T00:00:00","2013-03-15T00:00:00",191252
"2013-03-15T00:00:00","2013-03-16T00:00:00",191553
"2013-03-16T00:00:00","2013-03-17T00:00:00",183448
"2013-03-17T00:00:00","2013-03-18T00:00:00",178774
"2013-03-18T00:00:00","2013-03-19T00:00:00",208210
"2013-03-19T00:00:00","2013-03-20T00:00:00",199674
"2013-03-20T00:00:00","2013-03-21T00:00:00",210763
"2013-03-21T00:00:00","2013-03-22T00:00:00",205980
"2013-03-22T00:00:00","2013-03-23T00:00:00",195589
"2013-03-23T00:00:00","2013-03-24T00:00:00",201257
"2013-03-24T00:00:00","2013-03-25T00:00:00",177438
"2013-03-25T00:00:00","2013-03-26T00:00:00",202734
"2013-03-26T00:00:00","2013-03-27T00:00:00",212840
"2013-03-27T00:00:00","2013-03-28T00:00:00",241146
"2013-03-28T00:00:00","2013-03-29T00:00:00",208280
"2013-03-29T00:00:00","2013-03-30T00:00:00",181704
"2013-03-30T00:00:00","2013-03-31T00:00:00",184250
"2013-03-31T00:00:00","2013-04-01T00:00:00",183670
"2013-04-01T00:00:00","2013-04-02T00:00:00",220928
"2013-04-02T00:00:00","2013-04-03T00:00:00",218213
"2013-04-03T00:00:00","2013-04-04T00:00:00",208104
"2013-04-04T00:00:00","2013-04-05T00:00:00",214232
"2013-04-05T00:00:00","2013-04-06T00:00:00",207970
"2013-04-06T00:00:00","2013-04-07T00:00:00",175617
"2013-04-07T00:00:00","2013-04-08T00:00:00",180209
"2013-04-08T00:00:00","2013-04-09T00:00:00",198891
"2013-04-09T00:00:00","2013-04-10T00:00:00",208403
"2013-04-10T00:00:00","2013-04-11T00:00:00",207241
"2013-04-11T00:00:00","2013-04-12T00:00:00",211286
"2013-04-12T00:00:00","2013-04-13T00:00:00",200899
"2013-04-13T00:00:00","2013-04-14T00:00:00",172204
"2013-04-14T00:00:00","2013-04-15T00:00:00",178216
"2013-04-15T00:00:00","2013-04-16T00:00:00",229725
"2013-04-16T00:00:00","2013-04-17T00:00:00",199689
"2013-04-17T00:00:00","2013-04-18T00:00:00",206377
"2013-04-18T00:00:00","2013-04-19T00:00:00",239637
"2013-04-19T00:00:00","2013-04-20T00:00:00",201136
"2013-04-20T00:00:00","2013-04-21T00:00:00",177073
"2013-04-21T00:00:00","2013-04-22T00:00:00",186336
"2013-04-22T00:00:00","2013-04-23T00:00:00",214892
"2013-04-23T00:00:00","2013-04-24T00:00:00",204420
"2013-04-24T00:00:00","2013-04-25T00:00:00",201277
"2013-04-25T00:00:00","2013-04-26T00:00:00",211097
"2013-04-26T00:00:00","2013-04-27T00:00:00",196407
"2013-04-27T00:00:00","2013-04-28T00:00:00",180854
"2013-04-28T00:00:00","2013-04-29T00:00:00",181200
"2013-04-29T00:00:00","2013-04-30T00:00:00",225438
"2013-04-30T00:00:00","2013-05-01T00:00:00",228801
"2013-05-01T00:00:00","2013-05-02T00:00:00",211338
"2013-05-02T00:00:00","2013-05-03T00:00:00",218657
"2013-05-03T00:00:00","2013-05-04T00:00:00",204479
"2013-05-04T00:00:00","2013-05-05T00:00:00",173346
"2013-05-05T00:00:00","2013-05-06T00:00:00",190606
"2013-05-06T00:00:00","2013-05-07T00:00:00",217788
"2013-05-07T00:00:00","2013-05-08T00:00:00",196069
"2013-05-08T00:00:00","2013-05-09T00:00:00",200968
"2013-05-09T00:00:00","2013-05-10T00:00:00",212762
"2013-05-10T00:00:00","2013-05-11T00:00:00",192484
"2013-05-11T00:00:00","2013-05-12T00:00:00",159880
"2013-05-12T00:00:00","2013-05-13T00:00:00",176638
"2013-05-13T00:00:00","2013-05-14T00:00:00",192835
"2013-05-14T00:00:00","2013-05-15T00:00:00",194487
"2013-05-15T00:00:00","2013-05-16T00:00:00",195016
"2013-05-16T00:00:00","2013-05-17T00:00:00",204030
"2013-05-17T00:00:00","2013-05-18T00:00:00",192831
"2013-05-18T00:00:00","2013-05-19T00:00:00",183163
"2013-05-19T00:00:00","2013-05-20T00:00:00",196347
"2013-05-20T00:00:00","2013-05-21T00:00:00",206289
"2013-05-21T00:00:00","2013-05-22T00:00:00",231586
"2013-05-22T00:00:00","2013-05-23T00:00:00",181772
"2013-05-23T00:00:00","2013-05-24T00:00:00",199230
"2013-05-24T00:00:00","2013-05-25T00:00:00",195185
"2013-05-25T00:00:00","2013-05-26T00:00:00",190245
"2013-05-26T00:00:00","2013-05-27T00:00:00",202850
"2013-05-27T00:00:00","2013-05-28T00:00:00",241121
"2013-05-28T00:00:00","2013-05-29T00:00:00",251448
"2013-05-29T00:00:00","2013-05-30T00:00:00",228060
"2013-05-30T00:00:00","2013-05-31T00:00:00",199835
"2013-05-31T00:00:00","2013-06-01T00:00:00",200016
"2013-06-01T00:00:00","2013-06-02T00:00:00",177374
"2013-06-02T00:00:00","2013-06-03T00:00:00",157027
"2013-06-03T00:00:00","2013-06-04T00:00:00",194086
"2013-06-04T00:00:00","2013-06-05T00:00:00",187592
"2013-06-05T00:00:00","2013-06-06T00:00:00",194463
"2013-06-06T00:00:00","2013-06-07T00:00:00",186947
"2013-06-07T00:00:00","2013-06-08T00:00:00",192907
"2013-06-08T00:00:00","2013-06-09T00:00:00",178694
"2013-06-09T00:00:00","2013-06-10T00:00:00",153603
"2013-06-10T00:00:00","2013-06-11T00:00:00",193767
"2013-06-11T00:00:00","2013-06-12T00:00:00",253885
"2013-06-12T00:00:00","2013-06-13T00:00:00",207047
"2013-06-13T00:00:00","2013-06-14T00:00:00",187137
"2013-06-14T00:00:00","2013-06-15T00:00:00",212497
"2013-06-15T00:00:00","2013-06-16T00:00:00",158012
"2013-06-16T00:00:00","2013-06-17T00:00:00",165253
"2013-06-17T00:00:00","2013-06-18T00:00:00",192819
"2013-06-18T00:00:00","2013-06-19T00:00:00",190923
"2013-06-19T00:00:00","2013-06-20T00:00:00",190739
"2013-06-20T00:00:00","2013-06-21T00:00:00",190293
"2013-06-21T00:00:00","2013-06-22T00:00:00",197565
"2013-06-22T00:00:00","2013-06-23T00:00:00",164376
"2013-06-23T00:00:00","2013-06-24T00:00:00",167841
"2013-06-24T00:00:00","2013-06-25T00:00:00",228365
"2013-06-25T00:00:00","2013-06-26T00:00:00",190108
"2013-06-26T00:00:00","2013-06-27T00:00:00",211169
"2013-06-27T00:00:00","2013-06-28T00:00:00",220589
"2013-06-28T00:00:00","2013-06-29T00:00:00",211592
"2013-06-29T00:00:00","2013-06-30T00:00:00",176599
"2013-06-30T00:00:00","2013-07-01T00:00:00",199202
"2013-07-01T00:00:00","2013-07-02T00:00:00",232562
"2013-07-02T00:00:00","2013-07-03T00:00:00",206805
"2013-07-03T00:00:00","2013-07-04T00:00:00",210438
"2013-07-04T00:00:00","2013-07-05T00:00:00",197481
"2013-07-05T00:00:00","2013-07-06T00:00:00",200677
"2013-07-06T00:00:00","2013-07-07T00:00:00",174293
"2013-07-07T00:00:00","2013-07-08T00:00:00",180035
"2013-07-08T00:00:00","2013-07-09T00:00:00",188176
"2013-07-09T00:00:00","2013-07-10T00:00:00",200936
"2013-07-10T00:00:00","2013-07-11T00:00:00",203850
"2013-07-11T00:00:00","2013-07-12T00:00:00",211632
"2013-07-12T00:00:00","2013-07-13T00:00:00",202324
"2013-07-13T00:00:00","2013-07-14T00:00:00",173271
"2013-07-14T00:00:00","2013-07-15T00:00:00",156241
"2013-07-15T00:00:00","2013-07-16T00:00:00",189213
"2013-07-16T00:00:00","2013-07-17T00:00:00",178030
"2013-07-17T00:00:00","2013-07-18T00:00:00",222243
"2013-07-18T00:00:00","2013-07-19T00:00:00",225314
"2013-07-19T00:00:00","2013-07-20T00:00:00",237047
"2013-07-20T00:00:00","2013-07-21T00:00:00",193740
"2013-07-21T00:00:00","2013-07-22T00:00:00",190383
"2013-07-22T00:00:00","2013-07-23T00:00:00",217464
"2013-07-23T00:00:00","2013-07-24T00:00:00",198637
"2013-07-24T00:00:00","2013-07-25T00:00:00",203002
"2013-07-25T00:00:00","2013-07-26T00:00:00",201139
"2013-07-26T00:00:00","2013-07-27T00:00:00",204280
"2013-07-27T00:00:00","2013-07-28T00:00:00",174230
"2013-07-28T00:00:00","2013-07-29T00:00:00",172147
"2013-07-29T00:00:00","2013-07-30T00:00:00",199866
"2013-07-30T00:00:00","2013-07-31T00:00:00",191400
"2013-07-31T00:00:00","2013-08-01T00:00:00",189300
"2013-08-01T00:00:00","2013-08-02T00:00:00",184550
"2013-08-02T00:00:00","2013-08-03T00:00:00",196247
"2013-08-03T00:00:00","2013-08-04T00:00:00",163683
"2013-08-04T00:00:00","2013-08-05T00:00:00",158207
"2013-08-05T00:00:00","2013-08-06T00:00:00",188427
"2013-08-06T00:00:00","2013-08-07T00:00:00",213750
"2013-08-07T00:00:00","2013-08-08T00:00:00",235775
"2013-08-08T00:00:00","2013-08-09T00:00:00",213406
"2013-08-09T00:00:00","2013-08-10T00:00:00",202762
"2013-08-10T00:00:00","2013-08-11T00:00:00",172734
"2013-08-11T00:00:00","2013-08-12T00:00:00",177589
