startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",11504
"2013-01-02T00:00:00","2013-01-03T00:00:00",18349
"2013-01-03T00:00:00","2013-01-04T00:00:00",19871
"2013-01-04T00:00:00","2013-01-05T00:00:00",25157
"2013-01-05T00:00:00","2013-01-06T00:00:00",20175
"2013-01-06T00:00:00","2013-01-07T00:00:00",17739
"2013-01-07T00:00:00","2013-01-08T00:00:00",19954
"2013-01-08T00:00:00","2013-01-09T00:00:00",20603
"2013-01-09T00:00:00","2013-01-10T00:00:00",22591
"2013-01-10T00:00:00","2013-01-11T00:00:00",22900
"2013-01-11T00:00:00","2013-01-12T00:00:00",21970
"2013-01-12T00:00:00","2013-01-13T00:00:00",17929
"2013-01-13T00:00:00","2013-01-14T00:00:00",18937
"2013-01-14T00:00:00","2013-01-15T00:00:00",20977
"2013-01-15T00:00:00","2013-01-16T00:00:00",22452
"2013-01-16T00:00:00","2013-01-17T00:00:00",23131
"2013-01-17T00:00:00","2013-01-18T00:00:00",19589
"2013-01-18T00:00:00","2013-01-19T00:00:00",18785
"2013-01-19T00:00:00","2013-01-20T00:00:00",18032
"2013-01-20T00:00:00","2013-01-21T00:00:00",19213
"2013-01-21T00:00:00","2013-01-22T00:00:00",20236
"2013-01-22T00:00:00","2013-01-23T00:00:00",19443
"2013-01-23T00:00:00","2013-01-24T00:00:00",22883
"2013-01-24T00:00:00","2013-01-25T00:00:00",20833
"2013-01-25T00:00:00","2013-01-26T00:00:00",20282
"2013-01-26T00:00:00","2013-01-27T00:00:00",16866
"2013-01-27T00:00:00","2013-01-28T00:00:00",22040
"2013-01-28T00:00:00","2013-01-29T00:00:00",21273
"2013-01-29T00:00:00","2013-01-30T00:00:00",20529
"2013-01-30T00:00:00","2013-01-31T00:00:00",28197
"2013-01-31T00:00:00","2013-02-01T00:00:00",21280
"2013-02-01T00:00:00","2013-02-02T00:00:00",20939
"2013-02-02T00:00:00","2013-02-03T00:00:00",16782
"2013-02-03T00:00:00","2013-02-04T00:00:00",17717
"2013-02-04T00:00:00","2013-02-05T00:00:00",19558
"2013-02-05T00:00:00","2013-02-06T00:00:00",20705
"2013-02-06T00:00:00","2013-02-07T00:00:00",22256
"2013-02-07T00:00:00","2013-02-08T00:00:00",19196
"2013-02-08T00:00:00","2013-02-09T00:00:00",18075
"2013-02-09T00:00:00","2013-02-10T00:00:00",32939
"2013-02-10T00:00:00","2013-02-11T00:00:00",20295
"2013-02-11T00:00:00","2013-02-12T00:00:00",23228
"2013-02-12T00:00:00","2013-02-13T00:00:00",19217
"2013-02-13T00:00:00","2013-02-14T00:00:00",20694
"2013-02-14T00:00:00","2013-02-15T00:00:00",21980
"2013-02-15T00:00:00","2013-02-16T00:00:00",21618
"2013-02-16T00:00:00","2013-02-17T00:00:00",17022
"2013-02-17T00:00:00","2013-02-18T00:00:00",16559
"2013-02-18T00:00:00","2013-02-19T00:00:00",18576
"2013-02-19T00:00:00","2013-02-20T00:00:00",20112
"2013-02-20T00:00:00","2013-02-21T00:00:00",23207
"2013-02-21T00:00:00","2013-02-22T00:00:00",20960
"2013-02-22T00:00:00","2013-02-23T00:00:00",20703
"2013-02-23T00:00:00","2013-02-24T00:00:00",23495
"2013-02-24T00:00:00","2013-02-25T00:00:00",19187
"2013-02-25T00:00:00","2013-02-26T00:00:00",27637
"2013-02-26T00:00:00","2013-02-27T00:00:00",28679
"2013-02-27T00:00:00","2013-02-28T00:00:00",33336
"2013-02-28T00:00:00","2013-03-01T00:00:00",38416
"2013-03-01T00:00:00","2013-03-02T00:00:00",24293
"2013-03-02T00:00:00","2013-03-03T00:00:00",22913
"2013-03-03T00:00:00","2013-03-04T00:00:00",19815
"2013-03-04T00:00:00","2013-03-05T00:00:00",21776
"2013-03-05T00:00:00","2013-03-06T00:00:00",29640
"2013-03-06T00:00:00","2013-03-07T00:00:00",34894
"2013-03-07T00:00:00","2013-03-08T00:00:00",22837
"2013-03-08T00:00:00","2013-03-09T00:00:00",19637
"2013-03-09T00:00:00","2013-03-10T00:00:00",18776
"2013-03-10T00:00:00","2013-03-11T00:00:00",21404
"2013-03-11T00:00:00","2013-03-12T00:00:00",22783
"2013-03-12T00:00:00","2013-03-13T00:00:00",20753
"2013-03-13T00:00:00","2013-03-14T00:00:00",25162
"2013-03-14T00:00:00","2013-03-15T00:00:00",19802
"2013-03-15T00:00:00","2013-03-16T00:00:00",20271
"2013-03-16T00:00:00","2013-03-17T00:00:00",21527
"2013-03-17T00:00:00","2013-03-18T00:00:00",20756
"2013-03-18T00:00:00","2013-03-19T00:00:00",23379
"2013-03-19T00:00:00","2013-03-20T00:00:00",23950
"2013-03-20T00:00:00","2013-03-21T00:00:00",22543
"2013-03-21T00:00:00","2013-03-22T00:00:00",24457
"2013-03-22T00:00:00","2013-03-23T00:00:00",20414
"2013-03-23T00:00:00","2013-03-24T00:00:00",33454
