startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",454768
"2013-01-02T00:00:00","2013-01-03T00:00:00",539924
"2013-01-03T00:00:00","2013-01-04T00:00:00",586673
"2013-01-04T00:00:00","2013-01-05T00:00:00",612320
"2013-01-05T00:00:00","2013-01-06T00:00:00",513296
"2013-01-06T00:00:00","2013-01-07T00:00:00",479358
"2013-01-07T00:00:00","2013-01-08T00:00:00",615900
"2013-01-08T00:00:00","2013-01-09T00:00:00",596441
"2013-01-09T00:00:00","2013-01-10T00:00:00",625475
"2013-01-10T00:00:00","2013-01-11T00:00:00",651295
"2013-01-11T00:00:00","2013-01-12T00:00:00",597417
"2013-01-12T00:00:00","2013-01-13T00:00:00",504394
"2013-01-13T00:00:00","2013-01-14T00:00:00",489863
"2013-01-14T00:00:00","2013-01-15T00:00:00",577664
"2013-01-15T00:00:00","2013-01-16T00:00:00",597367
"2013-01-16T00:00:00","2013-01-17T00:00:00",613881
"2013-01-17T00:00:00","2013-01-18T00:00:00",561703
"2013-01-18T00:00:00","2013-01-19T00:00:00",560364
"2013-01-19T00:00:00","2013-01-20T00:00:00",489293
"2013-01-20T00:00:00","2013-01-21T00:00:00",494002
"2013-01-21T00:00:00","2013-01-22T00:00:00",555890
"2013-01-22T00:00:00","2013-01-23T00:00:00",537851
"2013-01-23T00:00:00","2013-01-24T00:00:00",624044
"2013-01-24T00:00:00","2013-01-25T00:00:00",570400
"2013-01-25T00:00:00","2013-01-26T00:00:00",559728
"2013-01-26T00:00:00","2013-01-27T00:00:00",482278
"2013-01-27T00:00:00","2013-01-28T00:00:00",501324
"2013-01-28T00:00:00","2013-01-29T00:00:00",558446
"2013-01-29T00:00:00","2013-01-30T00:00:00",586880
"2013-01-30T00:00:00","2013-01-31T00:00:00",629814
"2013-01-31T00:00:00","2013-02-01T00:00:00",542400
"2013-02-01T00:00:00","2013-02-02T00:00:00",564389
"2013-02-02T00:00:00","2013-02-03T00:00:00",477970
"2013-02-03T00:00:00","2013-02-04T00:00:00",508990
"2013-02-04T00:00:00","2013-02-05T00:00:00",516793
"2013-02-05T00:00:00","2013-02-06T00:00:00",564837
"2013-02-06T00:00:00","2013-02-07T00:00:00",589542
"2013-02-07T00:00:00","2013-02-08T00:00:00",564589
"2013-02-08T00:00:00","2013-02-09T00:00:00",541462
"2013-02-09T00:00:00","2013-02-10T00:00:00",539516
"2013-02-10T00:00:00","2013-02-11T00:00:00",515725
"2013-02-11T00:00:00","2013-02-12T00:00:00",587449
"2013-02-12T00:00:00","2013-02-13T00:00:00",560947
"2013-02-13T00:00:00","2013-02-14T00:00:00",575282
"2013-02-14T00:00:00","2013-02-15T00:00:00",593349
"2013-02-15T00:00:00","2013-02-16T00:00:00",561969
"2013-02-16T00:00:00","2013-02-17T00:00:00",475103
"2013-02-17T00:00:00","2013-02-18T00:00:00",474832
"2013-02-18T00:00:00","2013-02-19T00:00:00",559516
"2013-02-19T00:00:00","2013-02-20T00:00:00",596452
"2013-02-20T00:00:00","2013-02-21T00:00:00",631354
"2013-02-21T00:00:00","2013-02-22T00:00:00",588380
"2013-02-22T00:00:00","2013-02-23T00:00:00",597424
"2013-02-23T00:00:00","2013-02-24T00:00:00",568704
"2013-02-24T00:00:00","2013-02-25T00:00:00",536091
"2013-02-25T00:00:00","2013-02-26T00:00:00",802183
"2013-02-26T00:00:00","2013-02-27T00:00:00",853450
"2013-02-27T00:00:00","2013-02-28T00:00:00",826246
"2013-02-28T00:00:00","2013-03-01T00:00:00",1040819
"2013-03-01T00:00:00","2013-03-02T00:00:00",706202
"2013-03-02T00:00:00","2013-03-03T00:00:00",671603
"2013-03-03T00:00:00","2013-03-04T00:00:00",530725
"2013-03-04T00:00:00","2013-03-05T00:00:00",585187
"2013-03-05T00:00:00","2013-03-06T00:00:00",613168
"2013-03-06T00:00:00","2013-03-07T00:00:00",602015
"2013-03-07T00:00:00","2013-03-08T00:00:00",570818
"2013-03-08T00:00:00","2013-03-09T00:00:00",565897
"2013-03-09T00:00:00","2013-03-10T00:00:00",508071
"2013-03-10T00:00:00","2013-03-11T00:00:00",565185
"2013-03-11T00:00:00","2013-03-12T00:00:00",584353
"2013-03-12T00:00:00","2013-03-13T00:00:00",535060
"2013-03-13T00:00:00","2013-03-14T00:00:00",655684
"2013-03-14T00:00:00","2013-03-15T00:00:00",527119
"2013-03-15T00:00:00","2013-03-16T00:00:00",531825
"2013-03-16T00:00:00","2013-03-17T00:00:00",512995
"2013-03-17T00:00:00","2013-03-18T00:00:00",494020
"2013-03-18T00:00:00","2013-03-19T00:00:00",566908
"2013-03-19T00:00:00","2013-03-20T00:00:00",544641
"2013-03-20T00:00:00","2013-03-21T00:00:00",564451
"2013-03-21T00:00:00","2013-03-22T00:00:00",559101
"2013-03-22T00:00:00","2013-03-23T00:00:00",531794
"2013-03-23T00:00:00","2013-03-24T00:00:00",597592
"2013-03-24T00:00:00","2013-03-25T00:00:00",487587
"2013-03-25T00:00:00","2013-03-26T00:00:00",554975
"2013-03-26T00:00:00","2013-03-27T00:00:00",582210
"2013-03-27T00:00:00","2013-03-28T00:00:00",677410
"2013-03-28T00:00:00","2013-03-29T00:00:00",574331
"2013-03-29T00:00:00","2013-03-30T00:00:00",497901
"2013-03-30T00:00:00","2013-03-31T00:00:00",510673
"2013-03-31T00:00:00","2013-04-01T00:00:00",507073
"2013-04-01T00:00:00","2013-04-02T00:00:00",594590
"2013-04-02T00:00:00","2013-04-03T00:00:00",586315
"2013-04-03T00:00:00","2013-04-04T00:00:00",565932
"2013-04-04T00:00:00","2013-04-05T00:00:00",599861
"2013-04-05T00:00:00","2013-04-06T00:00:00",577295
"2013-04-06T00:00:00","2013-04-07T00:00:00",495723
"2013-04-07T00:00:00","2013-04-08T00:00:00",504391
"2013-04-08T00:00:00","2013-04-09T00:00:00",538010
"2013-04-09T00:00:00","2013-04-10T00:00:00",575033
"2013-04-10T00:00:00","2013-04-11T00:00:00",563309
"2013-04-11T00:00:00","2013-04-12T00:00:00",576844
"2013-04-12T00:00:00","2013-04-13T00:00:00",551170
"2013-04-13T00:00:00","2013-04-14T00:00:00",472563
"2013-04-14T00:00:00","2013-04-15T00:00:00",503579
"2013-04-15T00:00:00","2013-04-16T00:00:00",629244
"2013-04-16T00:00:00","2013-04-17T00:00:00",548061
"2013-04-17T00:00:00","2013-04-18T00:00:00",575065
"2013-04-18T00:00:00","2013-04-19T00:00:00",673355
"2013-04-19T00:00:00","2013-04-20T00:00:00",541769
"2013-04-20T00:00:00","2013-04-21T00:00:00",499424
"2013-04-21T00:00:00","2013-04-22T00:00:00",520426
"2013-04-22T00:00:00","2013-04-23T00:00:00",577424
"2013-04-23T00:00:00","2013-04-24T00:00:00",560870
"2013-04-24T00:00:00","2013-04-25T00:00:00",554002
"2013-04-25T00:00:00","2013-04-26T00:00:00",593120
"2013-04-26T00:00:00","2013-04-27T00:00:00",547047
"2013-04-27T00:00:00","2013-04-28T00:00:00",500530
"2013-04-28T00:00:00","2013-04-29T00:00:00",525369
"2013-04-29T00:00:00","2013-04-30T00:00:00",625400
"2013-04-30T00:00:00","2013-05-01T00:00:00",643546
"2013-05-01T00:00:00","2013-05-02T00:00:00",580635
"2013-05-02T00:00:00","2013-05-03T00:00:00",602151
"2013-05-03T00:00:00","2013-05-04T00:00:00",565275
"2013-05-04T00:00:00","2013-05-05T00:00:00",490677
"2013-05-05T00:00:00","2013-05-06T00:00:00",550075
"2013-05-06T00:00:00","2013-05-07T00:00:00",608214
