"date","unique_authors"
2019-01-01,"49699"
2019-01-02,"53076"
2019-01-03,"54438"
2019-01-04,"44611"
2019-01-05,"41558"
2019-01-06,"51879"
2019-01-07,"54927"
2019-01-08,"55471"
2019-01-09,"54816"
2019-01-10,"54497"
2019-01-11,"44042"
2019-01-12,"41774"
2019-01-13,"50427"
2019-01-14,"56454"
2019-01-15,"57127"
2019-01-16,"56202"
2019-01-17,"57029"
2019-01-18,"47642"
2019-01-19,"54698"
2019-01-20,"55431"
2019-01-21,"56860"
2019-01-22,"59408"
2019-01-23,"59980"
2019-01-24,"57701"
2019-01-25,"52072"
2019-01-26,"45000"
2019-01-27,"52989"
2019-01-28,"57233"
2019-01-29,"58213"
2019-01-30,"56660"
2019-01-31,"53980"
2019-02-01,"47975"
2019-02-02,"44711"
2019-02-03,"52013"
2019-02-04,"52859"
2019-02-05,"54631"
2019-02-06,"52640"
2019-02-07,"54898"
2019-02-08,"48360"
2019-02-09,"44383"
2019-02-10,"50476"
2019-02-11,"53047"
2019-02-12,"54869"
2019-02-13,"55083"
2019-02-14,"51784"
2019-02-15,"44627"
2019-02-16,"44140"
2019-02-17,"52232"
2019-02-18,"52245"
2019-02-19,"55866"
2019-02-20,"55018"
2019-02-21,"55134"
2019-02-22,"57590"
2019-02-23,"51285"
2019-02-24,"68250"
2019-02-25,"59044"
2019-02-26,"72434"
2019-02-27,"62430"
2019-02-28,"65293"
2019-03-01,"57031"
2019-03-02,"47234"
2019-03-03,"55445"
2019-03-04,"56435"
2019-03-05,"59355"
2019-03-06,"55991"
2019-03-07,"62283"
2019-03-08,"51695"
2019-03-09,"47167"
2019-03-10,"53674"
2019-03-11,"57567"
2019-03-12,"58146"
2019-03-13,"61200"
2019-03-14,"56862"
2019-03-15,"46979"
2019-03-16,"48899"
2019-03-17,"54802"
2019-03-18,"55094"
2019-03-19,"57664"
2019-03-20,"59426"
2019-03-21,"57413"
2019-03-22,"52004"
2019-03-23,"45162"
2019-03-24,"54229"
2019-03-25,"54725"
2019-03-26,"57376"
2019-03-27,"55085"
