startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",16908
"2013-01-02T00:00:00","2013-01-03T00:00:00",21109
"2013-01-03T00:00:00","2013-01-04T00:00:00",24618
"2013-01-04T00:00:00","2013-01-05T00:00:00",26219
"2013-01-05T00:00:00","2013-01-06T00:00:00",24661
"2013-01-06T00:00:00","2013-01-07T00:00:00",23127
"2013-01-07T00:00:00","2013-01-08T00:00:00",23924
"2013-01-08T00:00:00","2013-01-09T00:00:00",25403
"2013-01-09T00:00:00","2013-01-10T00:00:00",26326
"2013-01-10T00:00:00","2013-01-11T00:00:00",24755
"2013-01-11T00:00:00","2013-01-12T00:00:00",23746
"2013-01-12T00:00:00","2013-01-13T00:00:00",22239
"2013-01-13T00:00:00","2013-01-14T00:00:00",21867
"2013-01-14T00:00:00","2013-01-15T00:00:00",22814
"2013-01-15T00:00:00","2013-01-16T00:00:00",27405
"2013-01-16T00:00:00","2013-01-17T00:00:00",29853
"2013-01-17T00:00:00","2013-01-18T00:00:00",30345
"2013-01-18T00:00:00","2013-01-19T00:00:00",28580
"2013-01-19T00:00:00","2013-01-20T00:00:00",26433
"2013-01-20T00:00:00","2013-01-21T00:00:00",24292
"2013-01-21T00:00:00","2013-01-22T00:00:00",25999
"2013-01-22T00:00:00","2013-01-23T00:00:00",25742
"2013-01-23T00:00:00","2013-01-24T00:00:00",30731
"2013-01-24T00:00:00","2013-01-25T00:00:00",31704
"2013-01-25T00:00:00","2013-01-26T00:00:00",28608
"2013-01-26T00:00:00","2013-01-27T00:00:00",27347
"2013-01-27T00:00:00","2013-01-28T00:00:00",26075
"2013-01-28T00:00:00","2013-01-29T00:00:00",29733
"2013-01-29T00:00:00","2013-01-30T00:00:00",30900
"2013-01-30T00:00:00","2013-01-31T00:00:00",31997
"2013-01-31T00:00:00","2013-02-01T00:00:00",30225
"2013-02-01T00:00:00","2013-02-02T00:00:00",28707
"2013-02-02T00:00:00","2013-02-03T00:00:00",25299
"2013-02-03T00:00:00","2013-02-04T00:00:00",24920
"2013-02-04T00:00:00","2013-02-05T00:00:00",25657
"2013-02-05T00:00:00","2013-02-06T00:00:00",38427
"2013-02-06T00:00:00","2013-02-07T00:00:00",30880
"2013-02-07T00:00:00","2013-02-08T00:00:00",30030
"2013-02-08T00:00:00","2013-02-09T00:00:00",27636
"2013-02-09T00:00:00","2013-02-10T00:00:00",28031
"2013-02-10T00:00:00","2013-02-11T00:00:00",18802
"2013-02-11T00:00:00","2013-02-12T00:00:00",17604
"2013-02-12T00:00:00","2013-02-13T00:00:00",24343
"2013-02-13T00:00:00","2013-02-14T00:00:00",39048
"2013-02-14T00:00:00","2013-02-15T00:00:00",29545
"2013-02-15T00:00:00","2013-02-16T00:00:00",28995
"2013-02-16T00:00:00","2013-02-17T00:00:00",30477
"2013-02-17T00:00:00","2013-02-18T00:00:00",42464
"2013-02-18T00:00:00","2013-02-19T00:00:00",36904
"2013-02-19T00:00:00","2013-02-20T00:00:00",32701
"2013-02-20T00:00:00","2013-02-21T00:00:00",30640
"2013-02-21T00:00:00","2013-02-22T00:00:00",30488
"2013-02-22T00:00:00","2013-02-23T00:00:00",29384
"2013-02-23T00:00:00","2013-02-24T00:00:00",26973
"2013-02-24T00:00:00","2013-02-25T00:00:00",29332
"2013-02-25T00:00:00","2013-02-26T00:00:00",27537
"2013-02-26T00:00:00","2013-02-27T00:00:00",33789
"2013-02-27T00:00:00","2013-02-28T00:00:00",32128
"2013-02-28T00:00:00","2013-03-01T00:00:00",36094
"2013-03-01T00:00:00","2013-03-02T00:00:00",31349
"2013-03-02T00:00:00","2013-03-03T00:00:00",27619
"2013-03-03T00:00:00","2013-03-04T00:00:00",27885
"2013-03-04T00:00:00","2013-03-05T00:00:00",29846
"2013-03-05T00:00:00","2013-03-06T00:00:00",36011
"2013-03-06T00:00:00","2013-03-07T00:00:00",36212
"2013-03-07T00:00:00","2013-03-08T00:00:00",36707
"2013-03-08T00:00:00","2013-03-09T00:00:00",32306
"2013-03-09T00:00:00","2013-03-10T00:00:00",27582
"2013-03-10T00:00:00","2013-03-11T00:00:00",25202
"2013-03-11T00:00:00","2013-03-12T00:00:00",31803
"2013-03-12T00:00:00","2013-03-13T00:00:00",34226
"2013-03-13T00:00:00","2013-03-14T00:00:00",37623
"2013-03-14T00:00:00","2013-03-15T00:00:00",35339
"2013-03-15T00:00:00","2013-03-16T00:00:00",34210
"2013-03-16T00:00:00","2013-03-17T00:00:00",28388
"2013-03-17T00:00:00","2013-03-18T00:00:00",25854
"2013-03-18T00:00:00","2013-03-19T00:00:00",30368
"2013-03-19T00:00:00","2013-03-20T00:00:00",33131
"2013-03-20T00:00:00","2013-03-21T00:00:00",33730
"2013-03-21T00:00:00","2013-03-22T00:00:00",33227
"2013-03-22T00:00:00","2013-03-23T00:00:00",32682
"2013-03-23T00:00:00","2013-03-24T00:00:00",32074
"2013-03-24T00:00:00","2013-03-25T00:00:00",28195
"2013-03-25T00:00:00","2013-03-26T00:00:00",30253
"2013-03-26T00:00:00","2013-03-27T00:00:00",35330
"2013-03-27T00:00:00","2013-03-28T00:00:00",31870
"2013-03-28T00:00:00","2013-03-29T00:00:00",32384
"2013-03-29T00:00:00","2013-03-30T00:00:00",27182
"2013-03-30T00:00:00","2013-03-31T00:00:00",28716
"2013-03-31T00:00:00","2013-04-01T00:00:00",23536
"2013-04-01T00:00:00","2013-04-02T00:00:00",31143
"2013-04-02T00:00:00","2013-04-03T00:00:00",33250
"2013-04-03T00:00:00","2013-04-04T00:00:00",33246
"2013-04-04T00:00:00","2013-04-05T00:00:00",39052
"2013-04-05T00:00:00","2013-04-06T00:00:00",31972
"2013-04-06T00:00:00","2013-04-07T00:00:00",28561
"2013-04-07T00:00:00","2013-04-08T00:00:00",29678
"2013-04-08T00:00:00","2013-04-09T00:00:00",31690
"2013-04-09T00:00:00","2013-04-10T00:00:00",33447
"2013-04-10T00:00:00","2013-04-11T00:00:00",35992
"2013-04-11T00:00:00","2013-04-12T00:00:00",34442
"2013-04-12T00:00:00","2013-04-13T00:00:00",46260
"2013-04-13T00:00:00","2013-04-14T00:00:00",28589
"2013-04-14T00:00:00","2013-04-15T00:00:00",28259
"2013-04-15T00:00:00","2013-04-16T00:00:00",37516
"2013-04-16T00:00:00","2013-04-17T00:00:00",37940
"2013-04-17T00:00:00","2013-04-18T00:00:00",36599
"2013-04-18T00:00:00","2013-04-19T00:00:00",35309
"2013-04-19T00:00:00","2013-04-20T00:00:00",34590
"2013-04-20T00:00:00","2013-04-21T00:00:00",30145
"2013-04-21T00:00:00","2013-04-22T00:00:00",29182
"2013-04-22T00:00:00","2013-04-23T00:00:00",32809
"2013-04-23T00:00:00","2013-04-24T00:00:00",33568
"2013-04-24T00:00:00","2013-04-25T00:00:00",34883
"2013-04-25T00:00:00","2013-04-26T00:00:00",35316
"2013-04-26T00:00:00","2013-04-27T00:00:00",32668
"2013-04-27T00:00:00","2013-04-28T00:00:00",26987
"2013-04-28T00:00:00","2013-04-29T00:00:00",27197
"2013-04-29T00:00:00","2013-04-30T00:00:00",34533
"2013-04-30T00:00:00","2013-05-01T00:00:00",34528
"2013-05-01T00:00:00","2013-05-02T00:00:00",36739
"2013-05-02T00:00:00","2013-05-03T00:00:00",33129
"2013-05-03T00:00:00","2013-05-04T00:00:00",32617
"2013-05-04T00:00:00","2013-05-05T00:00:00",33584
"2013-05-05T00:00:00","2013-05-06T00:00:00",27943
"2013-05-06T00:00:00","2013-05-07T00:00:00",30405
"2013-05-07T00:00:00","2013-05-08T00:00:00",31162
"2013-05-08T00:00:00","2013-05-09T00:00:00",29561
"2013-05-09T00:00:00","2013-05-10T00:00:00",35220
"2013-05-10T00:00:00","2013-05-11T00:00:00",29024
"2013-05-11T00:00:00","2013-05-12T00:00:00",27210
"2013-05-12T00:00:00","2013-05-13T00:00:00",27374
"2013-05-13T00:00:00","2013-05-14T00:00:00",26650
"2013-05-14T00:00:00","2013-05-15T00:00:00",30087
"2013-05-15T00:00:00","2013-05-16T00:00:00",29431
"2013-05-16T00:00:00","2013-05-17T00:00:00",29261
"2013-05-17T00:00:00","2013-05-18T00:00:00",28021
"2013-05-18T00:00:00","2013-05-19T00:00:00",27710
"2013-05-19T00:00:00","2013-05-20T00:00:00",25736
"2013-05-20T00:00:00","2013-05-21T00:00:00",33111
"2013-05-21T00:00:00","2013-05-22T00:00:00",29553
"2013-05-22T00:00:00","2013-05-23T00:00:00",26897
"2013-05-23T00:00:00","2013-05-24T00:00:00",28249
"2013-05-24T00:00:00","2013-05-25T00:00:00",30615
"2013-05-25T00:00:00","2013-05-26T00:00:00",30022
"2013-05-26T00:00:00","2013-05-27T00:00:00",26568
"2013-05-27T00:00:00","2013-05-28T00:00:00",29992
"2013-05-28T00:00:00","2013-05-29T00:00:00",29278
"2013-05-29T00:00:00","2013-05-30T00:00:00",34454
"2013-05-30T00:00:00","2013-05-31T00:00:00",27355
"2013-05-31T00:00:00","2013-06-01T00:00:00",27240
"2013-06-01T00:00:00","2013-06-02T00:00:00",24781
"2013-06-02T00:00:00","2013-06-03T00:00:00",24175
"2013-06-03T00:00:00","2013-06-04T00:00:00",25245
"2013-06-04T00:00:00","2013-06-05T00:00:00",26656
"2013-06-05T00:00:00","2013-06-06T00:00:00",28259
"2013-06-06T00:00:00","2013-06-07T00:00:00",28295
"2013-06-07T00:00:00","2013-06-08T00:00:00",27347
"2013-06-08T00:00:00","2013-06-09T00:00:00",31464
"2013-06-09T00:00:00","2013-06-10T00:00:00",26286
"2013-06-10T00:00:00","2013-06-11T00:00:00",25656
"2013-06-11T00:00:00","2013-06-12T00:00:00",29570
"2013-06-12T00:00:00","2013-06-13T00:00:00",32701
"2013-06-13T00:00:00","2013-06-14T00:00:00",27958
"2013-06-14T00:00:00","2013-06-15T00:00:00",27873
"2013-06-15T00:00:00","2013-06-16T00:00:00",23867
"2013-06-16T00:00:00","2013-06-17T00:00:00",25991
"2013-06-17T00:00:00","2013-06-18T00:00:00",24776
"2013-06-18T00:00:00","2013-06-19T00:00:00",27895
"2013-06-19T00:00:00","2013-06-20T00:00:00",26481
"2013-06-20T00:00:00","2013-06-21T00:00:00",30156
"2013-06-21T00:00:00","2013-06-22T00:00:00",24682
"2013-06-22T00:00:00","2013-06-23T00:00:00",24713
"2013-06-23T00:00:00","2013-06-24T00:00:00",23834
"2013-06-24T00:00:00","2013-06-25T00:00:00",26459
"2013-06-25T00:00:00","2013-06-26T00:00:00",27045
"2013-06-26T00:00:00","2013-06-27T00:00:00",26710
"2013-06-27T00:00:00","2013-06-28T00:00:00",32956
"2013-06-28T00:00:00","2013-06-29T00:00:00",27243
"2013-06-29T00:00:00","2013-06-30T00:00:00",24775
"2013-06-30T00:00:00","2013-07-01T00:00:00",24258
"2013-07-01T00:00:00","2013-07-02T00:00:00",26783
"2013-07-02T00:00:00","2013-07-03T00:00:00",26620
"2013-07-03T00:00:00","2013-07-04T00:00:00",31583
"2013-07-04T00:00:00","2013-07-05T00:00:00",28258
"2013-07-05T00:00:00","2013-07-06T00:00:00",27770
"2013-07-06T00:00:00","2013-07-07T00:00:00",24183
"2013-07-07T00:00:00","2013-07-08T00:00:00",25016
"2013-07-08T00:00:00","2013-07-09T00:00:00",30084
"2013-07-09T00:00:00","2013-07-10T00:00:00",26071
"2013-07-10T00:00:00","2013-07-11T00:00:00",25552
"2013-07-11T00:00:00","2013-07-12T00:00:00",26838
"2013-07-12T00:00:00","2013-07-13T00:00:00",25599
"2013-07-13T00:00:00","2013-07-14T00:00:00",27438
"2013-07-14T00:00:00","2013-07-15T00:00:00",23139
"2013-07-15T00:00:00","2013-07-16T00:00:00",27998
"2013-07-16T00:00:00","2013-07-17T00:00:00",27104
"2013-07-17T00:00:00","2013-07-18T00:00:00",26596
"2013-07-18T00:00:00","2013-07-19T00:00:00",28695
"2013-07-19T00:00:00","2013-07-20T00:00:00",26122
"2013-07-20T00:00:00","2013-07-21T00:00:00",23774
"2013-07-21T00:00:00","2013-07-22T00:00:00",24996
"2013-07-22T00:00:00","2013-07-23T00:00:00",26684
"2013-07-23T00:00:00","2013-07-24T00:00:00",24628
"2013-07-24T00:00:00","2013-07-25T00:00:00",23330
"2013-07-25T00:00:00","2013-07-26T00:00:00",27459
"2013-07-26T00:00:00","2013-07-27T00:00:00",24031
"2013-07-27T00:00:00","2013-07-28T00:00:00",27948
"2013-07-28T00:00:00","2013-07-29T00:00:00",22480
"2013-07-29T00:00:00","2013-07-30T00:00:00",38776
"2013-07-30T00:00:00","2013-07-31T00:00:00",26955
"2013-07-31T00:00:00","2013-08-01T00:00:00",26670
"2013-08-01T00:00:00","2013-08-02T00:00:00",23654
"2013-08-02T00:00:00","2013-08-03T00:00:00",27426
"2013-08-03T00:00:00","2013-08-04T00:00:00",22072
"2013-08-04T00:00:00","2013-08-05T00:00:00",21272
"2013-08-05T00:00:00","2013-08-06T00:00:00",42801
"2013-08-06T00:00:00","2013-08-07T00:00:00",29528
"2013-08-07T00:00:00","2013-08-08T00:00:00",28727
"2013-08-08T00:00:00","2013-08-09T00:00:00",29216
"2013-08-09T00:00:00","2013-08-10T00:00:00",35993
"2013-08-10T00:00:00","2013-08-11T00:00:00",26429
"2013-08-11T00:00:00","2013-08-12T00:00:00",23386
"2013-08-12T00:00:00","2013-08-13T00:00:00",31560
"2013-08-13T00:00:00","2013-08-14T00:00:00",29063
"2013-08-14T00:00:00","2013-08-15T00:00:00",30497
