startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",6020
"2013-01-02T00:00:00","2013-01-03T00:00:00",6419
"2013-01-03T00:00:00","2013-01-04T00:00:00",7609
"2013-01-04T00:00:00","2013-01-05T00:00:00",7730
"2013-01-05T00:00:00","2013-01-06T00:00:00",7774
"2013-01-06T00:00:00","2013-01-07T00:00:00",7345
"2013-01-07T00:00:00","2013-01-08T00:00:00",7560
"2013-01-08T00:00:00","2013-01-09T00:00:00",8002
"2013-01-09T00:00:00","2013-01-10T00:00:00",7805
"2013-01-10T00:00:00","2013-01-11T00:00:00",8046
"2013-01-11T00:00:00","2013-01-12T00:00:00",8924
"2013-01-12T00:00:00","2013-01-13T00:00:00",7152
"2013-01-13T00:00:00","2013-01-14T00:00:00",7794
"2013-01-14T00:00:00","2013-01-15T00:00:00",7555
"2013-01-15T00:00:00","2013-01-16T00:00:00",9453
"2013-01-16T00:00:00","2013-01-17T00:00:00",9171
"2013-01-17T00:00:00","2013-01-18T00:00:00",11697
"2013-01-18T00:00:00","2013-01-19T00:00:00",9269
"2013-01-19T00:00:00","2013-01-20T00:00:00",8693
"2013-01-20T00:00:00","2013-01-21T00:00:00",7810
"2013-01-21T00:00:00","2013-01-22T00:00:00",9351
"2013-01-22T00:00:00","2013-01-23T00:00:00",7758
"2013-01-23T00:00:00","2013-01-24T00:00:00",10597
"2013-01-24T00:00:00","2013-01-25T00:00:00",9671
"2013-01-25T00:00:00","2013-01-26T00:00:00",8532
"2013-01-26T00:00:00","2013-01-27T00:00:00",9318
"2013-01-27T00:00:00","2013-01-28T00:00:00",8492
"2013-01-28T00:00:00","2013-01-29T00:00:00",10890
"2013-01-29T00:00:00","2013-01-30T00:00:00",10130
"2013-01-30T00:00:00","2013-01-31T00:00:00",10920
"2013-01-31T00:00:00","2013-02-01T00:00:00",12437
"2013-02-01T00:00:00","2013-02-02T00:00:00",9140
"2013-02-02T00:00:00","2013-02-03T00:00:00",7530
"2013-02-03T00:00:00","2013-02-04T00:00:00",8048
"2013-02-04T00:00:00","2013-02-05T00:00:00",7543
"2013-02-05T00:00:00","2013-02-06T00:00:00",10716
"2013-02-06T00:00:00","2013-02-07T00:00:00",9990
"2013-02-07T00:00:00","2013-02-08T00:00:00",9298
"2013-02-08T00:00:00","2013-02-09T00:00:00",8904
"2013-02-09T00:00:00","2013-02-10T00:00:00",26254
"2013-02-10T00:00:00","2013-02-11T00:00:00",6040
"2013-02-11T00:00:00","2013-02-12T00:00:00",5395
"2013-02-12T00:00:00","2013-02-13T00:00:00",8354
"2013-02-13T00:00:00","2013-02-14T00:00:00",14180
"2013-02-14T00:00:00","2013-02-15T00:00:00",9412
"2013-02-15T00:00:00","2013-02-16T00:00:00",9012
"2013-02-16T00:00:00","2013-02-17T00:00:00",9105
"2013-02-17T00:00:00","2013-02-18T00:00:00",12088
"2013-02-18T00:00:00","2013-02-19T00:00:00",10384
"2013-02-19T00:00:00","2013-02-20T00:00:00",10145
"2013-02-20T00:00:00","2013-02-21T00:00:00",9523
"2013-02-21T00:00:00","2013-02-22T00:00:00",9454
"2013-02-22T00:00:00","2013-02-23T00:00:00",9246
"2013-02-23T00:00:00","2013-02-24T00:00:00",8014
"2013-02-24T00:00:00","2013-02-25T00:00:00",8378
"2013-02-25T00:00:00","2013-02-26T00:00:00",8964
"2013-02-26T00:00:00","2013-02-27T00:00:00",10771
"2013-02-27T00:00:00","2013-02-28T00:00:00",10636
"2013-02-28T00:00:00","2013-03-01T00:00:00",11412
