startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",146356
"2013-01-02T00:00:00","2013-01-03T00:00:00",112467
"2013-01-03T00:00:00","2013-01-04T00:00:00",123509
"2013-01-04T00:00:00","2013-01-05T00:00:00",126826
"2013-01-05T00:00:00","2013-01-06T00:00:00",124908
"2013-01-06T00:00:00","2013-01-07T00:00:00",115108
"2013-01-07T00:00:00","2013-01-08T00:00:00",123351
"2013-01-08T00:00:00","2013-01-09T00:00:00",121149
"2013-01-09T00:00:00","2013-01-10T00:00:00",123996
"2013-01-10T00:00:00","2013-01-11T00:00:00",119822
"2013-01-11T00:00:00","2013-01-12T00:00:00",120502
"2013-01-12T00:00:00","2013-01-13T00:00:00",108710
"2013-01-13T00:00:00","2013-01-14T00:00:00",106853
"2013-01-14T00:00:00","2013-01-15T00:00:00",117611
"2013-01-15T00:00:00","2013-01-16T00:00:00",130942
"2013-01-16T00:00:00","2013-01-17T00:00:00",142636
"2013-01-17T00:00:00","2013-01-18T00:00:00",148016
"2013-01-18T00:00:00","2013-01-19T00:00:00",144343
"2013-01-19T00:00:00","2013-01-20T00:00:00",137803
"2013-01-20T00:00:00","2013-01-21T00:00:00",121414
"2013-01-21T00:00:00","2013-01-22T00:00:00",129994
"2013-01-22T00:00:00","2013-01-23T00:00:00",119114
"2013-01-23T00:00:00","2013-01-24T00:00:00",147766
"2013-01-24T00:00:00","2013-01-25T00:00:00",152098
"2013-01-25T00:00:00","2013-01-26T00:00:00",143955
"2013-01-26T00:00:00","2013-01-27T00:00:00",131847
"2013-01-27T00:00:00","2013-01-28T00:00:00",126572
"2013-01-28T00:00:00","2013-01-29T00:00:00",143899
"2013-01-29T00:00:00","2013-01-30T00:00:00",150016
"2013-01-30T00:00:00","2013-01-31T00:00:00",155675
"2013-01-31T00:00:00","2013-02-01T00:00:00",140750
"2013-02-01T00:00:00","2013-02-02T00:00:00",148325
"2013-02-02T00:00:00","2013-02-03T00:00:00",125733
"2013-02-03T00:00:00","2013-02-04T00:00:00",119688
"2013-02-04T00:00:00","2013-02-05T00:00:00",126124
"2013-02-05T00:00:00","2013-02-06T00:00:00",143226
"2013-02-06T00:00:00","2013-02-07T00:00:00",152729
"2013-02-07T00:00:00","2013-02-08T00:00:00",150264
"2013-02-08T00:00:00","2013-02-09T00:00:00",142627
"2013-02-09T00:00:00","2013-02-10T00:00:00",140634
"2013-02-10T00:00:00","2013-02-11T00:00:00",96406
"2013-02-11T00:00:00","2013-02-12T00:00:00",92064
