startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",9401
"2013-01-02T00:00:00","2013-01-03T00:00:00",12026
"2013-01-03T00:00:00","2013-01-04T00:00:00",13977
"2013-01-04T00:00:00","2013-01-05T00:00:00",16082
"2013-01-05T00:00:00","2013-01-06T00:00:00",14341
"2013-01-06T00:00:00","2013-01-07T00:00:00",13939
"2013-01-07T00:00:00","2013-01-08T00:00:00",13438
"2013-01-08T00:00:00","2013-01-09T00:00:00",13723
"2013-01-09T00:00:00","2013-01-10T00:00:00",14415
"2013-01-10T00:00:00","2013-01-11T00:00:00",14037
"2013-01-11T00:00:00","2013-01-12T00:00:00",13567
"2013-01-12T00:00:00","2013-01-13T00:00:00",13059
"2013-01-13T00:00:00","2013-01-14T00:00:00",13423
"2013-01-14T00:00:00","2013-01-15T00:00:00",13807
"2013-01-15T00:00:00","2013-01-16T00:00:00",15278
"2013-01-16T00:00:00","2013-01-17T00:00:00",16409
"2013-01-17T00:00:00","2013-01-18T00:00:00",17327
"2013-01-18T00:00:00","2013-01-19T00:00:00",16002
"2013-01-19T00:00:00","2013-01-20T00:00:00",16023
"2013-01-20T00:00:00","2013-01-21T00:00:00",15019
"2013-01-21T00:00:00","2013-01-22T00:00:00",15587
"2013-01-22T00:00:00","2013-01-23T00:00:00",14239
"2013-01-23T00:00:00","2013-01-24T00:00:00",17387
"2013-01-24T00:00:00","2013-01-25T00:00:00",17895
"2013-01-25T00:00:00","2013-01-26T00:00:00",17191
"2013-01-26T00:00:00","2013-01-27T00:00:00",17358
"2013-01-27T00:00:00","2013-01-28T00:00:00",16625
"2013-01-28T00:00:00","2013-01-29T00:00:00",17977
"2013-01-29T00:00:00","2013-01-30T00:00:00",17557
"2013-01-30T00:00:00","2013-01-31T00:00:00",19131
"2013-01-31T00:00:00","2013-02-01T00:00:00",20127
"2013-02-01T00:00:00","2013-02-02T00:00:00",17737
"2013-02-02T00:00:00","2013-02-03T00:00:00",15171
"2013-02-03T00:00:00","2013-02-04T00:00:00",15475
"2013-02-04T00:00:00","2013-02-05T00:00:00",14803
"2013-02-05T00:00:00","2013-02-06T00:00:00",22805
"2013-02-06T00:00:00","2013-02-07T00:00:00",18072
"2013-02-07T00:00:00","2013-02-08T00:00:00",17614
"2013-02-08T00:00:00","2013-02-09T00:00:00",15853
"2013-02-09T00:00:00","2013-02-10T00:00:00",18141
"2013-02-10T00:00:00","2013-02-11T00:00:00",11899
"2013-02-11T00:00:00","2013-02-12T00:00:00",11018
"2013-02-12T00:00:00","2013-02-13T00:00:00",14740
"2013-02-13T00:00:00","2013-02-14T00:00:00",23430
"2013-02-14T00:00:00","2013-02-15T00:00:00",17750
"2013-02-15T00:00:00","2013-02-16T00:00:00",16158
"2013-02-16T00:00:00","2013-02-17T00:00:00",17632
"2013-02-17T00:00:00","2013-02-18T00:00:00",23623
"2013-02-18T00:00:00","2013-02-19T00:00:00",21370
"2013-02-19T00:00:00","2013-02-20T00:00:00",19496
"2013-02-20T00:00:00","2013-02-21T00:00:00",19723
"2013-02-21T00:00:00","2013-02-22T00:00:00",18921
"2013-02-22T00:00:00","2013-02-23T00:00:00",17796
"2013-02-23T00:00:00","2013-02-24T00:00:00",15873
"2013-02-24T00:00:00","2013-02-25T00:00:00",17391
"2013-02-25T00:00:00","2013-02-26T00:00:00",16385
"2013-02-26T00:00:00","2013-02-27T00:00:00",19533
"2013-02-27T00:00:00","2013-02-28T00:00:00",19607
"2013-02-28T00:00:00","2013-03-01T00:00:00",25762
"2013-03-01T00:00:00","2013-03-02T00:00:00",17537
"2013-03-02T00:00:00","2013-03-03T00:00:00",16855
"2013-03-03T00:00:00","2013-03-04T00:00:00",16836
"2013-03-04T00:00:00","2013-03-05T00:00:00",18496
"2013-03-05T00:00:00","2013-03-06T00:00:00",26238
"2013-03-06T00:00:00","2013-03-07T00:00:00",31986
"2013-03-07T00:00:00","2013-03-08T00:00:00",22499
"2013-03-08T00:00:00","2013-03-09T00:00:00",18186
"2013-03-09T00:00:00","2013-03-10T00:00:00",16735
"2013-03-10T00:00:00","2013-03-11T00:00:00",15688
"2013-03-11T00:00:00","2013-03-12T00:00:00",18963
"2013-03-12T00:00:00","2013-03-13T00:00:00",20643
"2013-03-13T00:00:00","2013-03-14T00:00:00",21049
"2013-03-14T00:00:00","2013-03-15T00:00:00",21203
"2013-03-15T00:00:00","2013-03-16T00:00:00",19665
"2013-03-16T00:00:00","2013-03-17T00:00:00",17373
"2013-03-17T00:00:00","2013-03-18T00:00:00",15838
"2013-03-18T00:00:00","2013-03-19T00:00:00",18299
"2013-03-19T00:00:00","2013-03-20T00:00:00",19566
"2013-03-20T00:00:00","2013-03-21T00:00:00",19592
"2013-03-21T00:00:00","2013-03-22T00:00:00",20003
"2013-03-22T00:00:00","2013-03-23T00:00:00",19590
"2013-03-23T00:00:00","2013-03-24T00:00:00",18790
"2013-03-24T00:00:00","2013-03-25T00:00:00",17890
"2013-03-25T00:00:00","2013-03-26T00:00:00",18820
"2013-03-26T00:00:00","2013-03-27T00:00:00",19867
"2013-03-27T00:00:00","2013-03-28T00:00:00",18925
"2013-03-28T00:00:00","2013-03-29T00:00:00",19248
"2013-03-29T00:00:00","2013-03-30T00:00:00",16190
"2013-03-30T00:00:00","2013-03-31T00:00:00",17726
"2013-03-31T00:00:00","2013-04-01T00:00:00",16637
"2013-04-01T00:00:00","2013-04-02T00:00:00",18544
"2013-04-02T00:00:00","2013-04-03T00:00:00",20546
