startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",284784
"2013-01-02T00:00:00","2013-01-03T00:00:00",261423
"2013-01-03T00:00:00","2013-01-04T00:00:00",290371
"2013-01-04T00:00:00","2013-01-05T00:00:00",303411
"2013-01-05T00:00:00","2013-01-06T00:00:00",297613
"2013-01-06T00:00:00","2013-01-07T00:00:00",275029
"2013-01-07T00:00:00","2013-01-08T00:00:00",291565
"2013-01-08T00:00:00","2013-01-09T00:00:00",292496
"2013-01-09T00:00:00","2013-01-10T00:00:00",296868
"2013-01-10T00:00:00","2013-01-11T00:00:00",286405
"2013-01-11T00:00:00","2013-01-12T00:00:00",288271
"2013-01-12T00:00:00","2013-01-13T00:00:00",267920
"2013-01-13T00:00:00","2013-01-14T00:00:00",261104
"2013-01-14T00:00:00","2013-01-15T00:00:00",278356
"2013-01-15T00:00:00","2013-01-16T00:00:00",315633
"2013-01-16T00:00:00","2013-01-17T00:00:00",344443
"2013-01-17T00:00:00","2013-01-18T00:00:00",350305
"2013-01-18T00:00:00","2013-01-19T00:00:00",342239
"2013-01-19T00:00:00","2013-01-20T00:00:00",325808
"2013-01-20T00:00:00","2013-01-21T00:00:00",292404
"2013-01-21T00:00:00","2013-01-22T00:00:00",310440
"2013-01-22T00:00:00","2013-01-23T00:00:00",293387
"2013-01-23T00:00:00","2013-01-24T00:00:00",356276
"2013-01-24T00:00:00","2013-01-25T00:00:00",365745
"2013-01-25T00:00:00","2013-01-26T00:00:00",343278
"2013-01-26T00:00:00","2013-01-27T00:00:00",325872
"2013-01-27T00:00:00","2013-01-28T00:00:00",304075
"2013-01-28T00:00:00","2013-01-29T00:00:00",339163
"2013-01-29T00:00:00","2013-01-30T00:00:00",352550
"2013-01-30T00:00:00","2013-01-31T00:00:00",377060
"2013-01-31T00:00:00","2013-02-01T00:00:00",337920
"2013-02-01T00:00:00","2013-02-02T00:00:00",354337
"2013-02-02T00:00:00","2013-02-03T00:00:00",303631
"2013-02-03T00:00:00","2013-02-04T00:00:00",295659
"2013-02-04T00:00:00","2013-02-05T00:00:00",302050
"2013-02-05T00:00:00","2013-02-06T00:00:00",351458
"2013-02-06T00:00:00","2013-02-07T00:00:00",375240
"2013-02-07T00:00:00","2013-02-08T00:00:00",354873
"2013-02-08T00:00:00","2013-02-09T00:00:00",343110
"2013-02-09T00:00:00","2013-02-10T00:00:00",354559
"2013-02-10T00:00:00","2013-02-11T00:00:00",238890
"2013-02-11T00:00:00","2013-02-12T00:00:00",233399
"2013-02-12T00:00:00","2013-02-13T00:00:00",301226
"2013-02-13T00:00:00","2013-02-14T00:00:00",390982
"2013-02-14T00:00:00","2013-02-15T00:00:00",397789
"2013-02-15T00:00:00","2013-02-16T00:00:00",343072
"2013-02-16T00:00:00","2013-02-17T00:00:00",364686
"2013-02-17T00:00:00","2013-02-18T00:00:00",451502
"2013-02-18T00:00:00","2013-02-19T00:00:00",402563
"2013-02-19T00:00:00","2013-02-20T00:00:00",378220
"2013-02-20T00:00:00","2013-02-21T00:00:00",367269
"2013-02-21T00:00:00","2013-02-22T00:00:00",357484
"2013-02-22T00:00:00","2013-02-23T00:00:00",353292
"2013-02-23T00:00:00","2013-02-24T00:00:00",331297
"2013-02-24T00:00:00","2013-02-25T00:00:00",322774
"2013-02-25T00:00:00","2013-02-26T00:00:00",356587
"2013-02-26T00:00:00","2013-02-27T00:00:00",391380
"2013-02-27T00:00:00","2013-02-28T00:00:00",383160
"2013-02-28T00:00:00","2013-03-01T00:00:00",376785
"2013-03-01T00:00:00","2013-03-02T00:00:00",372354
"2013-03-02T00:00:00","2013-03-03T00:00:00",340343
"2013-03-03T00:00:00","2013-03-04T00:00:00",329358
"2013-03-04T00:00:00","2013-03-05T00:00:00",355879
"2013-03-05T00:00:00","2013-03-06T00:00:00",399884
"2013-03-06T00:00:00","2013-03-07T00:00:00",409697
"2013-03-07T00:00:00","2013-03-08T00:00:00",403703
"2013-03-08T00:00:00","2013-03-09T00:00:00",407081
"2013-03-09T00:00:00","2013-03-10T00:00:00",331359
"2013-03-10T00:00:00","2013-03-11T00:00:00",316407
"2013-03-11T00:00:00","2013-03-12T00:00:00",362974
