"date","unique_authors"
2019-01-01,"17075"
2019-01-02,"18239"
2019-01-03,"18034"
2019-01-04,"16398"
2019-01-05,"15398"
2019-01-06,"18192"
2019-01-07,"18736"
2019-01-08,"18366"
2019-01-09,"18757"
2019-01-10,"18780"
2019-01-11,"16008"
2019-01-12,"14813"
2019-01-13,"17377"
2019-01-14,"18909"
2019-01-15,"18804"
2019-01-16,"19881"
2019-01-17,"19213"
2019-01-18,"16250"
2019-01-19,"19798"
2019-01-20,"22605"
2019-01-21,"20013"
2019-01-22,"21402"
2019-01-23,"20838"
2019-01-24,"20329"
2019-01-25,"17304"
2019-01-26,"16365"
2019-01-27,"18449"
2019-01-28,"18818"
2019-01-29,"20485"
2019-01-30,"19751"
2019-01-31,"18348"
2019-02-01,"16073"
2019-02-02,"15823"
2019-02-03,"20049"
2019-02-04,"19061"
2019-02-05,"19400"
2019-02-06,"19706"
2019-02-07,"19146"
2019-02-08,"16500"
2019-02-09,"17064"
2019-02-10,"21216"
2019-02-11,"20667"
2019-02-12,"20344"
2019-02-13,"19622"
2019-02-14,"18389"
2019-02-15,"16699"
2019-02-16,"15776"
2019-02-17,"18532"
2019-02-18,"18566"
2019-02-19,"19353"
2019-02-20,"19648"
2019-02-21,"23916"
2019-02-22,"17751"
2019-02-23,"17566"
2019-02-24,"19427"
2019-02-25,"18819"
2019-02-26,"19705"
2019-02-27,"19019"
2019-02-28,"18804"
2019-03-01,"16309"
2019-03-02,"14989"
2019-03-03,"14478"
2019-03-04,"15176"
2019-03-05,"18137"
2019-03-06,"18997"
2019-03-07,"20864"
2019-03-08,"16991"
2019-03-09,"16543"
2019-03-10,"19166"
2019-03-11,"19720"
2019-03-12,"19607"
2019-03-13,"21921"
2019-03-14,"20063"
2019-03-15,"16440"
2019-03-16,"15807"
2019-03-17,"18179"
2019-03-18,"18537"
2019-03-19,"19789"
2019-03-20,"20186"
2019-03-21,"19029"
2019-03-22,"16786"
2019-03-23,"18568"
2019-03-24,"22282"
2019-03-25,"19716"
2019-03-26,"19438"
2019-03-27,"19409"
2019-03-28,"18450"
2019-03-29,"16577"
2019-03-30,"18023"
2019-03-31,"18207"
2019-04-01,"18998"
2019-04-02,"20189"
2019-04-03,"21004"
2019-04-04,"18947"
2019-04-05,"16799"
2019-04-06,"16292"
2019-04-07,"19626"
2019-04-08,"19231"
2019-04-09,"20042"
2019-04-10,"22320"
2019-04-11,"20382"
2019-04-12,"18525"
2019-04-13,"16382"
2019-04-14,"19877"
2019-04-15,"19423"
2019-04-16,"20166"
2019-04-17,"19524"
2019-04-18,"17167"
2019-04-19,"15964"
2019-04-20,"15970"
2019-04-21,"18651"
2019-04-22,"19831"
2019-04-23,"20110"
2019-04-24,"19663"
2019-04-25,"19391"
2019-04-26,"17970"
2019-04-27,"17142"
2019-04-28,"19130"
2019-04-29,"20879"
2019-04-30,"21039"
2019-05-01,"18382"
2019-05-02,"16690"
2019-05-03,"16113"
2019-05-04,"16125"
2019-05-05,"18383"
2019-05-06,"19606"
2019-05-07,"19127"
2019-05-08,"19951"
2019-05-09,"18677"
2019-05-10,"16546"
2019-05-11,"16901"
2019-05-12,"20189"
2019-05-13,"19145"
2019-05-14,"19940"
2019-05-15,"18865"
2019-05-16,"19088"
2019-05-17,"16541"
2019-05-18,"16167"
2019-05-19,"19945"
2019-05-20,"18006"
2019-05-21,"18656"
2019-05-22,"18337"
2019-05-23,"17624"
2019-05-24,"17565"
2019-05-25,"20241"
2019-05-26,"18020"
2019-05-27,"19180"
2019-05-28,"21100"
2019-05-29,"20106"
2019-05-30,"20109"
2019-05-31,"19709"
2019-06-01,"22329"
2019-06-02,"20354"
2019-06-03,"18831"
2019-06-04,"19433"
2019-06-05,"19417"
2019-06-06,"18742"
2019-06-07,"20013"
2019-06-08,"16794"
2019-06-09,"19110"
2019-06-10,"21169"
2019-06-11,"20320"
2019-06-12,"21895"
2019-06-13,"21495"
2019-06-14,"17898"
2019-06-15,"17475"
2019-06-16,"22644"
2019-06-17,"19396"
2019-06-18,"19372"
2019-06-19,"19711"
2019-06-20,"19245"
2019-06-21,"18167"
2019-06-22,"16738"
2019-06-23,"18641"
2019-06-24,"20692"
2019-06-25,"18696"
2019-06-26,"19014"
2019-06-27,"19353"
2019-06-28,"17035"
2019-06-29,"15960"
2019-06-30,"19331"
2019-07-01,"19219"
2019-07-02,"20503"
2019-07-03,"20400"
2019-07-04,"18606"
2019-07-05,"16870"
2019-07-06,"16308"
2019-07-07,"17500"
2019-07-08,"18676"
2019-07-09,"19181"
2019-07-10,"18361"
2019-07-11,"15882"
2019-07-12,"16642"
2019-07-13,"16995"
2019-07-14,"18010"
2019-07-15,"18312"
2019-07-16,"19995"
2019-07-17,"19376"
2019-07-18,"18454"
2019-07-19,"16330"
2019-07-20,"16532"
2019-07-21,"18062"
2019-07-22,"18902"
2019-07-23,"19200"
2019-07-24,"20036"
2019-07-25,"17989"
2019-07-26,"15908"
2019-07-27,"15255"
2019-07-28,"18687"
2019-07-29,"18446"
2019-07-30,"18893"
2019-07-31,"19922"
2019-08-01,"18233"
2019-08-02,"16779"
2019-08-03,"15398"
2019-08-04,"18178"
2019-08-05,"18179"
2019-08-06,"18853"
2019-08-07,"18194"
2019-08-08,"17043"
2019-08-09,"16240"
2019-08-10,"15725"
2019-08-11,"18868"
2019-08-12,"19290"
2019-08-13,"20006"
2019-08-14,"19306"
2019-08-15,"18981"
2019-08-16,"17837"
2019-08-17,"15879"
2019-08-18,"18210"
2019-08-19,"19142"
2019-08-20,"19959"
2019-08-21,"21223"
2019-08-22,"18616"
2019-08-23,"16596"
2019-08-24,"15835"
2019-08-25,"17853"
2019-08-26,"18773"
2019-08-27,"18924"
2019-08-28,"19504"
2019-08-29,"18753"
2019-08-30,"16717"
2019-08-31,"15960"
2019-09-01,"18358"
2019-09-02,"17917"
2019-09-03,"18728"
2019-09-04,"18956"
2019-09-05,"18921"
2019-09-06,"16057"
2019-09-07,"16114"
2019-09-08,"17900"
2019-09-09,"18490"
2019-09-10,"18830"
2019-09-11,"18891"
2019-09-12,"18867"
2019-09-13,"16207"
2019-09-14,"15125"
2019-09-15,"18253"
2019-09-16,"19320"
2019-09-17,"19986"
2019-09-18,"19894"
2019-09-19,"18510"
2019-09-20,"16756"
2019-09-21,"15933"
2019-09-22,"19108"
2019-09-23,"19175"
2019-09-24,"19885"
2019-09-25,"20612"
2019-09-26,"19220"
2019-09-27,"18384"
2019-09-28,"17058"
2019-09-29,"19238"
2019-09-30,"20405"
2019-10-01,"21153"
2019-10-02,"28237"
2019-10-03,"28607"
2019-10-04,"22307"
2019-10-05,"20629"
2019-10-06,"25988"
2019-10-07,"32908"
2019-10-08,"31300"
2019-10-09,"30270"
2019-10-10,"26083"
2019-10-11,"29326"
2019-10-12,"32269"
2019-10-13,"36719"
2019-10-14,"24681"
2019-10-15,"23324"
2019-10-16,"22791"
2019-10-17,"21152"
2019-10-18,"19760"
2019-10-19,"19033"
2019-10-20,"21712"
2019-10-21,"20800"
2019-10-22,"21518"
2019-10-23,"21601"
2019-10-24,"20520"
2019-10-25,"18792"
2019-10-26,"18227"
2019-10-27,"20361"
2019-10-28,"19599"
2019-10-29,"20780"
2019-10-30,"22293"
2019-10-31,"17661"
2019-11-01,"15450"
2019-11-02,"16649"
2019-11-03,"17412"
2019-11-04,"19057"
2019-11-05,"20670"
2019-11-06,"20343"
2019-11-07,"19657"
2019-11-08,"18924"
2019-11-09,"21105"
2019-11-10,"20711"
2019-11-11,"20288"
2019-11-12,"20649"
2019-11-13,"20125"
2019-11-14,"19722"
2019-11-15,"18813"
2019-11-16,"17552"
2019-11-17,"19944"
2019-11-18,"20603"
2019-11-19,"21441"
2019-11-20,"20396"
2019-11-21,"20280"
2019-11-22,"19371"
2019-11-23,"18369"
2019-11-24,"20656"
2019-11-25,"20169"
2019-11-26,"20564"
2019-11-27,"22279"
2019-11-28,"21728"
2019-11-29,"17553"
2019-11-30,"17651"
2019-12-01,"19605"
2019-12-02,"20292"
2019-12-03,"19877"
2019-12-04,"20461"
2019-12-05,"19309"
2019-12-06,"18198"
2019-12-07,"18362"
2019-12-08,"19377"
2019-12-09,"20337"
2019-12-10,"20217"
2019-12-11,"20147"
2019-12-12,"19493"
2019-12-13,"16820"
2019-12-14,"18706"
2019-12-15,"20290"
2019-12-16,"19823"
2019-12-17,"20498"
2019-12-18,"19209"
2019-12-19,"18630"
2019-12-20,"16652"
2019-12-21,"15387"
2019-12-22,"17757"
2019-12-23,"19851"
2019-12-24,"18724"
2019-12-25,"17985"
2019-12-26,"18507"
2019-12-27,"16656"
2019-12-28,"16438"
2019-12-29,"17217"
2019-12-30,"18169"
2019-12-31,"19085"
2020-01-01,"19747"
2020-01-02,"20233"
2020-01-03,"18669"
2020-01-04,"17788"
2020-01-05,"20445"
2020-01-06,"20327"
2020-01-07,"21565"
2020-01-08,"21695"
2020-01-09,"21372"
2020-01-10,"19100"
2020-01-11,"17472"
2020-01-12,"20582"
2020-01-13,"22516"
2020-01-14,"21610"
2020-01-15,"21047"
2020-01-16,"21536"
2020-01-17,"19193"
2020-01-18,"19082"
2020-01-19,"20400"
2020-01-20,"21186"
2020-01-21,"21858"
2020-01-22,"21640"
2020-01-23,"21450"
2020-01-24,"17929"
2020-01-25,"17396"
2020-01-26,"19949"
2020-01-27,"20813"
2020-01-28,"21294"
2020-01-29,"21276"
2020-01-30,"21122"
2020-01-31,"18560"
2020-02-01,"17932"
2020-02-02,"20262"
2020-02-03,"20034"
2020-02-04,"20302"
2020-02-05,"19959"
2020-02-06,"20218"
2020-02-07,"17481"
2020-02-08,"17406"
2020-02-09,"20019"
2020-02-10,"19757"
2020-02-11,"20215"
2020-02-12,"19590"
2020-02-13,"20571"
2020-02-14,"17415"
2020-02-15,"16645"
2020-02-16,"19907"
2020-02-17,"20010"
2020-02-18,"20415"
2020-02-19,"20916"
2020-02-20,"20435"
2020-02-21,"17615"
2020-02-22,"15782"
2020-02-23,"15866"
2020-02-24,"16475"
2020-02-25,"20274"
2020-02-26,"22580"
2020-02-27,"21323"
2020-02-28,"22268"
2020-02-29,"20085"
2020-03-01,"21505"
2020-03-02,"21042"
2020-03-03,"20963"
2020-03-04,"22654"
2020-03-05,"21074"
2020-03-06,"18298"
2020-03-07,"21572"
2020-03-08,"20196"
2020-03-09,"21772"
2020-03-10,"22710"
2020-03-11,"24256"
2020-03-12,"22885"
2020-03-13,"22522"
2020-03-14,"23562"
2020-03-15,"26412"
2020-03-16,"28678"
2020-03-17,"29102"
2020-03-18,"31488"
2020-03-19,"31711"
2020-03-20,"30674"
2020-03-21,"30533"
2020-03-22,"29542"
2020-03-23,"29674"
2020-03-24,"29567"
2020-03-25,"29812"
2020-03-26,"28090"
2020-03-27,"30353"
2020-03-28,"27759"
2020-03-29,"28106"
2020-03-30,"28110"
2020-03-31,"28758"
2020-04-01,"30824"
2020-04-02,"28891"
2020-04-03,"28081"
2020-04-04,"27277"
2020-04-05,"27534"
2020-04-06,"30249"
2020-04-07,"27804"
2020-04-08,"27286"
2020-04-09,"26938"
2020-04-10,"27126"
2020-04-11,"27248"
2020-04-12,"27078"
2020-04-13,"26700"
2020-04-14,"26469"
2020-04-15,"27450"
2020-04-16,"26535"
2020-04-17,"26182"
2020-04-18,"25782"
2020-04-19,"26316"
