startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",68089
"2013-01-02T00:00:00","2013-01-03T00:00:00",84158
"2013-01-03T00:00:00","2013-01-04T00:00:00",95843
"2013-01-04T00:00:00","2013-01-05T00:00:00",93931
"2013-01-05T00:00:00","2013-01-06T00:00:00",91133
"2013-01-06T00:00:00","2013-01-07T00:00:00",112625
"2013-01-07T00:00:00","2013-01-08T00:00:00",96115
"2013-01-08T00:00:00","2013-01-09T00:00:00",82817
"2013-01-09T00:00:00","2013-01-10T00:00:00",80138
"2013-01-10T00:00:00","2013-01-11T00:00:00",80721
"2013-01-11T00:00:00","2013-01-12T00:00:00",75493
"2013-01-12T00:00:00","2013-01-13T00:00:00",78201
"2013-01-13T00:00:00","2013-01-14T00:00:00",123130
"2013-01-14T00:00:00","2013-01-15T00:00:00",92978
"2013-01-15T00:00:00","2013-01-16T00:00:00",94306
"2013-01-16T00:00:00","2013-01-17T00:00:00",94434
"2013-01-17T00:00:00","2013-01-18T00:00:00",89570
"2013-01-18T00:00:00","2013-01-19T00:00:00",89178
"2013-01-19T00:00:00","2013-01-20T00:00:00",90429
"2013-01-20T00:00:00","2013-01-21T00:00:00",122520
"2013-01-21T00:00:00","2013-01-22T00:00:00",103973
"2013-01-22T00:00:00","2013-01-23T00:00:00",98658
"2013-01-23T00:00:00","2013-01-24T00:00:00",99186
"2013-01-24T00:00:00","2013-01-25T00:00:00",93514
"2013-01-25T00:00:00","2013-01-26T00:00:00",90620
"2013-01-26T00:00:00","2013-01-27T00:00:00",126585
"2013-01-27T00:00:00","2013-01-28T00:00:00",124297
"2013-01-28T00:00:00","2013-01-29T00:00:00",97816
"2013-01-29T00:00:00","2013-01-30T00:00:00",95470
"2013-01-30T00:00:00","2013-01-31T00:00:00",96093
"2013-01-31T00:00:00","2013-02-01T00:00:00",85411
"2013-02-01T00:00:00","2013-02-02T00:00:00",85392
"2013-02-02T00:00:00","2013-02-03T00:00:00",90505
"2013-02-03T00:00:00","2013-02-04T00:00:00",121164
"2013-02-04T00:00:00","2013-02-05T00:00:00",98712
"2013-02-05T00:00:00","2013-02-06T00:00:00",88600
"2013-02-06T00:00:00","2013-02-07T00:00:00",99685
"2013-02-07T00:00:00","2013-02-08T00:00:00",90576
"2013-02-08T00:00:00","2013-02-09T00:00:00",85828
"2013-02-09T00:00:00","2013-02-10T00:00:00",85649
"2013-02-10T00:00:00","2013-02-11T00:00:00",109153
"2013-02-11T00:00:00","2013-02-12T00:00:00",100727
"2013-02-12T00:00:00","2013-02-13T00:00:00",96805
"2013-02-13T00:00:00","2013-02-14T00:00:00",94350
"2013-02-14T00:00:00","2013-02-15T00:00:00",93416
"2013-02-15T00:00:00","2013-02-16T00:00:00",77313
"2013-02-16T00:00:00","2013-02-17T00:00:00",83314
"2013-02-17T00:00:00","2013-02-18T00:00:00",105569
"2013-02-18T00:00:00","2013-02-19T00:00:00",97609
"2013-02-19T00:00:00","2013-02-20T00:00:00",95269
"2013-02-20T00:00:00","2013-02-21T00:00:00",96794
"2013-02-21T00:00:00","2013-02-22T00:00:00",102958
"2013-02-22T00:00:00","2013-02-23T00:00:00",90015
"2013-02-23T00:00:00","2013-02-24T00:00:00",94330
"2013-02-24T00:00:00","2013-02-25T00:00:00",118903
"2013-02-25T00:00:00","2013-02-26T00:00:00",112929
"2013-02-26T00:00:00","2013-02-27T00:00:00",109676
"2013-02-27T00:00:00","2013-02-28T00:00:00",118558
"2013-02-28T00:00:00","2013-03-01T00:00:00",110669
"2013-03-01T00:00:00","2013-03-02T00:00:00",102514
"2013-03-02T00:00:00","2013-03-03T00:00:00",104158
"2013-03-03T00:00:00","2013-03-04T00:00:00",118618
"2013-03-04T00:00:00","2013-03-05T00:00:00",117882
"2013-03-05T00:00:00","2013-03-06T00:00:00",111326
"2013-03-06T00:00:00","2013-03-07T00:00:00",119226
"2013-03-07T00:00:00","2013-03-08T00:00:00",112109
"2013-03-08T00:00:00","2013-03-09T00:00:00",110476
"2013-03-09T00:00:00","2013-03-10T00:00:00",99844
"2013-03-10T00:00:00","2013-03-11T00:00:00",127305
"2013-03-11T00:00:00","2013-03-12T00:00:00",123144
"2013-03-12T00:00:00","2013-03-13T00:00:00",134273
"2013-03-13T00:00:00","2013-03-14T00:00:00",134921
"2013-03-14T00:00:00","2013-03-15T00:00:00",115810
"2013-03-15T00:00:00","2013-03-16T00:00:00",117901
"2013-03-16T00:00:00","2013-03-17T00:00:00",106132
"2013-03-17T00:00:00","2013-03-18T00:00:00",132420
"2013-03-18T00:00:00","2013-03-19T00:00:00",113923
"2013-03-19T00:00:00","2013-03-20T00:00:00",107263
