startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",24530
"2013-01-02T00:00:00","2013-01-03T00:00:00",30289
"2013-01-03T00:00:00","2013-01-04T00:00:00",35041
"2013-01-04T00:00:00","2013-01-05T00:00:00",34771
"2013-01-05T00:00:00","2013-01-06T00:00:00",32242
"2013-01-06T00:00:00","2013-01-07T00:00:00",38355
"2013-01-07T00:00:00","2013-01-08T00:00:00",32929
"2013-01-08T00:00:00","2013-01-09T00:00:00",28464
"2013-01-09T00:00:00","2013-01-10T00:00:00",29623
"2013-01-10T00:00:00","2013-01-11T00:00:00",29012
"2013-01-11T00:00:00","2013-01-12T00:00:00",27260
"2013-01-12T00:00:00","2013-01-13T00:00:00",26773
"2013-01-13T00:00:00","2013-01-14T00:00:00",38025
"2013-01-14T00:00:00","2013-01-15T00:00:00",33112
"2013-01-15T00:00:00","2013-01-16T00:00:00",34674
"2013-01-16T00:00:00","2013-01-17T00:00:00",33521
"2013-01-17T00:00:00","2013-01-18T00:00:00",32734
"2013-01-18T00:00:00","2013-01-19T00:00:00",33281
"2013-01-19T00:00:00","2013-01-20T00:00:00",31232
"2013-01-20T00:00:00","2013-01-21T00:00:00",42260
"2013-01-21T00:00:00","2013-01-22T00:00:00",36197
"2013-01-22T00:00:00","2013-01-23T00:00:00",36441
"2013-01-23T00:00:00","2013-01-24T00:00:00",35584
"2013-01-24T00:00:00","2013-01-25T00:00:00",34217
"2013-01-25T00:00:00","2013-01-26T00:00:00",31915
"2013-01-26T00:00:00","2013-01-27T00:00:00",43972
"2013-01-27T00:00:00","2013-01-28T00:00:00",40205
"2013-01-28T00:00:00","2013-01-29T00:00:00",34471
"2013-01-29T00:00:00","2013-01-30T00:00:00",34760
"2013-01-30T00:00:00","2013-01-31T00:00:00",35144
"2013-01-31T00:00:00","2013-02-01T00:00:00",31185
"2013-02-01T00:00:00","2013-02-02T00:00:00",32306
"2013-02-02T00:00:00","2013-02-03T00:00:00",32300
"2013-02-03T00:00:00","2013-02-04T00:00:00",42778
"2013-02-04T00:00:00","2013-02-05T00:00:00",36736
"2013-02-05T00:00:00","2013-02-06T00:00:00",33378
"2013-02-06T00:00:00","2013-02-07T00:00:00",36098
"2013-02-07T00:00:00","2013-02-08T00:00:00",33614
"2013-02-08T00:00:00","2013-02-09T00:00:00",33777
"2013-02-09T00:00:00","2013-02-10T00:00:00",30835
"2013-02-10T00:00:00","2013-02-11T00:00:00",39404
"2013-02-11T00:00:00","2013-02-12T00:00:00",37360
"2013-02-12T00:00:00","2013-02-13T00:00:00",35403
"2013-02-13T00:00:00","2013-02-14T00:00:00",34621
"2013-02-14T00:00:00","2013-02-15T00:00:00",32380
"2013-02-15T00:00:00","2013-02-16T00:00:00",29536
"2013-02-16T00:00:00","2013-02-17T00:00:00",30761
"2013-02-17T00:00:00","2013-02-18T00:00:00",37181
"2013-02-18T00:00:00","2013-02-19T00:00:00",35028
"2013-02-19T00:00:00","2013-02-20T00:00:00",33869
"2013-02-20T00:00:00","2013-02-21T00:00:00",34088
"2013-02-21T00:00:00","2013-02-22T00:00:00",36056
"2013-02-22T00:00:00","2013-02-23T00:00:00",32945
"2013-02-23T00:00:00","2013-02-24T00:00:00",33302
"2013-02-24T00:00:00","2013-02-25T00:00:00",41515
"2013-02-25T00:00:00","2013-02-26T00:00:00",40814
"2013-02-26T00:00:00","2013-02-27T00:00:00",38451
"2013-02-27T00:00:00","2013-02-28T00:00:00",40166
"2013-02-28T00:00:00","2013-03-01T00:00:00",41089
"2013-03-01T00:00:00","2013-03-02T00:00:00",37127
"2013-03-02T00:00:00","2013-03-03T00:00:00",35628
"2013-03-03T00:00:00","2013-03-04T00:00:00",40934
"2013-03-04T00:00:00","2013-03-05T00:00:00",42142
"2013-03-05T00:00:00","2013-03-06T00:00:00",38291
"2013-03-06T00:00:00","2013-03-07T00:00:00",41937
"2013-03-07T00:00:00","2013-03-08T00:00:00",40610
"2013-03-08T00:00:00","2013-03-09T00:00:00",38039
"2013-03-09T00:00:00","2013-03-10T00:00:00",35632
"2013-03-10T00:00:00","2013-03-11T00:00:00",41722
"2013-03-11T00:00:00","2013-03-12T00:00:00",43740
"2013-03-12T00:00:00","2013-03-13T00:00:00",49791
"2013-03-13T00:00:00","2013-03-14T00:00:00",51476
"2013-03-14T00:00:00","2013-03-15T00:00:00",43620
"2013-03-15T00:00:00","2013-03-16T00:00:00",39710
"2013-03-16T00:00:00","2013-03-17T00:00:00",37476
"2013-03-17T00:00:00","2013-03-18T00:00:00",47766
"2013-03-18T00:00:00","2013-03-19T00:00:00",41934
"2013-03-19T00:00:00","2013-03-20T00:00:00",41452
"2013-03-20T00:00:00","2013-03-21T00:00:00",42956
"2013-03-21T00:00:00","2013-03-22T00:00:00",39549
"2013-03-22T00:00:00","2013-03-23T00:00:00",37869
"2013-03-23T00:00:00","2013-03-24T00:00:00",35728
"2013-03-24T00:00:00","2013-03-25T00:00:00",51926
"2013-03-25T00:00:00","2013-03-26T00:00:00",42714
"2013-03-26T00:00:00","2013-03-27T00:00:00",41302
"2013-03-27T00:00:00","2013-03-28T00:00:00",39636
"2013-03-28T00:00:00","2013-03-29T00:00:00",41177
"2013-03-29T00:00:00","2013-03-30T00:00:00",33637
"2013-03-30T00:00:00","2013-03-31T00:00:00",35790
"2013-03-31T00:00:00","2013-04-01T00:00:00",38003
"2013-04-01T00:00:00","2013-04-02T00:00:00",47867
"2013-04-02T00:00:00","2013-04-03T00:00:00",47023
"2013-04-03T00:00:00","2013-04-04T00:00:00",44256
"2013-04-04T00:00:00","2013-04-05T00:00:00",42570
"2013-04-05T00:00:00","2013-04-06T00:00:00",36993
"2013-04-06T00:00:00","2013-04-07T00:00:00",37854
"2013-04-07T00:00:00","2013-04-08T00:00:00",45935
"2013-04-08T00:00:00","2013-04-09T00:00:00",42282
"2013-04-09T00:00:00","2013-04-10T00:00:00",42363
"2013-04-10T00:00:00","2013-04-11T00:00:00",47253
