startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",351984
"2013-01-02T00:00:00","2013-01-03T00:00:00",338227
"2013-01-03T00:00:00","2013-01-04T00:00:00",363086
"2013-01-04T00:00:00","2013-01-05T00:00:00",365053
"2013-01-05T00:00:00","2013-01-06T00:00:00",332243
"2013-01-06T00:00:00","2013-01-07T00:00:00",396345
"2013-01-07T00:00:00","2013-01-08T00:00:00",362015
"2013-01-08T00:00:00","2013-01-09T00:00:00",308138
"2013-01-09T00:00:00","2013-01-10T00:00:00",309203
"2013-01-10T00:00:00","2013-01-11T00:00:00",303501
"2013-01-11T00:00:00","2013-01-12T00:00:00",296558
"2013-01-12T00:00:00","2013-01-13T00:00:00",294407
"2013-01-13T00:00:00","2013-01-14T00:00:00",376575
"2013-01-14T00:00:00","2013-01-15T00:00:00",338397
"2013-01-15T00:00:00","2013-01-16T00:00:00",348957
"2013-01-16T00:00:00","2013-01-17T00:00:00",344854
"2013-01-17T00:00:00","2013-01-18T00:00:00",327789
"2013-01-18T00:00:00","2013-01-19T00:00:00",329998
"2013-01-19T00:00:00","2013-01-20T00:00:00",320366
"2013-01-20T00:00:00","2013-01-21T00:00:00",423155
"2013-01-21T00:00:00","2013-01-22T00:00:00",360810
"2013-01-22T00:00:00","2013-01-23T00:00:00",353867
"2013-01-23T00:00:00","2013-01-24T00:00:00",367548
"2013-01-24T00:00:00","2013-01-25T00:00:00",345567
"2013-01-25T00:00:00","2013-01-26T00:00:00",327600
"2013-01-26T00:00:00","2013-01-27T00:00:00",438305
"2013-01-27T00:00:00","2013-01-28T00:00:00",416563
"2013-01-28T00:00:00","2013-01-29T00:00:00",357748
"2013-01-29T00:00:00","2013-01-30T00:00:00",341700
"2013-01-30T00:00:00","2013-01-31T00:00:00",358047
"2013-01-31T00:00:00","2013-02-01T00:00:00",321720
"2013-02-01T00:00:00","2013-02-02T00:00:00",334555
"2013-02-02T00:00:00","2013-02-03T00:00:00",349526
"2013-02-03T00:00:00","2013-02-04T00:00:00",434314
"2013-02-04T00:00:00","2013-02-05T00:00:00",378719
"2013-02-05T00:00:00","2013-02-06T00:00:00",332618
"2013-02-06T00:00:00","2013-02-07T00:00:00",358085
"2013-02-07T00:00:00","2013-02-08T00:00:00",337403
"2013-02-08T00:00:00","2013-02-09T00:00:00",337761
"2013-02-09T00:00:00","2013-02-10T00:00:00",328103
"2013-02-10T00:00:00","2013-02-11T00:00:00",396006
"2013-02-11T00:00:00","2013-02-12T00:00:00",373814
"2013-02-12T00:00:00","2013-02-13T00:00:00",351781
"2013-02-13T00:00:00","2013-02-14T00:00:00",349993
"2013-02-14T00:00:00","2013-02-15T00:00:00",364548
"2013-02-15T00:00:00","2013-02-16T00:00:00",308299
"2013-02-16T00:00:00","2013-02-17T00:00:00",317452
"2013-02-17T00:00:00","2013-02-18T00:00:00",375493
"2013-02-18T00:00:00","2013-02-19T00:00:00",359122
"2013-02-19T00:00:00","2013-02-20T00:00:00",352612
"2013-02-20T00:00:00","2013-02-21T00:00:00",361836
"2013-02-21T00:00:00","2013-02-22T00:00:00",375492
"2013-02-22T00:00:00","2013-02-23T00:00:00",353850
"2013-02-23T00:00:00","2013-02-24T00:00:00",344517
"2013-02-24T00:00:00","2013-02-25T00:00:00",417699
"2013-02-25T00:00:00","2013-02-26T00:00:00",408910
"2013-02-26T00:00:00","2013-02-27T00:00:00",392836
"2013-02-27T00:00:00","2013-02-28T00:00:00",400842
"2013-02-28T00:00:00","2013-03-01T00:00:00",416354
"2013-03-01T00:00:00","2013-03-02T00:00:00",392763
"2013-03-02T00:00:00","2013-03-03T00:00:00",379837
"2013-03-03T00:00:00","2013-03-04T00:00:00",431404
"2013-03-04T00:00:00","2013-03-05T00:00:00",439524
"2013-03-05T00:00:00","2013-03-06T00:00:00",394464
"2013-03-06T00:00:00","2013-03-07T00:00:00",417112
"2013-03-07T00:00:00","2013-03-08T00:00:00",412974
"2013-03-08T00:00:00","2013-03-09T00:00:00",413600
"2013-03-09T00:00:00","2013-03-10T00:00:00",376259
"2013-03-10T00:00:00","2013-03-11T00:00:00",429124
"2013-03-11T00:00:00","2013-03-12T00:00:00",433666
"2013-03-12T00:00:00","2013-03-13T00:00:00",465277
"2013-03-13T00:00:00","2013-03-14T00:00:00",478609
"2013-03-14T00:00:00","2013-03-15T00:00:00",413750
"2013-03-15T00:00:00","2013-03-16T00:00:00",413684
"2013-03-16T00:00:00","2013-03-17T00:00:00",378384
"2013-03-17T00:00:00","2013-03-18T00:00:00",463062
"2013-03-18T00:00:00","2013-03-19T00:00:00",417148
"2013-03-19T00:00:00","2013-03-20T00:00:00",386304
"2013-03-20T00:00:00","2013-03-21T00:00:00",413340
"2013-03-21T00:00:00","2013-03-22T00:00:00",382795
"2013-03-22T00:00:00","2013-03-23T00:00:00",378712
"2013-03-23T00:00:00","2013-03-24T00:00:00",354121
"2013-03-24T00:00:00","2013-03-25T00:00:00",469109
"2013-03-25T00:00:00","2013-03-26T00:00:00",412265
"2013-03-26T00:00:00","2013-03-27T00:00:00",407992
"2013-03-27T00:00:00","2013-03-28T00:00:00",385094
"2013-03-28T00:00:00","2013-03-29T00:00:00",394814
"2013-03-29T00:00:00","2013-03-30T00:00:00",353747
"2013-03-30T00:00:00","2013-03-31T00:00:00",357337
"2013-03-31T00:00:00","2013-04-01T00:00:00",380110
"2013-04-01T00:00:00","2013-04-02T00:00:00",470492
"2013-04-02T00:00:00","2013-04-03T00:00:00",449788
"2013-04-03T00:00:00","2013-04-04T00:00:00",407609
"2013-04-04T00:00:00","2013-04-05T00:00:00",396887
"2013-04-05T00:00:00","2013-04-06T00:00:00",369081
"2013-04-06T00:00:00","2013-04-07T00:00:00",368487
"2013-04-07T00:00:00","2013-04-08T00:00:00",450262
"2013-04-08T00:00:00","2013-04-09T00:00:00",416734
"2013-04-09T00:00:00","2013-04-10T00:00:00",406621
"2013-04-10T00:00:00","2013-04-11T00:00:00",446642
"2013-04-11T00:00:00","2013-04-12T00:00:00",384441
"2013-04-12T00:00:00","2013-04-13T00:00:00",372031
"2013-04-13T00:00:00","2013-04-14T00:00:00",379453
"2013-04-14T00:00:00","2013-04-15T00:00:00",402757
"2013-04-15T00:00:00","2013-04-16T00:00:00",402644
"2013-04-16T00:00:00","2013-04-17T00:00:00",429326
"2013-04-17T00:00:00","2013-04-18T00:00:00",417371
"2013-04-18T00:00:00","2013-04-19T00:00:00",402187
