startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",37429
"2013-01-02T00:00:00","2013-01-03T00:00:00",44554
"2013-01-03T00:00:00","2013-01-04T00:00:00",49639
"2013-01-04T00:00:00","2013-01-05T00:00:00",50403
"2013-01-05T00:00:00","2013-01-06T00:00:00",46572
"2013-01-06T00:00:00","2013-01-07T00:00:00",57740
"2013-01-07T00:00:00","2013-01-08T00:00:00",51097
"2013-01-08T00:00:00","2013-01-09T00:00:00",42145
"2013-01-09T00:00:00","2013-01-10T00:00:00",42118
"2013-01-10T00:00:00","2013-01-11T00:00:00",41299
"2013-01-11T00:00:00","2013-01-12T00:00:00",38791
"2013-01-12T00:00:00","2013-01-13T00:00:00",39520
"2013-01-13T00:00:00","2013-01-14T00:00:00",53693
"2013-01-14T00:00:00","2013-01-15T00:00:00",45715
"2013-01-15T00:00:00","2013-01-16T00:00:00",49203
"2013-01-16T00:00:00","2013-01-17T00:00:00",47546
"2013-01-17T00:00:00","2013-01-18T00:00:00",44625
"2013-01-18T00:00:00","2013-01-19T00:00:00",43810
"2013-01-19T00:00:00","2013-01-20T00:00:00",45782
"2013-01-20T00:00:00","2013-01-21T00:00:00",61289
"2013-01-21T00:00:00","2013-01-22T00:00:00",49562
"2013-01-22T00:00:00","2013-01-23T00:00:00",50033
"2013-01-23T00:00:00","2013-01-24T00:00:00",50425
"2013-01-24T00:00:00","2013-01-25T00:00:00",48408
"2013-01-25T00:00:00","2013-01-26T00:00:00",43344
"2013-01-26T00:00:00","2013-01-27T00:00:00",55989
"2013-01-27T00:00:00","2013-01-28T00:00:00",59202
"2013-01-28T00:00:00","2013-01-29T00:00:00",49111
"2013-01-29T00:00:00","2013-01-30T00:00:00",47072
"2013-01-30T00:00:00","2013-01-31T00:00:00",50385
"2013-01-31T00:00:00","2013-02-01T00:00:00",43157
"2013-02-01T00:00:00","2013-02-02T00:00:00",45075
"2013-02-02T00:00:00","2013-02-03T00:00:00",46166
"2013-02-03T00:00:00","2013-02-04T00:00:00",63442
"2013-02-04T00:00:00","2013-02-05T00:00:00",51053
"2013-02-05T00:00:00","2013-02-06T00:00:00",45895
"2013-02-06T00:00:00","2013-02-07T00:00:00",50770
"2013-02-07T00:00:00","2013-02-08T00:00:00",47340
"2013-02-08T00:00:00","2013-02-09T00:00:00",43988
"2013-02-09T00:00:00","2013-02-10T00:00:00",46219
"2013-02-10T00:00:00","2013-02-11T00:00:00",57074
"2013-02-11T00:00:00","2013-02-12T00:00:00",52372
"2013-02-12T00:00:00","2013-02-13T00:00:00",49917
"2013-02-13T00:00:00","2013-02-14T00:00:00",49929
"2013-02-14T00:00:00","2013-02-15T00:00:00",47311
"2013-02-15T00:00:00","2013-02-16T00:00:00",41335
"2013-02-16T00:00:00","2013-02-17T00:00:00",44474
"2013-02-17T00:00:00","2013-02-18T00:00:00",56722
"2013-02-18T00:00:00","2013-02-19T00:00:00",49985
"2013-02-19T00:00:00","2013-02-20T00:00:00",49433
"2013-02-20T00:00:00","2013-02-21T00:00:00",49942
"2013-02-21T00:00:00","2013-02-22T00:00:00",53760
"2013-02-22T00:00:00","2013-02-23T00:00:00",47978
"2013-02-23T00:00:00","2013-02-24T00:00:00",50062
"2013-02-24T00:00:00","2013-02-25T00:00:00",60713
"2013-02-25T00:00:00","2013-02-26T00:00:00",57113
"2013-02-26T00:00:00","2013-02-27T00:00:00",58103
"2013-02-27T00:00:00","2013-02-28T00:00:00",59608
"2013-02-28T00:00:00","2013-03-01T00:00:00",60524
"2013-03-01T00:00:00","2013-03-02T00:00:00",53448
"2013-03-02T00:00:00","2013-03-03T00:00:00",56943
"2013-03-03T00:00:00","2013-03-04T00:00:00",62068
"2013-03-04T00:00:00","2013-03-05T00:00:00",59282
"2013-03-05T00:00:00","2013-03-06T00:00:00",54954
"2013-03-06T00:00:00","2013-03-07T00:00:00",60411
"2013-03-07T00:00:00","2013-03-08T00:00:00",58228
"2013-03-08T00:00:00","2013-03-09T00:00:00",55041
"2013-03-09T00:00:00","2013-03-10T00:00:00",53824
"2013-03-10T00:00:00","2013-03-11T00:00:00",64099
"2013-03-11T00:00:00","2013-03-12T00:00:00",60541
"2013-03-12T00:00:00","2013-03-13T00:00:00",66431
"2013-03-13T00:00:00","2013-03-14T00:00:00",71234
"2013-03-14T00:00:00","2013-03-15T00:00:00",58707
"2013-03-15T00:00:00","2013-03-16T00:00:00",58049
"2013-03-16T00:00:00","2013-03-17T00:00:00",57057
"2013-03-17T00:00:00","2013-03-18T00:00:00",71490
"2013-03-18T00:00:00","2013-03-19T00:00:00",61213
"2013-03-19T00:00:00","2013-03-20T00:00:00",58070
"2013-03-20T00:00:00","2013-03-21T00:00:00",59952
"2013-03-21T00:00:00","2013-03-22T00:00:00",56336
"2013-03-22T00:00:00","2013-03-23T00:00:00",53997
"2013-03-23T00:00:00","2013-03-24T00:00:00",53477
"2013-03-24T00:00:00","2013-03-25T00:00:00",71080
"2013-03-25T00:00:00","2013-03-26T00:00:00",58385
"2013-03-26T00:00:00","2013-03-27T00:00:00",60150
"2013-03-27T00:00:00","2013-03-28T00:00:00",54927
"2013-03-28T00:00:00","2013-03-29T00:00:00",58627
"2013-03-29T00:00:00","2013-03-30T00:00:00",49860
"2013-03-30T00:00:00","2013-03-31T00:00:00",52651
"2013-03-31T00:00:00","2013-04-01T00:00:00",58447
"2013-04-01T00:00:00","2013-04-02T00:00:00",67336
"2013-04-02T00:00:00","2013-04-03T00:00:00",65523
"2013-04-03T00:00:00","2013-04-04T00:00:00",59356
"2013-04-04T00:00:00","2013-04-05T00:00:00",58464
"2013-04-05T00:00:00","2013-04-06T00:00:00",52205
"2013-04-06T00:00:00","2013-04-07T00:00:00",54888
"2013-04-07T00:00:00","2013-04-08T00:00:00",69719
"2013-04-08T00:00:00","2013-04-09T00:00:00",62022
"2013-04-09T00:00:00","2013-04-10T00:00:00",58111
"2013-04-10T00:00:00","2013-04-11T00:00:00",71242
"2013-04-11T00:00:00","2013-04-12T00:00:00",55994
