startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",1052102
"2013-01-02T00:00:00","2013-01-03T00:00:00",1190135
"2013-01-03T00:00:00","2013-01-04T00:00:00",1290955
"2013-01-04T00:00:00","2013-01-05T00:00:00",1312966
"2013-01-05T00:00:00","2013-01-06T00:00:00",1223125
"2013-01-06T00:00:00","2013-01-07T00:00:00",1415334
"2013-01-07T00:00:00","2013-01-08T00:00:00",1250817
"2013-01-08T00:00:00","2013-01-09T00:00:00",1068304
"2013-01-09T00:00:00","2013-01-10T00:00:00",1092282
"2013-01-10T00:00:00","2013-01-11T00:00:00",1062345
"2013-01-11T00:00:00","2013-01-12T00:00:00",1038503
"2013-01-12T00:00:00","2013-01-13T00:00:00",1048750
"2013-01-13T00:00:00","2013-01-14T00:00:00",1342948
"2013-01-14T00:00:00","2013-01-15T00:00:00",1186093
"2013-01-15T00:00:00","2013-01-16T00:00:00",1229563
"2013-01-16T00:00:00","2013-01-17T00:00:00",1238586
"2013-01-17T00:00:00","2013-01-18T00:00:00",1167905
"2013-01-18T00:00:00","2013-01-19T00:00:00",1196285
"2013-01-19T00:00:00","2013-01-20T00:00:00",1202099
"2013-01-20T00:00:00","2013-01-21T00:00:00",1597278
"2013-01-21T00:00:00","2013-01-22T00:00:00",1336617
"2013-01-22T00:00:00","2013-01-23T00:00:00",1252620
"2013-01-23T00:00:00","2013-01-24T00:00:00",1305704
"2013-01-24T00:00:00","2013-01-25T00:00:00",1212970
"2013-01-25T00:00:00","2013-01-26T00:00:00",1177366
"2013-01-26T00:00:00","2013-01-27T00:00:00",1574806
"2013-01-27T00:00:00","2013-01-28T00:00:00",1477560
"2013-01-28T00:00:00","2013-01-29T00:00:00",1260020
"2013-01-29T00:00:00","2013-01-30T00:00:00",1218294
"2013-01-30T00:00:00","2013-01-31T00:00:00",1281199
"2013-01-31T00:00:00","2013-02-01T00:00:00",1141761
"2013-02-01T00:00:00","2013-02-02T00:00:00",1195907
"2013-02-02T00:00:00","2013-02-03T00:00:00",1253978
"2013-02-03T00:00:00","2013-02-04T00:00:00",1566482
"2013-02-04T00:00:00","2013-02-05T00:00:00",1288902
"2013-02-05T00:00:00","2013-02-06T00:00:00",1166368
"2013-02-06T00:00:00","2013-02-07T00:00:00",1278218
"2013-02-07T00:00:00","2013-02-08T00:00:00",1194505
"2013-02-08T00:00:00","2013-02-09T00:00:00",1190445
"2013-02-09T00:00:00","2013-02-10T00:00:00",1193075
"2013-02-10T00:00:00","2013-02-11T00:00:00",1470455
"2013-02-11T00:00:00","2013-02-12T00:00:00",1348800
"2013-02-12T00:00:00","2013-02-13T00:00:00",1252808
"2013-02-13T00:00:00","2013-02-14T00:00:00",1247930
"2013-02-14T00:00:00","2013-02-15T00:00:00",1219448
"2013-02-15T00:00:00","2013-02-16T00:00:00",1115427
"2013-02-16T00:00:00","2013-02-17T00:00:00",1158745
"2013-02-17T00:00:00","2013-02-18T00:00:00",1386689
"2013-02-18T00:00:00","2013-02-19T00:00:00",1303721
"2013-02-19T00:00:00","2013-02-20T00:00:00",1276231
"2013-02-20T00:00:00","2013-02-21T00:00:00",1317976
"2013-02-21T00:00:00","2013-02-22T00:00:00",1346879
"2013-02-22T00:00:00","2013-02-23T00:00:00",1279130
"2013-02-23T00:00:00","2013-02-24T00:00:00",1288614
"2013-02-24T00:00:00","2013-02-25T00:00:00",1560405
"2013-02-25T00:00:00","2013-02-26T00:00:00",1499348
"2013-02-26T00:00:00","2013-02-27T00:00:00",1445576
"2013-02-27T00:00:00","2013-02-28T00:00:00",1475454
"2013-02-28T00:00:00","2013-03-01T00:00:00",1490368
"2013-03-01T00:00:00","2013-03-02T00:00:00",1448488
"2013-03-02T00:00:00","2013-03-03T00:00:00",1403317
"2013-03-03T00:00:00","2013-03-04T00:00:00",1572922
"2013-03-04T00:00:00","2013-03-05T00:00:00",1579122
"2013-03-05T00:00:00","2013-03-06T00:00:00",1438047
"2013-03-06T00:00:00","2013-03-07T00:00:00",1536926
"2013-03-07T00:00:00","2013-03-08T00:00:00",1508823
"2013-03-08T00:00:00","2013-03-09T00:00:00",1514386
"2013-03-09T00:00:00","2013-03-10T00:00:00",1400429
"2013-03-10T00:00:00","2013-03-11T00:00:00",1604132
"2013-03-11T00:00:00","2013-03-12T00:00:00",1534835
"2013-03-12T00:00:00","2013-03-13T00:00:00",1535396
"2013-03-13T00:00:00","2013-03-14T00:00:00",1585604
"2013-03-14T00:00:00","2013-03-15T00:00:00",1369847
"2013-03-15T00:00:00","2013-03-16T00:00:00",1334209
"2013-03-16T00:00:00","2013-03-17T00:00:00",1243727
"2013-03-17T00:00:00","2013-03-18T00:00:00",1534811
"2013-03-18T00:00:00","2013-03-19T00:00:00",1335767
"2013-03-19T00:00:00","2013-03-20T00:00:00",1245416
"2013-03-20T00:00:00","2013-03-21T00:00:00",1305369
"2013-03-21T00:00:00","2013-03-22T00:00:00",1211979
"2013-03-22T00:00:00","2013-03-23T00:00:00",1188351
"2013-03-23T00:00:00","2013-03-24T00:00:00",1147942
"2013-03-24T00:00:00","2013-03-25T00:00:00",1514185
"2013-03-25T00:00:00","2013-03-26T00:00:00",1298269
"2013-03-26T00:00:00","2013-03-27T00:00:00",1302641
"2013-03-27T00:00:00","2013-03-28T00:00:00",1231702
"2013-03-28T00:00:00","2013-03-29T00:00:00",1256846
"2013-03-29T00:00:00","2013-03-30T00:00:00",1125213
"2013-03-30T00:00:00","2013-03-31T00:00:00",1171084
"2013-03-31T00:00:00","2013-04-01T00:00:00",1250289
"2013-04-01T00:00:00","2013-04-02T00:00:00",1553848
"2013-04-02T00:00:00","2013-04-03T00:00:00",1438472
"2013-04-03T00:00:00","2013-04-04T00:00:00",1306278
"2013-04-04T00:00:00","2013-04-05T00:00:00",1268995
"2013-04-05T00:00:00","2013-04-06T00:00:00",1178191
"2013-04-06T00:00:00","2013-04-07T00:00:00",1193213
"2013-04-07T00:00:00","2013-04-08T00:00:00",1446061
"2013-04-08T00:00:00","2013-04-09T00:00:00",1324144
"2013-04-09T00:00:00","2013-04-10T00:00:00",1282158
