"date","unique_authors"
2019-01-01,"236517"
2019-01-02,"240470"
2019-01-03,"239343"
2019-01-04,"228192"
2019-01-05,"249820"
2019-01-06,"261461"
2019-01-07,"266042"
2019-01-08,"269208"
2019-01-09,"258725"
2019-01-10,"255662"
2019-01-11,"219199"
2019-01-12,"233095"
2019-01-13,"257788"
2019-01-14,"264051"
2019-01-15,"267875"
2019-01-16,"259693"
2019-01-17,"249283"
2019-01-18,"218970"
2019-01-19,"235342"
2019-01-20,"267255"
2019-01-21,"280363"
2019-01-22,"272477"
2019-01-23,"268894"
2019-01-24,"261990"
2019-01-25,"222554"
2019-01-26,"243050"
2019-01-27,"262147"
2019-01-28,"268956"
2019-01-29,"278201"
2019-01-30,"273559"
2019-01-31,"257841"
2019-02-01,"222275"
2019-02-02,"238612"
2019-02-03,"258435"
2019-02-04,"262743"
2019-02-05,"269228"
2019-02-06,"256497"
2019-02-07,"253499"
2019-02-08,"217852"
2019-02-09,"231534"
2019-02-10,"259604"
2019-02-11,"273464"
2019-02-12,"276868"
2019-02-13,"272467"
2019-02-14,"247468"
2019-02-15,"210699"
2019-02-16,"222592"
2019-02-17,"251991"
2019-02-18,"269093"
2019-02-19,"268068"
2019-02-20,"266345"
2019-02-21,"260513"
2019-02-22,"222474"
2019-02-23,"230013"
2019-02-24,"255150"
2019-02-25,"262358"
2019-02-26,"268708"
2019-02-27,"264359"
2019-02-28,"257513"
2019-03-01,"222448"
2019-03-02,"237396"
2019-03-03,"254988"
2019-03-04,"278441"
2019-03-05,"293715"
2019-03-06,"279126"
2019-03-07,"259570"
2019-03-08,"214260"
2019-03-09,"237296"
2019-03-10,"263370"
2019-03-11,"268499"
2019-03-12,"283740"
2019-03-13,"281856"
2019-03-14,"272961"
2019-03-15,"227327"
2019-03-16,"250455"
2019-03-17,"263487"
2019-03-18,"272110"
2019-03-19,"279498"
2019-03-20,"275539"
2019-03-21,"277102"
2019-03-22,"220577"
2019-03-23,"231195"
2019-03-24,"275396"
2019-03-25,"270150"
2019-03-26,"270701"
2019-03-27,"267006"
2019-03-28,"257711"
2019-03-29,"221764"
2019-03-30,"227984"
2019-03-31,"268297"
2019-04-01,"272464"
2019-04-02,"276712"
2019-04-03,"271398"
2019-04-04,"268850"
2019-04-05,"218804"
2019-04-06,"231461"
2019-04-07,"255210"
2019-04-08,"267296"
2019-04-09,"277612"
2019-04-10,"259777"
2019-04-11,"261552"
2019-04-12,"224698"
2019-04-13,"235318"
2019-04-14,"297814"
2019-04-15,"279516"
2019-04-16,"281105"
2019-04-17,"267694"
2019-04-18,"255645"
2019-04-19,"214568"
2019-04-20,"224680"
2019-04-21,"238419"
2019-04-22,"269184"
2019-04-23,"285125"
2019-04-24,"274748"
2019-04-25,"267814"
2019-04-26,"231840"
2019-04-27,"253319"
2019-04-28,"267327"
2019-04-29,"255204"
2019-04-30,"250390"
2019-05-01,"256044"
2019-05-02,"255913"
2019-05-03,"230432"
2019-05-04,"244857"
2019-05-05,"259473"
2019-05-06,"271267"
2019-05-07,"263855"
2019-05-08,"268774"
2019-05-09,"261609"
2019-05-10,"230843"
2019-05-11,"240256"
2019-05-12,"271604"
2019-05-13,"271720"
2019-05-14,"291663"
2019-05-15,"283444"
2019-05-16,"268152"
2019-05-17,"234186"
2019-05-18,"243597"
2019-05-19,"279725"
2019-05-20,"280100"
2019-05-21,"278555"
2019-05-22,"274984"
2019-05-23,"271123"
2019-05-24,"231974"
2019-05-25,"260464"
2019-05-26,"269153"
2019-05-27,"270869"
2019-05-28,"267798"
2019-05-29,"235324"
2019-05-30,"238961"
2019-05-31,"221824"
2019-06-01,"248285"
2019-06-02,"273271"
2019-06-03,"286987"
2019-06-04,"300451"
2019-06-05,"296424"
2019-06-06,"290998"
2019-06-07,"237828"
2019-06-08,"228625"
2019-06-09,"255557"
2019-06-10,"288989"
2019-06-11,"288608"
2019-06-12,"285621"
2019-06-13,"287030"
2019-06-14,"235167"
2019-06-15,"249191"
2019-06-16,"298611"
2019-06-17,"293270"
2019-06-18,"294192"
2019-06-19,"295029"
2019-06-20,"277864"
2019-06-21,"224217"
2019-06-22,"245246"
2019-06-23,"280437"
2019-06-24,"285721"
2019-06-25,"285390"
2019-06-26,"291475"
2019-06-27,"286604"
2019-06-28,"228584"
2019-06-29,"227739"
2019-06-30,"273788"
2019-07-01,"276226"
2019-07-02,"282050"
2019-07-03,"281792"
2019-07-04,"298433"
2019-07-05,"230777"
2019-07-06,"236828"
2019-07-07,"265792"
2019-07-08,"269800"
2019-07-09,"269970"
2019-07-10,"265048"
2019-07-11,"222790"
2019-07-12,"215574"
2019-07-13,"232918"
2019-07-14,"261808"
2019-07-15,"259418"
2019-07-16,"263295"
2019-07-17,"262845"
2019-07-18,"272050"
2019-07-19,"228193"
2019-07-20,"226599"
2019-07-21,"258541"
2019-07-22,"266229"
2019-07-23,"260075"
2019-07-24,"274306"
2019-07-25,"268647"
2019-07-26,"232602"
2019-07-27,"231716"
2019-07-28,"249763"
2019-07-29,"253351"
2019-07-30,"255754"
2019-07-31,"254589"
