startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",5058
"2013-01-02T00:00:00","2013-01-03T00:00:00",6304
"2013-01-03T00:00:00","2013-01-04T00:00:00",6935
"2013-01-04T00:00:00","2013-01-05T00:00:00",6793
"2013-01-05T00:00:00","2013-01-06T00:00:00",5976
"2013-01-06T00:00:00","2013-01-07T00:00:00",6393
"2013-01-07T00:00:00","2013-01-08T00:00:00",7134
"2013-01-08T00:00:00","2013-01-09T00:00:00",6921
"2013-01-09T00:00:00","2013-01-10T00:00:00",7854
"2013-01-10T00:00:00","2013-01-11T00:00:00",7647
"2013-01-11T00:00:00","2013-01-12T00:00:00",7268
"2013-01-12T00:00:00","2013-01-13T00:00:00",6265
"2013-01-13T00:00:00","2013-01-14T00:00:00",6590
"2013-01-14T00:00:00","2013-01-15T00:00:00",7334
"2013-01-15T00:00:00","2013-01-16T00:00:00",8184
"2013-01-16T00:00:00","2013-01-17T00:00:00",7844
"2013-01-17T00:00:00","2013-01-18T00:00:00",8249
"2013-01-18T00:00:00","2013-01-19T00:00:00",7847
"2013-01-19T00:00:00","2013-01-20T00:00:00",6168
"2013-01-20T00:00:00","2013-01-21T00:00:00",6993
"2013-01-21T00:00:00","2013-01-22T00:00:00",7453
"2013-01-22T00:00:00","2013-01-23T00:00:00",7986
"2013-01-23T00:00:00","2013-01-24T00:00:00",7834
"2013-01-24T00:00:00","2013-01-25T00:00:00",7860
"2013-01-25T00:00:00","2013-01-26T00:00:00",9222
"2013-01-26T00:00:00","2013-01-27T00:00:00",6625
"2013-01-27T00:00:00","2013-01-28T00:00:00",8206
"2013-01-28T00:00:00","2013-01-29T00:00:00",8719
"2013-01-29T00:00:00","2013-01-30T00:00:00",8291
"2013-01-30T00:00:00","2013-01-31T00:00:00",8566
"2013-01-31T00:00:00","2013-02-01T00:00:00",7583
"2013-02-01T00:00:00","2013-02-02T00:00:00",7751
"2013-02-02T00:00:00","2013-02-03T00:00:00",6371
"2013-02-03T00:00:00","2013-02-04T00:00:00",7173
"2013-02-04T00:00:00","2013-02-05T00:00:00",7723
"2013-02-05T00:00:00","2013-02-06T00:00:00",7499
"2013-02-06T00:00:00","2013-02-07T00:00:00",7888
"2013-02-07T00:00:00","2013-02-08T00:00:00",7937
"2013-02-08T00:00:00","2013-02-09T00:00:00",7624
"2013-02-09T00:00:00","2013-02-10T00:00:00",6373
"2013-02-10T00:00:00","2013-02-11T00:00:00",6677
"2013-02-11T00:00:00","2013-02-12T00:00:00",7358
"2013-02-12T00:00:00","2013-02-13T00:00:00",7451
"2013-02-13T00:00:00","2013-02-14T00:00:00",7897
"2013-02-14T00:00:00","2013-02-15T00:00:00",8255
"2013-02-15T00:00:00","2013-02-16T00:00:00",7660
"2013-02-16T00:00:00","2013-02-17T00:00:00",6469
"2013-02-17T00:00:00","2013-02-18T00:00:00",6732
"2013-02-18T00:00:00","2013-02-19T00:00:00",7484
"2013-02-19T00:00:00","2013-02-20T00:00:00",7752
"2013-02-20T00:00:00","2013-02-21T00:00:00",8258
"2013-02-21T00:00:00","2013-02-22T00:00:00",7691
"2013-02-22T00:00:00","2013-02-23T00:00:00",7429
"2013-02-23T00:00:00","2013-02-24T00:00:00",6636
"2013-02-24T00:00:00","2013-02-25T00:00:00",6355
"2013-02-25T00:00:00","2013-02-26T00:00:00",7625
"2013-02-26T00:00:00","2013-02-27T00:00:00",7303
"2013-02-27T00:00:00","2013-02-28T00:00:00",7751
"2013-02-28T00:00:00","2013-03-01T00:00:00",7476
"2013-03-01T00:00:00","2013-03-02T00:00:00",7682
"2013-03-02T00:00:00","2013-03-03T00:00:00",6257
"2013-03-03T00:00:00","2013-03-04T00:00:00",6792
"2013-03-04T00:00:00","2013-03-05T00:00:00",7516
