startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",3132
"2013-01-02T00:00:00","2013-01-03T00:00:00",3683
"2013-01-03T00:00:00","2013-01-04T00:00:00",3841
"2013-01-04T00:00:00","2013-01-05T00:00:00",3799
"2013-01-05T00:00:00","2013-01-06T00:00:00",3678
"2013-01-06T00:00:00","2013-01-07T00:00:00",3897
"2013-01-07T00:00:00","2013-01-08T00:00:00",4295
"2013-01-08T00:00:00","2013-01-09T00:00:00",4343
"2013-01-09T00:00:00","2013-01-10T00:00:00",4543
"2013-01-10T00:00:00","2013-01-11T00:00:00",4112
"2013-01-11T00:00:00","2013-01-12T00:00:00",4133
"2013-01-12T00:00:00","2013-01-13T00:00:00",3744
"2013-01-13T00:00:00","2013-01-14T00:00:00",4057
"2013-01-14T00:00:00","2013-01-15T00:00:00",4064
"2013-01-15T00:00:00","2013-01-16T00:00:00",4354
"2013-01-16T00:00:00","2013-01-17T00:00:00",4500
"2013-01-17T00:00:00","2013-01-18T00:00:00",4283
"2013-01-18T00:00:00","2013-01-19T00:00:00",4382
"2013-01-19T00:00:00","2013-01-20T00:00:00",3704
"2013-01-20T00:00:00","2013-01-21T00:00:00",4568
"2013-01-21T00:00:00","2013-01-22T00:00:00",4466
"2013-01-22T00:00:00","2013-01-23T00:00:00",4382
"2013-01-23T00:00:00","2013-01-24T00:00:00",4452
"2013-01-24T00:00:00","2013-01-25T00:00:00",4627
"2013-01-25T00:00:00","2013-01-26T00:00:00",4557
"2013-01-26T00:00:00","2013-01-27T00:00:00",3653
"2013-01-27T00:00:00","2013-01-28T00:00:00",4217
"2013-01-28T00:00:00","2013-01-29T00:00:00",4969
"2013-01-29T00:00:00","2013-01-30T00:00:00",5239
"2013-01-30T00:00:00","2013-01-31T00:00:00",5051
"2013-01-31T00:00:00","2013-02-01T00:00:00",4380
"2013-02-01T00:00:00","2013-02-02T00:00:00",4546
"2013-02-02T00:00:00","2013-02-03T00:00:00",3833
"2013-02-03T00:00:00","2013-02-04T00:00:00",4259
"2013-02-04T00:00:00","2013-02-05T00:00:00",4571
"2013-02-05T00:00:00","2013-02-06T00:00:00",4370
"2013-02-06T00:00:00","2013-02-07T00:00:00",4732
"2013-02-07T00:00:00","2013-02-08T00:00:00",4584
"2013-02-08T00:00:00","2013-02-09T00:00:00",4286
"2013-02-09T00:00:00","2013-02-10T00:00:00",3825
"2013-02-10T00:00:00","2013-02-11T00:00:00",3850
"2013-02-11T00:00:00","2013-02-12T00:00:00",4737
"2013-02-12T00:00:00","2013-02-13T00:00:00",4705
"2013-02-13T00:00:00","2013-02-14T00:00:00",4673
"2013-02-14T00:00:00","2013-02-15T00:00:00",4453
"2013-02-15T00:00:00","2013-02-16T00:00:00",4272
"2013-02-16T00:00:00","2013-02-17T00:00:00",3632
"2013-02-17T00:00:00","2013-02-18T00:00:00",3862
"2013-02-18T00:00:00","2013-02-19T00:00:00",4128
"2013-02-19T00:00:00","2013-02-20T00:00:00",4386
"2013-02-20T00:00:00","2013-02-21T00:00:00",4795
"2013-02-21T00:00:00","2013-02-22T00:00:00",4494
"2013-02-22T00:00:00","2013-02-23T00:00:00",4333
"2013-02-23T00:00:00","2013-02-24T00:00:00",3775
"2013-02-24T00:00:00","2013-02-25T00:00:00",3962
"2013-02-25T00:00:00","2013-02-26T00:00:00",4580
"2013-02-26T00:00:00","2013-02-27T00:00:00",4498
"2013-02-27T00:00:00","2013-02-28T00:00:00",4311
"2013-02-28T00:00:00","2013-03-01T00:00:00",4408
"2013-03-01T00:00:00","2013-03-02T00:00:00",4297
"2013-03-02T00:00:00","2013-03-03T00:00:00",3730
"2013-03-03T00:00:00","2013-03-04T00:00:00",3880
"2013-03-04T00:00:00","2013-03-05T00:00:00",4352
"2013-03-05T00:00:00","2013-03-06T00:00:00",4391
"2013-03-06T00:00:00","2013-03-07T00:00:00",4445
"2013-03-07T00:00:00","2013-03-08T00:00:00",4613
"2013-03-08T00:00:00","2013-03-09T00:00:00",4358
"2013-03-09T00:00:00","2013-03-10T00:00:00",3847
"2013-03-10T00:00:00","2013-03-11T00:00:00",4070
"2013-03-11T00:00:00","2013-03-12T00:00:00",4175
"2013-03-12T00:00:00","2013-03-13T00:00:00",3272
"2013-03-13T00:00:00","2013-03-14T00:00:00",3808
"2013-03-14T00:00:00","2013-03-15T00:00:00",3449
"2013-03-15T00:00:00","2013-03-16T00:00:00",3609
"2013-03-16T00:00:00","2013-03-17T00:00:00",2865
"2013-03-17T00:00:00","2013-03-18T00:00:00",3093
"2013-03-18T00:00:00","2013-03-19T00:00:00",3801
"2013-03-19T00:00:00","2013-03-20T00:00:00",3760
"2013-03-20T00:00:00","2013-03-21T00:00:00",3431
"2013-03-21T00:00:00","2013-03-22T00:00:00",3778
"2013-03-22T00:00:00","2013-03-23T00:00:00",3930
"2013-03-23T00:00:00","2013-03-24T00:00:00",3010
"2013-03-24T00:00:00","2013-03-25T00:00:00",2976
