startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",45452
"2013-01-02T00:00:00","2013-01-03T00:00:00",48888
"2013-01-03T00:00:00","2013-01-04T00:00:00",48397
"2013-01-04T00:00:00","2013-01-05T00:00:00",50910
"2013-01-05T00:00:00","2013-01-06T00:00:00",44120
"2013-01-06T00:00:00","2013-01-07T00:00:00",46492
"2013-01-07T00:00:00","2013-01-08T00:00:00",54705
"2013-01-08T00:00:00","2013-01-09T00:00:00",51749
"2013-01-09T00:00:00","2013-01-10T00:00:00",52557
"2013-01-10T00:00:00","2013-01-11T00:00:00",52668
"2013-01-11T00:00:00","2013-01-12T00:00:00",54997
"2013-01-12T00:00:00","2013-01-13T00:00:00",45862
"2013-01-13T00:00:00","2013-01-14T00:00:00",46959
"2013-01-14T00:00:00","2013-01-15T00:00:00",54534
"2013-01-15T00:00:00","2013-01-16T00:00:00",56073
"2013-01-16T00:00:00","2013-01-17T00:00:00",57116
"2013-01-17T00:00:00","2013-01-18T00:00:00",54923
"2013-01-18T00:00:00","2013-01-19T00:00:00",58551
"2013-01-19T00:00:00","2013-01-20T00:00:00",48014
"2013-01-20T00:00:00","2013-01-21T00:00:00",56240
"2013-01-21T00:00:00","2013-01-22T00:00:00",56908
"2013-01-22T00:00:00","2013-01-23T00:00:00",57316
"2013-01-23T00:00:00","2013-01-24T00:00:00",57112
"2013-01-24T00:00:00","2013-01-25T00:00:00",56937
"2013-01-25T00:00:00","2013-01-26T00:00:00",59417
"2013-01-26T00:00:00","2013-01-27T00:00:00",47480
"2013-01-27T00:00:00","2013-01-28T00:00:00",52985
"2013-01-28T00:00:00","2013-01-29T00:00:00",59157
"2013-01-29T00:00:00","2013-01-30T00:00:00",57102
"2013-01-30T00:00:00","2013-01-31T00:00:00",59241
"2013-01-31T00:00:00","2013-02-01T00:00:00",53130
"2013-02-01T00:00:00","2013-02-02T00:00:00",59104
"2013-02-02T00:00:00","2013-02-03T00:00:00",46669
"2013-02-03T00:00:00","2013-02-04T00:00:00",51909
"2013-02-04T00:00:00","2013-02-05T00:00:00",59069
"2013-02-05T00:00:00","2013-02-06T00:00:00",56379
"2013-02-06T00:00:00","2013-02-07T00:00:00",57598
"2013-02-07T00:00:00","2013-02-08T00:00:00",56103
"2013-02-08T00:00:00","2013-02-09T00:00:00",55999
"2013-02-09T00:00:00","2013-02-10T00:00:00",48124
"2013-02-10T00:00:00","2013-02-11T00:00:00",45994
"2013-02-11T00:00:00","2013-02-12T00:00:00",56445
"2013-02-12T00:00:00","2013-02-13T00:00:00",55377
"2013-02-13T00:00:00","2013-02-14T00:00:00",58207
"2013-02-14T00:00:00","2013-02-15T00:00:00",60531
"2013-02-15T00:00:00","2013-02-16T00:00:00",56598
"2013-02-16T00:00:00","2013-02-17T00:00:00",46191
"2013-02-17T00:00:00","2013-02-18T00:00:00",48343
"2013-02-18T00:00:00","2013-02-19T00:00:00",55453
"2013-02-19T00:00:00","2013-02-20T00:00:00",56873
"2013-02-20T00:00:00","2013-02-21T00:00:00",58065
"2013-02-21T00:00:00","2013-02-22T00:00:00",57098
"2013-02-22T00:00:00","2013-02-23T00:00:00",56917
"2013-02-23T00:00:00","2013-02-24T00:00:00",49187
"2013-02-24T00:00:00","2013-02-25T00:00:00",48542
"2013-02-25T00:00:00","2013-02-26T00:00:00",60155
"2013-02-26T00:00:00","2013-02-27T00:00:00",55083
"2013-02-27T00:00:00","2013-02-28T00:00:00",56442
"2013-02-28T00:00:00","2013-03-01T00:00:00",55573
"2013-03-01T00:00:00","2013-03-02T00:00:00",60192
"2013-03-02T00:00:00","2013-03-03T00:00:00",47077
"2013-03-03T00:00:00","2013-03-04T00:00:00",48791
"2013-03-04T00:00:00","2013-03-05T00:00:00",56603
"2013-03-05T00:00:00","2013-03-06T00:00:00",53963
"2013-03-06T00:00:00","2013-03-07T00:00:00",56557
"2013-03-07T00:00:00","2013-03-08T00:00:00",56896
"2013-03-08T00:00:00","2013-03-09T00:00:00",57383
"2013-03-09T00:00:00","2013-03-10T00:00:00",48572
"2013-03-10T00:00:00","2013-03-11T00:00:00",49961
"2013-03-11T00:00:00","2013-03-12T00:00:00",58322
"2013-03-12T00:00:00","2013-03-13T00:00:00",65767
"2013-03-13T00:00:00","2013-03-14T00:00:00",70653
"2013-03-14T00:00:00","2013-03-15T00:00:00",64968
"2013-03-15T00:00:00","2013-03-16T00:00:00",66069
"2013-03-16T00:00:00","2013-03-17T00:00:00",56158
"2013-03-17T00:00:00","2013-03-18T00:00:00",55619
"2013-03-18T00:00:00","2013-03-19T00:00:00",66653
"2013-03-19T00:00:00","2013-03-20T00:00:00",65903
"2013-03-20T00:00:00","2013-03-21T00:00:00",67005
"2013-03-21T00:00:00","2013-03-22T00:00:00",69200
"2013-03-22T00:00:00","2013-03-23T00:00:00",68376
"2013-03-23T00:00:00","2013-03-24T00:00:00",53765
"2013-03-24T00:00:00","2013-03-25T00:00:00",55223
"2013-03-25T00:00:00","2013-03-26T00:00:00",63874
"2013-03-26T00:00:00","2013-03-27T00:00:00",65536
"2013-03-27T00:00:00","2013-03-28T00:00:00",62884
"2013-03-28T00:00:00","2013-03-29T00:00:00",63702
"2013-03-29T00:00:00","2013-03-30T00:00:00",54154
"2013-03-30T00:00:00","2013-03-31T00:00:00",53471
"2013-03-31T00:00:00","2013-04-01T00:00:00",49028
"2013-04-01T00:00:00","2013-04-02T00:00:00",49662
"2013-04-02T00:00:00","2013-04-03T00:00:00",61943
"2013-04-03T00:00:00","2013-04-04T00:00:00",64393
"2013-04-04T00:00:00","2013-04-05T00:00:00",64965
"2013-04-05T00:00:00","2013-04-06T00:00:00",68193
"2013-04-06T00:00:00","2013-04-07T00:00:00",56278
"2013-04-07T00:00:00","2013-04-08T00:00:00",55967
"2013-04-08T00:00:00","2013-04-09T00:00:00",64716
"2013-04-09T00:00:00","2013-04-10T00:00:00",69466
"2013-04-10T00:00:00","2013-04-11T00:00:00",70483
"2013-04-11T00:00:00","2013-04-12T00:00:00",66684
"2013-04-12T00:00:00","2013-04-13T00:00:00",68377
"2013-04-13T00:00:00","2013-04-14T00:00:00",54295
"2013-04-14T00:00:00","2013-04-15T00:00:00",56404
"2013-04-15T00:00:00","2013-04-16T00:00:00",63206
"2013-04-16T00:00:00","2013-04-17T00:00:00",65599
"2013-04-17T00:00:00","2013-04-18T00:00:00",65694
"2013-04-18T00:00:00","2013-04-19T00:00:00",65081
"2013-04-19T00:00:00","2013-04-20T00:00:00",65012
"2013-04-20T00:00:00","2013-04-21T00:00:00",54749
"2013-04-21T00:00:00","2013-04-22T00:00:00",56699
"2013-04-22T00:00:00","2013-04-23T00:00:00",68518
"2013-04-23T00:00:00","2013-04-24T00:00:00",75469
"2013-04-24T00:00:00","2013-04-25T00:00:00",70614
"2013-04-25T00:00:00","2013-04-26T00:00:00",63868
"2013-04-26T00:00:00","2013-04-27T00:00:00",67190
"2013-04-27T00:00:00","2013-04-28T00:00:00",56041
"2013-04-28T00:00:00","2013-04-29T00:00:00",59787
"2013-04-29T00:00:00","2013-04-30T00:00:00",68115
"2013-04-30T00:00:00","2013-05-01T00:00:00",65949
"2013-05-01T00:00:00","2013-05-02T00:00:00",60217
"2013-05-02T00:00:00","2013-05-03T00:00:00",64880
"2013-05-03T00:00:00","2013-05-04T00:00:00",67504
"2013-05-04T00:00:00","2013-05-05T00:00:00",57049
"2013-05-05T00:00:00","2013-05-06T00:00:00",55818
"2013-05-06T00:00:00","2013-05-07T00:00:00",69417
"2013-05-07T00:00:00","2013-05-08T00:00:00",70740
"2013-05-08T00:00:00","2013-05-09T00:00:00",69745
"2013-05-09T00:00:00","2013-05-10T00:00:00",58041
"2013-05-10T00:00:00","2013-05-11T00:00:00",65560
"2013-05-11T00:00:00","2013-05-12T00:00:00",60214
"2013-05-12T00:00:00","2013-05-13T00:00:00",61800
"2013-05-13T00:00:00","2013-05-14T00:00:00",65751
"2013-05-14T00:00:00","2013-05-15T00:00:00",68798
"2013-05-15T00:00:00","2013-05-16T00:00:00",67765
"2013-05-16T00:00:00","2013-05-17T00:00:00",66516
"2013-05-17T00:00:00","2013-05-18T00:00:00",63751
"2013-05-18T00:00:00","2013-05-19T00:00:00",67945
"2013-05-19T00:00:00","2013-05-20T00:00:00",50931
"2013-05-20T00:00:00","2013-05-21T00:00:00",51733
"2013-05-21T00:00:00","2013-05-22T00:00:00",63436
"2013-05-22T00:00:00","2013-05-23T00:00:00",67242
"2013-05-23T00:00:00","2013-05-24T00:00:00",69666
"2013-05-24T00:00:00","2013-05-25T00:00:00",65344
"2013-05-25T00:00:00","2013-05-26T00:00:00",67454
"2013-05-26T00:00:00","2013-05-27T00:00:00",58270
"2013-05-27T00:00:00","2013-05-28T00:00:00",65050
"2013-05-28T00:00:00","2013-05-29T00:00:00",64091
"2013-05-29T00:00:00","2013-05-30T00:00:00",65586
"2013-05-30T00:00:00","2013-05-31T00:00:00",64493
"2013-05-31T00:00:00","2013-06-01T00:00:00",64330
"2013-06-01T00:00:00","2013-06-02T00:00:00",58083
"2013-06-02T00:00:00","2013-06-03T00:00:00",59525
"2013-06-03T00:00:00","2013-06-04T00:00:00",64069
"2013-06-04T00:00:00","2013-06-05T00:00:00",64283
"2013-06-05T00:00:00","2013-06-06T00:00:00",64231
"2013-06-06T00:00:00","2013-06-07T00:00:00",64507
"2013-06-07T00:00:00","2013-06-08T00:00:00",63884
"2013-06-08T00:00:00","2013-06-09T00:00:00",52440
