startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",5473
"2013-01-02T00:00:00","2013-01-03T00:00:00",7005
"2013-01-03T00:00:00","2013-01-04T00:00:00",7014
"2013-01-04T00:00:00","2013-01-05T00:00:00",7457
"2013-01-05T00:00:00","2013-01-06T00:00:00",6706
"2013-01-06T00:00:00","2013-01-07T00:00:00",7366
"2013-01-07T00:00:00","2013-01-08T00:00:00",8858
"2013-01-08T00:00:00","2013-01-09T00:00:00",7591
"2013-01-09T00:00:00","2013-01-10T00:00:00",8369
"2013-01-10T00:00:00","2013-01-11T00:00:00",7967
"2013-01-11T00:00:00","2013-01-12T00:00:00",7885
"2013-01-12T00:00:00","2013-01-13T00:00:00",7065
"2013-01-13T00:00:00","2013-01-14T00:00:00",7270
"2013-01-14T00:00:00","2013-01-15T00:00:00",7515
"2013-01-15T00:00:00","2013-01-16T00:00:00",7760
"2013-01-16T00:00:00","2013-01-17T00:00:00",8174
"2013-01-17T00:00:00","2013-01-18T00:00:00",7620
"2013-01-18T00:00:00","2013-01-19T00:00:00",8196
"2013-01-19T00:00:00","2013-01-20T00:00:00",6914
"2013-01-20T00:00:00","2013-01-21T00:00:00",8531
"2013-01-21T00:00:00","2013-01-22T00:00:00",7845
"2013-01-22T00:00:00","2013-01-23T00:00:00",7558
"2013-01-23T00:00:00","2013-01-24T00:00:00",8041
"2013-01-24T00:00:00","2013-01-25T00:00:00",8046
"2013-01-25T00:00:00","2013-01-26T00:00:00",8251
"2013-01-26T00:00:00","2013-01-27T00:00:00",6811
"2013-01-27T00:00:00","2013-01-28T00:00:00",8102
"2013-01-28T00:00:00","2013-01-29T00:00:00",8577
"2013-01-29T00:00:00","2013-01-30T00:00:00",7926
"2013-01-30T00:00:00","2013-01-31T00:00:00",7943
"2013-01-31T00:00:00","2013-02-01T00:00:00",7370
"2013-02-01T00:00:00","2013-02-02T00:00:00",7900
"2013-02-02T00:00:00","2013-02-03T00:00:00",6636
"2013-02-03T00:00:00","2013-02-04T00:00:00",7712
"2013-02-04T00:00:00","2013-02-05T00:00:00",8092
"2013-02-05T00:00:00","2013-02-06T00:00:00",8103
"2013-02-06T00:00:00","2013-02-07T00:00:00",8142
"2013-02-07T00:00:00","2013-02-08T00:00:00",7692
"2013-02-08T00:00:00","2013-02-09T00:00:00",7446
"2013-02-09T00:00:00","2013-02-10T00:00:00",7375
"2013-02-10T00:00:00","2013-02-11T00:00:00",7662
"2013-02-11T00:00:00","2013-02-12T00:00:00",10674
"2013-02-12T00:00:00","2013-02-13T00:00:00",8027
"2013-02-13T00:00:00","2013-02-14T00:00:00",8083
"2013-02-14T00:00:00","2013-02-15T00:00:00",8039
"2013-02-15T00:00:00","2013-02-16T00:00:00",7548
"2013-02-16T00:00:00","2013-02-17T00:00:00",6566
"2013-02-17T00:00:00","2013-02-18T00:00:00",6882
"2013-02-18T00:00:00","2013-02-19T00:00:00",7470
"2013-02-19T00:00:00","2013-02-20T00:00:00",7707
