startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",176155
"2013-01-02T00:00:00","2013-01-03T00:00:00",197167
"2013-01-03T00:00:00","2013-01-04T00:00:00",198674
"2013-01-04T00:00:00","2013-01-05T00:00:00",206695
"2013-01-05T00:00:00","2013-01-06T00:00:00",189738
"2013-01-06T00:00:00","2013-01-07T00:00:00",195503
"2013-01-07T00:00:00","2013-01-08T00:00:00",218734
"2013-01-08T00:00:00","2013-01-09T00:00:00",209269
"2013-01-09T00:00:00","2013-01-10T00:00:00",213200
"2013-01-10T00:00:00","2013-01-11T00:00:00",211127
"2013-01-11T00:00:00","2013-01-12T00:00:00",220643
"2013-01-12T00:00:00","2013-01-13T00:00:00",193703
"2013-01-13T00:00:00","2013-01-14T00:00:00",196537
"2013-01-14T00:00:00","2013-01-15T00:00:00",215108
"2013-01-15T00:00:00","2013-01-16T00:00:00",224987
"2013-01-16T00:00:00","2013-01-17T00:00:00",226877
"2013-01-17T00:00:00","2013-01-18T00:00:00",216037
"2013-01-18T00:00:00","2013-01-19T00:00:00",227789
"2013-01-19T00:00:00","2013-01-20T00:00:00",195498
"2013-01-20T00:00:00","2013-01-21T00:00:00",227165
"2013-01-21T00:00:00","2013-01-22T00:00:00",224314
"2013-01-22T00:00:00","2013-01-23T00:00:00",222509
"2013-01-23T00:00:00","2013-01-24T00:00:00",226759
"2013-01-24T00:00:00","2013-01-25T00:00:00",225808
"2013-01-25T00:00:00","2013-01-26T00:00:00",228562
"2013-01-26T00:00:00","2013-01-27T00:00:00",192339
"2013-01-27T00:00:00","2013-01-28T00:00:00",215052
"2013-01-28T00:00:00","2013-01-29T00:00:00",232138
"2013-01-29T00:00:00","2013-01-30T00:00:00",225939
"2013-01-30T00:00:00","2013-01-31T00:00:00",232596
"2013-01-31T00:00:00","2013-02-01T00:00:00",209039
"2013-02-01T00:00:00","2013-02-02T00:00:00",229440
"2013-02-02T00:00:00","2013-02-03T00:00:00",191651
"2013-02-03T00:00:00","2013-02-04T00:00:00",215307
"2013-02-04T00:00:00","2013-02-05T00:00:00",226260
"2013-02-05T00:00:00","2013-02-06T00:00:00",219216
"2013-02-06T00:00:00","2013-02-07T00:00:00",224775
"2013-02-07T00:00:00","2013-02-08T00:00:00",219537
"2013-02-08T00:00:00","2013-02-09T00:00:00",219843
"2013-02-09T00:00:00","2013-02-10T00:00:00",194050
"2013-02-10T00:00:00","2013-02-11T00:00:00",194314
"2013-02-11T00:00:00","2013-02-12T00:00:00",227854
"2013-02-12T00:00:00","2013-02-13T00:00:00",224377
"2013-02-13T00:00:00","2013-02-14T00:00:00",228141
"2013-02-14T00:00:00","2013-02-15T00:00:00",234124
"2013-02-15T00:00:00","2013-02-16T00:00:00",223899
"2013-02-16T00:00:00","2013-02-17T00:00:00",189826
"2013-02-17T00:00:00","2013-02-18T00:00:00",198141
"2013-02-18T00:00:00","2013-02-19T00:00:00",216735
"2013-02-19T00:00:00","2013-02-20T00:00:00",220676
"2013-02-20T00:00:00","2013-02-21T00:00:00",228301
"2013-02-21T00:00:00","2013-02-22T00:00:00",224282
"2013-02-22T00:00:00","2013-02-23T00:00:00",220269
"2013-02-23T00:00:00","2013-02-24T00:00:00",197121
