"date","unique_authors"
2019-01-01,"37058"
2019-01-02,"39462"
2019-01-03,"38848"
2019-01-04,"34095"
2019-01-05,"35016"
2019-01-06,"43580"
2019-01-07,"43436"
2019-01-08,"44861"
2019-01-09,"44465"
2019-01-10,"44622"
2019-01-11,"35867"
2019-01-12,"34495"
2019-01-13,"43937"
2019-01-14,"46031"
2019-01-15,"45485"
2019-01-16,"45055"
2019-01-17,"46000"
2019-01-18,"36489"
2019-01-19,"36423"
2019-01-20,"45053"
2019-01-21,"46507"
2019-01-22,"45785"
2019-01-23,"45741"
2019-01-24,"46483"
2019-01-25,"36023"
2019-01-26,"36935"
2019-01-27,"44801"
2019-01-28,"45621"
2019-01-29,"46155"
2019-01-30,"46095"
2019-01-31,"45125"
2019-02-01,"35069"
2019-02-02,"34928"
2019-02-03,"42931"
2019-02-04,"45060"
2019-02-05,"43175"
2019-02-06,"45446"
2019-02-07,"44292"
2019-02-08,"35245"
2019-02-09,"34740"
2019-02-10,"44070"
2019-02-11,"44204"
2019-02-12,"47126"
2019-02-13,"47118"
2019-02-14,"45343"
2019-02-15,"36088"
2019-02-16,"35735"
2019-02-17,"42235"
2019-02-18,"45072"
2019-02-19,"45854"
2019-02-20,"45336"
2019-02-21,"46310"
2019-02-22,"35744"
2019-02-23,"35884"
2019-02-24,"44477"
2019-02-25,"45099"
2019-02-26,"46722"
2019-02-27,"45874"
2019-02-28,"44509"
2019-03-01,"35489"
2019-03-02,"35314"
2019-03-03,"43063"
2019-03-04,"45042"
2019-03-05,"46045"
2019-03-06,"47537"
2019-03-07,"46516"
2019-03-08,"36306"
2019-03-09,"36775"
2019-03-10,"44143"
2019-03-11,"46657"
2019-03-12,"48185"
2019-03-13,"48415"
2019-03-14,"48863"
2019-03-15,"37580"
2019-03-16,"35448"
2019-03-17,"44242"
2019-03-18,"44512"
2019-03-19,"47845"
2019-03-20,"48609"
2019-03-21,"46107"
2019-03-22,"37856"
2019-03-23,"36478"
2019-03-24,"43389"
2019-03-25,"47831"
2019-03-26,"46320"
2019-03-27,"47920"
2019-03-28,"48039"
2019-03-29,"36637"
2019-03-30,"35511"
2019-03-31,"47137"
2019-04-01,"47106"
2019-04-02,"47732"
2019-04-03,"45494"
2019-04-04,"46514"
2019-04-05,"38437"
2019-04-06,"35912"
2019-04-07,"44416"
2019-04-08,"47250"
2019-04-09,"47241"
2019-04-10,"45590"
2019-04-11,"44805"
2019-04-12,"36175"
2019-04-13,"34364"
