startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",40296
"2013-01-02T00:00:00","2013-01-03T00:00:00",41773
"2013-01-03T00:00:00","2013-01-04T00:00:00",47149
"2013-01-04T00:00:00","2013-01-05T00:00:00",43456
"2013-01-05T00:00:00","2013-01-06T00:00:00",45144
"2013-01-06T00:00:00","2013-01-07T00:00:00",52787
"2013-01-07T00:00:00","2013-01-08T00:00:00",52281
"2013-01-08T00:00:00","2013-01-09T00:00:00",43370
"2013-01-09T00:00:00","2013-01-10T00:00:00",40909
"2013-01-10T00:00:00","2013-01-11T00:00:00",39295
"2013-01-11T00:00:00","2013-01-12T00:00:00",36001
"2013-01-12T00:00:00","2013-01-13T00:00:00",37319
"2013-01-13T00:00:00","2013-01-14T00:00:00",49527
"2013-01-14T00:00:00","2013-01-15T00:00:00",43282
"2013-01-15T00:00:00","2013-01-16T00:00:00",41808
"2013-01-16T00:00:00","2013-01-17T00:00:00",41673
"2013-01-17T00:00:00","2013-01-18T00:00:00",38702
"2013-01-18T00:00:00","2013-01-19T00:00:00",40140
"2013-01-19T00:00:00","2013-01-20T00:00:00",38671
"2013-01-20T00:00:00","2013-01-21T00:00:00",51926
"2013-01-21T00:00:00","2013-01-22T00:00:00",45178
"2013-01-22T00:00:00","2013-01-23T00:00:00",42376
"2013-01-23T00:00:00","2013-01-24T00:00:00",44197
"2013-01-24T00:00:00","2013-01-25T00:00:00",40535
"2013-01-25T00:00:00","2013-01-26T00:00:00",38116
"2013-01-26T00:00:00","2013-01-27T00:00:00",38803
"2013-01-27T00:00:00","2013-01-28T00:00:00",50843
"2013-01-28T00:00:00","2013-01-29T00:00:00",46624
"2013-01-29T00:00:00","2013-01-30T00:00:00",42514
"2013-01-30T00:00:00","2013-01-31T00:00:00",43072
"2013-01-31T00:00:00","2013-02-01T00:00:00",38693
"2013-02-01T00:00:00","2013-02-02T00:00:00",33410
"2013-02-02T00:00:00","2013-02-03T00:00:00",37942
"2013-02-03T00:00:00","2013-02-04T00:00:00",49780
"2013-02-04T00:00:00","2013-02-05T00:00:00",46537
"2013-02-05T00:00:00","2013-02-06T00:00:00",42239
"2013-02-06T00:00:00","2013-02-07T00:00:00",39938
"2013-02-07T00:00:00","2013-02-08T00:00:00",39552
"2013-02-08T00:00:00","2013-02-09T00:00:00",32319
"2013-02-09T00:00:00","2013-02-10T00:00:00",36529
"2013-02-10T00:00:00","2013-02-11T00:00:00",45906
"2013-02-11T00:00:00","2013-02-12T00:00:00",44783
"2013-02-12T00:00:00","2013-02-13T00:00:00",46129
"2013-02-13T00:00:00","2013-02-14T00:00:00",44085
"2013-02-14T00:00:00","2013-02-15T00:00:00",40078
"2013-02-15T00:00:00","2013-02-16T00:00:00",37041
"2013-02-16T00:00:00","2013-02-17T00:00:00",38862
"2013-02-17T00:00:00","2013-02-18T00:00:00",45474
"2013-02-18T00:00:00","2013-02-19T00:00:00",43372
"2013-02-19T00:00:00","2013-02-20T00:00:00",42535
"2013-02-20T00:00:00","2013-02-21T00:00:00",45020
"2013-02-21T00:00:00","2013-02-22T00:00:00",41264
"2013-02-22T00:00:00","2013-02-23T00:00:00",35552
"2013-02-23T00:00:00","2013-02-24T00:00:00",38150
"2013-02-24T00:00:00","2013-02-25T00:00:00",45551
"2013-02-25T00:00:00","2013-02-26T00:00:00",42945
"2013-02-26T00:00:00","2013-02-27T00:00:00",37468
"2013-02-27T00:00:00","2013-02-28T00:00:00",36955
"2013-02-28T00:00:00","2013-03-01T00:00:00",36003
"2013-03-01T00:00:00","2013-03-02T00:00:00",33014
"2013-03-02T00:00:00","2013-03-03T00:00:00",37797
"2013-03-03T00:00:00","2013-03-04T00:00:00",45766
"2013-03-04T00:00:00","2013-03-05T00:00:00",42506
"2013-03-05T00:00:00","2013-03-06T00:00:00",49556
"2013-03-06T00:00:00","2013-03-07T00:00:00",41448
"2013-03-07T00:00:00","2013-03-08T00:00:00",40904
"2013-03-08T00:00:00","2013-03-09T00:00:00",36622
"2013-03-09T00:00:00","2013-03-10T00:00:00",40473
"2013-03-10T00:00:00","2013-03-11T00:00:00",48810
"2013-03-11T00:00:00","2013-03-12T00:00:00",45679
"2013-03-12T00:00:00","2013-03-13T00:00:00",41164
"2013-03-13T00:00:00","2013-03-14T00:00:00",41501
"2013-03-14T00:00:00","2013-03-15T00:00:00",38118
"2013-03-15T00:00:00","2013-03-16T00:00:00",33035
"2013-03-16T00:00:00","2013-03-17T00:00:00",38971
"2013-03-17T00:00:00","2013-03-18T00:00:00",37922
"2013-03-18T00:00:00","2013-03-19T00:00:00",44809
"2013-03-19T00:00:00","2013-03-20T00:00:00",42502
"2013-03-20T00:00:00","2013-03-21T00:00:00",40918
"2013-03-21T00:00:00","2013-03-22T00:00:00",40312
"2013-03-22T00:00:00","2013-03-23T00:00:00",41609
"2013-03-23T00:00:00","2013-03-24T00:00:00",39076
"2013-03-24T00:00:00","2013-03-25T00:00:00",44752
"2013-03-25T00:00:00","2013-03-26T00:00:00",46643
"2013-03-26T00:00:00","2013-03-27T00:00:00",50367
"2013-03-27T00:00:00","2013-03-28T00:00:00",49559
"2013-03-28T00:00:00","2013-03-29T00:00:00",43604
"2013-03-29T00:00:00","2013-03-30T00:00:00",43380
"2013-03-30T00:00:00","2013-03-31T00:00:00",43116
"2013-03-31T00:00:00","2013-04-01T00:00:00",42494
"2013-04-01T00:00:00","2013-04-02T00:00:00",47678
"2013-04-02T00:00:00","2013-04-03T00:00:00",46377
"2013-04-03T00:00:00","2013-04-04T00:00:00",47757
"2013-04-04T00:00:00","2013-04-05T00:00:00",46849
