startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",9623
"2013-01-02T00:00:00","2013-01-03T00:00:00",11043
"2013-01-03T00:00:00","2013-01-04T00:00:00",12746
"2013-01-04T00:00:00","2013-01-05T00:00:00",12446
"2013-01-05T00:00:00","2013-01-06T00:00:00",12243
"2013-01-06T00:00:00","2013-01-07T00:00:00",14313
"2013-01-07T00:00:00","2013-01-08T00:00:00",14350
"2013-01-08T00:00:00","2013-01-09T00:00:00",12572
"2013-01-09T00:00:00","2013-01-10T00:00:00",11317
"2013-01-10T00:00:00","2013-01-11T00:00:00",12421
"2013-01-11T00:00:00","2013-01-12T00:00:00",10778
"2013-01-12T00:00:00","2013-01-13T00:00:00",10820
"2013-01-13T00:00:00","2013-01-14T00:00:00",13020
"2013-01-14T00:00:00","2013-01-15T00:00:00",12283
"2013-01-15T00:00:00","2013-01-16T00:00:00",12745
"2013-01-16T00:00:00","2013-01-17T00:00:00",12319
"2013-01-17T00:00:00","2013-01-18T00:00:00",11470
"2013-01-18T00:00:00","2013-01-19T00:00:00",11129
"2013-01-19T00:00:00","2013-01-20T00:00:00",10898
"2013-01-20T00:00:00","2013-01-21T00:00:00",12824
"2013-01-21T00:00:00","2013-01-22T00:00:00",12074
"2013-01-22T00:00:00","2013-01-23T00:00:00",11721
"2013-01-23T00:00:00","2013-01-24T00:00:00",12065
"2013-01-24T00:00:00","2013-01-25T00:00:00",11430
"2013-01-25T00:00:00","2013-01-26T00:00:00",10745
"2013-01-26T00:00:00","2013-01-27T00:00:00",10597
"2013-01-27T00:00:00","2013-01-28T00:00:00",13553
"2013-01-28T00:00:00","2013-01-29T00:00:00",13075
"2013-01-29T00:00:00","2013-01-30T00:00:00",11958
"2013-01-30T00:00:00","2013-01-31T00:00:00",11589
"2013-01-31T00:00:00","2013-02-01T00:00:00",11990
"2013-02-01T00:00:00","2013-02-02T00:00:00",9483
"2013-02-02T00:00:00","2013-02-03T00:00:00",9943
"2013-02-03T00:00:00","2013-02-04T00:00:00",12570
