startDate,endDate,numberOfDocuments
"2019-01-01T00:00:00","2019-01-02T00:00:00",68963
"2019-01-02T00:00:00","2019-01-03T00:00:00",63522
"2019-01-03T00:00:00","2019-01-04T00:00:00",70713
"2019-01-04T00:00:00","2019-01-05T00:00:00",68396
"2019-01-05T00:00:00","2019-01-06T00:00:00",64274
"2019-01-06T00:00:00","2019-01-07T00:00:00",64178
"2019-01-07T00:00:00","2019-01-08T00:00:00",71072
"2019-01-08T00:00:00","2019-01-09T00:00:00",70076
"2019-01-09T00:00:00","2019-01-10T00:00:00",70580
"2019-01-10T00:00:00","2019-01-11T00:00:00",70776
"2019-01-11T00:00:00","2019-01-12T00:00:00",73965
"2019-01-12T00:00:00","2019-01-13T00:00:00",67467
"2019-01-13T00:00:00","2019-01-14T00:00:00",67457
"2019-01-14T00:00:00","2019-01-15T00:00:00",69428
"2019-01-15T00:00:00","2019-01-16T00:00:00",76468
"2019-01-16T00:00:00","2019-01-17T00:00:00",74365
"2019-01-17T00:00:00","2019-01-18T00:00:00",73613
"2019-01-18T00:00:00","2019-01-19T00:00:00",71157
"2019-01-19T00:00:00","2019-01-20T00:00:00",69218
"2019-01-20T00:00:00","2019-01-21T00:00:00",67695
"2019-01-21T00:00:00","2019-01-22T00:00:00",75063
"2019-01-22T00:00:00","2019-01-23T00:00:00",75857
"2019-01-23T00:00:00","2019-01-24T00:00:00",74436
"2019-01-24T00:00:00","2019-01-25T00:00:00",76346
"2019-01-25T00:00:00","2019-01-26T00:00:00",76053
"2019-01-26T00:00:00","2019-01-27T00:00:00",66935
"2019-01-27T00:00:00","2019-01-28T00:00:00",67632
"2019-01-28T00:00:00","2019-01-29T00:00:00",72497
"2019-01-29T00:00:00","2019-01-30T00:00:00",76170
"2019-01-30T00:00:00","2019-01-31T00:00:00",83099
"2019-01-31T00:00:00","2019-02-01T00:00:00",76186
"2019-02-01T00:00:00","2019-02-02T00:00:00",78306
"2019-02-02T00:00:00","2019-02-03T00:00:00",69477
"2019-02-03T00:00:00","2019-02-04T00:00:00",67691
"2019-02-04T00:00:00","2019-02-05T00:00:00",75426
"2019-02-05T00:00:00","2019-02-06T00:00:00",73116
"2019-02-06T00:00:00","2019-02-07T00:00:00",74866
