startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",18900
"2013-01-02T00:00:00","2013-01-03T00:00:00",19438
"2013-01-03T00:00:00","2013-01-04T00:00:00",21631
"2013-01-04T00:00:00","2013-01-05T00:00:00",20856
"2013-01-05T00:00:00","2013-01-06T00:00:00",20911
"2013-01-06T00:00:00","2013-01-07T00:00:00",23677
"2013-01-07T00:00:00","2013-01-08T00:00:00",23241
"2013-01-08T00:00:00","2013-01-09T00:00:00",20452
"2013-01-09T00:00:00","2013-01-10T00:00:00",19869
"2013-01-10T00:00:00","2013-01-11T00:00:00",19874
"2013-01-11T00:00:00","2013-01-12T00:00:00",17282
"2013-01-12T00:00:00","2013-01-13T00:00:00",19369
"2013-01-13T00:00:00","2013-01-14T00:00:00",22631
"2013-01-14T00:00:00","2013-01-15T00:00:00",19943
"2013-01-15T00:00:00","2013-01-16T00:00:00",20481
"2013-01-16T00:00:00","2013-01-17T00:00:00",20451
"2013-01-17T00:00:00","2013-01-18T00:00:00",19005
"2013-01-18T00:00:00","2013-01-19T00:00:00",19194
"2013-01-19T00:00:00","2013-01-20T00:00:00",18709
"2013-01-20T00:00:00","2013-01-21T00:00:00",22618
"2013-01-21T00:00:00","2013-01-22T00:00:00",20352
"2013-01-22T00:00:00","2013-01-23T00:00:00",19025
"2013-01-23T00:00:00","2013-01-24T00:00:00",20096
"2013-01-24T00:00:00","2013-01-25T00:00:00",19006
"2013-01-25T00:00:00","2013-01-26T00:00:00",18417
"2013-01-26T00:00:00","2013-01-27T00:00:00",18279
"2013-01-27T00:00:00","2013-01-28T00:00:00",23327
"2013-01-28T00:00:00","2013-01-29T00:00:00",20473
"2013-01-29T00:00:00","2013-01-30T00:00:00",19704
"2013-01-30T00:00:00","2013-01-31T00:00:00",19777
"2013-01-31T00:00:00","2013-02-01T00:00:00",18716
"2013-02-01T00:00:00","2013-02-02T00:00:00",17212
"2013-02-02T00:00:00","2013-02-03T00:00:00",18046
"2013-02-03T00:00:00","2013-02-04T00:00:00",22188
"2013-02-04T00:00:00","2013-02-05T00:00:00",20859
"2013-02-05T00:00:00","2013-02-06T00:00:00",19727
"2013-02-06T00:00:00","2013-02-07T00:00:00",19468
"2013-02-07T00:00:00","2013-02-08T00:00:00",19354
"2013-02-08T00:00:00","2013-02-09T00:00:00",15749
"2013-02-09T00:00:00","2013-02-10T00:00:00",17707
"2013-02-10T00:00:00","2013-02-11T00:00:00",22036
"2013-02-11T00:00:00","2013-02-12T00:00:00",25970
"2013-02-12T00:00:00","2013-02-13T00:00:00",22113
"2013-02-13T00:00:00","2013-02-14T00:00:00",20748
"2013-02-14T00:00:00","2013-02-15T00:00:00",21583
"2013-02-15T00:00:00","2013-02-16T00:00:00",17980
"2013-02-16T00:00:00","2013-02-17T00:00:00",19159
"2013-02-17T00:00:00","2013-02-18T00:00:00",21430
"2013-02-18T00:00:00","2013-02-19T00:00:00",21200
"2013-02-19T00:00:00","2013-02-20T00:00:00",20836
"2013-02-20T00:00:00","2013-02-21T00:00:00",21100
"2013-02-21T00:00:00","2013-02-22T00:00:00",19218
"2013-02-22T00:00:00","2013-02-23T00:00:00",16902
"2013-02-23T00:00:00","2013-02-24T00:00:00",19059
"2013-02-24T00:00:00","2013-02-25T00:00:00",22903
"2013-02-25T00:00:00","2013-02-26T00:00:00",19512
"2013-02-26T00:00:00","2013-02-27T00:00:00",17446
"2013-02-27T00:00:00","2013-02-28T00:00:00",18348
"2013-02-28T00:00:00","2013-03-01T00:00:00",18279
"2013-03-01T00:00:00","2013-03-02T00:00:00",16887
"2013-03-02T00:00:00","2013-03-03T00:00:00",18845
"2013-03-03T00:00:00","2013-03-04T00:00:00",22529
"2013-03-04T00:00:00","2013-03-05T00:00:00",21212
"2013-03-05T00:00:00","2013-03-06T00:00:00",22509
"2013-03-06T00:00:00","2013-03-07T00:00:00",20402
