startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",451153
"2013-01-02T00:00:00","2013-01-03T00:00:00",433578
"2013-01-03T00:00:00","2013-01-04T00:00:00",467442
"2013-01-04T00:00:00","2013-01-05T00:00:00",454137
"2013-01-05T00:00:00","2013-01-06T00:00:00",452015
"2013-01-06T00:00:00","2013-01-07T00:00:00",501703
"2013-01-07T00:00:00","2013-01-08T00:00:00",487397
"2013-01-08T00:00:00","2013-01-09T00:00:00",429836
"2013-01-09T00:00:00","2013-01-10T00:00:00",422213
"2013-01-10T00:00:00","2013-01-11T00:00:00",414570
"2013-01-11T00:00:00","2013-01-12T00:00:00",391418
"2013-01-12T00:00:00","2013-01-13T00:00:00",413215
"2013-01-13T00:00:00","2013-01-14T00:00:00",490783
"2013-01-14T00:00:00","2013-01-15T00:00:00",437744
"2013-01-15T00:00:00","2013-01-16T00:00:00",432073
"2013-01-16T00:00:00","2013-01-17T00:00:00",435777
"2013-01-17T00:00:00","2013-01-18T00:00:00",407167
"2013-01-18T00:00:00","2013-01-19T00:00:00",421320
"2013-01-19T00:00:00","2013-01-20T00:00:00",416682
"2013-01-20T00:00:00","2013-01-21T00:00:00",521448
"2013-01-21T00:00:00","2013-01-22T00:00:00",451424
"2013-01-22T00:00:00","2013-01-23T00:00:00",422740
"2013-01-23T00:00:00","2013-01-24T00:00:00",435491
"2013-01-24T00:00:00","2013-01-25T00:00:00",413683
"2013-01-25T00:00:00","2013-01-26T00:00:00",407526
"2013-01-26T00:00:00","2013-01-27T00:00:00",401879
"2013-01-27T00:00:00","2013-01-28T00:00:00",499414
"2013-01-28T00:00:00","2013-01-29T00:00:00",456589
"2013-01-29T00:00:00","2013-01-30T00:00:00",424299
"2013-01-30T00:00:00","2013-01-31T00:00:00",434921
"2013-01-31T00:00:00","2013-02-01T00:00:00",402721
"2013-02-01T00:00:00","2013-02-02T00:00:00",387030
"2013-02-02T00:00:00","2013-02-03T00:00:00",426871
"2013-02-03T00:00:00","2013-02-04T00:00:00",514976
"2013-02-04T00:00:00","2013-02-05T00:00:00",466569
"2013-02-05T00:00:00","2013-02-06T00:00:00",429924
"2013-02-06T00:00:00","2013-02-07T00:00:00",417045
"2013-02-07T00:00:00","2013-02-08T00:00:00",422116
"2013-02-08T00:00:00","2013-02-09T00:00:00",371344
"2013-02-09T00:00:00","2013-02-10T00:00:00",404528
"2013-02-10T00:00:00","2013-02-11T00:00:00",494549
"2013-02-11T00:00:00","2013-02-12T00:00:00",479628
"2013-02-12T00:00:00","2013-02-13T00:00:00",483591
"2013-02-13T00:00:00","2013-02-14T00:00:00",472695
"2013-02-14T00:00:00","2013-02-15T00:00:00",451910
"2013-02-15T00:00:00","2013-02-16T00:00:00",420626
"2013-02-16T00:00:00","2013-02-17T00:00:00",421452
"2013-02-17T00:00:00","2013-02-18T00:00:00",469147
"2013-02-18T00:00:00","2013-02-19T00:00:00",451928
"2013-02-19T00:00:00","2013-02-20T00:00:00",444392
"2013-02-20T00:00:00","2013-02-21T00:00:00",468266
"2013-02-21T00:00:00","2013-02-22T00:00:00",427949
"2013-02-22T00:00:00","2013-02-23T00:00:00",393789
"2013-02-23T00:00:00","2013-02-24T00:00:00",414877
"2013-02-24T00:00:00","2013-02-25T00:00:00",474155
"2013-02-25T00:00:00","2013-02-26T00:00:00",437732
"2013-02-26T00:00:00","2013-02-27T00:00:00",394756
"2013-02-27T00:00:00","2013-02-28T00:00:00",400687
"2013-02-28T00:00:00","2013-03-01T00:00:00",389366
"2013-03-01T00:00:00","2013-03-02T00:00:00",391145
"2013-03-02T00:00:00","2013-03-03T00:00:00",402762
"2013-03-03T00:00:00","2013-03-04T00:00:00",489735
"2013-03-04T00:00:00","2013-03-05T00:00:00",449389
"2013-03-05T00:00:00","2013-03-06T00:00:00",468355
"2013-03-06T00:00:00","2013-03-07T00:00:00",446585
"2013-03-07T00:00:00","2013-03-08T00:00:00",442460
"2013-03-08T00:00:00","2013-03-09T00:00:00",407178
"2013-03-09T00:00:00","2013-03-10T00:00:00",442442
"2013-03-10T00:00:00","2013-03-11T00:00:00",516615
"2013-03-11T00:00:00","2013-03-12T00:00:00",467369
"2013-03-12T00:00:00","2013-03-13T00:00:00",410728
"2013-03-13T00:00:00","2013-03-14T00:00:00",441109
"2013-03-14T00:00:00","2013-03-15T00:00:00",402793
"2013-03-15T00:00:00","2013-03-16T00:00:00",382339
"2013-03-16T00:00:00","2013-03-17T00:00:00",411187
"2013-03-17T00:00:00","2013-03-18T00:00:00",427091
"2013-03-18T00:00:00","2013-03-19T00:00:00",462412
"2013-03-19T00:00:00","2013-03-20T00:00:00",405782
"2013-03-20T00:00:00","2013-03-21T00:00:00",404149
"2013-03-21T00:00:00","2013-03-22T00:00:00",412981
"2013-03-22T00:00:00","2013-03-23T00:00:00",450247
"2013-03-23T00:00:00","2013-03-24T00:00:00",417262
"2013-03-24T00:00:00","2013-03-25T00:00:00",469368
"2013-03-25T00:00:00","2013-03-26T00:00:00",481685
"2013-03-26T00:00:00","2013-03-27T00:00:00",510500
"2013-03-27T00:00:00","2013-03-28T00:00:00",481771
"2013-03-28T00:00:00","2013-03-29T00:00:00",458611
"2013-03-29T00:00:00","2013-03-30T00:00:00",456045
"2013-03-30T00:00:00","2013-03-31T00:00:00",442497
"2013-03-31T00:00:00","2013-04-01T00:00:00",438042
"2013-04-01T00:00:00","2013-04-02T00:00:00",475899
"2013-04-02T00:00:00","2013-04-03T00:00:00",473740
"2013-04-03T00:00:00","2013-04-04T00:00:00",464505
"2013-04-04T00:00:00","2013-04-05T00:00:00",465881
"2013-04-05T00:00:00","2013-04-06T00:00:00",451328
"2013-04-06T00:00:00","2013-04-07T00:00:00",430870
"2013-04-07T00:00:00","2013-04-08T00:00:00",490388
"2013-04-08T00:00:00","2013-04-09T00:00:00",494533
"2013-04-09T00:00:00","2013-04-10T00:00:00",427832
"2013-04-10T00:00:00","2013-04-11T00:00:00",425654
"2013-04-11T00:00:00","2013-04-12T00:00:00",411956
"2013-04-12T00:00:00","2013-04-13T00:00:00",381060
"2013-04-13T00:00:00","2013-04-14T00:00:00",433419
"2013-04-14T00:00:00","2013-04-15T00:00:00",470407
"2013-04-15T00:00:00","2013-04-16T00:00:00",452583
"2013-04-16T00:00:00","2013-04-17T00:00:00",397885
"2013-04-17T00:00:00","2013-04-18T00:00:00",407773
"2013-04-18T00:00:00","2013-04-19T00:00:00",396125
"2013-04-19T00:00:00","2013-04-20T00:00:00",367621
"2013-04-20T00:00:00","2013-04-21T00:00:00",394313
"2013-04-21T00:00:00","2013-04-22T00:00:00",476518
"2013-04-22T00:00:00","2013-04-23T00:00:00",449963
"2013-04-23T00:00:00","2013-04-24T00:00:00",424455
"2013-04-24T00:00:00","2013-04-25T00:00:00",446192
"2013-04-25T00:00:00","2013-04-26T00:00:00",393005
"2013-04-26T00:00:00","2013-04-27T00:00:00",370652
"2013-04-27T00:00:00","2013-04-28T00:00:00",380801
"2013-04-28T00:00:00","2013-04-29T00:00:00",448268
"2013-04-29T00:00:00","2013-04-30T00:00:00",419397
"2013-04-30T00:00:00","2013-05-01T00:00:00",405534
"2013-05-01T00:00:00","2013-05-02T00:00:00",398620
"2013-05-02T00:00:00","2013-05-03T00:00:00",397520
"2013-05-03T00:00:00","2013-05-04T00:00:00",370066
"2013-05-04T00:00:00","2013-05-05T00:00:00",372324
"2013-05-05T00:00:00","2013-05-06T00:00:00",384348
"2013-05-06T00:00:00","2013-05-07T00:00:00",427577
"2013-05-07T00:00:00","2013-05-08T00:00:00",413656
"2013-05-08T00:00:00","2013-05-09T00:00:00",450280
"2013-05-09T00:00:00","2013-05-10T00:00:00",428201
"2013-05-10T00:00:00","2013-05-11T00:00:00",375392
"2013-05-11T00:00:00","2013-05-12T00:00:00",404763
"2013-05-12T00:00:00","2013-05-13T00:00:00",473991
"2013-05-13T00:00:00","2013-05-14T00:00:00",460004
"2013-05-14T00:00:00","2013-05-15T00:00:00",463033
"2013-05-15T00:00:00","2013-05-16T00:00:00",418560
"2013-05-16T00:00:00","2013-05-17T00:00:00",438231
"2013-05-17T00:00:00","2013-05-18T00:00:00",367921
"2013-05-18T00:00:00","2013-05-19T00:00:00",486203
"2013-05-19T00:00:00","2013-05-20T00:00:00",462659
"2013-05-20T00:00:00","2013-05-21T00:00:00",415898
"2013-05-21T00:00:00","2013-05-22T00:00:00",391069
"2013-05-22T00:00:00","2013-05-23T00:00:00",374040
"2013-05-23T00:00:00","2013-05-24T00:00:00",375342
"2013-05-24T00:00:00","2013-05-25T00:00:00",352889
"2013-05-25T00:00:00","2013-05-26T00:00:00",438126
"2013-05-26T00:00:00","2013-05-27T00:00:00",410665
"2013-05-27T00:00:00","2013-05-28T00:00:00",434843
"2013-05-28T00:00:00","2013-05-29T00:00:00",445843
"2013-05-29T00:00:00","2013-05-30T00:00:00",457709
"2013-05-30T00:00:00","2013-05-31T00:00:00",394300
