"date","unique_authors"
2019-01-01,"28598"
2019-01-02,"32098"
2019-01-03,"29916"
2019-01-04,"28609"
2019-01-05,"28279"
2019-01-06,"31779"
2019-01-07,"31820"
2019-01-08,"32684"
2019-01-09,"32664"
2019-01-10,"33937"
2019-01-11,"30151"
2019-01-12,"29695"
2019-01-13,"32554"
2019-01-14,"34337"
2019-01-15,"33852"
2019-01-16,"34104"
2019-01-17,"33816"
2019-01-18,"31109"
2019-01-19,"29635"
2019-01-20,"33351"
2019-01-21,"33746"
2019-01-22,"33892"
2019-01-23,"34547"
2019-01-24,"35424"
2019-01-25,"30892"
2019-01-26,"29711"
2019-01-27,"32386"
2019-01-28,"34159"
2019-01-29,"36811"
2019-01-30,"35194"
2019-01-31,"35634"
2019-02-01,"31713"
2019-02-02,"29199"
2019-02-03,"33442"
2019-02-04,"33707"
2019-02-05,"34009"
2019-02-06,"34478"
2019-02-07,"35542"
2019-02-08,"31426"
2019-02-09,"29518"
2019-02-10,"32177"
2019-02-11,"35024"
2019-02-12,"35464"
2019-02-13,"37035"
2019-02-14,"34537"
2019-02-15,"29226"
2019-02-16,"28328"
2019-02-17,"33020"
2019-02-18,"33539"
2019-02-19,"33695"
2019-02-20,"35150"
2019-02-21,"34455"
2019-02-22,"31579"
2019-02-23,"30812"
2019-02-24,"32994"
2019-02-25,"34831"
2019-02-26,"35817"
2019-02-27,"34876"
2019-02-28,"36727"
2019-03-01,"31591"
2019-03-02,"32766"
2019-03-03,"35210"
2019-03-04,"36517"
2019-03-05,"37832"
2019-03-06,"37605"
2019-03-07,"39848"
2019-03-08,"30877"
2019-03-09,"30997"
2019-03-10,"33690"
2019-03-11,"36825"
2019-03-12,"36507"
2019-03-13,"37158"
2019-03-14,"37763"
2019-03-15,"34037"
2019-03-16,"32990"
2019-03-17,"29174"
2019-03-18,"32506"
2019-03-19,"34399"
2019-03-20,"35773"
2019-03-21,"36887"
2019-03-22,"31522"
2019-03-23,"30480"
2019-03-24,"33424"
2019-03-25,"35742"
2019-03-26,"34098"
2019-03-27,"35568"
2019-03-28,"36236"
2019-03-29,"31199"
2019-03-30,"31637"
2019-03-31,"34529"
2019-04-01,"35185"
2019-04-02,"35282"
2019-04-03,"35659"
2019-04-04,"35801"
2019-04-05,"31066"
2019-04-06,"30145"
2019-04-07,"33378"
2019-04-08,"35678"
2019-04-09,"36779"
2019-04-10,"35598"
2019-04-11,"35730"
2019-04-12,"31482"
2019-04-13,"32379"
2019-04-14,"35441"
2019-04-15,"35740"
2019-04-16,"36070"
2019-04-17,"34517"
2019-04-18,"32129"
2019-04-19,"28160"
2019-04-20,"29285"
2019-04-21,"28495"
2019-04-22,"31117"
2019-04-23,"36212"
2019-04-24,"35076"
2019-04-25,"35166"
2019-04-26,"30632"
2019-04-27,"31354"
2019-04-28,"33959"
2019-04-29,"35033"
2019-04-30,"36888"
2019-05-01,"34950"
2019-05-02,"34587"
2019-05-03,"30871"
2019-05-04,"28653"
2019-05-05,"29880"
2019-05-06,"37316"
2019-05-07,"37279"
2019-05-08,"35145"
2019-05-09,"35103"
2019-05-10,"31687"
2019-05-11,"30462"
2019-05-12,"31880"
2019-05-13,"33562"
2019-05-14,"35157"
2019-05-15,"35625"
2019-05-16,"35417"
2019-05-17,"30725"
2019-05-18,"29786"
2019-05-19,"33421"
2019-05-20,"34236"
2019-05-21,"34288"
2019-05-22,"35141"
2019-05-23,"35785"
2019-05-24,"31192"
2019-05-25,"30098"
2019-05-26,"33709"
2019-05-27,"33796"
2019-05-28,"35824"
2019-05-29,"34775"
2019-05-30,"34719"
2019-05-31,"32756"
2019-06-01,"30081"
2019-06-02,"28941"
2019-06-03,"33146"
2019-06-04,"34827"
2019-06-05,"34839"
2019-06-06,"35578"
2019-06-07,"30172"
2019-06-08,"30451"
2019-06-09,"32825"
2019-06-10,"33307"
2019-06-11,"33933"
2019-06-12,"35254"
2019-06-13,"35589"
2019-06-14,"29739"
2019-06-15,"29917"
2019-06-16,"31169"
2019-06-17,"32974"
2019-06-18,"33738"
2019-06-19,"33875"
2019-06-20,"33971"
2019-06-21,"28517"
2019-06-22,"29054"
2019-06-23,"31743"
2019-06-24,"32666"
2019-06-25,"33603"
2019-06-26,"32754"
2019-06-27,"33116"
2019-06-28,"29167"
2019-06-29,"28628"
2019-06-30,"31793"
2019-07-01,"33978"
2019-07-02,"33912"
2019-07-03,"34084"
2019-07-04,"32859"
2019-07-05,"28612"
2019-07-06,"27614"
2019-07-07,"31701"
2019-07-08,"32706"
2019-07-09,"32704"
2019-07-10,"31675"
2019-07-11,"29186"
2019-07-12,"28377"
2019-07-13,"28076"
2019-07-14,"30376"
2019-07-15,"31013"
2019-07-16,"33705"
2019-07-17,"32672"
2019-07-18,"32726"
2019-07-19,"28432"
2019-07-20,"30621"
2019-07-21,"30411"
2019-07-22,"31767"
2019-07-23,"31933"
2019-07-24,"33361"
2019-07-25,"32119"
2019-07-26,"28322"
2019-07-27,"27772"
2019-07-28,"31520"
2019-07-29,"31404"
2019-07-30,"30718"
2019-07-31,"30901"
2019-08-01,"30798"
2019-08-02,"27102"
2019-08-03,"26612"
2019-08-04,"26655"
2019-08-05,"29424"
2019-08-06,"31045"
2019-08-07,"33586"
2019-08-08,"33135"
2019-08-09,"30440"
2019-08-10,"29235"
2019-08-11,"30368"
2019-08-12,"32123"
2019-08-13,"32784"
2019-08-14,"32988"
2019-08-15,"32879"
2019-08-16,"29037"
2019-08-17,"29103"
2019-08-18,"32098"
2019-08-19,"30747"
2019-08-20,"31946"
2019-08-21,"32660"
2019-08-22,"32349"
2019-08-23,"29544"
2019-08-24,"28338"
2019-08-25,"30827"
2019-08-26,"31914"
2019-08-27,"32829"
2019-08-28,"32997"
2019-08-29,"32040"
2019-08-30,"29716"
2019-08-31,"30356"
2019-09-01,"30197"
2019-09-02,"32323"
2019-09-03,"32335"
2019-09-04,"33534"
2019-09-05,"33290"
2019-09-06,"29797"
2019-09-07,"27891"
2019-09-08,"30965"
2019-09-09,"32399"
2019-09-10,"32716"
2019-09-11,"32649"
2019-09-12,"33617"
2019-09-13,"31567"
2019-09-14,"29443"
2019-09-15,"31992"
2019-09-16,"33437"
2019-09-17,"32942"
2019-09-18,"33914"
2019-09-19,"35235"
2019-09-20,"30308"
2019-09-21,"31256"
2019-09-22,"32669"
2019-09-23,"33434"
2019-09-24,"33800"
2019-09-25,"33393"
2019-09-26,"33759"
2019-09-27,"32223"
2019-09-28,"29045"
2019-09-29,"32741"
2019-09-30,"35422"
2019-10-01,"32549"
2019-10-02,"35678"
2019-10-03,"34915"
2019-10-04,"32074"
2019-10-05,"30243"
2019-10-06,"31978"
2019-10-07,"33890"
2019-10-08,"34968"
2019-10-09,"35497"
2019-10-10,"34610"
2019-10-11,"31170"
2019-10-12,"28842"
2019-10-13,"32634"
2019-10-14,"34587"
2019-10-15,"33537"
2019-10-16,"34526"
2019-10-17,"35104"
2019-10-18,"32819"
2019-10-19,"30403"
2019-10-20,"32603"
2019-10-21,"32923"
2019-10-22,"34296"
2019-10-23,"34955"
2019-10-24,"34557"
2019-10-25,"30479"
2019-10-26,"30065"
2019-10-27,"28133"
2019-10-28,"30377"
2019-10-29,"32898"
2019-10-30,"33922"
2019-10-31,"33725"
2019-11-01,"32198"
2019-11-02,"30195"
2019-11-03,"32686"
2019-11-04,"33441"
2019-11-05,"34392"
2019-11-06,"34998"
2019-11-07,"34812"
2019-11-08,"30342"
2019-11-09,"29813"
2019-11-10,"31798"
2019-11-11,"32813"
2019-11-12,"34160"
2019-11-13,"35173"
2019-11-14,"35340"
2019-11-15,"29761"
2019-11-16,"29109"
2019-11-17,"34406"
2019-11-18,"34635"
2019-11-19,"34855"
2019-11-20,"33843"
2019-11-21,"34229"
2019-11-22,"30892"
2019-11-23,"29563"
2019-11-24,"31832"
2019-11-25,"33604"
2019-11-26,"34890"
2019-11-27,"35471"
2019-11-28,"35434"
2019-11-29,"31692"
2019-11-30,"29114"
2019-12-01,"32761"
2019-12-02,"34086"
2019-12-03,"35573"
2019-12-04,"36412"
2019-12-05,"34232"
2019-12-06,"30774"
2019-12-07,"29495"
2019-12-08,"31834"
2019-12-09,"33148"
2019-12-10,"32989"
2019-12-11,"36009"
2019-12-12,"34349"
2019-12-13,"28798"
2019-12-14,"28403"
2019-12-15,"31091"
2019-12-16,"32304"
2019-12-17,"33336"
2019-12-18,"33190"
2019-12-19,"32291"
2019-12-20,"28002"
2019-12-21,"26303"
2019-12-22,"28903"
2019-12-23,"29277"
2019-12-24,"27229"
2019-12-25,"24895"
2019-12-26,"25171"
2019-12-27,"25067"
2019-12-28,"26726"
2019-12-29,"27014"
2019-12-30,"29271"
2019-12-31,"30807"
2020-01-01,"29041"
2020-01-02,"29618"
2020-01-03,"28073"
2020-01-04,"28955"
2020-01-05,"30874"
2020-01-06,"33232"
2020-01-07,"32889"
2020-01-08,"32937"
2020-01-09,"34163"
2020-01-10,"31304"
2020-01-11,"29927"
2020-01-12,"32579"
2020-01-13,"33486"
2020-01-14,"33704"
2020-01-15,"33432"
2020-01-16,"34595"
2020-01-17,"30609"
2020-01-18,"32230"
2020-01-19,"32366"
2020-01-20,"33917"
2020-01-21,"35503"
2020-01-22,"34931"
2020-01-23,"34432"
2020-01-24,"29733"
2020-01-25,"30380"
2020-01-26,"32473"
2020-01-27,"33859"
2020-01-28,"34823"
2020-01-29,"34592"
2020-01-30,"35451"
2020-01-31,"32980"
2020-02-01,"30457"
2020-02-02,"32874"
2020-02-03,"34524"
2020-02-04,"35267"
2020-02-05,"34551"
2020-02-06,"34328"
2020-02-07,"35214"
2020-02-08,"34274"
2020-02-09,"34343"
2020-02-10,"34140"
