startDate,endDate,numberOfDocuments
"2013-01-01T00:00:00","2013-01-02T00:00:00",15920
"2013-01-02T00:00:00","2013-01-03T00:00:00",19497
"2013-01-03T00:00:00","2013-01-04T00:00:00",19844
"2013-01-04T00:00:00","2013-01-05T00:00:00",20157
"2013-01-05T00:00:00","2013-01-06T00:00:00",17346
"2013-01-06T00:00:00","2013-01-07T00:00:00",22049
"2013-01-07T00:00:00","2013-01-08T00:00:00",20933
"2013-01-08T00:00:00","2013-01-09T00:00:00",19536
"2013-01-09T00:00:00","2013-01-10T00:00:00",23964
"2013-01-10T00:00:00","2013-01-11T00:00:00",23303
"2013-01-11T00:00:00","2013-01-12T00:00:00",19420
"2013-01-12T00:00:00","2013-01-13T00:00:00",13815
"2013-01-13T00:00:00","2013-01-14T00:00:00",19476
"2013-01-14T00:00:00","2013-01-15T00:00:00",19130
"2013-01-15T00:00:00","2013-01-16T00:00:00",19500
"2013-01-16T00:00:00","2013-01-17T00:00:00",20141
"2013-01-17T00:00:00","2013-01-18T00:00:00",20140
"2013-01-18T00:00:00","2013-01-19T00:00:00",18782
"2013-01-19T00:00:00","2013-01-20T00:00:00",17527
"2013-01-20T00:00:00","2013-01-21T00:00:00",20301
"2013-01-21T00:00:00","2013-01-22T00:00:00",18252
"2013-01-22T00:00:00","2013-01-23T00:00:00",19143
"2013-01-23T00:00:00","2013-01-24T00:00:00",19026
"2013-01-24T00:00:00","2013-01-25T00:00:00",19076
"2013-01-25T00:00:00","2013-01-26T00:00:00",18388
"2013-01-26T00:00:00","2013-01-27T00:00:00",16747
"2013-01-27T00:00:00","2013-01-28T00:00:00",22776
"2013-01-28T00:00:00","2013-01-29T00:00:00",20250
"2013-01-29T00:00:00","2013-01-30T00:00:00",20316
"2013-01-30T00:00:00","2013-01-31T00:00:00",18951
"2013-01-31T00:00:00","2013-02-01T00:00:00",17298
"2013-02-01T00:00:00","2013-02-02T00:00:00",18470
"2013-02-02T00:00:00","2013-02-03T00:00:00",17380
"2013-02-03T00:00:00","2013-02-04T00:00:00",22997
"2013-02-04T00:00:00","2013-02-05T00:00:00",19317
"2013-02-05T00:00:00","2013-02-06T00:00:00",19932
"2013-02-06T00:00:00","2013-02-07T00:00:00",19793
"2013-02-07T00:00:00","2013-02-08T00:00:00",18714
"2013-02-08T00:00:00","2013-02-09T00:00:00",17208
"2013-02-09T00:00:00","2013-02-10T00:00:00",16688
"2013-02-10T00:00:00","2013-02-11T00:00:00",19463
"2013-02-11T00:00:00","2013-02-12T00:00:00",22032
"2013-02-12T00:00:00","2013-02-13T00:00:00",25770
"2013-02-13T00:00:00","2013-02-14T00:00:00",25086
"2013-02-14T00:00:00","2013-02-15T00:00:00",23896
"2013-02-15T00:00:00","2013-02-16T00:00:00",20233
"2013-02-16T00:00:00","2013-02-17T00:00:00",17756
"2013-02-17T00:00:00","2013-02-18T00:00:00",21703
"2013-02-18T00:00:00","2013-02-19T00:00:00",18935
"2013-02-19T00:00:00","2013-02-20T00:00:00",18704
"2013-02-20T00:00:00","2013-02-21T00:00:00",20723
"2013-02-21T00:00:00","2013-02-22T00:00:00",19667
"2013-02-22T00:00:00","2013-02-23T00:00:00",20238
"2013-02-23T00:00:00","2013-02-24T00:00:00",18648
"2013-02-24T00:00:00","2013-02-25T00:00:00",22255
"2013-02-25T00:00:00","2013-02-26T00:00:00",25339
"2013-02-26T00:00:00","2013-02-27T00:00:00",21801
"2013-02-27T00:00:00","2013-02-28T00:00:00",21685
"2013-02-28T00:00:00","2013-03-01T00:00:00",19360
"2013-03-01T00:00:00","2013-03-02T00:00:00",19794
"2013-03-02T00:00:00","2013-03-03T00:00:00",20387
"2013-03-03T00:00:00","2013-03-04T00:00:00",21952
"2013-03-04T00:00:00","2013-03-05T00:00:00",21628
"2013-03-05T00:00:00","2013-03-06T00:00:00",19968
"2013-03-06T00:00:00","2013-03-07T00:00:00",21353
"2013-03-07T00:00:00","2013-03-08T00:00:00",22446
"2013-03-08T00:00:00","2013-03-09T00:00:00",22716
"2013-03-09T00:00:00","2013-03-10T00:00:00",18191
"2013-03-10T00:00:00","2013-03-11T00:00:00",21855
"2013-03-11T00:00:00","2013-03-12T00:00:00",22777
"2013-03-12T00:00:00","2013-03-13T00:00:00",20345
"2013-03-13T00:00:00","2013-03-14T00:00:00",21804
"2013-03-14T00:00:00","2013-03-15T00:00:00",19308
"2013-03-15T00:00:00","2013-03-16T00:00:00",18695
